danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms
0.585,0.239,-15.167,0.0309,0.697,0.00133,0.159,0.0933,101.182,5CQHTuNbYlEA4fZdxQ4PMi,207520
0.463,0.368,-11.546,0.048,0.376,0.0,0.149,0.75,141.974,3LHg768dEKqJKht2uPTlVR,179960
0.561,0.327,-10.835,0.0327,0.902,0.000469,0.111,0.298,161.858,3bHhUEOTIbezeZ856R0BX5,236307
0.481,0.638,-5.862,0.0276,0.153,0.0,0.154,0.497,79.064,2hKdd3qO7cWr2Jo0Bcs0MA,259933
0.643,0.495,-10.176,0.0292,0.421,0.00123,0.082,0.319,127.219,615auKcis6sGDrHk6UTeog,235000
0.556,0.284,-15.177,0.0302,0.81,9.54e-05,0.187,0.658,130.009,5SdG78xwNRsjXmFGhm9Z8D,245000
0.45,0.298,-9.831,0.0348,0.85,6.16e-06,0.0959,0.288,141.525,42BKdj4Iy7zoS8NFA38sQ8,199856
0.56,0.825,-3.862,0.0379,0.323,0.0,0.161,0.268,94.931,4w1lzcaoZ1IC2K5TwjalRP,237493
0.554,0.49,-8.046,0.0457,0.0168,0.000534,0.136,0.513,84.275,23NPGXlSaIqWzvxIRhM2oG,265507
0.758,0.413,-9.216,0.0663,0.231,0.0,0.472,0.728,99.886,1jKCHKZtGjXVRPN2Px368r,154721
0.721,0.698,-4.469,0.0328,0.193,0.0,0.0713,0.369,106.02,6t8gZz49n17E88MqMMBBuA,218018
0.565,0.654,-6.826,0.0335,0.0542,1.8e-06,0.122,0.235,111.968,2dBwB667LHQkLhdYlwLUZK,265427
0.548,0.217,-10.308,0.0266,0.722,2.15e-05,0.0788,0.325,87.01,51jy98I9q9Nk1xyA0W4ZBg,225947
0.512,0.325,-10.549,0.108,0.719,2.16e-06,0.184,0.27,137.118,0aIXPVVZArfwTOrPYSOaa5,197800
0.505,0.251,-13.679,0.0367,0.877,0.0163,0.299,0.378,110.811,2zYJSqRUVvQyM0RUDBgo4U,202680
0.61,0.44,-7.864,0.0256,0.564,0.000897,0.0923,0.168,79.002,3uCiNM0Oj1x0ESuKlvstGi,287093
0.627,0.699,-4.504,0.0244,0.174,0.0,0.0789,0.535,94.003,38xWaVFKaxZlMFvzNff2aW,261427
0.342,0.2,-13.569,0.0324,0.134,0.000153,0.341,0.0743,133.113,4B2lJinAkeNLSJjcq3dg8Q,286653
0.493,0.684,-5.694,0.0351,0.0131,0.0,0.154,0.364,164.946,2wTm4lzLG4EKQxhWHF9VGG,204867
0.635,0.239,-13.924,0.0434,0.192,0.0,0.13,0.0724,62.466,4JjPLqECP5E48MXcEc2wzA,193840
0.547,0.805,-9.294,0.0754,0.0271,0.601,0.11,0.814,171.952,55DEnUKIReTBcrjAmAa9Tw,193187
0.57,0.318,-7.941,0.0327,0.809,0.0,0.104,0.184,119.996,6d2QbgxkplJRajiaDXJArn,223084
0.374,0.304,-14.52,0.0302,0.943,0.298,0.126,0.147,147.969,35KiiILklye1JRRctaLUb4,336613
0.498,0.251,-13.734,0.0299,0.212,1.59e-05,0.107,0.419,93.546,4E0lSJ6c5unoku9UIZoJSl,205600
0.672,0.471,-2.521,0.0494,0.573,0.0,0.121,0.771,120.15,2VG1NIvcTmtQi2lhbxj3xq,164390
0.235,0.517,-10.355,0.0699,0.883,2.67e-06,0.692,0.426,166.958,6RTF7UzUAtMqOpGbakgzGj,209280
0.269,0.599,-6.74,0.0366,0.251,0.0,0.184,0.27,141.116,419FeXq4j2l1Ryx2POIE7R,185400
0.651,0.339,-11.917,0.0246,0.372,0.0141,0.0739,0.32,103.996,0I1DJdLt9BKOb7GWmWxCjo,222120
0.565,0.469,-14.699,0.0285,0.0704,0.000443,0.176,0.287,127.915,6dDYckwvmMGZO1qB1tiuWv,276389
0.437,0.452,-7.443,0.0395,0.801,0.0,0.914,0.473,69.81,0O36Yqb2aFcThBphczYoAY,276300
0.519,0.854,-5.71,0.113,0.143,0.0,0.171,0.508,159.805,6ImYcmDP7WamwVBbZeHUTy,222213
0.39,0.128,-15.872,0.0518,0.928,0.00227,0.271,0.172,103.057,7jJH5jAOUvR0FxkbYBmAQA,186120
0.561,0.611,-5.885,0.0244,0.0207,5.76e-06,0.058,0.331,103.008,3KZG39hHZiQrxFGLUaeWPb,236467
0.647,0.729,-6.251,0.0236,0.0206,0.0489,0.134,0.687,94.01,7vFv0yFGMJW3qVXbAd9BK9,249627
0.757,0.281,-12.106,0.0442,0.845,0.0,0.342,0.653,104.858,5h3Wapr8ZukuHRZ5XMMejV,184000
0.422,0.405,-11.126,0.101,0.323,0.0,0.15,0.578,74.13,5Ukzlujip1Slqka5OY82YS,228600
0.545,0.753,-4.618,0.036,0.0417,0.0,0.389,0.434,105.754,76aadnUFFANRNDs6L3aqxw,282947
0.564,0.731,-7.538,0.0295,0.517,3.48e-06,0.105,0.257,95.036,4vNGuGIIzh6soeBTw8hjfq,244174
0.439,0.488,-14.464,0.0615,0.702,0.000339,0.16,0.629,93.017,76TZCvJ8GitQ2FA1q5dKu0,308520
0.428,0.694,-8.455,0.0978,0.697,0.0,0.764,0.574,145.353,1j5cGcXWdHKTPQ2XgXODJI,243942
0.74,0.248,-12.659,0.109,0.729,0.0,0.141,0.889,83.786,4mT5mVFaU7trA3UdbGqfB9,243163
0.438,0.827,-6.531,0.0328,0.0512,0.000402,0.319,0.645,143.377,0fzCtVM9D5UEwiLqcY8Ouq,322080
0.697,0.474,-6.663,0.0351,0.603,0.0,0.11,0.249,127.904,0rFOs9paloAvEtzwDX1Kmc,196280
0.149,0.416,-10.036,0.0326,0.0137,0.000505,0.684,0.192,140.306,13wWKawWOKggu7wI15jmFT,368597
0.45,0.748,-8.164,0.0388,0.111,0.00292,0.962,0.633,121.753,2yrOUeHM5IOi8DrzKpsM7j,501133
0.709,0.22,-11.856,0.0327,0.811,0.0,0.175,0.53,110.076,0TAmnCzOtqRfvA38DDLTjj,219040
0.53,0.634,-5.759,0.0311,0.249,0.000622,0.0979,0.106,111.615,7KWGfnsUU4Ri46TIvjpAPx,306373
0.386,0.528,-11.291,0.0436,0.885,0.00559,0.117,0.388,146.412,0UPMxtinlgA1dkne9PAKTW,253013
0.526,0.328,-9.864,0.0461,0.694,0.0,0.112,0.11,116.068,0SuG9kyzGRpDqrCWtgD6Lq,526387
0.484,0.368,-7.784,0.0341,0.74,3.82e-05,0.118,0.142,92.923,5sra5UY6sD658OabHL3QtI,216480
0.263,0.407,-13.672,0.0365,0.843,0.843,0.12,0.39,146.026,0NbUQSA1riaxzDQL4R5jdF,223307
0.635,0.841,-5.379,0.0422,0.0134,0.0,0.0622,0.424,109.021,7BqBn9nzAq8spo5e7cZ0dJ,220734
0.493,0.59,-5.814,0.0392,0.339,0.0,0.121,0.502,169.908,2IMIbiJlbi0pIs3FBpKFhS,226387
0.405,0.591,-5.129,0.0339,0.0153,0.0,0.199,0.173,165.377,46XMysg4VurmyAQ28tshqz,231453
0.816,0.375,-8.053,0.0996,0.607,8.66e-06,0.0933,0.615,114.303,451GvHwY99NKV4zdKPRWmv,191907
0.401,0.364,-10.836,0.033,0.45,0.0503,0.162,0.224,129.57,3CAX47TnPqTujLIQTw8nwI,328507
0.656,0.569,-7.882,0.038,0.119,3.42e-06,0.316,0.189,134.843,1cjouR9u8UPbvBc6vIwktF,315373
0.583,0.786,-3.142,0.0301,0.0208,0.0,0.188,0.573,123.055,4E6cwWJWZw2zWf7VFbH7wf,258827
0.667,0.361,-8.69,0.0273,0.575,0.00506,0.0805,0.29,134.018,2jdAk8ATWIL3dwT47XpRfu,242000
0.496,0.277,-11.219,0.0309,0.971,0.0119,0.0991,0.0996,134.025,3VFE4uK1ovKkIBOcFQzdbe,240080
0.754,0.65,-6.046,0.0316,0.0833,0.0,0.177,0.924,104.023,1xgN9KBVVoTNygpYjpXnvH,212573
0.477,0.426,-6.961,0.043,0.544,0.0,0.0903,0.789,184.866,6GrrkiCRO3HYdgRpO4eKEL,200067
0.319,0.757,-6.117,0.0432,0.016,0.0,0.102,0.101,122.465,5lRzWDEe7UuedU2QPsFg0K,322173
0.437,0.632,-6.781,0.0339,0.425,0.0,0.445,0.332,72.845,0TJWjCuRZLRrBSZLBIF7EW,218411
0.617,0.468,-8.205,0.0472,0.772,0.0,0.106,0.391,125.942,271FGAt4bz1jAIN661Uq2c,263907
0.61,0.349,-9.321,0.0301,0.554,0.0099,0.201,0.155,136.012,7keXdrB4mz57u4b8YkCwag,245747
0.64,0.394,-7.258,0.0263,0.695,0.0,0.0741,0.425,89.963,0vWjNkwgkTnyzfeLdTKWJ7,196362
0.495,0.341,-9.578,0.0502,0.829,0.0,0.765,0.52,116.836,2QcuQQRX2P0bhZcs861SJY,246000
0.755,0.229,-10.433,0.0397,0.88,0.0,0.11,0.722,124.675,3CeXl5AGvmRDP6RSGAbLUV,193400
0.58,0.579,-6.219,0.0346,0.182,0.0,0.25,0.569,77.474,2Xt2ir0hgXtcfFlAx4rdu9,256053
0.47,0.296,-14.123,0.0328,0.853,0.368,0.0957,0.0605,78.999,2Uj2BjZXVv9WvYFEVl8TDi,203827
0.503,0.0609,-20.878,0.0744,0.777,0.0,0.15,0.305,165.701,1zMKpVTq4fOzD6rrVDdbaz,208907
0.734,0.639,-3.241,0.0316,0.0348,0.0,0.102,0.836,121.212,45O0tUN9Bh6LH4eNxQ07AT,201653
0.547,0.188,-10.676,0.036,0.929,1.2e-06,0.714,0.192,135.657,5MYfpFJYm8WNFGssR6H2Oz,239080
0.591,0.416,-9.794,0.0246,0.882,0.000641,0.112,0.415,96.003,1HMQmOWrkieKYWlFsjUP3D,210080
0.541,0.675,-6.136,0.192,0.446,0.0,0.107,0.686,91.09,6n6EXIwLtNwe4u4CFzENYm,246920
0.464,0.183,-12.51,0.0374,0.777,2.38e-06,0.0876,0.298,128.689,2ewLTjnHNFIMwF1Zsx3f0T,231133
0.674,0.408,-9.033,0.0551,0.148,1.48e-05,0.0261,0.708,109.992,6HUCDcXf4M59NBZ5EOtd5T,213552
0.547,0.139,-13.519,0.0382,0.915,0.0267,0.113,0.421,144.162,5v8iIbuSiRCyarj3hSHCfm,152667
0.687,0.537,-7.639,0.0305,0.561,0.0,0.107,0.264,120.023,4gJoAvFpDvaeqm2EKYGmhb,257160
0.635,0.337,-12.125,0.0288,0.805,0.00256,0.142,0.357,135.826,1nuqzCMgj2lxZCmpdCmIGv,216427
0.396,0.451,-7.109,0.0362,0.177,0.0,0.103,0.358,169.518,2fywBLXK9GQi8YR8C8d3c4,183600
0.408,0.814,-4.26,0.0704,0.388,0.0,0.11,0.486,97.727,3h7fGy7n9xhS1PupWW9vJ9,212758
0.616,0.209,-13.43,0.406,0.902,0.0,0.139,0.336,86.891,0ygAYQQy7bfDN6gH640bbl,229613
0.603,0.165,-17.988,0.0452,0.669,0.588,0.124,0.517,126.717,3FK0U3qJYP3E24Vx5QSBWz,102947
0.545,0.658,-7.174,0.0474,0.496,0.0,0.105,0.683,76.971,1PR5pyPiOEEQ02oJYq402x,292567
0.627,0.428,-12.31,0.0511,0.682,0.0513,0.103,0.547,90.652,1jJXixRlgZuqWlYwKM94Dz,213933
0.643,0.569,-7.459,0.0276,0.544,2.17e-05,0.178,0.275,120.507,2lFlveK1y13WWp3vnQtrr3,244600
0.504,0.167,-14.396,0.0284,0.621,0.000109,0.119,0.245,109.321,65HOlqJpNqaUbateZw2GrA,255773
0.58,0.203,-8.524,0.0676,0.829,0.0,0.108,0.534,128.942,4YKhIH7BhFErLoV9dgHupm,260053
0.681,0.593,-9.327,0.0251,0.435,0.000117,0.106,0.731,115.058,7hR5toSPEgwFZ78jfHdANM,250373
0.518,0.576,-7.308,0.0257,0.184,7.01e-05,0.957,0.269,96.626,1LkffUqSKVC5Au5IQPPSLM,303533
0.493,0.32,-10.337,0.0293,0.0294,0.000306,0.256,0.179,147.836,3mvPYW1akMjDgSm98ynuTr,207052
0.419,0.383,-11.782,0.0256,0.0724,0.0176,0.0896,0.35,87.568,2a1iMaoWQ5MnvLFBDv4qkf,257480
0.388,0.66,-7.372,0.0308,0.312,0.000307,0.0943,0.401,143.554,429EttO8gs0bDo2SQfUNSm,230507
