danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms
0.68,0.693,-7.234,0.0435,0.445,0.0,0.208,0.851,114.948,36tghkPg1AO4HsAzo6YpPp,163880
0.55,0.574,-7.427,0.0341,0.0189,0.568,0.109,0.346,122.579,5y1iInKBJiE9Qfi4eKOal9,212320
0.393,0.725,-6.16,0.052,0.000429,1.16e-06,0.246,0.327,116.547,4s9MBsOC7ntOehwpH0EJLL,249200
0.463,0.229,-12.592,0.0297,0.167,0.0997,0.202,0.135,73.543,73CKjW3vsUXRpy3NnX4H7F,290707
0.603,0.933,-3.358,0.171,0.00591,0.0,0.206,0.709,96.306,3IV4swNduIRunHREK80owz,213760
0.525,0.578,-4.563,0.12,0.0132,0.00916,0.108,0.537,123.696,4xlEKYv7HmC8zXoJIbpZKM,215267
0.56,0.936,-5.835,0.0439,0.00847,0.0,0.161,0.371,112.96,0GO8y8jQk1PkHzS31d699N,218013
0.528,0.831,-3.607,0.0429,9.43e-05,0.0,0.141,0.632,131.094,1JdKrFyoU05abww0Zv0ayQ,220480
0.527,0.82,-5.855,0.0325,0.00157,1.88e-05,0.0882,0.25,120.041,3dw0A0cbqT6Oy2V8KfGwIT,193000
0.587,0.497,-10.757,0.0307,0.723,0.782,0.142,0.401,144.972,6HTVZeVQ9J6Uiq6tHESxU9,287634
0.717,0.782,-4.086,0.0338,0.0108,2.39e-05,0.0904,0.4,117.38,2UaJHs6wlASNl7q34j7hK1,231933
0.373,0.729,-7.824,0.0413,0.00394,0.0029,0.124,0.356,134.658,6Ntcnh9Ovj3iRun701JpuS,195867
0.415,0.554,-10.839,0.0334,0.00541,0.00202,0.155,0.163,120.318,4wzt5Rrk3W98pHXAqutuJw,311292
0.607,0.76,-5.229,0.0482,0.0745,0.0,0.0595,0.805,88.059,1YI0uK36eupTmw9F8kHysr,244867
0.563,0.86,-7.533,0.0621,0.00834,0.0106,0.39,0.517,97.867,0UrWr7Jnu1heq1o99ZwUd0,256240
0.395,0.955,-3.352,0.12,0.0176,0.0,0.585,0.283,168.005,2WhDg8UWljoAl8oNh8uZbJ,181307
0.296,0.989,-4.945,0.111,0.00141,0.000167,0.0911,0.324,168.894,5SrnKN9CdGLLHIOUQMHNod,174760
0.564,0.774,-9.424,0.0368,0.0135,0.00191,0.0861,0.657,100.894,6wpGqhRvJGNNXwWlPmkMyO,277477
0.695,0.615,-5.325,0.042,0.15,0.000212,0.0879,0.414,124.015,4pGqFOfzvfe6avb9kbZicC,240040
0.645,0.792,-7.34,0.036,0.0562,0.0121,0.119,0.666,90.565,7nnWIPM5hwE3DaUBkvOIpy,232453
0.674,0.428,-9.504,0.122,0.121,0.0,0.132,0.337,84.878,2dLLR6qlu5UJ5gk0dKz0h3,190185
