danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms
0.192,0.0895,-22.306,0.0308,0.991,0.876,0.0912,0.0326,71.956,0PD70LezIRS4kAGQHnZ8SG,306024
0.289,0.69,-9.015,0.0359,0.00206,0.885,0.0897,0.0758,169.97,4Skv8jX384w8pK3DuQ2AnE,181533
0.284,0.257,-17.082,0.0349,0.857,0.949,0.107,0.0343,127.947,5oRv24506gIGTlbJzu0LrV,358920
0.144,0.0431,-33.172,0.0379,0.942,0.608,0.0982,0.0344,139.135,6uHBlvmGChZmlKoH4zev7y,631253
0.545,0.371,-17.838,0.0272,0.654,0.751,0.82,0.154,139.987,1HIqg2z8C1G6xGNNn0vMhl,480493
0.102,0.491,-9.945,0.038,0.605,0.848,0.157,0.139,90.384,2veWnyPr8I5wrkanME929O,387600
0.0628,0.202,-25.167,0.0526,0.644,0.952,0.299,0.0365,68.188,6EZMiMfbbF8AhJBjBXSElv,904867
0.659,0.717,-7.816,0.0318,0.331,0.911,0.127,0.384,139.952,0sQNqu37YQQSI3K0ueswyA,316919
0.704,0.203,-20.312,0.0444,0.977,0.923,0.66,0.271,134.013,743xmZCB1e1XVOYkuTBAjl,237096
0.075,0.6,-14.994,0.0512,0.311,0.982,0.101,0.0377,200.024,4HkJr31bgEdCtEHpasC7Jz,645200
0.327,0.373,-15.461,0.0774,0.839,0.934,0.0871,0.0513,65.422,5NCgLvT7V8FvzsNULmIbVn,490273
0.233,0.106,-23.923,0.0465,0.95,0.934,0.0982,0.13,73.805,0VhkCytrhq2EjntoAkbjvZ,229933
0.542,0.749,-8.333,0.0277,0.173,0.942,0.315,0.674,94.031,7Cg3F9ZsZ2TYUnlza49NYh,237827
0.164,0.00522,-33.134,0.0414,0.928,0.865,0.11,0.0257,67.328,0LfRVw2aFyi3wqYcRjFZpx,407053
0.294,0.407,-10.444,0.0325,0.374,0.962,0.0698,0.0726,140.099,3tRlqoBL1IR0Wtq9Shi9MT,137413
0.55,0.575,-14.882,0.0446,0.00163,0.68,0.133,0.371,124.87,1r1OeKQ1y7Q20A6ekUXtYq,405351
0.563,0.509,-11.912,0.0292,0.116,0.856,0.0945,0.0766,100.012,5v8tkWxBbFuRwpS7ou18SN,589320
0.819,0.393,-19.868,0.0496,0.278,0.938,0.339,0.331,124.986,2qUPpm68o0YjKyTO5X11Dd,256057
0.327,0.425,-11.577,0.027,0.878,0.000873,0.18,0.165,93.946,6T10XPeC9X5xEaD6tMcK6M,268307
0.682,0.314,-13.991,0.0302,0.382,0.794,0.124,0.205,90.012,4AtII0HEFVKuDslLFdwtLa,278027
0.665,0.64,-12.267,0.0427,0.000808,0.852,0.51,0.0727,124.013,4PqrSbT1uzjyD5uLtFSOm2,397867
0.393,0.0668,-20.755,0.0404,0.963,0.105,0.107,0.0384,136.938,7BSMSvK0WxrDeI98bswYa8,174172
0.286,0.675,-10.163,0.0441,0.799,0.955,0.11,0.182,150.014,7pqP4fnLm6Tyz48aONMWpx,320571
0.169,0.84,-9.082,0.0398,0.0504,0.924,0.108,0.213,167.956,6hnw5zpjO3n8YjVEXUBsEE,421813
0.529,0.572,-11.969,0.0309,0.283,0.926,0.0839,0.0702,93.99,7gMDfl8u2nmBoEgvOmGnUh,278218
0.301,0.243,-14.965,0.035,0.0113,0.563,0.0654,0.0277,80.018,5NyjsIOaUGEFk5NFe2KANv,413727
0.701,0.557,-8.816,0.0291,0.102,0.865,0.164,0.586,109.995,4SxoponB2oxqjuOSNYhTjb,291733
0.223,0.46,-12.48,0.0404,0.206,0.608,0.141,0.13,119.737,4zeoGuFBqU87Z8pUdn1CxM,363170
0.116,0.333,-26.366,0.0573,0.292,0.664,0.216,0.283,87.315,0TVcJgzEvBqvDatWSXqtKf,442973
0.193,0.241,-16.209,0.0333,0.931,0.951,0.0919,0.0426,95.787,1rHIKlOhiycXH4HwOcoRM0,215880
0.798,0.715,-7.103,0.215,0.191,0.773,0.112,0.199,122.47,6wMTeVootJ8RdCLNOZy5Km,468587
0.548,0.532,-12.246,0.0313,0.171,0.838,0.079,0.038,99.994,7MZLPKriK0CMy6a0ovE1Ca,485106
0.131,0.00622,-32.65,0.0413,0.978,0.948,0.121,0.0363,74.941,5C0DGc7M86XqwMRPeusb8r,208133
0.33,0.423,-10.504,0.0279,0.265,0.731,0.347,0.117,143.086,052z2UsE2wPrHsBJ9tly0g,211500
0.127,0.405,-25.86,0.0698,0.852,0.778,0.412,0.227,90.28,7h44rRaHqYbsNsJBG5qAwY,455600
0.762,0.484,-12.368,0.0311,0.812,0.389,0.0841,0.415,122.916,33R3swWziWYmnDYvZqcZVS,201947
0.227,0.653,-9.303,0.0416,0.00387,0.869,0.168,0.0778,80.146,7k25nOYpb29GPLYfRbVbg6,343827
0.221,0.114,-18.858,0.0399,0.738,0.912,0.0825,0.0392,71.216,3XhqU2L7yekEGaZDG7uT3U,103627
