danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms
0.439,0.162,-13.566,0.036,0.891,6.19e-05,0.111,0.113,77.112,2Omy3B47TotpL7yDfArVqQ,245704
0.587,0.471,-10.486,0.0306,0.691,3.47e-05,0.272,0.229,99.659,4ygG6I9XF6YY4XLJBHkUED,209653
0.586,0.509,-13.059,0.029,0.654,0.0106,0.0904,0.944,132.996,2LHpbke1zUVT8xLlplZN0j,178973
0.761,0.175,-17.628,0.0355,0.834,0.574,0.112,0.233,94.977,5M6sRlolYI4rThvoaSAmgQ,366867
0.591,0.177,-15.729,0.0373,0.927,0.000331,0.0949,0.279,111.766,354b4pFZzbBx9wL0DaCGYW,308640
0.48,0.527,-11.792,0.0309,0.0757,0.191,0.468,0.813,140.285,0E3VWcpSsKBiJR72CLvi0q,164053
0.725,0.239,-14.325,0.031,0.908,0.00675,0.117,0.435,115.545,1yrHbj1OW7ZKz9xbXWyWwJ,228933
0.522,0.187,-15.815,0.0339,0.953,0.00181,0.0945,0.437,127.373,4dp5Wv6ihYCW7PlTyZpEep,265693
0.597,0.206,-17.174,0.0559,0.954,0.0,0.449,0.633,116.628,680oefI42fx9otHUsFvbJH,152400
0.532,0.44,-7.436,0.0316,0.764,0.0,0.0714,0.513,87.151,2yB0oBqoZRXehgynGISA5J,201107
0.392,0.59,-7.865,0.0327,0.097,0.831,0.279,0.879,140.748,0jDbdPGKODhw2aLPBHheNK,135093
0.631,0.796,-4.511,0.0734,0.684,2.11e-06,0.275,0.96,163.408,0AFpCFge3Rx8gsd3qG6Gav,141387
0.454,0.719,-7.74,0.0326,0.28,0.00209,0.089,0.594,121.548,6AKYhRh9Oz1nzscR5kZS7T,237000
0.61,0.512,-9.256,0.0322,0.628,0.000548,0.221,0.884,125.988,1BrS9cy4zHpXYq9oVYQJF5,175800
0.512,0.769,-7.297,0.029,0.325,0.923,0.0686,0.86,139.43,6C37Thprsz5GG12bI0q2mL,237840
0.66,0.529,-9.178,0.0289,0.543,0.0401,0.178,0.802,133.64,6WZhUdMsbYpRuO7VzguKI1,143333
0.654,0.564,-8.739,0.0267,0.0647,0.00826,0.482,0.442,110.079,6iiEvKsfMGvebJmSCPfucv,220440
0.505,0.524,-9.532,0.0523,0.916,0.943,0.0851,0.766,127.722,0mpnUFantHL35cnHx5Sdwr,126533
0.615,0.315,-11.851,0.0308,0.76,0.00393,0.109,0.283,81.406,7luRbi6JGyCtbUe6Oj2stq,289253
0.603,0.341,-8.892,0.0264,0.921,0.00314,0.102,0.365,113.452,2gE58DQyqgsvsK87SWUN62,229880
0.618,0.686,-6.377,0.0294,0.286,0.000601,0.177,0.913,121.128,0Ot64UW5k4ftvK4S4yqtrw,173120
0.645,0.277,-12.348,0.0334,0.283,0.42,0.321,0.492,94.548,2inVe58mirMXn5ytaujri2,123987
0.613,0.694,-9.042,0.0301,0.0226,0.578,0.686,0.22,140.024,211vVb9zNwGVPrLbth4hWX,347000
0.672,0.444,-12.141,0.0309,0.749,0.0148,0.12,0.961,108.548,1cwIw0PTYYyjrecCs9LCvc,156293
0.353,0.326,-11.347,0.0356,0.0121,6.78e-05,0.127,0.04,116.597,6WYVVpocvYuuWmeR3ChzvC,289881
0.698,0.563,-10.275,0.0339,0.551,0.000364,0.0663,0.83,111.977,0uyG9P8SaaeRpwdQ0AIahd,199453
0.29,0.691,-8.82,0.0346,0.472,0.852,0.0852,0.726,132.211,5dlAFEMI8tr5Oycdb6r3Il,190133
0.397,0.469,-10.269,0.0376,0.895,0.804,0.428,0.66,132.309,7jKXPSupFfHu5rjdedGRZF,151880
0.714,0.239,-12.146,0.0287,0.357,0.0109,0.106,0.342,141.84,0mGwNhqEHCg5a3dTIg6dlm,260507
0.384,0.381,-12.81,0.0356,0.952,0.0223,0.37,0.695,179.357,283WX8NobrMqpOScYvg0hy,175107
0.446,0.352,-11.756,0.0307,0.867,0.00986,0.345,0.821,162.136,1DAJ0bKcupzCu9yWeG1o3H,176173
0.679,0.769,-7.344,0.0315,0.737,0.00018,0.122,0.965,113.625,0yBdzGKGZHcb6abNxFwKEm,203693
0.412,0.698,-7.197,0.0303,0.329,0.86,0.132,0.58,124.146,4E8rck1iSNHu1fzcUtVIs4,193613
0.402,0.684,-8.978,0.0308,0.601,0.582,0.318,0.975,150.077,6bLDKdfP5BgAIAuz4Ylksv,136467
0.525,0.766,-6.722,0.0332,0.437,0.000199,0.782,0.881,121.201,1OcEMT0aPzg7LSnLbtS9Pq,177600
0.465,0.384,-11.316,0.0379,0.823,0.767,0.182,0.621,126.319,2Y0tFR4iYR57EnBK4mf34l,342653
0.725,0.302,-12.137,0.0512,0.777,3.18e-06,0.116,0.689,136.615,0DtFrdgJKviX326gJMWbIm,214227
0.417,0.349,-12.043,0.0299,0.534,0.000888,0.0775,0.192,77.485,2mt2SEx62smnEgE5owBH8Q,331053
0.594,0.726,-6.94,0.031,0.149,0.00551,0.183,0.811,112.635,0gGxYSbgJI8D8WDdx9AUsW,148813
0.651,0.629,-9.842,0.0278,0.81,0.00351,0.114,0.805,100.132,77Uox9TDJo12ia9mtEpPXm,146413
0.539,0.644,-7.57,0.035,0.592,7.95e-06,0.365,0.962,155.193,3akQg7LMFX67awgHyC9Ptu,133400
0.588,0.723,-5.351,0.0271,0.55,0.0609,0.391,0.888,133.812,35tzV4obq7W6oOWjpDmbAG,219520
0.477,0.773,-6.429,0.032,0.000741,0.00639,0.238,0.961,162.049,4Equc2DeADWqZyRPuScCBy,170733
0.677,0.117,-16.104,0.0421,0.665,0.000328,0.0759,0.296,150.852,5w0RYb50fUlvw2hDg3VTOQ,248640
0.549,0.134,-16.115,0.0536,0.828,0.000468,0.0913,0.239,75.15,5zpHXus5O70GrRNTdO5ILH,179600
0.434,0.756,-5.317,0.0336,0.0669,0.000248,0.317,0.691,155.264,3fmTbBfm4NuKahf1dYWlmE,201507
0.562,0.645,-8.923,0.0277,0.0542,0.000152,0.192,0.854,91.219,7eT5uQWbQ7l2BmCSlsqUsQ,215827
0.49,0.445,-7.19,0.0469,0.695,1.16e-05,0.106,0.54,159.318,7DQjWFjaiPULrsqgsZueF3,239640
0.504,0.423,-12.638,0.0282,0.0121,0.164,0.356,0.649,150.868,6KP7EECFmdxV9w7YYzExpm,112373
0.588,0.499,-9.446,0.0317,0.372,0.0,0.0947,0.763,103.187,0ap5m3ZgSyDDoMiGIfIBKH,236160
0.634,0.644,-7.213,0.0336,0.653,0.0,0.122,0.852,121.041,33GZ5QfNMeVVOmZABeb6Px,261707
0.573,0.492,-8.754,0.0373,0.692,0.0156,0.081,0.574,113.712,14zQdZcKNWkBwM7beFZPxa,251693
0.468,0.621,-9.403,0.0306,0.786,0.823,0.187,0.648,134.143,6PUTDQeCeHIYNegcIg0rho,229067
0.69,0.25,-16.804,0.0335,0.885,0.000156,0.119,0.655,96.173,5axI4xvyPCsuO7OklQDfgD,219067
0.473,0.733,-7.758,0.029,0.46,0.071,0.141,0.855,134.242,0WbTezlgYqtRIgdbthnhVJ,178080
0.38,0.736,-7.444,0.0593,0.0305,1.16e-06,0.338,0.943,196.601,0AN0CbQbfxsmRxh0MOtg5w,213587
0.616,0.254,-11.146,0.026,0.555,6.6e-06,0.134,0.285,98.53,6GlFyeDlAKXSnvmoP1KR1i,211707
0.39,0.894,-6.157,0.0377,0.585,0.889,0.684,0.912,137.105,5iSHdJKwKKRq2NRaS1R3G0,231560
0.558,0.3,-11.317,0.027,0.804,0.0,0.101,0.244,80.457,3hF7gCSBoshG3GHUUV8otI,249453
0.57,0.453,-11.817,0.747,0.732,0.0,0.981,0.405,106.487,2Rnkvxx44sZGoJrG0LSVYU,231173
0.505,0.525,-8.732,0.0369,0.623,1.09e-05,0.135,0.745,179.874,6B4ltiHFcVWHALJpO2pswJ,287507
0.553,0.698,-10.218,0.0442,0.618,0.000461,0.304,0.879,141.494,0odoLEFL8Da4Bvr4gBBsAr,57400
0.21,0.197,-11.895,0.0336,0.943,0.0,0.0995,0.496,85.25,0tSvpLo1IyV3IGbj7sB3LE,151720
0.44,0.938,-4.36,0.0492,0.615,0.024,0.119,0.895,139.975,2MhhYrCk7u8UXZPeErvK5h,204040
0.406,0.812,-6.13,0.0514,0.0262,0.000228,0.0787,0.648,81.374,56gIMfbYgE8T317pqNNxrk,208933
0.821,0.302,-11.391,0.0648,0.223,0.000226,0.0543,0.69,120.117,6SLKXwEugtOfEeNWDPJpiw,266853
0.675,0.637,-8.725,0.0281,0.285,0.00647,0.3,0.514,119.953,0RUCjCfG15Z7i9xUOIE3vS,291387
0.49,0.595,-7.456,0.0733,0.7,7.65e-06,0.059,0.807,164.616,0Lxhn074Z6oBj2raV3JxwZ,166107
0.624,0.395,-11.727,0.0298,0.671,0.861,0.103,0.207,132.266,2V9p00deRkvclpg7A7FWaz,373080
0.509,0.242,-13.353,0.0291,0.714,0.000365,0.127,0.448,169.642,46LI9mnlQ8fJHH47ioBubg,261120
0.498,0.308,-13.322,0.0466,0.874,1.73e-06,0.259,0.734,165.552,5A3oQJuuNuk322pGH80l4u,203227
0.371,0.333,-14.579,0.0371,0.177,1.71e-06,0.307,0.693,183.711,72uBGjg7elCnUzzuJ2dnO3,209000
0.525,0.233,-12.789,0.0347,0.93,0.0205,0.138,0.424,123.655,2V2eahKD3biCWg3K5IZqbF,233413
0.571,0.222,-18.475,0.0345,0.891,0.432,0.241,0.352,120.798,0Ha5Kois4vCF873ydVfO8Z,182333
0.632,0.706,-5.467,0.033,0.731,0.0,0.317,0.702,135.108,2WhKCglDEsiNAtdrtd28Da,172853
0.526,0.7,-7.99,0.03,0.0945,0.0,0.337,0.65,104.097,2JhxWuSqoOhckykadGwubE,180373
0.473,0.69,-7.278,0.0319,0.406,0.000236,0.094,0.335,153.251,6rIERMhmspO8jGLfmrFdY3,285040
0.354,0.779,-9.424,0.0322,0.0546,0.00282,0.0943,0.54,162.431,7sKv2C005X9L9xl6twWGze,230227
0.563,0.447,-15.218,0.0323,0.81,0.00484,0.186,0.743,127.384,4TXtgaRXTR68GKG9p9bZQU,213000
0.547,0.374,-10.186,0.0308,0.544,0.000123,0.173,0.385,141.892,2yPJElNuCI4Yilkex88yM4,189747
0.585,0.565,-10.167,0.03,0.846,0.687,0.207,0.932,123.937,13mXZ30HTKRQqpPIDLSZ2L,166827
0.445,0.314,-8.963,0.031,0.39,0.0487,0.122,0.101,104.998,1shqwaG8Ai40xu0J75dzMk,387373
0.545,0.497,-10.768,0.036,0.329,0.00369,0.186,0.82,154.235,3ALem2cU9XKuWT4CLAeDMK,166800
0.354,0.372,-8.625,0.0304,0.796,0.0457,0.115,0.329,102.052,0zpjOA6VNl3qklFnyOcBQV,185840
0.647,0.383,-13.645,0.0386,0.876,4.36e-06,0.369,0.812,122.396,15LqIvhk4CHyMW9O0JaQWT,143067
0.525,0.728,-6.012,0.0356,0.588,0.0105,0.327,0.859,128.47,7yj4sSseC4pYjXTRxY6fHk,263200
0.547,0.79,-6.743,0.033,0.265,3.9e-05,0.312,0.882,153.471,095XbFsvXNAMARWsep8kq2,151840
0.338,0.31,-16.012,0.0497,0.716,0.000721,0.0995,0.157,79.325,1gCzS6LuqFWPFD0UE1bINb,246333
0.579,0.52,-7.82,0.0266,0.368,0.0478,0.0913,0.58,97.714,5zsNrhMNU8qnLqDZNyUPAA,203560
0.515,0.928,-5.076,0.03,0.00325,0.355,0.12,0.844,95.939,2ylM6rISI2l8NTDETNzZue,269733
0.531,0.522,-11.001,0.0372,0.536,0.0424,0.0946,0.523,110.104,0ETiP5S8lbp8w6O7hc70Kk,200613
0.583,0.392,-11.12,0.0441,0.591,0.00776,0.225,0.569,100.145,5i22PC374PqrCviqh2I9m9,304040
0.601,0.304,-16.077,0.0299,0.647,0.00252,0.108,0.816,103.911,14wuRVMgV8Ybkt8rLOmuV9,168027
0.548,0.902,-6.005,0.0358,0.141,0.00919,0.928,0.786,130.511,601Lpq0FIESRi2KNIEnR3F,260938
0.577,0.212,-13.858,0.0354,0.845,3.81e-05,0.184,0.814,86.161,1RlcG3E5BztpTxsvdjXUiV,177440
0.637,0.139,-16.301,0.0326,0.768,4.13e-05,0.109,0.476,119.941,01m0kOmTMUDbmAkl4V0eCo,221173
0.555,0.764,-7.885,0.0547,0.71,7.95e-06,0.984,0.746,123.103,4SDmcRBgR7kFTdvJbwsGde,260187
0.668,0.172,-13.835,0.2,0.871,0.0,0.095,0.573,94.51,6PIEE443qM0IS279RdW24q,135147
0.48,0.718,-7.558,0.0319,0.388,0.0227,0.963,0.67,120.663,1tlINlCiIrAkxoKR2tEAzm,539400
0.617,0.382,-10.077,0.0326,0.806,0.0184,0.101,0.683,109.216,2GVTrF5zAZJqAM8taUP1M9,240107
