danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms
0.437,0.416,-12.761,0.031,0.786,0.000334,0.128,0.444,137.057,3wvjdtA70OyOY2jcXUzuC9,162560
0.534,0.295,-13.553,0.0261,0.738,0.139,0.0972,0.169,93.006,4SvrcCGSJrWlryWbPNUNML,152133
0.726,0.551,-9.185,0.0407,0.633,0.0567,0.141,0.66,93.68,3pMmRPF5PK5r3RdfAS7nIc,171440
0.46,0.508,-8.831,0.0339,0.641,3.2e-05,0.301,0.609,130.445,1Rt3vhaz78DqgskwdF0Rwo,157360
0.477,0.361,-7.088,0.0502,0.848,0.0,0.249,0.372,93.0,6v3eqE67EgzhSLUXo3EMtV,128693
0.553,0.209,-17.209,0.036,0.926,0.00214,0.107,0.552,111.519,5cD4lbcDJ5jEkar2sW2roc,248560
0.618,0.465,-9.856,0.0422,0.853,0.0525,0.165,0.863,115.055,6sYXo7srX9Q7ZOr2edAr4F,191267
0.614,0.233,-16.161,0.0409,0.727,2.38e-05,0.121,0.839,100.208,2nB4eartE3oClRpaI1I3qk,157267
0.779,0.931,-4.572,0.0863,0.238,0.00314,0.369,0.962,178.025,4Mb4YY7ougJZe0ERjt6TdB,194747
0.526,0.396,-9.277,0.0372,0.701,0.709,0.185,0.156,108.779,29SLeqMkWGFXOHnhf44nKN,201227
0.747,0.633,-8.473,0.0465,0.468,0.000125,0.116,0.766,158.797,1A97h7mLyNbEIFtovoL02F,197027
0.648,0.321,-14.706,0.0557,0.819,0.0,0.101,0.743,109.09,4FiA3rMMnYIFqWT6ZPWwc2,144520
0.365,0.587,-7.107,0.0395,0.522,8.26e-06,0.0841,0.539,135.84,4ipc1Wpcj2IBhLJCCAKgBg,242627
0.358,0.285,-10.966,0.0284,0.849,0.000331,0.157,0.132,89.768,69SmMkSkVht16VWk3lwuvW,181507
0.38,0.116,-19.597,0.0391,0.686,0.0,0.171,0.305,118.016,4kpRbYr33bqVxuT4a8Ao8Q,142909
0.543,0.243,-13.387,0.0517,0.925,6.26e-05,0.121,0.372,107.743,6UOy5Ne0SGvbozHrLlLJ1J,122773
0.661,0.122,-16.852,0.0526,0.984,0.000276,0.115,0.282,132.444,5fRgN8PuwPA1UsVls3OuiM,154920
0.798,0.32,-12.307,0.0451,0.663,0.00462,0.0848,0.609,122.691,5MtdZDXi0DoUMR2Eausgiq,157173
0.51,0.551,-8.799,0.0383,0.661,0.753,0.0634,0.474,155.402,2saWAEUZYz410qlEgVBF1L,152960
0.493,0.391,-10.205,0.0313,0.674,0.00242,0.191,0.235,112.951,7yRSPNtWxmO8wTRFae1Fac,179227
0.748,0.0907,-16.305,0.0614,0.989,0.912,0.0875,0.399,111.009,5wk6JvyEBvQfbwkcOlelux,199827
0.399,0.0378,-24.7,0.0821,0.899,0.131,0.538,0.292,73.801,0DJo5uG2zdfmtgTFQYLjYK,224440
