danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms
0.508,0.917,-4.432,0.0416,0.256,0.0,0.54,0.516,135.962,2kYAcKRS0NIhMJbHjyMEkZ,179653
0.351,0.58,-7.178,0.0397,0.31,1.07e-06,0.208,0.676,143.322,2vq9jIZRH5wryz40TlQI86,242267
0.518,0.178,-14.81,0.0343,0.916,0.00456,0.107,0.297,127.77,62aQFew50XwCtywnokN858,213880
0.763,0.555,-7.893,0.0353,0.382,1.4e-05,0.262,0.909,103.925,2kgT6sMwXd3mdeXhBbLMQe,332133
0.532,0.247,-15.507,0.0339,0.73,0.0,0.18,0.67,87.995,4fryIGUnJQ1XPg2QyasFQ4,123387
0.704,0.561,-7.177,0.033,0.845,7.65e-06,0.108,0.773,124.861,0q1hmhVWdR04mZup6mR56u,397493
0.621,0.913,-6.269,0.0393,0.477,0.0,0.203,0.967,139.107,2GVAeUO5hjUVrFE0s08cKD,150693
0.654,0.384,-11.985,0.071,0.77,0.0139,0.267,0.616,144.017,11Wo7FDIdA5nzBW2K3dmOS,175107
0.672,0.79,-9.777,0.0376,0.0112,2.05e-06,0.334,0.921,143.98,1eDBpkZgY7p9OBVodcrX9n,179240
0.708,0.296,-12.256,0.0463,0.758,0.0,0.0966,0.681,117.177,2MSgNp3n57PLV27y6MJX31,133407
0.549,0.502,-16.202,0.0493,0.223,0.0,0.0622,0.781,85.793,1TX4h6MrIZ0K3r4OOG11WO,225267
0.605,0.415,-9.503,0.0413,0.416,0.0135,0.079,0.379,142.013,0svBeQBw3K2u4uFg5B4QAT,280613
0.686,0.0929,-15.233,0.0546,0.869,0.0,0.103,0.311,83.538,6LMjjcvtlWp1Dtj19yiIvT,209573
0.671,0.836,-6.672,0.0567,0.687,0.000559,0.132,0.837,145.532,352FuGmGJClPjojSYjNrXG,196933
0.61,0.495,-8.399,0.0891,0.8,2.52e-05,0.083,0.683,146.878,3TAMiM8XFmU9vFd333pgRh,217960
0.78,0.597,-8.305,0.0468,0.205,0.000219,0.11,0.699,94.017,7IlN4RrC4oILrQJ1xsBM3f,338880
0.516,0.782,-5.059,0.204,0.737,1.96e-05,0.108,0.735,178.222,727cyI94rzZwqlujxfGLKk,149906
0.752,0.88,-8.779,0.0798,0.0282,4.64e-06,0.19,0.882,100.018,2pvA8uzxL6JDreXscajgON,262573
0.44,0.613,-8.234,0.0301,0.59,0.0,0.935,0.397,108.087,5YQPOIAt3U7DMAswTVvzax,232120
0.547,0.547,-8.967,0.0306,0.833,5.85e-06,0.172,0.454,135.798,2yeI0FRWd1sqGpHEUc5DFm,173587
0.587,0.632,-7.254,0.0241,0.745,2.88e-05,0.0624,0.459,100.002,4pG8lbKPKkfGSniMXxZTM7,242507
0.678,0.663,-7.726,0.0307,0.0874,0.0161,0.615,0.822,136.388,4d0DpU7Odiv0ztvX2GxJlk,223400
0.39,0.355,-13.509,0.0345,0.0563,0.0,0.735,0.262,165.961,6YNCE5qtrTa7YcnAOAEsDQ,218267
0.293,0.662,-13.076,0.0486,0.0079,0.00112,0.271,0.221,186.007,7MnT7msJZg3XBAS0OTfGrB,302200
0.751,0.494,-7.673,0.27,0.0508,0.00151,0.283,0.552,86.481,2ivvbyg7WLOmHaQQEM1ClJ,213573
0.563,0.425,-13.814,0.0665,0.913,0.0054,0.306,0.679,77.209,1op7nM2R2M6FAU6dSCTRWV,179933
0.619,0.709,-6.958,0.0326,0.0368,0.733,0.0814,0.963,122.993,04vhOCGg0vXAxerKc0eQ5d,144547
0.731,0.469,-10.724,0.0379,0.333,0.0115,0.0976,0.641,107.093,2WayN4wXOseclKADq2tFTY,189667
0.571,0.526,-9.768,0.0365,0.119,0.0,0.149,0.337,132.428,3o9QS7tLm7YskEG7NWbpcz,145440
0.675,0.525,-8.879,0.0292,0.0472,0.0,0.11,0.782,139.936,2lWExLBiCX9ZDYjCWZkYPN,272267
0.635,0.836,-6.217,0.0517,0.00826,5.72e-06,0.0624,0.336,118.187,2tBah0hzCdsafd4fNkjRaM,247600
0.581,0.677,-7.428,0.0422,0.772,0.00468,0.129,0.91,105.468,3pSTUZbp7J5jg2JHChTf21,232200
0.542,0.688,-5.882,0.0322,0.11,0.0,0.168,0.214,132.993,1EQ0RjamZKJhSUZmV8uBVs,250373
0.675,0.958,-4.208,0.0611,0.17,0.0,0.965,0.813,128.001,0zZnBbRW4Dt4cJKVtUQFwF,201840
0.79,0.59,-5.969,0.0484,0.746,1.79e-06,0.0939,0.908,169.984,1aUUrBmdIYN7FvIzHdpisn,165107
0.64,0.718,-4.592,0.0275,0.00214,0.000305,0.115,0.92,130.119,6zBw2Qqqj2daIoST9XIJC4,252840
0.788,0.916,-5.152,0.121,0.714,0.0,0.0867,0.828,104.013,6TVmNRrCRzU3NlyuubLIzZ,248080
0.573,0.587,-9.604,0.03,0.079,0.253,0.207,0.678,147.529,5Z29IzMEP5TY8HsXWwPYWX,258093
0.33,0.775,-6.997,0.0471,0.594,0.234,0.946,0.602,165.954,3Pssl5CAjQVYMJDlPphGUb,263733
0.644,0.681,-14.344,0.04,0.163,0.0227,0.0917,0.738,126.703,3rQVvTNanFV2W575gmiAQw,200880
0.773,0.697,-5.511,0.0715,0.0364,0.00154,0.0326,0.764,90.123,6USdH2GyvlsgbaSF4NbAdX,276187
0.699,0.334,-11.026,0.0529,0.418,0.0,0.388,0.577,111.101,0FR7t6fkJF5f80C2RtN4Ap,161280
0.741,0.52,-7.742,0.0335,0.662,0.0,0.0955,0.44,115.89,1XKhDkF8bX5IxMO4QTirvl,242267
