danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms
0.549,0.941,-9.13,0.0641,0.0635,0.696,0.151,0.165,129.034,6QuJqYaFAjcZ5Q3mnC8UKT,339067
0.661,0.931,-4.478,0.0826,0.00113,0.924,0.127,0.215,118.95,2RJfpbxx5PTVzdMBw3yp4b,245464
0.716,0.861,-8.631,0.072,0.0379,0.00322,0.149,0.745,101.731,4COihQpsyRIzL1tMaUARvh,320053
0.605,0.945,-4.516,0.0939,0.000518,0.508,0.544,0.475,134.004,0ENoPmCzl5FJ0oGgMN167o,249493
0.544,0.766,-6.991,0.0504,0.0126,0.722,0.12,0.0399,164.987,6boimJ59xTe6pzHnw4wlgt,314777
0.574,0.939,-2.464,0.0437,0.0366,0.0,0.305,0.553,139.958,3GUWE1v3DRka0dygt6dE1d,223329
0.601,0.988,-4.542,0.183,0.209,0.921,0.267,0.264,155.013,0kvwEKFefwc26vROd0GGkQ,394000
0.708,0.991,-3.975,0.0797,1.24e-05,0.796,0.0594,0.591,134.059,4nTH1o7wgHdj6xAToN4Jfx,239907
0.58,0.582,-11.364,0.0333,0.675,0.812,0.088,0.801,80.169,08piIGGhJm74QWy4qsQf8o,430000
0.472,0.924,-8.6,0.0638,0.000283,0.824,0.088,0.304,174.052,1VtiSP6FkxvYP812nbnERs,361209
0.771,0.82,-5.868,0.0398,0.00309,0.0297,0.824,0.231,103.99,2tM6Y63r4PZoMlWEyKPVEf,280313
0.755,0.892,-5.936,0.0757,0.00586,4.15e-05,0.24,0.921,135.028,6GrtkCDBBL5uFY5Kl7Gijh,354487
0.296,0.463,-11.412,0.0449,0.705,0.0482,0.0954,0.0629,123.943,2kRFrWaLWiKq48YYVdGcm8,251427
0.766,0.516,-15.272,0.136,0.0819,0.677,0.0462,0.234,98.869,0u84hZFHLRZc9TgdDIOXLU,176533
0.545,0.935,-2.553,0.0604,0.000353,0.292,0.385,0.0668,127.992,2KAhdNWGSxKI4rBA4Sw3sy,211875
0.765,0.674,-4.165,0.086,0.0279,0.0136,0.0951,0.354,104.008,6wW4ES7Gx0zEKdbgcTL1hO,268800
0.582,0.538,-9.431,0.332,0.0721,0.0598,0.102,0.257,115.977,3KNQFdsXrTvG9CF3BioxIa,367244
0.728,0.966,-5.153,0.0466,0.00133,0.814,0.0627,0.81,135.996,0WTFF6a4xyYlwzWJVNWng6,218823
0.6,0.913,-7.098,0.0584,4.5e-05,0.818,0.0604,0.255,130.029,5SccOHdtlME4HD6M0ki3TE,313493
0.613,0.574,-10.298,0.0347,0.228,0.78,0.0745,0.914,128.965,7px61lxh8BRZYvUviDNtYA,360400
0.482,0.862,-8.255,0.0713,0.00023,0.649,0.202,0.476,118.915,0Q5Q9FI7Y5BGaLpsbCZZoW,184573
0.753,0.749,-13.935,0.0506,0.185,0.444,0.0702,0.766,103.801,6KWkxLqiIja88Snzz3a9w3,235333
0.648,0.962,-3.449,0.0329,0.00204,0.149,0.235,0.875,130.007,6TrsUeqTOaRsKh3fIlpE1t,179800
0.59,0.438,-12.594,0.0508,0.292,0.00216,0.103,0.727,83.506,397fxHew7NyjryGWGr1Imy,250867
0.256,0.713,-5.927,0.0618,0.0957,8.99e-05,0.103,0.105,84.6,26klfGf1vimVHvnnUgzxig,230867
0.784,0.971,-7.549,0.0576,0.000386,0.768,0.0925,0.668,134.976,4KUmZGjQwLgNAbydF2T7jb,335947
0.423,0.602,-12.352,0.115,0.48,0.006,0.107,0.503,110.399,72RLba4dZZmjCUtxjj8mFP,278825
0.811,0.823,-5.921,0.0423,0.0553,4.52e-06,0.158,0.827,106.929,7L93GESzq43UkKUt5FsOCq,218547
0.276,0.81,-8.273,0.0414,0.192,0.885,0.122,0.0806,170.096,7bf7sy3eFLVkzDHQyjfaqS,395256
0.402,0.948,-5.052,0.0395,0.000391,0.423,0.25,0.6,175.067,7APUbQmoVV9Id3EFE4zUoG,293406
0.722,0.887,-7.812,0.0599,3.76e-05,0.664,0.0852,0.454,136.815,6hnidXjF3C1wvsswCqgnLg,341253
0.658,0.743,-6.059,0.115,0.136,0.866,0.085,0.567,168.166,41fWVJ6noL984pMb7Oj4xL,219360
0.841,0.975,-7.377,0.0795,0.0445,0.739,0.314,0.765,123.883,3IBDXz8f3k78Tb46ipwQau,353400
0.675,0.977,-6.354,0.0692,0.0396,0.88,0.297,0.81,120.871,3vVlScRCPisn6VPs40VdL2,290333
0.649,0.971,-8.52,0.0301,0.00685,0.862,0.115,0.927,114.971,4FBW86C48fBeeeCjy18iPq,195691
0.729,0.634,-6.58,0.0372,0.00029,0.00602,0.0792,0.324,135.015,7dLemiDFrozh4GIrRcYkQv,315960
0.727,0.831,-5.553,0.0371,0.0535,0.132,0.0566,0.693,101.789,1dPZC3LbZjsYZmVPSnuwKp,375547
0.552,0.937,-8.716,0.0372,0.000334,0.888,0.185,0.516,136.018,23v60eC0jYd0yyQKWOYt6R,307027
0.619,0.554,-7.339,0.102,0.0293,0.0662,0.226,0.608,203.915,2xsanlfROKsGOz92oJzj77,334118
0.617,0.795,-3.407,0.0266,0.027,0.00219,0.158,0.346,109.963,1UNYYZ4eFp3ej8Yt4htphl,306000
0.599,0.952,-9.682,0.112,0.000372,0.0717,0.188,0.456,150.041,6N5PozXKOFIZMdDmlKcmAL,315067
0.558,0.982,-3.125,0.063,0.0227,0.522,0.117,0.69,109.369,1FNvrp5K02oThumS6gllzp,313667
0.599,0.989,-3.417,0.0739,0.28,0.042,0.344,0.578,150.007,47Wv7knmg7C9ISkSuTcxo3,212333
0.377,0.65,-10.277,0.0284,0.0115,0.82,0.346,0.0988,101.585,0vSVDF2fHaxL2L9eEmRdAK,447427
0.473,0.867,-8.824,0.159,0.00866,0.691,0.0571,0.153,94.09,5LRxSyiIRHQD26h1mdM0Ir,300267
0.514,0.961,-6.598,0.0587,2e-05,0.809,0.38,0.393,135.966,6ErhuqREkGXkw8Ai3htXEG,444720
0.498,0.981,-8.238,0.0551,0.00184,0.856,0.0597,0.506,144.995,3Roj2iFJVuwXadetIvCx4s,436107
0.713,0.923,-6.142,0.0662,0.00375,0.239,0.0565,0.81,117.008,4XpPVB7NlEaAND6LejiitK,249500
0.611,0.976,-6.386,0.0403,7.96e-05,0.693,0.0914,0.697,139.187,3VLyBkus3ZiHqNQkNSlodq,390507
