danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms
0.526,0.895,-5.407,0.0543,0.0603,1.3e-06,0.582,0.655,101.016,3PbsDnKdrZY0ttX7VE9s5R,277467
0.522,0.85,-4.769,0.0361,0.132,0.0338,0.295,0.71,124.216,15049rGLXHwrWtE4euUb5C,346280
0.78,0.853,-7.052,0.0275,0.116,0.0,0.342,0.883,102.005,5jMhCeCGrKcFzW1W4wefSx,196720
0.435,0.88,-8.451,0.0448,0.00265,0.0014,0.436,0.593,91.116,6JvEXmRh3l2acBzvqavgT9,347093
0.684,0.467,-7.829,0.239,0.56,0.0,0.0942,0.445,80.019,3PEx44by2Pe7E6M8tgqE5N,271240
0.659,0.465,-9.53,0.0572,0.746,0.00458,0.0963,0.889,148.894,1GJCJpKYfzRUsYnSRy4Mfz,167480
0.589,0.628,-5.327,0.0325,0.404,0.0,0.114,0.244,122.914,4aZYLE3I2H5wytYIW3Yuyb,211227
0.457,0.645,-5.506,0.047,0.0048,5.45e-06,0.0955,0.731,118.712,3VdnNoVMi1mD1jSAl7T3sH,204853
0.525,0.943,-4.876,0.0425,0.0382,0.000945,0.371,0.513,130.678,0gQpRWjX9WX8t2KeRfYVR1,131960
0.541,0.571,-8.308,0.16,0.0123,1.55e-06,0.0933,0.73,77.335,2wnsBaxrmkthIFAm6vqCuX,289587
0.625,0.726,-11.402,0.0444,0.0158,0.000169,0.0625,0.507,124.945,4ByEFOBuLXpCqvO1kw8Wdm,280400
0.463,0.836,-2.776,0.0381,0.000418,7.38e-06,0.25,0.713,141.955,6BqWhxll86CGGE6WxgdRqG,165120
0.304,0.502,-6.707,0.035,0.313,0.0011,0.138,0.204,136.779,39qRdHcl2tizWbzlM9kUlN,298520
0.502,0.417,-7.665,0.0718,0.127,0.00419,0.106,0.218,180.301,0c4IEciLCDdXEhhKxj4ThA,281040
0.445,0.973,-5.302,0.0672,0.000145,0.00535,0.417,0.685,141.311,2C21E1ZLuv69TmyMfdymiX,196280
0.591,0.962,-4.024,0.229,0.000319,1.48e-06,0.175,0.289,122.392,0fJAwqDzQiMEAcM3tymJJh,186267
