danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms
0.687,0.864,-6.432,0.114,0.0024,2.69e-05,0.705,0.753,122.348,5fdTwK3LSGRIoboPYv5xQ1,337373
0.692,0.628,-11.246,0.0325,0.0314,1.37e-06,0.0672,0.788,113.036,0C5xMKjDQtQVDx5SLfLtKe,398350
0.585,0.731,-10.687,0.0599,0.00873,0.616,0.213,0.415,113.891,5bwN5zKdKFq7oSNTO4zLjg,472267
0.856,0.957,-10.266,0.124,0.0148,0.93,0.0977,0.0448,125.076,7qN40vziLbB7jCEgMqtVTT,295086
0.901,0.797,-7.517,0.245,0.00225,0.368,0.926,0.454,116.027,0Pvr1VMzSzinWFkSvmiO97,344176
0.718,0.93,-4.532,0.038,0.0026,0.0176,0.0363,0.697,128.736,796T2ROxTNibXRjVhjSzCa,331706
0.923,0.574,-11.318,0.0829,0.000565,0.858,0.0821,0.869,119.852,4NkyCBo1ny6ahIPhk7looD,315120
0.798,0.676,-9.923,0.0527,1.69e-05,0.903,0.0958,0.183,125.794,4I8URd3VLWHCSmN7CNPuiE,347069
0.679,0.885,-9.371,0.033,0.0279,0.194,0.0831,0.703,124.991,5czNuIU6g7l5jpefJRcPR4,243827
0.782,0.601,-11.234,0.0526,0.00356,0.00561,0.0466,0.842,118.077,1uoFwurhS62GOfTz2AbjYJ,418800
0.643,0.724,-9.288,0.0324,0.00819,0.0,0.0956,0.465,128.046,6jFqnSo6ZoXm2HFSd2Jh5E,312213
0.708,0.604,-13.591,0.0437,4.18e-05,0.639,0.0489,0.632,119.9,6p8i9A3hkXzgk5DMcJyEWg,454960
0.818,0.299,-15.364,0.0662,0.00209,0.27,0.614,0.852,115.4,0MdfYNoEl5WE4y8ZeEUZhc,276867
0.806,0.914,-8.58,0.0504,0.00473,0.916,0.055,0.794,117.121,03raFMJnn6nfcLiEr2bD5G,268040
0.801,0.855,-6.613,0.11,0.043,0.00782,0.0768,0.159,116.967,615MwwslOSkBtkBbnhtD7b,414359
0.794,0.644,-13.821,0.0702,0.0625,0.0763,0.0883,0.931,119.802,3jGitVFlA8BMgzcIRyWGgB,313773
0.872,0.857,-7.027,0.0632,4.08e-05,0.801,0.0759,0.511,134.03,35MD7T3AiEI6c3v4UDIALh,273931
0.725,0.601,-9.515,0.0345,0.00193,0.262,0.772,0.122,115.092,4Yw6kVIb8NJIgLdPZKWxs1,396693
0.705,0.878,-10.583,0.055,0.0284,2.37e-06,0.116,0.508,113.012,0L5GSRUPoPJXCG0VQJDr5h,230867
0.74,0.423,-14.183,0.05,0.0433,0.000138,0.287,0.597,113.068,2PlwFmXduNSQHabL2zyNOv,342994
0.646,0.836,-11.476,0.0475,0.0218,0.8,0.245,0.862,115.487,4KafNVRTXQWKjqWaWBRp4d,280000
0.707,0.723,-4.904,0.0473,0.00491,0.15,0.336,0.551,126.994,38odasFm1Thi8KxLSWNERN,392975
0.969,0.664,-8.638,0.327,0.0114,0.351,0.0778,0.736,127.097,5yKrEZp45eOSH30SN6igG8,223920
0.704,0.948,-3.905,0.0547,0.00597,0.329,0.337,0.391,114.965,0r7ljrJnxKAPhXAgF54VFg,207240
0.659,0.754,-9.082,0.0396,0.028,0.00898,0.289,0.887,105.409,3t14IyH0Pwz1E7oMJZD1u5,261227
0.734,0.988,-7.767,0.0783,0.00153,0.821,0.275,0.354,129.943,1r6BGGqmRCqRkWtrs5xMqa,272093
0.687,0.505,-12.141,0.0494,0.0959,0.9,0.0888,0.677,114.775,4b5QHhUld8ba26ZJEHawFW,340813
0.811,0.732,-10.768,0.0623,7.31e-05,0.905,0.129,0.49,122.019,3tptHoLDWqjbP8JWbd7UCP,337665
0.557,0.459,-17.177,0.0971,0.0342,0.000241,0.0561,0.869,119.43,4IRsTpmkJmTUkIRWTHxiYU,267491
0.838,0.882,-9.864,0.0439,0.0207,0.0202,0.0696,0.966,123.34,2cc9dDXi6lttTv15T25Zhy,190853
0.523,0.706,-9.837,0.0465,0.000796,0.313,0.112,0.345,119.693,2CH4mc6qWAI3ejAdqpON9B,490680
0.865,0.275,-16.53,0.0813,0.207,0.895,0.236,0.19,119.978,6s6Ua5kCvxGFyzvtJFYTgP,500000
0.658,0.529,-14.167,0.0426,0.0267,0.000108,0.0575,0.719,120.654,5HZRJavHNb3QSlSq1O6TwQ,491000
0.776,0.743,-14.039,0.0502,0.000202,0.275,0.107,0.849,120.888,5OlmXlRKgAMmifHyCJQq8t,451800
0.775,0.737,-16.082,0.0636,0.0147,0.0236,0.0967,0.855,118.733,7e2kKEOXRsHJzb2X1uGJwQ,305333
0.657,0.753,-8.623,0.042,0.000567,0.84,0.0781,0.526,124.932,1xzKCHYTn9IEwUmqxlVCZz,413465
0.715,0.572,-10.331,0.0586,0.00522,0.102,0.085,0.67,118.343,524wRHQekJJvQWtAIy115v,313507
0.724,0.774,-10.535,0.0433,0.159,0.855,0.0963,0.428,119.997,6ySuBJyv5dKcPiTDEzx6Ag,336824
0.805,0.855,-10.644,0.0834,0.00396,0.717,0.33,0.316,122.998,6nLptxdzy2Mt3DI3y2RgP5,457300
0.707,0.747,-12.345,0.0379,0.0126,0.18,0.0722,0.849,127.89,5E5TuerJ7a9hYU9u4aWgeL,409107
0.748,0.577,-10.68,0.0374,0.00193,0.0638,0.0739,0.797,125.155,3xnY70OYhO8SQJnFJHoLyz,287856
0.919,0.768,-7.187,0.168,0.00283,0.000539,0.32,0.641,142.223,2mCB8jbvHjfLN4pARhRfPw,263756
0.798,0.589,-14.987,0.0607,0.0594,0.938,0.11,0.038,125.014,6FUYdRxGA1Dawu0aUc6nKM,426657
0.84,0.769,-10.115,0.0577,0.00116,0.828,0.625,0.566,124.987,6t4U5cySJykdrN12CROvhD,394280
0.751,0.913,-7.525,0.206,0.0972,1.15e-06,0.278,0.593,127.932,4AnRuRe6SPui2J59A9YaAA,290787
0.749,0.938,-7.792,0.0398,0.00135,0.657,0.112,0.735,128.428,1vBu0aTKBIbTo7TnMeW0Yo,256493
0.702,0.828,-7.609,0.0485,9.35e-05,0.784,0.407,0.45,122.757,6nDk4QT1fDe0S86PxijTUE,374667
0.745,0.983,-7.41,0.0704,0.000196,0.859,0.0659,0.433,123.248,76DbxdOB7b4EGm9x2yaT7I,413640
0.752,0.966,-6.497,0.0601,0.14,0.000253,0.0802,0.33,126.922,5iXMhk3VQEhKmsWEBoRk19,397600
0.806,0.826,-12.77,0.0789,0.000764,0.867,0.119,0.427,125.327,7nQaBI1NTv5kpPyeMruTTK,295911
0.912,0.42,-14.798,0.0507,0.117,0.000717,0.0424,0.9,108.53,3HOgUlwPDsh0kEFnbr5EL5,319227
0.592,0.785,-10.648,0.0391,2.35e-05,0.879,0.357,0.451,117.748,1GfYT8SJcyx3wOPUfX9gpH,295335
0.686,0.796,-11.752,0.041,0.000193,0.547,0.243,0.762,126.229,24PPkraxJYtBW38OMIWnKB,380592
0.673,0.859,-10.741,0.0607,0.00157,0.875,0.134,0.851,127.989,40MMVb0AoqqmrCYeF8Ku98,499788
0.718,0.983,-8.202,0.0438,0.114,0.557,0.0706,0.506,127.164,0Dj2WOoBOmggclIMwl8nOk,296142
0.727,0.793,-7.815,0.0337,0.00372,3.1e-05,0.171,0.592,123.951,5166TIX56zNHE0tbLkCuEY,486293
0.74,0.323,-19.876,0.0637,0.174,0.938,0.111,0.517,102.003,4l24Obg5uUp5shxT763BEP,317640
0.782,0.463,-13.078,0.0469,0.012,0.000119,0.302,0.826,122.091,3a4nWJzJr2TDQVG2SfNYUc,337545
0.665,0.745,-10.397,0.0411,0.000379,0.945,0.0555,0.861,123.924,45XOa7QJGnCic5PoVJlwwG,390987
0.538,0.512,-8.795,0.0335,0.973,0.893,0.116,0.73,104.726,3Dpkai6nAJyxc5cuPwr2HF,168573
