danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms
0.843,0.757,-5.633,0.038,0.208,8.28e-05,0.0828,0.946,129.934,5NK982GwMI332zcnpeqX5t,238479
0.664,0.712,-4.847,0.0343,0.393,0.000519,0.0789,0.221,111.976,3DDxYAT7Nuj0tfkHICWYi3,243240
0.743,0.962,-3.205,0.0628,0.00431,0.645,0.351,0.646,127.995,5PZI5xTcMq8FsCcEroth7S,270000
0.794,0.811,-8.966,0.038,0.0426,1.07e-06,0.101,0.862,116.047,2Foc5Q5nqNiosCNqttzHof,248413
0.414,0.857,-4.078,0.0808,0.0287,0.00574,0.343,0.348,128.024,07nH4ifBxUB4lZcsf44Brn,212960
0.522,0.868,-5.307,0.0412,0.0446,1.3e-06,0.635,0.514,173.96,2OXK1ShksXD51tOLsE0E7s,228827
0.798,0.927,-2.271,0.088,0.000222,0.445,0.0409,0.397,127.964,69KiuZUQKQSFUXzAAwr7RC,300234
0.484,0.941,-4.339,0.0625,4.53e-05,0.00298,0.64,0.319,143.948,2LCCxYQ5dw1dz3Pu6APEUH,257360
0.578,0.857,-3.78,0.041,0.00548,0.00162,0.0948,0.188,126.979,1PAYgOjp1c9rrZ2kVQg2vN,195467
0.6,0.878,-6.074,0.217,0.0154,0.0,0.0938,0.441,128.205,6jkJ39CLAbUdENyDTzovny,210258
0.823,0.506,-5.516,0.0966,0.0986,0.000503,0.577,0.512,126.052,77sVUchtzjpetfDZC9L59d,230467
0.717,0.46,-11.326,0.0372,0.0287,0.785,0.0661,0.0961,110.993,1fmoCZ6mtMiqA5GHWPcZz9,367307
0.716,0.972,-2.302,0.196,0.0145,3.22e-05,0.317,0.576,110.026,6VRhkROS2SZHGlp0pxndbJ,215253
0.664,0.935,-4.322,0.039,0.545,0.855,0.176,0.131,104.004,6GvXJZ8EQuUWzthpPFLr6f,221787
0.509,0.781,-3.48,0.072,0.0398,0.0,0.0749,0.176,128.0,5JEyMbmqdPeD7FlyLv3fGp,271427
0.524,0.601,-13.399,0.0335,0.00108,0.601,0.398,0.314,139.972,5WSL7UTa38jMWoBzObD4BD,305786
0.637,0.985,-3.809,0.184,0.00988,0.00857,0.0649,0.374,145.111,02FuO3zDHGFAz0yP7HHGvy,307862
0.701,0.637,-9.061,0.166,0.223,0.00219,0.279,0.647,109.959,1GC1MIaRMW3kfVK9VyD5Ii,210933
