danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms
0.586,0.631,-8.676,0.905,0.87,0.0,0.298,0.583,82.155,75TZt74YXA1KOqgGAr4cSs,333264.0
0.617,0.422,-14.989,0.921,0.832,0.0,0.901,0.605,118.366,6G1rjrxzPXBy9xHNksAX5b,125893.0
0.533,0.712,-9.05,0.786,0.904,0.0,0.814,0.74,130.668,1aPEqGltKWCgZgWI3fUALr,264980.0
0.681,0.929,-3.432,0.884,0.635,0.0,0.729,0.467,127.073,5dkCnlG1a0xv1Jbq0hzUxu,104773.0
0.517,0.867,-5.225,0.923,0.833,0.0,0.844,0.45,75.644,0vUDEkVVsspAWZHMBzRFyx,374773.0
0.501,0.801,-15.434,0.944,0.862,7.82e-06,0.826,0.25,129.026,5lRLsXHCazHNwfRZqTpK9D,175427.0
0.553,0.849,-8.618,0.916,0.821,0.0,0.729,0.407,94.64,6PA7xvPHTcbappxRhHC6E8,159107.0
0.631,0.879,-6.846,0.746,0.785,0.0,0.699,0.51,89.537,2LeKFROk4McqRXRMy7YR96,124907.0
0.607,0.398,-18.292,0.946,0.904,0.0,0.722,0.626,77.025,64dcOKc0z7PVeH1jDtCGz5,119000.0
0.591,0.888,-5.557,0.905,0.842,0.0,0.849,0.271,104.803,1mQPQnuvPTw6wm90qqbCb8,394800.0
0.469,0.682,-17.088,0.925,0.821,0.0,0.807,0.285,78.405,4nvgOOsVAilfa3xgku5fSE,220267.0
0.531,0.96,-5.771,0.907,0.822,0.0,0.691,0.196,108.908,3b3zi04hAuYUltDcUMbBjg,502315.0
0.618,0.931,-10.329,0.929,0.771,0.0,0.716,0.159,47.358,6eZjwaaQU4Q0ZPOVkxVDgA,138893.0
0.517,0.834,-6.735,0.924,0.875,0.0,0.523,0.603,137.886,6IUMmXy8zMpEdAMarNWduf,391853.0
,,,,,,,,,,
0.554,0.947,-4.761,0.876,0.841,0.0,0.694,0.532,78.659,7nV2N9hel6ssSYUu4mqVZU,192947.0
0.554,0.716,-11.712,0.919,0.91,8.04e-05,0.71,0.44,125.437,3zmTgJBqPO4uSMTlNL39sg,62840.0
0.694,0.849,-5.158,0.934,0.892,0.0,0.721,0.369,106.434,1Zp0GYjktawsnoHLwXRNlK,167688.0
0.449,0.982,-7.155,0.903,0.855,5.33e-06,0.781,0.0355,133.888,1djl3PSBIt7BMb0HyhlHW2,222493.0
0.51,0.934,-5.76,0.94,0.84,0.0,0.791,0.258,87.2,5TW3aLomrdwguBdzCzQXj5,489622.0
0.473,0.981,-5.588,0.948,0.811,0.0,0.948,0.2,80.555,5JCfwEEPcIRcmtPoRqmtlj,356173.0
0.687,0.473,-11.586,0.944,0.861,2.28e-06,0.552,0.62,102.41,23VLYIq2No1Poo1Wv6Vn0f,130273.0
0.667,0.664,-9.375,0.915,0.883,0.0,0.487,0.576,93.726,15f8kZ2nCt2YmzY5byKN4Q,164890.0
0.642,0.944,-4.533,0.892,0.763,0.0,0.956,0.391,132.627,4JaUEaiwj4IQgBwabo5fa1,220987.0
0.566,0.682,-9.358,0.936,0.791,0.0,0.83,0.728,87.682,7zw0B7XKV89FFegTHDTj73,139360.0
0.505,0.952,-3.904,0.913,0.762,0.0,0.616,0.132,59.126,0vN49m0IEejMyOBuP8nFpR,166720.0
0.422,0.882,-9.251,0.952,0.73,0.0,0.875,0.112,76.778,5TLle3OIcwQ3LSclj7IWL4,140573.0
0.637,0.598,-7.403,0.947,0.887,0.0,0.762,0.758,86.852,3koUoTRWIfTgTSlklTHAM9,81861.0
0.41,0.947,-8.414,0.943,0.906,3.45e-05,0.509,0.322,95.738,7uMi3BI3P1zdxZQYsJljSz,331520.0
0.553,0.956,-4.169,0.915,0.741,0.0,0.682,0.282,95.153,5iXi4PzCa05TYHV7nFyksB,238133.0
0.472,0.96,-5.772,0.943,0.783,0.0,0.686,0.222,64.11,2lGlPM3kiHcZlreJKsaVz8,334680.0
0.533,0.33,-24.23,0.949,0.91,0.0,0.767,0.281,165.805,1Wgl2nMYo4J7glwp8c4KIC,358121.0
0.486,0.973,-5.007,0.928,0.769,0.0,0.915,0.204,79.168,4dtFreaLUqlmNR0eklkzW3,426560.0
0.601,0.619,-11.288,0.945,0.898,0.0,0.845,0.41,139.966,3jK0R1je00fp52SiKxEOKK,235347.0
0.469,0.957,-6.159,0.942,0.788,0.0,0.837,0.173,78.169,0XcW5Xqlvd6V3rFX7VJ56X,387107.0
0.463,0.943,-12.202,0.926,0.909,1.16e-05,0.863,0.102,122.576,65UbJhmHc4BauIjQ6BYkTq,148520.0
0.54,0.918,-5.461,0.929,0.908,0.0,0.729,0.332,85.629,6fPOpfpBId8FCDkxVinlOK,402520.0
0.715,0.346,-14.327,0.955,0.811,0.0,0.57,0.503,121.235,66PGomS5HluDYxELom3uex,134555.0
0.595,0.956,-3.826,0.801,0.858,0.0,0.885,0.317,108.902,10nMowiaJmF4pFqnc4hdzD,136165.0
0.574,0.742,-7.898,0.893,0.87,0.0,0.763,0.668,79.458,5qmZgO7GX9DeUyFtV1RoGj,216827.0
0.495,0.896,-6.553,0.952,0.853,0.0,0.857,0.291,73.625,0QBvsqEx0n3gTOGElzuMMZ,633432.0
0.537,0.7,-13.201,0.929,0.8,0.0,0.674,0.553,53.602,09Ty0eiiyR4XLwhRw3KXUW,301480.0
0.475,0.665,-13.136,0.949,0.88,0.0,0.736,0.367,63.892,6jsxdPGKj6oO7FOpYxoCDE,468767.0
0.448,0.842,-5.91,0.946,0.76,0.0,0.963,0.474,84.261,7ssCsbmlIunQuZq7vgcSjc,466354.0
0.401,0.995,-9.029,0.888,0.89,0.0,0.752,0.0302,128.235,1V3yaYgH6iLemPHmCQCDJ8,245840.0
0.6,0.919,-6.005,0.95,0.812,0.0,0.957,0.32,85.992,1Y4j9cL46cKFrH6VmZ7Suo,328594.0
0.554,0.977,-3.727,0.805,0.776,0.0,0.936,0.291,106.152,28iHxVuOfbWXVwsYAXjT8w,230928.0
0.481,0.71,-12.704,0.961,0.736,0.0,0.795,0.387,71.556,68yqMUerg1LDrCziEmWO3n,115973.0
0.496,0.974,-5.728,0.919,0.801,0.0,0.693,0.12,127.269,5RFQBtwFaDsxAKtc5TJFqg,282778.0
0.531,0.768,-9.611,0.957,0.781,0.0,0.897,0.801,66.535,5TbqUhUPAq5OTqbEFdOVuw,72720.0
0.525,0.84,-7.923,0.934,0.893,0.0,0.704,0.437,67.625,0iHKObHEhLmivZZ2x6S7aT,251558.0
0.508,0.726,-6.385,0.863,0.814,0.0,0.907,0.626,100.196,00BHlK0bwwStKagHDwwkJU,249847.0
0.514,0.949,-6.368,0.881,0.717,4.47e-06,0.636,0.295,117.953,4GjX5oUNJk9fVQEbyBuP6r,186469.0
0.525,0.964,-7.32,0.869,0.768,0.0,0.829,0.165,110.421,1hXB2DkkB4TnAbZ2mIOhUI,234173.0
0.543,0.944,-5.911,0.926,0.813,0.0,0.909,0.349,84.644,51JPMi3hgdus01A8aVctdu,369227.0
0.609,0.534,-15.357,0.866,0.769,0.0,0.834,0.669,121.523,2HUB7JmfwLxwrZQgJhik1e,242320.0
0.476,0.8,-6.381,0.926,0.856,0.0,0.894,0.735,45.848,6aohI32UOzCC2CcRw1IvP6,226880.0
0.456,0.891,-12.286,0.942,0.866,0.0,0.679,0.285,80.305,1NJuOxZaWyodCpkWIrnets,138694.0
0.577,0.821,-6.587,0.939,0.847,0.0,0.825,0.454,128.347,0pmmdh0F8RsfeKe2EPIzL2,171854.0
0.483,0.615,-14.303,0.954,0.808,0.0,0.521,0.284,165.449,16rzJLeYsxVujfVIcZOn56,150624.0
0.495,0.949,-4.873,0.931,0.795,0.0,0.925,0.368,107.598,7CwdSYfINsHXegtKBExTKF,186703.0
0.515,0.925,-6.651,0.918,0.892,1.22e-05,0.883,0.253,86.762,7Krt486STzZRCsBzS9dFMy,253371.0
0.573,0.836,-11.429,0.904,0.838,7.44e-06,0.64,0.273,88.814,4VoC5aR4O2IyizaI5F4QDX,169627.0
