danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms
0.629,0.808,-4.125,0.0269,0.00898,9.06e-06,0.0751,0.773,110.001,3un2KQUaQ2brEpd8dK93wI,179293
0.546,0.859,-2.287,0.0397,0.00224,0.0,0.316,0.772,102.026,1704eYUGo5CATlMEM6iQVW,196389
0.613,0.839,-3.799,0.0352,0.000854,0.0,0.341,0.526,104.975,2d48mamATjby7wgPjdrSOQ,223627
0.514,0.659,-6.142,0.0309,0.0284,0.0,0.266,0.463,76.483,2wqXQjOmQ9KoBm9Ssgt4Fo,200040
0.536,0.722,-4.163,0.0284,0.312,0.0,0.117,0.499,143.78,4T5Z4mbTe7kuGqgLpaRtTh,203293
0.521,0.784,-4.487,0.0357,0.0772,0.0,0.0871,0.482,145.936,7BjHAdAqV8qeCgslEI460p,197801
0.64,0.317,-14.229,0.0307,0.605,5.14e-06,0.118,0.3,125.935,3bQt4ZM4WM4NDgulry4fTn,190653
0.474,0.857,-5.734,0.0435,0.113,0.0,0.134,0.545,170.006,0HZUp8fm9fh1Mitqx4CIOr,220200
0.495,0.527,-4.742,0.0351,0.000159,0.0163,0.1,0.574,208.067,0Nu9WA8kEbBWEsay2s8Q0U,220520
0.525,0.674,-6.053,0.0282,0.0405,0.0,0.339,0.431,147.978,6V3wTb4VVDWRw3YEDgc6Py,181680
0.62,0.697,-7.278,0.0498,0.0315,0.0,0.164,0.711,160.957,121ILFThNZH9Egncny7upu,169933
0.8,0.563,-10.209,0.0303,0.051,0.0,0.0797,0.961,121.808,2EoIt9vdgFRNW03u5IvFsQ,203373
0.7,0.864,-3.629,0.0283,0.0212,0.0,0.0956,0.887,102.997,5rX6C5QVvvZB7XckETNych,297587
0.723,0.704,-4.909,0.0484,0.225,0.0,0.0681,0.904,103.942,0CVHJRneWfL2y3EE2mMYKA,190667
0.41,0.9,-4.249,0.0656,0.0167,1.09e-05,0.339,0.558,176.962,215FCyLSBcXeX0NASXEjyn,284960
0.712,0.477,-17.702,0.0523,0.206,0.000308,0.111,0.901,90.375,7GIBwtwVahJvvpot8g4Z4V,232493
0.582,0.924,-5.457,0.0421,0.142,0.147,0.652,0.83,89.955,3g5IVCUGoWESgJ7mb2kXmM,209760
0.657,0.577,-8.586,0.0341,0.393,0.0291,0.105,0.434,135.558,7dUdMZqfGSIt0ZkmTOgRLA,191480
