danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms
0.818,0.799,-4.1,0.156,0.00107,0.128,0.057,0.0815,100.014,67awxiNHNyjMXhVgsHuIrs,213733
0.498,0.915,-7.019,0.219,0.0773,0.851,0.2,0.66,123.985,17IvJQFH0gLEHisyCRClo2,241156
0.861,0.796,-4.13,0.0995,0.0139,0.448,0.104,0.835,120.007,3c79AfWNOTCGTKWlIRnqry,304125
0.523,0.945,-3.575,0.0342,0.000106,0.795,0.168,0.206,130.009,46OWk8DokIhXVhTr4i12iK,201750
0.694,0.952,-3.089,0.127,0.0288,0.00179,0.292,0.677,128.017,33qwSLSNG5ns2oTBEqRgYF,161066
0.744,0.76,-6.718,0.0417,0.000507,0.358,0.358,0.321,119.994,2t3xtvQMctGjNK1QI0PBVm,456086
0.656,0.692,-6.145,0.0563,0.00212,0.00305,0.128,0.693,128.016,4bBrKDo8rchikwZOtmXbIH,227560
0.719,0.914,-4.717,0.0847,0.0184,0.448,0.0699,0.424,128.001,5SnbD47BEDtVc5LR59b9rR,274687
0.698,0.652,-7.633,0.0506,0.00523,0.784,0.079,0.314,139.987,4okwlAceT9az3ZoPksA8WE,224571
0.606,0.829,-3.455,0.036,0.00172,5.43e-05,0.276,0.384,140.033,6wb61u8ayuanWSHZzle5od,210017
0.81,0.793,-9.404,0.0403,0.0378,1.77e-06,0.072,0.863,116.05,69kOkLUCkxIZYexIgSG8rq,369627
0.937,0.652,-6.709,0.04,0.0754,0.0461,0.105,0.661,115.028,3pFlX8RJORG2EX3v6GK8ya,254641
0.732,0.69,-4.992,0.134,0.291,0.0,0.116,0.758,143.072,4jTiyLlOJVJj3mCr7yfPQD,206307
0.672,0.858,-5.611,0.0822,0.019,6.89e-05,0.237,0.666,118.927,63iU0SZpjS4XVFghJrU7w2,183747
0.725,0.874,-3.715,0.0396,0.00262,0.000412,0.0958,0.748,127.985,1KtD0xaLAikgIt5tPbteZQ,247933
0.709,0.938,-0.493,0.235,0.0234,0.0,0.058,0.635,115.015,7KlUoc0lDCOUxnVJyG74gl,292307
0.835,0.542,-11.674,0.1,0.0521,0.859,0.105,0.372,121.988,4Rnfx020sYy3YoxvA3oMS2,194840
0.706,0.777,-4.591,0.0567,0.299,0.0,0.298,0.638,126.008,4ZH03VC3uJk7uKk7CwsBqH,203204
0.72,0.925,-4.165,0.0511,0.0276,0.000238,0.14,0.781,127.004,2ZAx6NDhX2yE5aL5ueEQgY,195105
0.836,0.665,-5.779,0.0745,0.308,0.000925,0.0714,0.677,120.997,4bAmAVdks2Y84VNVVLXFwN,180336
0.597,0.685,-6.371,0.0367,0.0245,0.000335,0.182,0.369,122.002,06Hdbxh6NCy6TIhjdXTchB,209208
0.643,0.948,-5.855,0.073,0.00971,0.121,0.1,0.0327,128.053,7lh8eGe5J3r5NPfippCgYG,282904
0.804,0.704,-3.3,0.31,0.0157,0.0,0.584,0.761,119.936,53p4aiM38QYJNm2g8ldSwO,198000
0.659,0.796,-7.29,0.0347,0.567,0.0506,0.141,0.486,100.975,2ErAwXXUgBGLXwm4IgZRQv,184760
0.771,0.963,-7.294,0.0363,0.000506,0.9,0.147,0.597,123.999,7w0W6W9dz5lVH3M3IWgwIT,393387
0.654,0.705,-9.911,0.309,0.0518,0.211,0.238,0.428,214.117,7BSOlKHmRyQU2I71dzn8pe,191533
