danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms
0.15,0.994,-3.812,0.174,1.94e-06,0.29,0.385,0.0328,104.775,7kpKyBxQdKFDE7UxpfXnA7,263813
0.253,0.851,-10.309,0.166,0.000505,0.896,0.304,0.036,155.528,29214h56mjy6Kout2TWt1C,257707
0.267,0.946,-2.965,0.122,2.53e-05,0.679,0.0497,0.296,120.086,33IUq42hgZjgdf2W6HB1DW,245053
0.259,0.994,-3.912,0.116,8.84e-05,0.371,0.112,0.11,114.217,61LjDjRh0qXpd5wn24Kw9l,204587
0.423,0.948,-6.357,0.0663,1.02e-06,0.963,0.207,0.283,115.991,54KPcltp4s5Z4dIWMPqzyv,212013
0.364,0.941,-12.663,0.0395,2.7e-06,0.0654,0.221,0.518,140.027,3Zto3plP6IXwbg4JcBgv2e,219347
0.53,0.734,-6.396,0.0351,0.00647,0.793,0.289,0.0655,140.049,35ifWVuh72ZdSUYm933FIO,198013
0.455,0.972,-3.352,0.0588,5.21e-06,0.552,0.214,0.475,125.118,3vZuFOkQQDKaau3PRoDzl6,179707
0.222,0.985,-4.381,0.151,3.89e-05,0.602,0.0761,0.0873,132.887,3zV2l6pLSYBqLBovVi544P,228187
0.318,0.976,-5.574,0.162,1.12e-05,0.751,0.32,0.255,101.419,0iUjByyDac7nRb6SXttmE2,334280
0.283,0.871,-10.235,0.139,3.72e-06,0.94,0.0913,0.54,141.273,1IDHO8KkIylw9Uv8Md38vO,325827
0.292,0.818,-6.227,0.0413,0.000697,0.00192,0.0544,0.19,93.924,0ppdt8zRZOHIKh4ZDB0Zp9,629480
0.288,0.988,-4.988,0.179,3.18e-05,0.793,0.187,0.0881,130.913,2F9CyN99jzv07WIS5oIA00,373053
0.229,0.847,-5.822,0.105,0.00024,0.912,0.0996,0.408,85.037,45cYnoCO7RqR5EiXt9ZGmh,268107
0.18,0.983,-3.625,0.19,2.1e-05,0.865,0.322,0.238,143.662,6HueFWy1jQydVSjPfy9UOW,273427
0.442,0.912,-7.434,0.0609,0.000818,9.87e-06,0.475,0.528,125.913,5FkbwSQfZtT6cbg0TubRy9,130160
0.396,0.95,-5.492,0.135,0.00166,0.0307,0.367,0.248,104.828,44riTsQTUG7vs8OdzZGd1E,249253
0.411,0.979,-3.78,0.0947,1.34e-05,0.000252,0.801,0.303,109.964,5TISOiwexSROBtd0zf0tAp,195400
0.465,0.994,-3.94,0.121,8.34e-06,0.000311,0.348,0.324,92.5,2qRd9uRath54PcJglk1xpf,217600
0.281,0.99,-4.764,0.0542,8.37e-06,0.677,0.153,0.776,153.705,5Nj6j8jW1hbPNhHk0IUZeG,188533
0.313,0.931,-9.715,0.0852,0.00273,0.582,0.366,0.171,150.067,4cBHEdVMxYJWsF6xi7uqDY,273640
0.212,0.873,-6.788,0.0594,2.3e-05,0.9,0.0538,0.43,170.022,6VqU0I8OvuB7jq4T4xEJez,302427
0.232,0.995,-3.691,0.09,1.93e-06,0.0309,0.731,0.0513,169.891,2f2EbaH1y8URzgVuLenw2u,282693
0.201,0.99,-4.211,0.166,0.000429,0.0215,0.0572,0.204,132.87,5E921PyjVTaTwxUMshcsjS,286960
0.475,0.953,-6.951,0.15,0.000291,0.00338,0.104,0.232,118.033,2OoS1aZFAFscH1cUiKlazH,199227
0.442,0.949,-8.588,0.0673,6.89e-05,0.103,0.862,0.0485,90.109,3NLUCyLS1HLrzkbsKg30lJ,436693
0.517,0.961,-5.314,0.143,0.00033,0.321,0.698,0.159,104.747,2gUrjc9fWHZytKm6FtBY7E,225027
0.242,0.998,-5.64,0.0894,8.12e-06,0.88,0.284,0.18,114.642,4E6wpXABj8XosZEPXZz2OK,442733
0.213,0.96,-6.087,0.0737,1.32e-06,0.894,0.0577,0.209,113.534,38cT57riDBa7nu5LgCS1j9,241227
0.248,0.981,-4.698,0.199,4.7e-06,0.0113,0.0816,0.393,98.515,3k8N2oaKtouzLzGXUBlfjz,286093
0.245,0.861,-8.728,0.0415,0.000256,0.871,0.216,0.483,91.056,2fSYadDsbWMtIVqX7flKIc,212840
0.418,0.995,-3.071,0.149,1.8e-06,0.0385,0.238,0.18,99.974,3SWAy7syR4bHtcWgSFtY0w,264733
0.327,0.951,-7.972,0.109,6.84e-05,0.942,0.197,0.548,112.039,2rLv93rmZnXPjA9oFOHqYC,182787
0.162,0.941,-4.228,0.108,1.37e-05,0.903,0.113,0.0989,199.77,6WQ8blJKlmoo8wV8ddWj2u,400600
0.199,0.956,-6.489,0.0649,4.71e-06,0.384,0.0909,0.505,182.361,6FYcbb0HMvxiFnbaTVEoAS,179067
0.42,0.929,-6.188,0.0862,1.82e-06,0.836,0.129,0.306,100.05,7zQrwWIAygTCIm9W6RgO9G,217733
0.187,0.934,-8.07,0.0752,3.14e-06,0.548,0.131,0.0456,97.31,2qp1yNkcpgos6D8Lde63SU,222667
