danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms
0.806,0.501,-8.915,0.0675,0.0338,0.805,0.104,0.514,122.999,5bHHbeW6RrBW83RXfOtZaD,345363
0.928,0.449,-10.425,0.0573,0.0862,0.497,0.0889,0.614,119.894,1kgHjcE0F72RDkaA8adtXG,285440
0.783,0.463,-9.814,0.0517,0.0265,0.329,0.365,0.472,120.997,0CguK2DB2StNvzTR8d0PAZ,380438
0.707,0.808,-9.887,0.0503,0.0357,0.0345,0.671,0.241,119.996,6ArM3VPUjFiL6vrRKri8vj,476050
0.81,0.537,-9.836,0.0456,0.0311,0.745,0.19,0.663,120.009,4C0PqltKur5SJW7uWI9eOl,488269
0.81,0.749,-9.99,0.045,0.0019,0.872,0.0416,0.903,121.008,6rbt0rrVYi3D0jf7123EMC,383499
0.801,0.544,-8.19,0.0599,0.00188,0.767,0.0702,0.37,123.004,0aCWVsDf6Dj3o1ZWPD6I9s,495909
0.765,0.396,-12.665,0.041,0.132,0.0451,0.0513,0.183,113.008,3Oehk5XOInrk2IAb9aEYTI,359166
0.795,0.757,-4.627,0.0933,0.00432,0.51,0.12,0.52,123.978,3p8R6y3gVP9mENLJTiUjm7,332053
0.722,0.619,-8.533,0.0397,0.000174,0.499,0.183,0.303,124.004,4bNyYgiyTtdcCMirzwFVIf,502002
0.869,0.592,-5.729,0.071,0.000661,0.907,0.0629,0.499,126.014,0d7co61tri68NDTTlHNRGa,306191
0.754,0.598,-8.859,0.0606,0.00483,0.915,0.266,0.22,120.997,53ibRjjP5fWlD4yPp1OmKm,541361
0.808,0.661,-10.737,0.0509,0.0115,0.784,0.0935,0.13,125.049,01Q0jciJpXgN8z3fUydNfg,463947
0.771,0.625,-7.767,0.0589,0.00135,0.013,0.116,0.607,122.01,64hamRVkEIUKyodygFHDJS,510000
0.799,0.464,-12.274,0.064,0.00286,0.596,0.246,0.68,122.004,0zglEwgxp2Ov6TrbyGrF5L,432000
0.775,0.57,-9.699,0.0449,0.0385,0.852,0.0965,0.632,122.021,3y0bbsTnRrx6fX2ViXrO3f,179016
0.674,0.88,-7.821,0.0412,0.000819,0.216,0.0146,0.817,122.014,0ZNpKufMIu4Njjr9DNv5bV,383438
0.803,0.791,-5.588,0.0416,0.0522,0.85,0.202,0.808,125.001,2xLMcYqsM5Rv5IfQs4XZcT,370678
0.887,0.742,-11.134,0.0763,0.000132,0.00657,0.115,0.665,120.028,1nr8qa31sWPHTPTEclASuP,412263
0.67,0.848,-5.103,0.0538,0.00172,0.00168,0.385,0.457,124.031,5zdkUzguZYAfBH9fnWn3Zl,174122
0.876,0.731,-5.823,0.0329,0.0174,0.101,0.107,0.7,119.009,2y2TNx72H4oE01TkztsAR6,276600
0.844,0.536,-8.112,0.039,0.00127,0.954,0.0672,0.589,120.003,0ax6bgwSxUFLz9d1lSrhCz,336002
0.822,0.523,-9.275,0.0494,0.000316,0.897,0.0659,0.476,125.0,5HDemTuGF4mIq9hAJMBd8s,491973
0.602,0.874,-7.458,0.0475,0.689,0.923,0.103,0.0611,127.007,1kDqntrhTIOeFyuQAJfTs0,428976
0.713,0.578,-8.13,0.0416,0.0245,0.706,0.0782,0.262,120.973,2us0RMthAhSWdRMGFEDITO,314840
0.937,0.45,-8.382,0.119,0.000251,0.64,0.0606,0.686,125.003,4LoMv34NhGHNovUXOwX8VS,420000
0.763,0.875,-5.797,0.0262,0.024,5.41e-06,0.599,0.8,123.013,5fnA9mkIfScSqHIpeDyvck,189413
0.405,0.588,-7.838,0.055,0.00205,0.354,0.0789,0.107,122.0,3FWFEECcUIBhJBjMWXmN3f,424211
0.558,0.722,-6.505,0.14,0.000553,0.854,0.138,0.178,124.992,5Ax2ZejD9RNTrzFFkXDc4o,457440
0.772,0.436,-10.488,0.0336,0.336,0.796,0.153,0.217,120.011,1nSgDfK6KfrsowM3zeA4DP,407752
0.763,0.531,-9.578,0.0574,0.0381,0.199,0.145,0.427,117.988,0y491f9bCIwJMKgRI1e0fC,459121
0.678,0.494,-9.539,0.245,0.185,0.0094,0.201,0.0763,130.026,4XBOr6AyDRmjBDQrUaHPsC,387692
0.809,0.643,-9.442,0.0636,0.00268,0.921,0.0959,0.679,119.994,3WIYWt7tAcO7gkO6NuGW4x,484600
0.751,0.812,-7.4,0.0707,0.00731,0.0298,0.11,0.224,123.998,2XnnUZJIWSvq5AsE2PpoSz,269947
0.632,0.861,-6.786,0.0391,0.0146,0.497,0.23,0.216,107.983,0PzIY2m1OSdOE2ube5E3xl,395613
0.877,0.286,-10.899,0.0656,0.0195,0.768,0.0821,0.282,120.014,3NCE0jw5jvsiU1hLsMwbGU,400251
0.766,0.683,-9.465,0.042,0.124,0.00544,0.0391,0.714,117.981,4puapDjkeFT04V1ptqbMQ0,221736
0.743,0.66,-8.383,0.0535,0.0228,0.751,0.0941,0.154,124.986,3YS9bTRaYtGyBw1AkvRQZ9,454307
0.814,0.622,-7.573,0.0492,0.000132,0.72,0.0658,0.726,119.976,61UQzeiIluhpzpMdY4ag3q,259934
0.78,0.516,-7.132,0.0391,0.0231,0.744,0.0936,0.542,123.999,3XljlEIDhDNh3521mJJV4V,393381
0.722,0.906,-3.025,0.0534,0.00326,0.826,0.108,0.191,121.996,6mKIMSbigaRSF7AE43oIsl,348000
0.767,0.704,-4.76,0.0946,0.0049,0.00816,0.0815,0.712,118.999,5g5z2QtEYBfrMxLbruQZ3w,344387
0.804,0.499,-10.337,0.0575,0.00527,0.437,0.0557,0.614,122.007,6ukk3EODVnVwP4Vci8B2jl,463958
0.797,0.58,-11.556,0.048,0.000104,0.558,0.128,0.15,122.002,4CRtZMnOFz7UV5ihdzxWyn,287613
0.8,0.471,-12.921,0.0758,0.125,0.828,0.114,0.625,124.018,3qFC391SKcFsAC4RltOizI,376360
0.789,0.664,-4.418,0.0565,0.00105,0.0068,0.0213,0.653,120.006,5ojuU7DIZFpNF4PsivReVO,278933
0.802,0.842,-7.834,0.0418,0.0268,0.534,0.067,0.687,119.977,7MzSHONmYnOcnc8FI2cggE,438086
0.808,0.635,-7.785,0.0509,0.00269,0.244,0.0761,0.938,120.013,5ZFYXDDyw4pK8v9OgnGAMX,420830
