danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms
0.386,0.0916,-15.45,0.0297,0.872,0.84,0.109,0.0639,82.98,4bDPAI0FJyimc8drS1zfLH,80667
0.343,0.0163,-23.172,0.055,0.986,0.644,0.109,0.157,174.77,4WOSnPruog3605oiLpZAqx,121440
0.684,0.675,-5.886,0.0387,0.0032,0.000465,0.0978,0.846,117.97,3RfNQMIeuL2QC9l4VxOMoj,201573
0.779,0.62,-8.574,0.207,0.293,0.0,0.102,0.572,142.251,79oesFYaS2VT39ShdA19u9,141347
0.485,0.667,-5.485,0.164,0.497,0.0,0.219,0.52,174.025,1OzSfjFW08DTD51XoNnog7,228960
0.699,0.288,-18.767,0.573,0.804,0.0,0.153,0.735,51.47,5iI1EQlyyo8FzkdT7XnTd7,87507
0.39,0.156,-17.948,0.0536,0.978,0.214,0.134,0.402,82.353,0tU4HhCdKQACMPiRQZ56Cd,39920
0.673,0.42,-7.581,0.0317,0.112,0.0,0.0897,0.385,108.066,03xWMkKEbeO4SnylA53ipj,152333
0.665,0.754,-6.437,0.0305,0.283,0.0,0.114,0.234,103.989,4LwrgltRSrddxeyhIPSoqa,196773
0.503,0.286,-24.037,0.469,0.798,2.23e-06,0.116,0.56,80.156,5zhBhWQcHsvycF83yvIAzC,57160
0.276,0.607,-8.089,0.0369,0.283,0.44,0.107,0.157,160.45,7em38Hh2sKwnZ1HDgxvg82,290093
0.584,0.696,-3.836,0.0694,0.000728,0.0,0.184,0.699,137.112,6sDP4912wjwB7BJhbSnjS1,153347
0.306,0.217,-15.431,0.0429,0.925,3.56e-06,0.198,0.262,92.398,2Sovh03ENcoG1RYGK2MPPo,150040
0.399,0.181,-17.657,0.0489,0.74,0.0,0.113,0.441,101.521,3BoaBZQsCU12IEEJeficPS,173960
0.489,0.412,-11.211,0.0856,0.346,0.0,0.576,0.332,95.112,1Jcagr67lmuduN59S0Q77w,174053
0.43,0.0377,-28.773,0.037,0.936,0.169,0.143,0.183,93.994,3LwmXEZGgMUdkCgHbz7tBr,85693
0.144,0.239,-20.38,0.0544,0.798,0.91,0.289,0.0505,142.711,2wQN8tMYOHStr6Q61jh0IK,257640
0.68,0.239,-18.524,0.0338,0.695,0.0134,0.115,0.308,101.343,38v2hDgHiRf1HFLnE0Czht,106533
0.813,0.393,-14.3,0.175,0.688,0.0,0.0658,0.891,121.531,1eM1TAhv39wg4LY7XmtqoL,100507
0.48,0.39,-14.253,0.149,0.743,1.75e-05,0.137,0.642,110.7,29bQPrp6BT0w3kaXTqIo8A,249040
0.213,0.0614,-28.46,0.0355,0.842,0.26,0.187,0.0332,109.138,2B6ZP9SEO2xKxEYwhWffxw,87067
0.391,0.704,-8.258,0.0401,0.0849,4.98e-06,0.11,0.389,158.258,400abutrj9yS5YBkd3fE6P,240467
0.346,0.242,-14.864,0.0316,0.918,0.885,0.32,0.0847,89.908,443aum8En9npuDhpGHObb2,154760
0.256,0.00484,-34.386,0.0427,0.924,0.0408,0.0634,0.0373,57.412,19blFYzqmPj7FtW7W4DFEl,133067
0.254,0.173,-20.266,0.0488,0.952,0.529,0.0435,0.13,97.934,7sKChFvViJZ6FzQZwCuPqZ,163547
0.346,0.0269,-20.336,0.0439,0.978,8.26e-06,0.096,0.202,85.786,50KvpA0IscNtVZqjWNUk44,53107
0.731,0.867,-5.881,0.032,0.0395,0.0,0.0861,0.776,104.019,3cfOd4CMv2snFaKAnMdnvK,200373
0.395,0.163,-14.161,0.0382,0.953,0.453,0.285,0.21,135.295,48gPoI8nZhClXQ0hGCpGf4,107093
0.52,0.667,-11.459,0.384,0.6,0.0,0.112,0.934,79.346,3A7C909LqLHKAtKHT0cKYN,123440
0.751,0.845,-4.444,0.134,0.102,0.0,0.0497,0.927,103.995,5Au8ObNQvrwFVEgGqQQL6D,189693
0.675,0.848,-4.006,0.0505,0.0417,0.0,0.0496,0.723,124.052,3T6DY7gUqGCcHG6HON54Ex,175733
0.388,0.171,-17.924,0.106,0.771,0.0,0.369,0.362,79.78,7yyTZAgwQUy1a5kDjQJJNN,291693
0.267,0.275,-13.824,0.0372,0.834,0.363,0.102,0.0563,132.091,7eVXczXQfPyaxCB1gfGFbL,208400
0.699,0.417,-15.677,0.0926,0.268,0.0,0.1,0.372,121.855,34nxgXFCPzDphUJGuRsn10,220213
0.517,0.228,-15.425,0.036,0.897,0.865,0.192,0.925,89.031,7doePutRa3Qo97RYjs8TE9,49960
0.66,0.358,-11.655,0.0318,0.673,2.89e-05,0.137,0.313,106.996,0tFlZBBAQFBwAHKpTOOv2Y,162213
0.696,0.39,-11.192,0.0272,0.598,0.0,0.106,0.274,111.706,3OCS075lQnGG3gOUI0bava,250333
0.153,0.303,-13.131,0.0341,0.962,0.033,0.337,0.132,177.883,5iGwlMMssBu3pmYVEgfOw1,171653
0.462,0.242,-19.3,0.0616,0.447,0.0,0.115,0.652,168.006,78EMhiyAcalWWtnpk20Eoo,183200
0.777,0.428,-14.023,0.0355,0.645,4.77e-05,0.0478,0.456,114.866,2ahrqdsWQEbDkZqE7nwbaT,187747
0.563,0.827,-5.962,0.229,0.00552,3.26e-06,0.16,0.868,189.979,0tZzlYq0kPKFfMkkq1oliq,185680
0.264,0.319,-9.511,0.0298,0.907,0.835,0.151,0.244,96.324,2ybG7j6iMJ6cbbDwqKyvc1,226587
0.578,0.205,-14.984,0.0367,0.788,0.0,0.191,0.539,68.146,0zNbaDx3xYJX0143nlrV2i,108773
0.541,0.503,-8.591,0.0305,0.237,0.636,0.133,0.692,133.104,3zfsGLGXkMacE653p8AtCP,177693
0.127,0.0807,-26.033,0.044,0.959,0.174,0.119,0.0398,63.239,0bbks4cXwDES54hzcq6Kbm,166320
0.628,0.679,-10.888,0.0452,0.00171,0.00103,0.134,0.895,92.295,32aOjaEqd5qEYGi4fq35dF,223450
0.25,0.448,-9.587,0.0374,0.835,9.99e-05,0.0569,0.466,77.273,7hglw5IUxLN1wIpKDb2saZ,57693
0.715,0.872,-3.835,0.0509,0.00351,3.84e-05,0.107,0.748,93.043,5xvUgoVED1F4mBu8FL0HaW,200947
0.737,0.637,-6.308,0.0735,0.262,0.0,0.319,0.537,100.033,3IPnBzGRMg6BfViFxxa0Gq,124733
0.605,0.846,-4.581,0.0778,0.000738,1.25e-06,0.053,0.764,132.997,004skCQeDn1iLntSom0rRr,177773
0.596,0.499,-11.255,0.133,0.914,0.00212,0.145,0.814,151.556,2HsweGWCKyrO7I4SIby30Y,147267
0.281,0.176,-18.215,0.0335,0.924,0.696,0.159,0.0779,82.408,2CQxx8YJPsWcCJhSs6owkU,72200
0.623,0.805,-6.438,0.0339,0.121,0.0,0.167,0.842,134.963,7Ly3iB2S2riCNaqRHRaOrx,196200
0.67,0.469,-11.503,0.0998,0.598,0.0,0.0854,0.62,126.236,3PJYvkDkZvSBH7jl7ktPHj,206800
0.654,0.0768,-26.701,0.871,0.89,0.0,0.268,0.28,105.004,6oxCrrGKn2xEF4rU2UUHXS,969040
0.268,0.28,-15.8,0.0435,0.659,0.941,0.178,0.721,200.726,6sIZFWgScdBoCzEuo3H4pE,52947
0.174,0.111,-19.309,0.0357,0.9,0.649,0.173,0.0381,142.609,4GY6sYQ2URDOkZsMgbxbuX,382187
0.585,0.911,-4.623,0.119,0.0263,0.0,0.112,0.781,163.933,5e3UWcbvTaF5CJWu81MqlQ,195733
0.204,0.162,-17.438,0.0366,0.917,0.907,0.167,0.0508,110.497,464YC2e67DJOXfjLxCBKde,168560
0.561,0.826,-5.842,0.0972,0.00289,0.0,0.432,0.499,141.98,0QTUoI90fBFdKkd4h8fsOu,206507
0.403,0.259,-11.371,0.166,0.829,1.61e-06,0.0451,0.473,69.283,1lOSxJNCLvWm2bYaTcTSmK,190440
0.655,0.409,-17.018,0.313,0.625,5.68e-05,0.112,0.788,123.567,1q6P1VDkW4kCKzrjbOlfUs,102253
0.433,0.186,-16.458,0.0359,0.932,0.0,0.198,0.264,44.316,195Ic4yPV2ITlcvmQbwWQC,144573
0.677,0.551,-11.195,0.0582,0.327,0.0,0.0935,0.712,89.795,6RJayUS0XvdWGt0d2HTKTH,174333
0.367,0.181,-12.928,0.0411,0.926,0.929,0.259,0.0927,115.501,6zhOCqSHhamIAt4DRLouXC,192400
0.268,0.113,-19.601,0.0383,0.952,0.000389,0.191,0.113,111.801,0Zj3Ihs4nn3G3xZ2LKLEbP,107667
0.328,0.316,-18.733,0.0433,0.958,2.7e-06,0.433,0.886,206.311,5foJ5ubEoLwJTY3RW0I3t6,101493
0.359,0.499,-11.32,0.0443,0.082,0.0,0.342,0.512,83.627,5TiOMo7ExhD7FHw6mk2kqK,239507
0.408,0.313,-18.09,0.137,0.617,1.18e-05,0.115,0.725,170.013,5k3U0OGYBccHdKJJu3HrUN,213600
0.427,0.493,-17.09,0.336,0.699,0.0,0.118,0.351,142.477,7JIvgoalTwUz528BVYXBto,336307
0.603,0.0611,-30.602,0.0576,0.847,0.904,0.119,0.376,64.24,6XJaN8uK1cKEvINm6aaS5r,74040
0.637,0.849,-4.348,0.0957,0.0793,0.0,0.0847,0.699,120.052,51NrdlQOSTeq0d6U7xRKsz,199933
0.812,0.67,-6.385,0.0565,0.0218,0.0,0.0518,0.439,137.038,4EnwhEyuVrC1CgvSur5YL4,198320
0.504,0.309,-13.946,0.0636,0.798,4.56e-05,0.539,0.583,72.304,41uJggpcL0qwQasVkKV50y,185947
0.295,0.195,-16.099,0.0352,0.824,0.239,0.276,0.0755,84.33,3bb5x64leZ4uIdfAEyJWy6,100093
0.538,0.481,-8.716,0.0997,0.545,0.0,0.086,0.191,95.914,3xDVJcvcKedshWlT3qGSHk,105293
0.569,0.34,-12.37,0.0468,0.825,0.328,0.091,0.426,119.884,60UPTEm2yaZUZl55MvlJMe,122133
0.115,0.184,-21.366,0.0379,0.959,0.000201,0.118,0.0936,165.129,6ZP66zQZjwN1P0QWR9fdSP,175200
0.334,0.262,-14.193,0.0391,0.732,0.388,0.235,0.145,80.446,59Djq0zGIu8HDZ8QXs2oiz,212133
0.67,0.939,-5.579,0.0647,0.00471,3.18e-05,0.316,0.441,129.997,0WcBvAA59kSYFHeqy0fpZp,163267
0.458,0.41,-6.321,0.0254,0.501,0.0,0.262,0.374,155.844,5795tkQ1pTLZ2D3jctqhdQ,160307
0.198,0.242,-19.031,0.0559,0.304,0.394,0.146,0.139,72.977,3t5Mmah08dOPhtKtCqB4Wz,248027
0.257,0.402,-9.572,0.0324,0.907,0.633,0.103,0.18,109.566,42TTHCYkSo0ER8RLmyV3Hu,272480
0.438,0.348,-9.642,0.0379,0.735,0.0128,0.0646,0.234,91.52,53eoKURfQkzGx6Y3YBgmN0,117693
0.49,0.569,-7.108,0.0807,0.535,0.0,0.121,0.581,199.783,3h4hTUf64pVgBYufYdeeht,122293
0.424,0.0927,-21.009,0.0563,0.645,0.0653,0.134,0.28,86.623,1rgitjWzW0DP2CDrJns5MK,157320
0.312,0.176,-18.731,0.0307,0.862,9.08e-06,0.129,0.199,85.936,6bcCrByBZgx8FYwuKE4Jgu,144145
0.206,0.0634,-24.612,0.0394,0.971,0.0133,0.122,0.0398,134.089,5QzkQYgJtGkwhVopji1BdR,177573
0.359,0.883,-3.535,0.0907,0.0753,0.0,0.112,0.481,171.725,0Di5p4ItolIUZB8c2P0pvs,203840
0.572,0.376,-15.446,0.341,0.94,0.0,0.199,0.737,146.442,0Qgc2XtzLSbLUeBFDK8X1R,107627
0.581,0.158,-18.461,0.287,0.711,0.0,0.214,0.418,127.061,4OlskbEVBi1jpQKBbKHbm9,213400
0.667,0.954,-3.462,0.0817,0.0296,0.0,0.331,0.807,114.03,2VEsmoek0sol9MnJFyoG9e,175093
0.522,0.0616,-16.229,0.0546,0.973,0.392,0.124,0.544,122.336,7g0eCu2Du9VgOUX8jlZYEj,83600
0.345,0.0247,-23.539,0.0459,0.955,0.426,0.163,0.068,132.163,71zGRXcskIVnPwjBLaSiK2,79533
0.338,0.266,-13.085,0.057,0.814,0.0,0.271,0.357,96.662,4EkE6ojKSUWPimaZqp1NHd,114227
0.164,0.0991,-14.478,0.0331,0.928,0.0037,0.12,0.0587,179.238,3oFSbVCS8conK9GwJWOSH6,177853
0.465,0.38,-14.466,0.0451,0.627,0.548,0.327,0.205,119.995,5MsPSfiaqrmB2i93y7rYhR,140800
0.409,0.0554,-23.868,0.0385,0.969,0.777,0.0755,0.241,130.504,3ksu00d3upBmtytFqdBpeD,184200
0.792,0.246,-13.624,0.0465,0.689,8.57e-06,0.371,0.7,125.5,5usSAEQgKOnG03QXGDm1zA,94573
0.471,0.875,-3.499,0.087,0.000652,0.0,0.239,0.759,177.98,5MTQbjkMmE6WsDQ8JlyEVo,197507
