danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms
0.371,0.957,-2.701,0.0392,0.00264,0.081,0.515,0.222,173.989,5blXK1R7GYL7gY2PVGxC90,300800
0.495,0.9,-3.49,0.0354,0.000495,0.000745,0.0928,0.131,87.485,6AGEWTf083wTLtNrsCmCNd,340773
0.671,0.949,-7.276,0.216,0.0233,0.0337,0.076,0.285,149.983,4FtJFhfo4HI2BapCYunmJs,298293
0.464,0.903,-4.072,0.0527,0.00226,0.0336,0.111,0.461,174.082,7qkke8MQ7Grc9x1dgpiAG0,206891
0.544,0.947,-8.445,0.0751,0.00019,0.672,0.191,0.82,175.993,2IgjGDV7kolPyggUke4KQu,248893
0.542,0.875,-4.285,0.0507,0.000356,0.31,0.359,0.114,172.973,33LQ2hkSecs8ax6Bz2t9D8,320272
0.641,0.966,-5.61,0.0783,0.00342,0.825,0.582,0.419,174.053,19Ra1GICS5aBi8T7vSL54f,314440
0.446,0.909,-2.953,0.163,0.000769,0.0901,0.304,0.364,172.953,4r1dYoIhKgtFh4eTZ9WQ1d,182053
0.489,0.938,-4.299,0.0723,0.00315,0.878,0.0756,0.0724,173.981,5N8Cbm5z412m8wZDBixdlh,320907
0.556,0.881,-2.224,0.082,0.00119,0.0,0.0709,0.337,104.973,0mlf3yOGzVnIVxjybDQL3h,213697
0.379,0.878,-4.839,0.0591,0.000281,0.0157,0.126,0.234,173.903,3ilWLPSlwOpHzHnZucTBNV,317933
0.65,0.736,-8.534,0.056,0.0112,0.88,0.64,0.0393,139.994,4tphpsSip3ItR3g5iPfhXG,296826
0.362,0.983,-2.943,0.0474,0.000627,0.887,0.365,0.302,173.987,1LtguSIbfmYMvtEH1xGB13,345680
0.594,0.997,-3.202,0.0784,0.0037,0.876,0.304,0.783,177.029,36OVZwv6S5ANS5V4UHSGR7,307240
0.588,0.596,-9.291,0.0667,0.00962,0.292,0.0882,0.0833,70.017,4OAl2RSrZgq39imxZaIYix,336000
0.737,0.538,-10.76,0.0669,0.181,0.874,0.0824,0.265,87.376,1i2RFXKqYfXo9XT7UGSoZX,412547
0.43,0.941,-3.973,0.0513,0.000208,0.000552,0.128,0.395,172.016,79zA8ve8Xi197Xg9iIG8CM,297707
0.451,0.806,-3.522,0.032,0.00121,0.032,0.456,0.124,173.924,6RkcpIYKlShB97UOyEwTbc,314405
0.343,0.931,-5.717,0.25,0.000198,0.474,0.0164,0.211,173.001,7Hlhb6SLS8q6pH7ZkJ88gQ,334640
0.466,0.807,-4.775,0.0407,0.00126,2.63e-05,0.404,0.358,173.979,5YsJ995dkMMsteNo2XUOSv,293368
0.443,0.921,-6.49,0.0519,0.000552,0.633,0.249,0.378,174.009,4AbxRDlQrp5p6FYL0rLEOq,427586
0.401,0.752,-4.945,0.0394,0.00202,0.328,0.13,0.0327,174.981,5cTSJv10SCXioWuZyy6Br8,317531
0.606,0.9,-5.168,0.0547,0.000508,0.901,0.112,0.115,140.035,1j6lrR4BzRGKwvAPfrIcbf,295027
0.295,0.802,-9.207,0.0991,0.00027,0.255,0.0662,0.354,165.626,10mej1YgFa05s2p9uvbkdt,410400
0.475,0.944,-4.118,0.0516,0.000436,0.623,0.244,0.345,172.943,1zrrNIfpF71YFAOIbcqpCY,271615
0.427,0.838,-7.443,0.0451,0.000464,0.00171,0.114,0.157,172.951,11IS9sbmnAqSdLQaEvZGbb,377840
0.55,0.789,-4.377,0.0486,0.00809,0.807,0.0884,0.193,171.981,3c1t4iinVFutaerxVC81eK,339306
0.612,0.913,-5.144,0.043,8.06e-05,0.603,0.873,0.42,87.509,0yAptThLYJDUKhCAOTBdFh,319560
0.613,0.836,-6.067,0.0619,0.000211,0.833,0.0338,0.165,109.946,60c0wfBSz7erCZy6S8a8De,298402
0.514,0.675,-10.966,0.0801,0.00426,0.267,0.105,0.0812,154.962,7AvrJG89s3bVBWNqaLa8Le,1262400
0.399,0.984,-4.236,0.116,0.000171,0.157,0.433,0.152,173.95,3PZTOkB3stqba9XRsmafao,347413
0.276,0.984,-0.773,0.0857,0.00198,0.889,0.348,0.103,169.974,45MSKBaycyWWrDAZUDx7DD,393888
0.512,0.768,-3.9,0.0297,0.000162,0.00128,0.242,0.295,174.93,6AVKtFnJfsy6P9eIIcCe5v,274797
0.366,0.905,-6.522,0.0406,0.01,0.716,0.238,0.283,170.017,1Anv0F17L93zZPLal4JeCG,381882
0.416,0.744,-4.242,0.0446,0.018,0.716,0.706,0.0361,173.044,3g02dppUOMp5WW1h9SmfrQ,388977
0.453,0.975,-1.262,0.0668,9.59e-05,0.0013,0.358,0.733,175.046,1ohanIAAxghknc12N21v6H,163075
0.54,0.757,-4.924,0.0285,0.0104,0.0,0.295,0.129,139.937,1lgBHYW8knDYxkyK5lBVyb,298560
0.617,0.952,-3.308,0.323,0.00721,0.00367,0.197,0.579,171.942,78cY8YzKXJxfIUHwwD3lJg,331547
0.393,0.97,-4.145,0.0684,9.43e-05,0.887,0.29,0.198,175.026,0ZsB0BpiCCaCYiy0vSSwT8,317953
0.508,0.956,-6.109,0.0648,0.00188,0.273,0.108,0.475,172.998,6oq9jLV22pzsUa840OnGtm,342078
0.63,0.845,-9.26,0.0834,0.031,0.934,0.0673,0.307,159.813,4PVzD2FbJuMi5TgKNEVURw,353093
0.26,0.924,-3.297,0.0426,7.23e-05,0.556,0.348,0.594,86.994,5zQWvvkQPsDytutZhFT0eR,282052
0.612,0.958,-4.965,0.0517,0.00989,0.74,0.095,0.736,174.028,0pfDw7TNnRf4V7VivrVW2x,436570
0.576,0.543,-6.133,0.165,0.131,0.239,0.603,0.495,173.985,11oSQwEUBQsdyNO9J49ecZ,397330
0.478,0.855,-7.542,0.0358,0.0023,0.0152,0.364,0.347,172.965,0X6iBhJmxTgJU5qKwqumMb,338906
0.615,0.91,-2.825,0.0762,0.00761,0.0067,0.16,0.346,140.0,5f6igUw1asUL4AGXSvgTW8,281147
0.257,0.998,-3.377,0.135,0.0609,0.266,0.209,0.503,86.925,5qzWhKpKP9GuvWpqZ8fPKA,339400
