danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms
0.614,0.972,-3.927,0.088,0.00125,0.0186,0.328,0.411,127.966,6PtXobrqImYfnpIxNsJApa,170625
0.749,0.853,-5.832,0.285,0.0101,0.685,0.253,0.748,140.021,4teaCv3ASF2ZxzNUP8fr0w,181760
0.64,0.843,-8.049,0.265,0.0045,0.000185,0.499,0.279,127.958,6KG8oTzlAjta6Ofjcaf9z1,308973
0.599,0.763,-3.727,0.0553,0.000262,0.794,0.241,0.118,127.997,3Ki1bFwSTFmZWI7TKu5DNF,379261
0.513,0.775,-7.202,0.0304,0.000672,0.248,0.409,0.205,139.932,03EuhmMsEHVFI9ytainStU,303911
0.515,0.899,-5.115,0.0602,0.000122,0.0795,0.367,0.267,174.028,0G7qyvqwjfMdHZn4RwiAdf,331240
0.707,0.924,-2.842,0.031,0.000972,0.00703,0.204,0.919,127.937,1gihuPhrLraKYrJMAEONyc,206413
0.565,0.955,-2.576,0.0784,0.0574,0.000625,0.368,0.169,139.929,0g6s1NJOe3Z1ADDPTVhaax,257250
0.322,0.726,-6.55,0.0371,0.00579,0.59,0.102,0.0774,140.071,7rBE9XvBL0WE9hQCXZPtD9,121566
0.445,0.633,-8.653,0.288,0.0144,0.462,0.152,0.12,139.779,4FatAEv8cXhI7vbhQygBZx,346240
0.3,0.645,-5.683,0.0544,0.00647,0.796,0.0849,0.125,145.053,4wENG4FhLIjqYqIUF1VlNj,384035
0.504,0.983,-5.611,0.149,0.000125,0.333,0.194,0.268,139.944,4XJcTPpdwIskJJpprO9t1n,282952
0.136,0.471,-14.251,0.0502,0.604,0.961,0.274,0.0953,141.527,3snfdOHfgVHgI99plT9ysQ,112653
0.793,0.926,-5.618,0.263,0.00113,0.41,0.113,0.35,139.991,1VPXutWvdJUOccnDJ1Iojv,257987
0.569,0.93,-2.271,0.085,0.000179,0.000479,0.374,0.163,140.048,3VAYpwotVoOVC3psnFzGN7,158960
0.613,0.697,-8.618,0.133,0.0194,0.0,0.332,0.476,122.746,0DiWol3AO6WpXZgp0goxAV,320357
0.723,0.806,-4.989,0.0521,0.00666,0.876,0.276,0.539,124.976,0VffaI2jwQknRrxpECYHsF,410097
0.482,0.484,-7.425,0.0492,0.0013,0.00583,0.145,0.153,84.019,3BBiaTLrwRlSkozCTFtrsT,217253
0.528,0.911,-5.967,0.0453,5.65e-05,0.122,0.584,0.08,140.028,2Fd1oVkkGmw44g1O8dk55f,267809
0.545,0.671,-6.658,0.0432,0.0343,0.102,0.128,0.054,144.955,6pxChn2DIFedpK1KSO2rbU,323438
0.683,0.789,-6.132,0.0353,0.0283,0.0492,0.112,0.809,120.013,7gUpO6td4OOnu0Lf9vhcIV,211800
0.546,0.703,-3.139,0.123,0.00797,0.000327,0.175,0.196,129.868,6lbhkPbkKj6jnPTt1FelVo,245538
0.706,0.551,-8.3,0.13,0.00685,0.00223,0.182,0.27,142.993,5b9zr6hiAdnemfmejJOzOM,321320
0.658,0.93,-2.912,0.141,0.0236,0.0,0.578,0.132,104.018,1RJZLVGpBG9nNZiHRQSWTp,237680
0.576,0.9,-6.098,0.0565,0.000627,0.014,0.0982,0.115,140.014,2vWE6Btt6Kwc8yRkr6g4Qg,318193
0.369,0.947,-3.231,0.101,0.000982,0.52,0.646,0.12,174.89,50ijcVS7VS8jD1LUtAWZXL,267790
0.698,0.842,-3.971,0.231,0.542,1.62e-06,0.17,0.945,167.98,1n3zxreoEYtfbqxw9dKGM1,206485
0.695,0.925,-2.322,0.0629,0.000843,0.0115,0.115,0.755,100.015,16tUjfbOz2vzcOC9KlMMfz,219027
0.956,0.795,-5.311,0.15,0.00356,0.889,0.0906,0.841,121.294,1pKYYY0dkg23sQQXi0Q5zN,429533
0.374,0.885,-6.797,0.311,0.000506,0.625,0.108,0.305,104.968,0ZcR8LX5cGLxr2v93WUIFO,360021
0.32,0.795,-3.652,0.0374,2.99e-05,0.856,0.0854,0.146,80.801,1L6vkK5QANbenFLzn2kHgA,237037
