danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms
0.479,0.952,-3.967,0.0428,0.000122,0.906,0.473,0.291,139.968,1T3yAJbhnYG6xwdKntNsDy,283453
0.48,0.841,-2.267,0.0529,0.000245,0.303,0.111,0.143,126.113,15ccEhr9NN3Blmdr0hQwj9,214267
0.602,0.911,-3.842,0.113,0.0328,0.679,0.219,0.253,127.994,2aJwlohnHuKWIUK8UntETK,365626
0.733,0.821,-6.021,0.0991,0.000643,0.367,0.0617,0.63,128.013,14epucTZd8dLIYipdByNZS,374125
0.527,0.837,-5.535,0.0303,0.00206,0.384,0.103,0.103,108.743,2QNmH8xLdi7hQu6YkpVgwL,284767
0.676,0.935,-3.016,0.0461,0.00166,3.21e-05,0.115,0.355,140.057,5ob5qeHrsU71mzwlTOwihd,391289
0.267,0.975,-3.584,0.398,0.00706,0.0121,0.337,0.361,84.972,7GjNJynn9wwMGGHSAFQ69q,240524
0.752,0.771,-5.564,0.0483,0.000164,0.000199,0.102,0.715,139.967,5C6vuPeclaTKBfH13CI1TC,249609
0.434,0.962,-2.89,0.126,0.0003,0.734,0.105,0.226,128.162,2ZeTpxUpIHDdrRZdD8Vlh9,299375
0.257,0.961,-1.269,0.0748,0.0201,0.0108,0.263,0.211,156.023,06zW1ZcjbtWARfB5TPBL7R,265560
0.723,0.806,-4.989,0.0521,0.00666,0.876,0.276,0.539,124.976,0VffaI2jwQknRrxpECYHsF,410097
0.577,0.875,-4.901,0.0889,0.00307,0.00758,0.13,0.181,140.033,3AS3EvTDzswEFmQU8kyJtM,207429
0.487,0.921,-6.18,0.036,0.000192,0.274,0.259,0.547,140.105,6sDzeD1TJWl1fv6G2Zwlmj,258857
0.548,0.905,-3.935,0.0397,0.000326,0.36,0.26,0.24,139.968,1aAP2tFb0Lssc3HgGsJ07p,274286
0.625,0.864,-6.064,0.213,0.000152,0.917,0.082,0.719,140.044,0AnuVyNTiysonNqPEPb5Xa,250286
0.477,0.752,-6.297,0.0551,0.0411,2.63e-06,0.226,0.138,140.037,2AygMLiFGcIqJ5IZH3pOQV,303455
0.604,0.931,-5.447,0.0616,0.000261,0.702,0.172,0.14,128.003,61fdvfO4VmZfkZe5I6lYAW,216441
0.631,0.684,-7.573,0.0436,0.0138,0.925,0.223,0.235,129.961,5brviRvO3ZIDvdF0dED9wC,400187
0.565,0.955,-2.576,0.0784,0.0574,0.000625,0.368,0.169,139.929,0g6s1NJOe3Z1ADDPTVhaax,257250
0.391,0.843,-3.865,0.0401,1.21e-05,0.85,0.374,0.233,139.967,7h6zR5oJnoCNKUu6ClhcVk,264000
0.882,0.361,-6.679,0.278,0.0294,0.875,0.307,0.2,143.982,5R4hGpNiUxoDpKx1RLHvzL,330245
