danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms
0.666,0.697,-8.702,0.0436,0.4,0.0,0.494,0.93,101.94,6mLbwSfv5vvNte2TbngUkq,156973
0.664,0.608,-8.361,0.0323,0.713,0.0,0.121,0.603,150.071,7k9WApaPspqnGvAzmQN4WO,196133
0.763,0.942,-5.101,0.0527,0.301,0.0,0.0913,0.965,91.121,4pjLvJGEtUXMoesaQSLNEC,190145
0.659,0.855,-4.835,0.0362,0.475,0.0,0.255,0.975,141.414,5WXdtyfd6RLejlZd2Xu32x,156160
0.729,0.692,-6.457,0.0413,0.451,0.0,0.0711,0.91,109.517,3UiiqEgBmXangZ3hgNBy39,295987
0.86,0.741,-8.305,0.158,0.425,0.63,0.216,0.744,95.715,1EoV0vQjHaMQ8WehQGXS8O,163893
0.709,0.935,-6.02,0.109,0.418,1.28e-06,0.378,0.81,127.307,5jqd1ubhkRV20qIzIvcg3p,187478
0.709,0.609,-5.002,0.0489,0.188,0.0,0.198,0.934,80.118,3skQ0s32JyeykGKWKMmo0s,178293
0.608,0.681,-9.458,0.0404,0.16,0.0,0.121,0.713,98.139,52NtTuDZFwdwtYkKWPemPv,352947
0.693,0.94,-5.97,0.107,0.215,0.0,0.0379,0.779,192.253,2AQADTXR6UMVOaE3maFhQG,231760
0.633,0.777,-5.348,0.0557,0.208,0.0,0.184,0.879,172.059,5Eb6I87IukCVSqzfiDWNFt,179680
0.61,0.811,-7.349,0.0859,0.0391,0.0,0.944,0.493,84.903,3TIj0ByjCPT4ehTuZ169wb,157573
0.72,0.717,-6.752,0.124,0.274,0.0,0.307,0.879,113.384,6LvuRWVuOMAhTPqxHsdV4Y,183373
0.65,0.845,-4.657,0.0304,0.568,0.0,0.346,0.919,158.113,1HZ0UnxCztHsjSDTWbqkCq,195973
0.681,0.55,-6.874,0.0407,0.103,7.54e-06,0.238,0.746,80.227,1HieYCdlab6epgNp5ytVqn,218867
0.505,0.667,-11.255,0.0384,0.441,0.0,0.399,0.951,143.865,2Uklnh9vLMf2SOGPVpZXzX,149000
0.539,0.96,-4.391,0.0969,0.235,0.0,0.188,0.723,107.983,6AhuxzMcFUg3mhTS3WlWB5,223491
0.67,0.472,-6.506,0.028,0.784,0.0,0.248,0.238,125.038,3Sg8aqH8nGwbD7OompKqlZ,237667
0.586,0.645,-7.988,0.0289,0.00167,5.31e-06,0.35,0.845,155.158,0iMJSOQBYuBSh39Y2fokeV,216120
0.575,0.498,-7.856,0.0262,0.0539,0.0,0.0857,0.445,81.002,3wfy3D3UwEgmqXRnPG7711,206533
0.481,0.714,-6.288,0.0312,0.547,0.0,0.215,0.605,104.147,538Vr9IFfbD06rBv4FFMWb,187440
0.462,0.647,-8.515,0.254,0.74,0.0,0.0953,0.0992,87.993,6GXqlX5beI661K28TBxKtO,251733
0.573,0.619,-7.298,0.0383,0.459,0.0,0.111,0.812,167.366,0HvMilUxNGfKMnTEPQNwe6,287413
