danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms
0.83,0.614,-9.114,0.209,0.376,0.000166,0.113,0.822,121.019,4vhnyx1n7qEru7ezIXASlx,195373
0.729,0.748,-6.107,0.0568,0.34,1.12e-05,0.0634,0.841,95.982,2EifYrFVMyUrNCOz1esOVx,242265
0.635,0.691,-4.862,0.258,0.555,0.0,0.097,0.638,82.142,5KONnBIQ9LqCxyeSPin26k,217419
0.956,0.795,-5.311,0.15,0.00356,0.889,0.0906,0.841,121.294,1pKYYY0dkg23sQQXi0Q5zN,429533
0.655,0.636,-4.778,0.034,0.279,0.00108,0.19,0.4,111.023,10Os3huy3eXl0mkl7rRIvh,168253
0.311,0.468,-5.28,0.0308,0.623,0.0259,0.0835,0.302,84.314,4j2h87Z2N9iQSt0TNs5QQF,223987
0.657,0.185,-16.753,0.0443,0.644,0.00074,0.19,0.518,118.798,3z9Db6FFek98riXo6uC52f,220093
0.387,0.213,-8.633,0.043,0.896,0.0,0.13,0.192,82.887,0rdzU1Z0YT1gyFpMFKh1gu,246307
0.672,0.464,-8.552,0.0329,0.191,0.000635,0.141,0.492,144.044,51voksUfKqNcD5cOQnjaEX,205213
0.363,0.184,-21.126,0.0435,0.355,0.00612,0.111,0.612,177.51,1wPNVQqGT9LG39nzeyzIvF,120603
0.503,0.482,-7.685,0.0879,0.481,0.0,0.204,0.466,83.796,1fxoAloBlcKe3t49QwIL4m,189667
0.618,0.857,-4.14,0.0461,0.00102,0.0,0.341,0.762,121.997,4hMsrR2JpxCeybyWN786qk,191307
0.557,0.507,-7.289,0.0249,0.233,0.0,0.0897,0.228,89.967,6BAtHDZFdM7UkpGZsyBvQI,194787
0.509,0.134,-19.974,0.0964,0.831,0.0,0.119,0.339,83.399,2WoGnfG9Za6ouA7tMyvzLa,160800
0.535,0.355,-11.734,0.027,0.845,0.0,0.186,0.693,99.074,3Z8egmVN8eJ4gDpHjGKP8S,142507
0.548,0.668,-9.581,0.0307,0.00434,0.89,0.202,0.313,101.995,2hvNoNADr0YWXivk24avCo,229320
0.438,0.717,-5.959,0.0349,0.346,0.0446,0.116,0.261,147.757,3uZyx7GfVWJh2Aum6xS6my,238547
0.719,0.665,-5.366,0.0293,0.198,0.0,0.293,0.881,107.162,7uooKN0tSNN6t6Pw3IJT1V,222453
0.598,0.609,-7.384,0.0793,0.519,0.0,0.219,0.503,94.501,1tN68lWMRyqSWa41bFGJw9,184893
0.319,0.606,-7.284,0.0323,0.359,0.0,0.136,0.309,122.634,6phMPtxOkjdXR8ax9xoCJ9,245493
0.473,0.455,-12.098,0.23,0.827,0.0,0.163,0.79,78.0,0Yqvv7EV2VYgC299tA5ZaV,229907
0.365,0.55,-7.218,0.0346,0.74,0.0,0.423,0.593,106.111,61Yh6AEwsba6RYsrWiNmI0,212747
0.409,0.255,-9.309,0.0327,0.889,8.59e-06,0.126,0.223,109.078,1eBsEzZELiUI0gdnGbI6NC,178760
0.516,0.906,-6.168,0.0521,0.673,0.0,0.538,0.956,170.94,6xuxkfM6waS1sCubmjJtCl,208507
0.659,0.824,-8.009,0.109,0.0213,0.000141,0.384,0.523,150.002,60ynqVuPGEmnNqhRRehCZI,189027
0.81,0.537,-5.776,0.0351,0.0157,0.000149,0.0751,0.516,99.984,72nwsbffF1mpiOVpHkYsvo,225160
0.814,0.73,-8.876,0.149,0.0392,0.00333,0.343,0.646,123.494,2cJz1loJp5EZM6shmQpLZN,226413
0.615,0.423,-13.557,0.0692,0.582,0.0,0.171,0.591,125.822,41yxpT53BI2AOV22eqOm7L,237467
0.662,0.83,-5.516,0.0315,0.0629,0.0,0.226,0.808,95.072,2lf6ZNsrviF6yDZt6iSDns,205880
0.604,0.788,-3.673,0.103,0.0678,0.153,0.127,0.301,126.06,0lHAMNU8RGiIObScrsRgmP,245040
0.416,0.468,-7.346,0.0374,0.819,0.0,0.205,0.611,104.566,4CCxHVNh28ZniFbDAlSLqG,179253
0.688,0.879,-6.162,0.0396,0.0341,0.0014,0.0596,0.875,110.996,4F0VQWS8GDhJywfeQpca2v,210360
0.607,0.664,-11.788,0.0939,0.214,0.586,0.0914,0.884,148.314,1cBSmXu6TQoQv1iMkxiuAp,115293
0.433,0.564,-8.917,0.0405,0.713,0.275,0.117,0.855,192.07,7MIN37CiVP1lVjqKNmLMWk,135907
0.862,0.468,-5.697,0.0708,0.00456,0.714,0.0884,0.737,132.03,3mEb1rDaVl13swOcpkItwJ,284508
0.796,0.22,-13.017,0.384,0.644,0.0,0.29,0.932,119.348,3cNC4XaKuBgCgf35fpX8kn,149813
0.706,0.507,-9.525,0.0371,0.781,0.00489,0.095,0.536,109.943,5MyjXdc0lRmr1DdfxH0tVa,124707
0.271,0.28,-11.472,0.0366,0.784,2.95e-06,0.263,0.326,90.218,3KGIyqm0TJ1kZHIphNcKtq,201680
0.306,0.429,-8.746,0.0289,0.627,8.25e-05,0.392,0.178,103.842,2edyuIOPsZrZLBwnsC1u80,260667
0.781,0.526,-6.985,0.293,0.0619,0.0,0.0457,0.662,94.992,1CmUZGtH29Kx36C1Hleqlz,235613
0.625,0.356,-10.841,0.026,0.826,0.000248,0.112,0.355,75.99,7aneQR8o9TSmkXeMvUa4ei,237440
0.443,0.276,-13.65,0.0301,0.978,0.00154,0.1,0.391,102.239,698iNwweraHkqBXxdPC99q,191867
0.531,0.737,-6.975,0.0386,0.126,0.00765,0.0756,0.279,142.215,3I4ecHrrMuD8FFfFCVy4g5,273920
0.556,0.0545,-22.366,0.144,0.952,0.0,0.0974,0.434,75.801,5lhu0gYK4n4t1W8Ki5MQZm,166778
0.591,0.757,-5.895,0.121,0.461,1.1e-06,0.104,0.671,110.168,15iJ3XzSgZsYaY77jWkh9K,147640
0.656,0.275,-12.513,0.156,0.707,0.0,0.373,0.493,96.112,6HLj58k2kuMA8KKkNq1MFp,139027
0.359,0.261,-9.041,0.0339,0.942,0.0,0.18,0.298,102.584,30sIqVAMybsItDpjbHNaBM,163640
0.714,0.611,-6.276,0.0634,0.49,0.0,0.293,0.869,114.082,2z3bSndgTAzpm136bB6ss5,160757
0.644,0.698,-4.83,0.0316,0.109,0.00385,0.105,0.729,134.727,3p1VsP4nQlKgT70NAwMWtO,159187
0.677,0.535,-10.204,0.0265,0.322,0.000764,0.128,0.721,144.009,5bnl3NO7k5UYA6fkSu9AXn,217933
0.338,0.24,-10.903,0.0387,0.927,0.000251,0.347,0.342,77.238,1JbE2l1NiO0I0EpUQQPhbi,136787
0.597,0.737,-6.505,0.0586,0.229,0.0,0.0716,0.432,85.818,5GCFWddGbZZakiC93jIQ8q,238600
0.743,0.576,-11.431,0.0645,0.264,2.53e-05,0.418,0.722,149.378,1XjOTH2Dmb8hE0iowUxtKL,237827
0.149,0.491,-6.901,0.034,0.381,0.000399,0.0889,0.386,77.171,0UQOiRsZEJom6E35xajJzu,237080
0.821,0.612,-6.468,0.0684,0.604,0.0,0.122,0.798,99.967,4prNHQCgqVpmGJRulNK4zg,209000
0.768,0.728,-6.606,0.167,0.0978,9.83e-06,0.135,0.541,104.97,3RlLkXrj3iRDQRmTWNznB6,271320
0.666,0.781,-6.882,0.0593,0.111,0.0,0.108,0.367,93.532,64gCM9yZv2jpNflclKUnXu,287240
0.858,0.427,-13.889,0.268,0.00859,0.0271,0.0686,0.622,99.19,04MqPPp6w9TI7EZk9YhFrB,170800
0.794,0.811,-8.966,0.038,0.0426,1.07e-06,0.101,0.862,116.047,2Foc5Q5nqNiosCNqttzHof,248413
0.571,0.312,-8.125,0.0581,0.864,0.0,0.339,0.641,110.1,58BcXxi49kxTBmEOZG67IP,217427
0.427,0.808,-6.939,0.0647,0.00111,0.0,0.744,0.33,102.893,0xLWMbuXHlW2O1DouU57AK,232973
0.578,0.751,-8.355,0.0306,0.527,0.0134,0.0484,0.667,102.905,496eQC5FPo3dmfNRXPcmps,282813
0.674,0.428,-9.504,0.122,0.121,0.0,0.132,0.337,84.878,2dLLR6qlu5UJ5gk0dKz0h3,190185
0.612,0.799,-3.261,0.0345,0.00232,8.35e-05,0.205,0.266,124.99,3F41lJSgsPQyUU5NDnGZJk,238085
0.264,0.336,-14.152,0.0374,0.781,0.0,0.117,0.5,75.146,202G47VlyeuwHY6K9YSaen,161467
0.503,0.218,-14.742,0.0403,0.86,0.0,0.172,0.399,109.578,3UbYcqr1QkuLgqnADaxqQJ,211707
0.628,0.888,-3.74,0.0277,0.0519,0.000191,0.233,0.577,107.958,6e0LjNPkRqxIAlmmdjWSV8,264283
0.905,0.563,-6.139,0.0435,0.0102,0.000496,0.0835,0.74,120.268,1EDQN7WMV9En0OhQuLBO6P,196160
0.625,0.561,-6.86,0.0478,0.76,0.0,0.155,0.626,95.006,0fuxeRBTWPHANW7SiQjtqz,179733
0.591,0.961,-5.209,0.345,0.0523,0.0,0.753,0.536,113.076,3gcmn2CtOE9SjBevmvGVEk,211880
0.511,0.282,-5.088,0.0576,0.887,0.0,0.111,0.506,71.816,6CovlUZSOs5iOOC5nfPn19,154873
0.577,0.51,-13.74,0.0364,0.0666,0.51,0.241,0.851,154.645,5cC9RZFMzrpbA9U1m4zSPm,203800
0.604,0.963,-5.572,0.0906,0.273,6.62e-06,0.374,0.695,174.718,17LZKLjQxH2w67xMa8mWML,205800
0.679,0.723,-4.33,0.0764,0.569,0.0,0.327,0.726,115.788,1J7eH7iXXfeKBMj5Bm8D0c,156333
0.438,0.687,-5.968,0.0448,0.57,0.0,0.14,0.46,123.178,6SsQ4eeyzgJirHaWABOK9Q,195080
0.587,0.528,-9.269,0.0256,0.489,0.601,0.0989,0.349,65.775,6qbieXHVuCIIlzi55j6E5i,217640
0.719,0.312,-11.079,0.0446,0.808,0.0,0.109,0.829,129.047,5xacwJHf9yLJKCn5JjSiRz,132533
0.622,0.799,-4.61,0.203,0.574,0.0,0.346,0.842,156.832,05EvjHlCUgXSZ63pANGA8E,221320
0.643,0.742,-10.169,0.0595,0.313,0.000639,0.141,0.579,128.684,1KR7OwSfqBp9lbZjBRleEz,181293
0.9,0.287,-9.985,0.487,0.717,0.0,0.0651,0.695,127.867,0OdkN4dIi3ooJHpLnf3bv2,62867
0.56,0.265,-13.76,0.0624,0.638,0.0,0.0622,0.59,111.816,7y2Y045dcLtOawl56L248w,168040
