danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms
0.782,0.967,-4.406,0.113,0.0255,0.000945,0.0321,0.902,119.322,2INsiycUgobLSy4ksO4MzK,308213
0.831,0.782,-10.48,0.0595,0.0731,0.0171,0.032,0.631,107.877,5VJjhHyG8NZ5xdgG6uTb3P,208893
0.77,0.872,-4.184,0.0499,0.0502,0.000223,0.056,0.897,125.096,41k4LQoS5g9B1NrtZrZTXl,281480
0.685,0.835,-9.053,0.041,0.183,0.118,0.0856,0.96,95.892,1EIl3D1fyxXRuzcUw3bxen,241893
0.933,0.641,-6.245,0.0441,0.015,8.01e-05,0.197,0.886,122.88,0tIUC7pNotlR2fxrpNcEMb,278200
0.812,0.644,-10.761,0.0493,0.0877,0.785,0.0563,0.989,140.075,7Bz8yww6UMbTgTVLG6zbI4,190827
0.793,0.772,-7.28,0.146,0.0619,0.00993,0.0749,0.775,126.443,5q5qmdfdJAVOv1mbSk7xxN,318733
0.683,0.598,-8.622,0.0538,0.261,0.0168,0.171,0.799,107.06,3T2CGUAb3plUAE1O4C8St9,274773
0.907,0.564,-9.29,0.0568,0.000928,0.65,0.108,0.229,122.632,0B5kY9i9bmP7554oU4jRoO,245413
0.774,0.698,-7.5,0.0481,0.157,0.00027,0.0684,0.969,122.325,5W5FVsgGCe3T9nIMkiXqNo,203867
0.867,0.716,-12.571,0.0641,0.257,0.000249,0.0352,0.833,107.973,15Q2Tp792e30i2AfJmGwYz,281493
0.726,0.907,-5.604,0.0377,0.0157,2.47e-05,0.0339,0.784,113.45,4Gg7js0Xz6yvnTc3QkWkTu,256387
0.934,0.64,-9.011,0.0739,0.187,0.00587,0.193,0.853,111.87,2bAmuf7gFx5ziCMcGYjw2v,252733
0.83,0.565,-11.013,0.0507,0.00784,0.00429,0.0873,0.873,112.163,17Y2K7uNxMkaTDBtf1Tcv3,193680
0.746,0.525,-8.7,0.186,0.311,0.00867,0.0818,0.835,95.116,7cnWNeQIQutKJmL3MZSfr6,251293
0.746,0.612,-10.328,0.117,0.106,0.000182,0.292,0.639,98.742,62W5VouctXG9jggZdHaEi1,261945
0.9,0.709,-12.683,0.0636,0.296,0.00047,0.0863,0.897,105.822,74iQ3gahRTOGc19bYadBE3,291320
0.852,0.82,-5.541,0.065,0.0543,0.0194,0.202,0.601,107.981,1E2PoZuAm8OVEyIzT2SAvD,282227
0.845,0.671,-8.004,0.0847,0.171,0.00703,0.069,0.919,109.919,7JHptW8NXkfjCIIiBshGel,150000
0.587,0.783,-8.608,0.0722,0.0784,2.23e-05,0.783,0.956,92.059,0hyZgl8tHThlycPEVwBpax,262827
0.864,0.813,-6.909,0.361,0.217,0.0,0.874,0.72,118.006,5XeSAezNDk9tuw3viiCbZ3,239733
0.819,0.64,-9.124,0.0371,0.0397,0.000149,0.304,0.917,112.637,6jMpvxSOhGirrDniVBqEjH,297347
0.797,0.731,-6.852,0.038,0.265,0.00245,0.067,0.893,104.193,2RX8kOnJEVirXwP1FRgXBD,305307
0.868,0.671,-10.284,0.0393,0.0514,0.345,0.0366,0.957,122.342,5KV0kTuocyu9UT2aq2fuiB,489227
0.706,0.727,-8.714,0.0456,0.114,7.7e-05,0.174,0.965,119.55,13v3siPyvy5TTEZYmGPPse,248133
0.883,0.667,-12.143,0.0601,0.271,0.000856,0.115,0.91,111.402,3k0Jp5IYHtBeSNKUEOqE0i,215840
0.877,0.56,-8.529,0.0621,0.156,0.000139,0.0535,0.969,110.86,2je56j0xuoTi1gYkLLMlJU,211680
0.719,0.615,-13.674,0.122,0.0345,0.0492,0.0573,0.961,170.888,1TB0dZqFRQsnf4fLLLRKQV,283573
0.79,0.667,-7.414,0.265,0.462,0.0,0.128,0.965,117.067,7cwuk7OJRQQEbuPMB1u67e,208360
0.716,0.917,-4.449,0.0927,0.333,1.98e-05,0.0727,0.893,110.473,4Cs2HkcT5D9xCAoy2VAp9I,230067
0.717,0.947,-4.175,0.0785,0.283,0.00558,0.0264,0.875,101.556,3hRm4LOGGQjLbG4wOnm2jn,187747
0.585,0.701,-5.834,0.0658,0.1,5.66e-05,0.091,0.65,93.039,6IP78kaDhCoLA9Waya927v,268080
0.849,0.843,-7.154,0.105,0.209,0.00292,0.0309,0.963,141.926,1c0ShGrrj3m04rrOWrWFEH,227720
0.699,0.604,-13.404,0.0359,0.0185,0.073,0.0868,0.96,114.226,7ooheiWgbyNtGOBTPbjNoq,413587
0.584,0.975,-6.534,0.0651,0.141,0.501,0.101,0.876,138.341,01gDLZsi0j5fWC28FLPNO8,535333
