danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms
0.381,0.934,-3.094,0.0459,0.00291,0.0248,0.0773,0.725,141.594,6weoo46UfLAzZIQxk7Xkkk,190253
0.678,0.656,-6.41,0.0381,0.00174,0.0,0.0631,0.485,123.207,2YodwKJnbPyNKe8XXSE9V7,257053
0.794,0.811,-8.966,0.038,0.0426,1.07e-06,0.101,0.862,116.047,2Foc5Q5nqNiosCNqttzHof,248413
0.391,0.951,-7.419,0.0692,0.0126,0.000378,0.0878,0.468,157.66,4LJhJ6DQS7NwE7UKtvcM52,148360
0.525,0.473,-14.971,0.0555,0.00122,0.755,0.0854,0.723,125.87,3vMD8nPtK2mTQ5YVIQDNR2,174753
0.378,0.946,-4.241,0.0457,0.000331,3.59e-05,0.36,0.736,102.479,3fPw5ZXtnhXgbamspom4zJ,157480
0.549,0.824,-4.545,0.0319,0.000494,0.0,0.371,0.631,126.274,0Dd5Y8lLnBQQGiNVBH762c,162947
0.284,0.932,-3.302,0.0572,0.00443,0.0,0.422,0.289,133.043,72B6aicsfWMbF4aswh4Hbl,160107
0.604,0.788,-3.673,0.103,0.0678,0.153,0.127,0.301,126.06,0lHAMNU8RGiIObScrsRgmP,245040
0.382,0.793,-7.342,0.183,7.11e-05,0.147,0.0541,0.424,173.583,0ep7UTGw3F9VkN9FV52En3,585507
0.557,0.571,-12.667,0.0619,0.032,0.0718,0.176,0.644,127.526,5b28ztUNoXW9KQuMChuEBW,168477
0.528,0.976,-6.766,0.126,0.0737,0.459,0.246,0.403,126.819,16XU4gyJoKY8SL0sSI0Fls,227880
0.371,0.56,-11.819,0.0422,0.251,3.76e-06,0.293,0.716,107.75,7kqRblVRAW6zfxpZr7UHLq,121067
0.547,0.943,-2.502,0.244,0.00463,0.00789,0.685,0.515,92.262,0RkvaJraEJFlb7gJ8mYPMQ,202307
0.172,0.907,-5.676,0.0873,0.0529,0.00479,0.691,0.287,100.435,43gfp52evP6HbClZE3aRmC,176480
0.356,0.83,-7.794,0.0457,0.00145,0.05,0.106,0.575,119.844,0DbvxgPkYpy5auMoE19Pvh,240600
