danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms
0.63,0.886,-4.615,0.0406,0.011,0.0,0.0697,0.897,127.96,6dXt4t5jgySnVTeTpT4C0l,240600
0.659,0.822,-7.062,0.0403,0.54,0.0,0.0815,0.693,99.015,58rD9v97nDMWGORr2j9AEj,139605
0.777,0.75,-7.302,0.38,0.407,0.0,0.0565,0.742,89.776,0LxKGciKtDGXZ7B7t6NqWZ,203920
0.617,0.647,-6.149,0.0638,0.069,3.53e-06,0.23,0.602,119.962,3C3eLB1atmkn5KBh9Ye6R0,266733
0.739,0.89,-5.504,0.249,0.299,0.0,0.0835,0.786,93.998,2kYkRxutq4NHm8uOKH5RWv,181560
0.686,0.735,-7.063,0.0332,0.168,8.88e-05,0.44,0.483,110.577,3AQLL3Waks6LJ9FI8TFHGA,243147
0.675,0.997,-3.613,0.0614,0.116,0.0,0.383,0.775,130.104,0QUc8kGTwivnpGs16biksE,185373
0.541,0.901,-3.907,0.0724,0.274,0.0,0.0629,0.884,180.127,7z5ESxkuKYWx9C26YyF4Tk,216627
0.349,0.348,-6.142,0.0316,0.726,0.0,0.12,0.0886,74.541,0HZhYMZOcUzZKSFwPOti6m,246587
0.536,0.692,-5.306,0.0337,0.0894,0.0,0.105,0.237,88.968,3wrSpPwnR9CkrCq9EHbFiQ,246267
0.613,0.876,-3.685,0.0329,0.025,0.0,0.147,0.337,114.004,5hpviVYmFjnRctyAdy2bBH,223707
0.669,0.636,-5.676,0.0307,0.00385,4.98e-05,0.142,0.341,112.1,2LV5joNDrsyuXEh4FBARVK,199320
0.905,0.709,-3.65,0.234,0.209,0.0,0.0851,0.876,96.015,0pSMb8uijt58JidMByY5Xf,202106
0.666,0.627,-8.356,0.485,0.174,0.0,0.353,0.493,85.487,6b2vkaiDawOcupyDxNNCba,192453
0.777,0.606,-6.594,0.0271,0.58,7.16e-05,0.194,0.609,113.967,5TPbPhLYX9OeQO82qnIEEC,181107
0.777,0.693,-8.835,0.13,0.0526,1.9e-05,0.121,0.667,140.044,0zv3f19rNhmZhNmNA2xJsF,239683
0.726,0.9,-4.134,0.0401,0.133,0.0,0.145,0.973,160.139,7qiUjLVo6zLj8WmxPMqoXD,142463
0.599,0.533,-14.032,0.0472,0.475,0.00153,0.235,0.607,122.262,336ZYcU6poBWi3s8yzRcAD,228467
0.531,0.507,-6.094,0.0321,0.704,4e-05,0.119,0.433,143.726,0BWuJ7XmWto1HyfJZaPhyf,245013
0.77,0.754,-7.079,0.223,0.0686,0.0,0.0877,0.728,86.008,1rDRzBXU3uRG8m0j4Kvc6Q,163640
0.544,0.861,-3.848,0.0364,0.179,0.0,0.0907,0.37,154.01,5Xeppus1VcUatqv9zS1sg6,195587
0.575,0.555,-7.495,0.0453,0.103,1.3e-06,0.111,0.504,95.361,4ZhPLoMzZwewHLLjV1J15c,232467
0.574,0.793,-6.219,0.241,0.18,0.0,0.11,0.544,86.617,3tv1DRqL9KRuIUawu6eYG0,270427
0.752,0.765,-7.218,0.125,0.52,0.0,0.114,0.842,159.805,2cGlXalkjDkmHj1UsqfP4c,163893
0.875,0.888,-5.275,0.284,0.379,0.0,0.0461,0.836,128.653,09xzup1C7H52KnSw0367rz,169200
0.704,0.699,-6.405,0.343,0.184,0.0,0.107,0.689,88.025,3OwpdxnMWyUmKHyOQggahF,254853
0.612,0.28,-8.648,0.0434,0.932,0.0,0.088,0.387,72.795,0nJW01T7XtvILxQgC5J7Wh,213827
0.907,0.721,-4.917,0.253,0.0143,0.0,0.0793,0.538,107.979,4zAV2pS81cE30xhBHwG9Pf,171240
0.538,0.65,-5.864,0.0275,0.369,1.14e-06,0.0778,0.619,117.922,1dbCR3eSooPfMb1E1jKCaP,283280
0.555,0.772,-5.007,0.0523,0.315,0.0,0.105,0.346,86.921,5lF0pHbsJ0QqyIrLweHJPW,231213
0.589,0.943,-3.086,0.0723,0.0474,0.0,0.373,0.811,140.13,3kVleL34kmR8ZpuaH4I2uk,210467
0.516,0.735,-7.525,0.191,0.689,0.0,0.361,0.781,171.79,4h1ZjNnjywFbedrdQj9GlJ,231628
0.636,0.866,-4.903,0.0365,0.0117,4.33e-06,0.345,0.389,102.051,726MUob4MFWryuyBPm4tgY,225360
0.738,0.902,-6.569,0.13,0.0636,0.0,0.148,0.867,139.937,4llQorteAcXVpDfRh0QXex,216813
0.563,0.723,-5.043,0.0525,0.0946,0.000196,0.142,0.667,134.867,2oSdWx7HNrojEe1I253Myt,230640
0.682,0.922,-4.746,0.0449,0.292,0.00101,0.0359,0.983,160.742,7EzRdo7g2oeVrTviOgaYbU,287840
0.702,0.814,-5.498,0.158,0.142,0.0,0.309,0.456,80.98,0kJO1YKWCCKdWNqvSCLRTb,217910
0.788,0.78,-4.834,0.235,0.039,0.0,0.0945,0.746,88.995,41AZ9AbtCEjIRSHdyCKqU2,194893
0.576,0.884,-4.576,0.0343,0.0546,0.000105,0.372,0.627,128.036,1DCx5SCqZGVUgnxEMkd91p,220627
0.852,0.833,-6.569,0.188,0.136,3.6e-05,0.091,0.576,97.759,0LFq9xNDSgspBQlmaFfpat,250747
0.68,0.749,-6.613,0.304,0.0867,0.0,0.174,0.258,84.785,2SOimocBwo8MH6KKPlwi7x,250707
0.573,0.846,-4.716,0.0437,0.222,0.000415,0.109,0.604,154.072,48ryVrcVace5FT6TOlvAT6,206413
0.495,0.894,-4.814,0.0441,0.00453,0.000596,0.103,0.213,126.03,5VSCgNlSmTV2Yq5lB40Eaw,239894
0.612,0.679,-7.281,0.0252,0.0462,0.000167,0.347,0.491,140.016,4BH3bwOLMm7VLqMNuU5VT6,254360
0.861,0.717,-6.611,0.182,0.0294,0.0,0.16,0.944,115.002,5FAxTqpKp0E6RxlZR24PVm,208174
0.936,0.456,-9.101,0.0576,0.0144,0.729,0.107,0.791,120.505,2E72IKNHYKV3INvl6VBaRl,286653
0.415,0.751,-4.249,0.0375,0.221,0.0,0.0694,0.267,175.918,6S4A39Ef5raAfnA4jOl5iJ,187960
0.692,0.859,-6.333,0.0835,0.175,0.000417,0.279,0.924,161.617,0MVrs90dQpFmSIkPiNCV3N,213560
0.663,0.744,-3.469,0.0758,0.00958,0.000117,0.151,0.599,128.005,6RH5RbVCBpNPt11xgXdnlG,213213
0.638,0.803,-5.467,0.0681,0.0244,0.0,0.169,0.756,128.035,2Sy1KFLXBQjxqj6lCeIBCB,184013
0.598,0.912,-3.107,0.204,0.017,2.02e-06,0.299,0.455,176.003,0HlYtY3wYneOxgI7R3bKZh,234427
0.36,0.834,-4.692,0.0726,0.101,0.0,0.114,0.736,183.852,0jEc662D6V4WcObzFYjhOf,189853
