danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms
0.202,1.0,-4.917,0.231,0.000381,0.00103,0.0872,0.0261,143.88,33NLxS6mNVRf1GgezVIQMp,61733
0.239,0.965,-4.324,0.11,2.87e-06,0.908,0.329,0.0365,108.609,2oY3bgyZqbIwHTiD4ICRU5,114680
0.382,0.965,-4.557,0.226,9.68e-06,0.835,0.197,0.0771,116.462,5VjOBG0AzZmh24EOLS3GhT,97987
0.379,0.997,-2.631,0.18,0.00165,0.779,0.338,0.14,110.747,4PxWou58GTdV778xHe8yqC,34053
0.272,0.923,-12.034,0.123,7.07e-06,0.916,0.102,0.238,115.275,6oshnotRV9wIsjI0YvHDJK,358227
0.341,0.999,-3.924,0.177,0.00238,0.818,0.416,0.0372,104.959,4TKfJxLvkAm7IM0XEI50mh,41613
0.172,0.927,-7.259,0.114,4.09e-06,0.835,0.436,0.118,122.615,1hcBMT4ND8JiZ2oozF2mLi,63173
0.241,0.935,-3.718,0.0979,1.67e-06,0.945,0.366,0.102,73.278,4KY4pcbYtCdUdu8vk6sNc7,39893
0.255,0.982,-6.733,0.0668,0.591,0.0247,0.375,0.0377,102.707,3KVfgk28rAD5DoqwSXQu0M,46893
0.326,0.948,-4.125,0.183,0.00016,0.0,0.54,0.37,130.607,2jJptXG1lpaxAwbUajTzB7,88267
0.333,0.991,-3.439,0.0963,1.23e-06,0.0,0.105,0.0334,125.172,1pFIsflXo0qna43L4bpP4m,136411
0.631,0.41,-18.847,0.428,0.914,0.0,0.581,0.828,86.251,6ai9E2OHImxvgdYkOXe1y4,81507
0.285,0.922,-2.374,0.196,1.99e-06,0.665,0.265,0.193,127.3,1HVyFWKzbC95TkZZLfhpGQ,32373
0.324,0.998,-2.79,0.175,0.000995,0.698,0.447,0.0244,77.492,2fCvdQYCOJgdGvd46lnkEC,34293
0.129,0.734,-11.277,0.0719,3.8e-05,0.142,0.0894,0.11,145.085,0qq3gxRP2NhS6jKmnWufxA,92093
0.244,0.977,-5.353,0.109,1.53e-06,0.9,0.118,0.111,101.945,7wtg15QQ16mn4Hn1c1A8Wj,120787
0.218,0.998,-5.096,0.228,2.63e-05,0.0912,0.334,0.0274,144.919,5FFLnBgytmIeW1tQuppu3U,79307
0.163,0.84,-11.532,0.131,7.21e-06,0.771,0.0575,0.0391,102.872,3KPcU0zeYb32SFrWnu93Uc,249933
0.263,0.999,-2.419,0.142,0.0253,0.968,0.286,0.0321,79.361,3HaDxrcge0EFlzNomKQP9m,47347
0.28,0.974,-14.288,0.0923,3.63e-05,0.896,0.24,0.0613,112.098,6BQNfbPTuCM48vxFxAVLxH,141600
0.289,0.887,-14.387,0.0963,5.03e-06,0.861,0.293,0.478,148.655,5oIHVkR1P4y277ftTPLpWj,260933
0.32,0.961,-2.846,0.196,3.08e-06,0.915,0.558,0.308,128.173,3O7szYJJtiWPbmsmqceLNs,56320
0.238,0.978,-5.515,0.173,4.53e-06,0.00294,0.692,0.0681,121.575,3XQhsiYXPR4bBuR2zCVMhS,70893
0.27,0.816,-9.225,0.092,0.0206,0.805,0.237,0.191,110.757,5U8tF3Jm4N0ifIWxpBeU7G,71173
0.294,0.968,-4.702,0.386,0.00171,0.0129,0.646,0.132,99.394,0Pj5S3hUGp5UheHwhMDZvw,180973
0.288,0.986,-4.661,0.193,1.08e-05,0.074,0.747,0.0441,107.41,01G2VTNQnk6E3tCJjcwW55,250253
0.246,0.991,-5.469,0.139,3.21e-05,0.555,0.0685,0.267,107.501,2EDdtUhNQgZTO0dVnL22HE,81133
0.283,0.986,-5.008,0.188,5.53e-06,0.741,0.118,0.317,141.526,5QLquVPwm9dFJmSDXOmxQf,89293
0.28,0.937,-14.091,0.113,7.89e-06,0.871,0.105,0.0513,103.676,1WreTPLpISl7eIoykT9Y43,185707
0.267,0.999,-5.278,0.154,3.25e-06,0.0138,0.0684,0.105,125.126,6T4UueJb3O3WoVd8dO4yfG,95093
0.143,0.957,-9.124,0.0561,0.0012,0.948,0.44,0.101,82.023,2FFWJ7cCR2CcIxLHgVU5y3,155333
0.297,0.995,-3.567,0.229,7.67e-05,0.0139,0.362,0.0587,95.65,6uzzlQG7a9kl7fQERVsX1C,34760
0.141,0.997,-4.199,0.132,2.49e-05,0.8,0.359,0.067,90.855,44T1rHuB7FumhlRhcvJ4YR,119000
0.199,0.948,-4.533,0.124,1.1e-06,0.871,0.0894,0.0841,107.199,0gscpGthQ5opWhnmkVr1El,79400
0.226,0.999,-1.516,0.257,6.04e-06,0.86,0.23,0.0925,116.056,39Qg2eRFL9hizus1YVfEl7,83520
0.238,0.987,-1.81,0.147,0.000113,0.11,0.0919,0.137,105.637,2Vts7VqBsc7UOwVflX1VVK,147427
0.241,0.995,-4.594,0.216,2.85e-06,0.932,0.0968,0.0366,109.429,5b2kt3M8yVYPCBOu2tVENZ,207816
0.182,0.997,-4.992,0.15,5.56e-05,0.00105,0.308,0.0335,141.668,3c0zGJJqC8Gy9TSBtVUZWl,79027
0.323,0.654,-10.525,0.416,0.0004,0.000133,0.392,0.699,87.888,5fjOF2szsAXNZxWwrTLwjt,96893
0.272,0.994,-5.134,0.418,0.000581,0.0376,0.311,0.0333,109.508,2FoaPCpCjRDcuRXqL7vGQJ,100013
0.22,0.991,-4.352,0.132,6.55e-05,0.113,0.707,0.0362,70.408,0k4HEncWlhA06LVuRAo6On,117613
0.303,0.91,-4.643,0.16,1.9e-05,0.16,0.201,0.212,118.712,5PXujKcOnfltD5fZgSpwAR,281627
0.221,0.996,-1.457,0.125,1.01e-06,0.941,0.178,0.146,97.346,624JyqLawVg72WgoffHLy0,105560
0.215,0.87,-11.143,0.1,1.31e-06,0.871,0.12,0.215,105.758,4ly3gj3P7cFot8NzUqb7Vv,203760
0.261,0.956,-2.484,0.0568,1.86e-05,0.00398,0.409,0.351,120.225,60ENF4Jwc4rHNbnXhPLLmj,83453
0.23,0.985,-14.46,0.0855,3.03e-06,0.894,0.0949,0.0365,111.79,1B3EH5RE7LhigcjdBhlY5F,209573
0.224,0.789,-10.617,0.0539,1.3e-06,0.926,0.318,0.163,97.609,3VJuHwQWhNjDcKvW7ahahj,35400
0.261,0.985,-6.685,0.062,1.56e-05,0.874,0.0791,0.51,112.75,7KuAKFlB8NSMabLZ0vubCd,95027
0.238,0.996,-2.028,0.156,0.00126,0.974,0.163,0.0333,114.323,37A4otQu9lg5FiImgO3FSm,68133
0.307,0.967,-3.041,0.0781,0.00185,0.0128,0.0437,0.2,105.571,26ouzp0wzktFhSszpZmavA,270160
0.215,0.949,-5.764,0.102,1.28e-06,0.859,0.2,0.41,126.923,3YiWFZi0u2oxZwmwLFqNhK,52000
0.186,0.987,-9.237,0.137,5.79e-06,0.702,0.0615,0.0387,120.08,5b4qEYjYpwC5AidLZr8OA4,108773
0.219,0.793,-6.529,0.0677,1.71e-06,0.938,0.516,0.123,131.862,2WUJMof0qsvhadUFcjPLnb,36147
0.259,0.989,-7.542,0.517,0.00215,3.04e-05,0.37,0.103,214.929,11akqBhz2FeaIAk3phq7fK,78720
0.24,0.973,-14.12,0.0733,6.73e-06,0.955,0.151,0.0381,113.282,47yFcQFi0UhhmD1BPyxFEa,77200
0.202,0.935,-4.03,0.146,1.66e-06,0.94,0.228,0.186,114.308,0OPGR7wcSLUXU6wY9t8iL4,117707
