danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms
0.744,0.376,-14.996,0.0366,0.0815,0.0,0.108,0.42,100.78,1I6q6nwNjNgik1Qe8Oi0Y7,262173
0.559,0.259,-13.534,0.0321,0.525,1.36e-06,0.167,0.0634,62.182,4HEm31NkNS90o5jIwgDEH9,248880
0.721,0.939,-11.823,0.0376,0.115,3.79e-05,0.108,0.914,113.309,4cOdK2wGLETKBW3PvgPWqT,213573
0.779,0.717,-9.7,0.0335,0.0125,0.0536,0.355,0.789,115.384,300zfRaCgTmEm5Eqe3HqZZ,240800
0.638,0.988,-5.042,0.0921,0.0302,1.16e-05,0.371,0.723,117.955,3YVPpVJvJG2EauXurPA90F,220880
0.802,0.554,-11.313,0.0599,0.112,0.000163,0.0504,0.729,94.388,29Uf1hxqLNagVglWi3VPIF,239360
0.764,0.912,-3.868,0.0785,0.0245,0.0,0.188,0.871,109.011,0UVXQgNiplI7tfdsUVtnAG,277293
0.589,0.255,-20.316,0.0396,0.57,9.23e-05,0.101,0.508,133.133,3ehfSaIR7ogHEBlOZGb2ul,212840
0.681,0.716,-10.911,0.0333,0.0182,0.17,0.337,0.963,123.009,2xiOdusRnZezQok1RgLNeS,256493
0.606,0.913,-6.039,0.0351,0.246,0.00696,0.34,0.838,123.58,2d8D7uk3tbAThjRkdfrx9c,266600
0.769,0.826,-8.252,0.0624,0.267,0.0177,0.0638,0.762,95.862,5xl5582IihbEZAnfj0xyso,250032
0.707,0.814,-7.364,0.0368,0.158,2.73e-06,0.106,0.922,132.066,0XZN0LwG7CRXJ8SrlGiWYU,185480
0.802,0.756,-10.791,0.0349,0.0843,0.00765,0.0521,0.963,131.715,6ztstiyZL6FXzh4aG46ZPD,288293
0.555,0.401,-14.376,0.0698,0.546,0.0,0.121,0.795,90.882,2gIGz6JAzeXseCZTaexZzx,147267
0.583,0.685,-7.615,0.0296,0.0326,0.00119,0.0921,0.795,132.453,15nATIxH5WJMto7Q9zgBeI,310000
0.675,0.836,-6.473,0.0316,0.544,0.00282,0.527,0.863,114.234,4nWTTuzOtW077rV17qOOzQ,224583
0.805,0.558,-5.226,0.041,0.164,2.2e-05,0.0546,0.965,114.95,7s25THrKz86DM225dOYwnr,147600
0.68,0.762,-8.921,0.0377,0.000241,0.857,0.0983,0.878,129.016,5NsaeuYEfdAFxrZo6VuClc,289507
0.595,0.379,-12.058,0.0454,0.271,2.81e-05,0.1,0.448,92.006,7MF7QAodbGzNYav5ZfIhAY,279333
0.824,0.837,-7.124,0.054,0.0216,0.00944,0.123,0.947,121.143,6HIVJXpdvp1C1ubfnkFnz8,218787
0.587,0.133,-15.151,0.0565,0.186,2.26e-05,0.258,0.068,102.938,449u2me7lmUreBa6KpXrDQ,201733
0.614,0.235,-11.8,0.0537,0.813,5.68e-06,0.161,0.413,75.178,5zCJvrT3C7cIfHsR5iG95l,257533
0.51,0.619,-12.806,0.037,0.17,1.06e-06,0.0664,0.823,129.482,64tCsJOa1BkDS09PuqTEy6,159760
0.785,0.736,-12.362,0.0342,0.01,0.0169,0.0526,0.966,118.871,3kAx7jil7BYTGLf3k0uKsE,226107
0.539,0.599,-10.638,0.0483,0.0375,0.0,0.0754,0.636,167.7,39l1UORIhuHvUWfxG53tRZ,290933
0.919,0.534,-5.507,0.216,0.287,0.00488,0.0825,0.691,91.984,0JMuL1ruqVGPkeZULI6toQ,234988
0.527,0.415,-11.451,0.122,0.457,1.72e-05,0.117,0.515,78.169,1k1Bqnv2R0uJXQN4u6LKYt,125093
0.846,0.462,-12.231,0.092,0.0626,0.0823,0.0487,0.812,117.586,4T9HKCujjuQb9XRJtXu7yv,330293
0.55,0.444,-7.588,0.0292,0.241,0.0,0.187,0.0438,120.179,2RzJwBCXsS1VnjDm2jKKAa,320667
