danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms
0.326,0.894,-9.558,0.0443,0.00035,0.0,0.435,0.664,165.193,0KEhlgtlk0HuqBIqfGCGdF,227200
0.58,0.748,-5.433,0.0323,0.00935,0.0,0.753,0.584,109.781,16DhvbuyvJob4Q9GHNYu2n,216760
0.399,0.211,-14.236,0.0292,0.88,0.0103,0.107,0.0391,97.569,7eZd2MZJTBfoe0isAyawPg,308200
0.293,0.817,-3.786,0.039,0.458,0.0509,0.355,0.138,150.249,2A7GGXmTlXuH9LOvBXgOX4,451320
0.17,0.891,-5.57,0.057,3.81e-05,0.0043,0.0665,0.115,79.064,2glNXYm13D4Vp08ib5hfC9,308173
0.563,0.808,-7.876,0.0549,0.000154,7.22e-05,0.0926,0.553,123.013,0iw1byya68aQYl5LBeUItX,310267
0.208,0.979,-6.888,0.127,0.00172,0.826,0.396,0.118,80.554,7jVhBnX1Yy6YtNS79lYw9d,172440
0.654,0.81,-6.26,0.0288,0.00719,0.00251,0.165,0.661,114.623,2MLHyLy5z5l5YRp7momlgw,200307
0.438,0.827,-6.531,0.0328,0.0512,0.000402,0.319,0.645,143.377,0fzCtVM9D5UEwiLqcY8Ouq,322080
0.455,0.973,-5.278,0.0565,0.000183,0.083,0.109,0.371,142.497,59tm0GSryH6BozhjGOergk,165733
0.394,0.581,-11.818,0.0398,0.0102,0.048,0.0532,0.477,130.746,50qtzo7XUCP8JSgcpVcvHj,326507
0.353,0.362,-13.502,0.031,0.0894,3.38e-05,0.114,0.267,141.285,7rBMZvgeWnOTHWUh3Pvw51,502040
0.373,0.755,-7.574,0.103,0.00411,0.000799,0.0635,0.57,111.813,7yThIhNzpgDBIGoL2y1y6u,340187
0.464,0.905,-5.38,0.0694,0.000179,3.2e-06,0.212,0.565,164.252,2M9PoKjIXeRnjZfYeuhNFk,182533
0.506,0.964,-3.882,0.0398,0.00829,0.0153,0.304,0.695,122.785,2ST2McWrk7yAt3qQ8UVf3S,202813
0.543,0.961,-2.749,0.0373,0.000789,1.29e-06,0.431,0.567,131.463,3cMliO9emUSa4d1Ap2MbfW,198933
0.2,0.882,-7.177,0.072,0.00129,0.607,0.204,0.275,171.02,0JETYuePsiRyCZoQdgxZG2,325813
0.287,0.912,-5.553,0.0954,0.00743,0.00069,0.0871,0.274,139.106,5EnYdTx0BWhWM5YDcPkGAa,329400
0.192,0.908,-9.127,0.072,3.37e-05,0.000162,0.279,0.481,201.254,4EiLHuUSKTlaGmdR17J2tc,246227
0.229,0.924,-7.546,0.0727,3.34e-06,0.0921,0.0506,0.201,148.503,3TU8wdva1o8uLFrzhWj0gs,111640
0.412,0.952,-6.954,0.0677,0.000331,0.0179,0.0906,0.117,101.995,2UFwSrnwelNrESyi7QVw2x,226893
0.424,0.547,-10.775,0.0322,0.0113,0.0,0.241,0.25,137.211,23YZ38T4GxsuO32hfjIoRU,292867
0.367,0.461,-7.994,0.0265,0.668,0.0,0.199,0.369,136.717,2hNb45QeH5NXFIS2wwfGsN,233280
0.442,0.915,-7.751,0.0403,6.47e-06,0.865,0.114,0.735,145.27,43OH1K8VQSctPPt7982cRF,250252
0.329,0.658,-5.57,0.0373,0.00108,1.56e-06,0.0805,0.288,141.123,2uDwRgwGPjXq0oj0hNCuFc,343400
0.341,0.935,-4.897,0.0387,0.0148,3.32e-05,0.113,0.519,156.619,2LtSW8kYJJRTA0s5dbOmA4,246307
0.486,0.729,-7.196,0.0424,8.3e-06,0.883,0.047,0.798,107.545,2n6r0bWrKWeo55FWk68wSd,246853
0.474,0.872,-5.462,0.0436,1.6e-05,0.0874,0.184,0.3,108.685,49VUoapu86IcRAC0WBNEJc,251253
0.243,0.971,-4.199,0.0751,0.000241,0.198,0.866,0.309,148.184,7DR3XpocgR9PEo4jUcOGc5,127307
0.658,0.709,-6.736,0.0904,0.00188,0.00447,0.0657,0.855,129.701,3GfOAdcoc3X5GPiiXmpBjK,121880
0.48,0.856,-4.409,0.0484,0.000347,0.00418,0.133,0.324,134.229,7waRjsA2ehXv619f47lYOT,278133
0.386,0.677,-5.83,0.0346,0.00841,0.00366,0.341,0.195,126.602,42T2QQv3xgBlpQxaSP7lnK,238240
0.341,0.965,-5.976,0.107,6.66e-06,0.723,0.317,0.273,134.328,2UoHjfejHhemj0KSWCOV2A,351360
0.4,0.576,-10.778,0.0301,0.361,1.64e-06,0.335,0.298,135.317,4m1BHxinyAOrymQFKqTsr6,342600
0.287,0.78,-6.493,0.0469,0.049,3.71e-05,0.184,0.383,167.278,6CHENx8iqzMwavTIz8s0gm,204933
0.415,0.867,-5.497,0.0387,5.69e-05,0.000192,0.0883,0.36,157.902,07q6QTQXyPRCf7GbLakRPr,249987
0.542,0.855,-8.381,0.0289,0.00482,1.79e-06,0.612,0.771,113.55,1PAOrcAwt8zSlY89UyjWDK,152400
0.64,0.864,-6.576,0.0314,0.00832,0.0,0.123,0.701,102.026,42et6fnHCw1HIPSrdPprMl,268360
0.209,0.842,-12.116,0.0579,0.000525,0.00177,0.111,0.228,188.65,7rcrlV45wCgTi8jkAf6bNb,224440
0.174,0.986,-5.354,0.236,0.0404,5.05e-05,0.144,0.235,189.05,4HHAE3GAWLuF8d8ELCbch9,259627
0.565,0.412,-12.604,0.0324,0.0144,0.684,0.1,0.396,126.305,6zt4QCo05MmCne8zoI3Grd,309760
0.143,0.919,-4.438,0.11,2.57e-05,0.00427,0.134,0.201,172.668,6dJODklApmve5IzgKWUqV2,256333
0.456,0.818,-11.286,0.0589,0.115,0.0,0.0995,0.257,115.556,1kwsUMjFuePZBNB56gQYoA,179680
0.636,0.405,-11.819,0.0259,0.706,0.36,0.0717,0.377,106.768,4vkcU3UFjYsKuBibmYA3hL,245253
0.464,0.723,-5.479,0.0314,0.0528,3.1e-06,0.0848,0.363,136.645,3qsExKNMqEdRepXTT9zbCz,214040
0.558,0.817,-5.958,0.038,0.39,0.0,0.137,0.874,130.956,04Jk0uP8SbDHLyAKfRctNQ,132333
0.481,0.96,-8.497,0.0827,7.16e-05,0.926,0.121,0.285,123.163,0KauTIoHJfHKMGQpEh9H9z,216333
0.272,0.483,-9.06,0.0402,0.00933,5.23e-06,0.12,0.344,85.856,3uKlQsBpyB3jzEAKeZy9zx,344693
0.482,0.723,-10.08,0.0425,5.66e-05,0.000432,0.0939,0.554,117.051,0W0wrLHEedr7d5drOI24G7,250013
0.383,0.599,-5.432,0.0304,0.644,3.61e-05,0.311,0.547,148.018,4ptSL1o2pRgNvrC4wsN1Pl,217800
0.465,0.708,-6.299,0.0327,0.0286,1.34e-05,0.108,0.388,97.532,3AZ5XoHdiFpiKMky6M1Gt9,192783
0.206,0.8,-6.166,0.0786,0.00199,0.000495,0.11,0.277,192.948,1WwDFD23XjqAAtRTky5UwK,320907
0.26,0.969,-4.297,0.0931,6.59e-05,0.000323,0.151,0.147,151.53,58M7RujZoMTuG45wcC0eTi,215693
0.437,0.717,-4.803,0.039,0.0779,0.00274,0.108,0.547,178.085,2QOMGq8wVTZbLmh7McrvgF,215907
0.31,0.897,-5.155,0.0498,2.32e-05,0.000879,0.13,0.44,175.944,0Wa4gt3f3g9hPX0ypT6Zfq,256507
0.498,0.46,-9.243,0.034,0.266,0.000799,0.11,0.356,124.578,50AwZsz8Muj0bT7hQCasBp,189000
0.645,0.561,-7.716,0.0276,0.0978,0.0424,0.692,0.25,111.559,53aEW0x7F1ub0gOsDSxiBF,356707
