danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms
0.437,0.864,-7.842,0.0904,0.396,0.0314,0.242,0.749,81.394,3qT4bUD1MaWpGrTwcvguhb,295387
0.342,0.91,-7.748,0.0758,4.02e-05,0.000121,0.0823,0.547,140.452,6EPRKhUOdiFSQwGBRBbvsZ,166360
0.504,0.911,-2.97,0.0738,0.00512,0.0123,0.355,0.671,106.244,70Z9t1qhytWtG4cCmmi7mU,179760
0.384,0.535,-9.939,0.0289,0.238,0.00045,0.0533,0.232,132.445,5QRs63VVKNaqUjg6XSSckM,354640
0.294,0.641,-9.316,0.0291,0.0163,0.22,0.112,0.226,79.759,3YRCqOhFifThpSRFJ1VWFM,536067
0.28,0.908,-5.509,0.109,0.0327,8.85e-06,0.18,0.26,118.698,5XcZRgJv3zMhTqCyESjQrF,270080
0.286,0.914,-3.929,0.0905,4.94e-05,0.000255,0.0838,0.485,140.042,5VToMJACRoeT0YZNs5CYyp,197853
0.529,0.843,-6.908,0.0616,0.0628,0.000827,0.0608,0.188,117.662,3MrRksHupTVEQ7YbA0FsZK,310333
0.365,0.767,-6.185,0.0681,0.181,0.000856,0.0942,0.422,94.174,53XBXgtdqf1gmWMm3rqV27,248053
0.451,0.962,-3.947,0.0734,0.0188,3.17e-06,0.277,0.377,131.435,4ECNtOnqzxutZkXP4TE3n3,323707
0.484,0.711,-7.784,0.0331,0.0183,0.173,0.0941,0.49,148.189,2f0P7iELCvAlV8j6Z3rGDE,503067
0.547,0.394,-9.793,0.0262,0.0522,6.4e-06,0.0795,0.17,142.37,2CtemffYhT0DJWcT1XW047,388733
0.596,0.605,-12.145,0.0255,0.181,0.000331,0.0863,0.886,97.798,7e89621JPkKaeDSTQ3avtg,283800
0.476,0.901,-6.751,0.0975,0.0642,0.158,0.0557,0.109,91.955,57fqmDaokbxZ3TaB0jp39q,353787
0.453,0.987,-4.485,0.0889,0.0195,0.283,0.268,0.316,123.544,0G21yYKMZoHa30cYVi1iA8,273480
0.572,0.835,-6.219,0.0317,0.171,0.000377,0.0702,0.795,129.981,7N3PAbqfTjSEU1edb2tY8j,241600
0.482,0.617,-12.931,0.0458,0.00543,0.000146,0.284,0.718,125.697,58XWGx7KNNkKneHdprcprX,252493
0.64,0.651,-14.981,0.0517,0.142,0.28,0.0341,0.801,111.676,4c4jJJoaiY21t2TyRZgdWS,271573
0.465,0.977,-3.839,0.175,0.00111,0.00298,0.201,0.233,89.535,6imjJij6aCM0IbbODUzJQn,284027
0.601,0.859,-5.263,0.0276,0.000359,0.00124,0.0871,0.446,125.145,1UBQ5GK8JaQjm5VbkBZY66,258027
0.249,0.943,-5.188,0.0669,0.0286,0.00401,0.162,0.458,173.671,0sxYYT48UPkmrDx8p4Hnrl,233507
0.566,0.834,-8.412,0.0298,0.00277,0.008,0.0625,0.621,123.296,3VqHuw0wFlIHcIPWkhIbdQ,331560
0.186,0.987,-2.713,0.0934,0.494,0.506,0.691,0.112,121.194,5nV1dGg4STKkDa9y6XeIBg,222816
0.581,0.624,-8.346,0.0777,0.0987,0.0,0.0411,0.637,139.714,4vO9dmzNRqDhFY3jD1a3P7,151293
0.512,0.947,-5.659,0.0401,0.000692,0.114,0.0283,0.612,117.461,2PpNgmrS9mAyrkRAwn6YPq,256933
0.44,0.524,-6.533,0.0277,0.0717,0.0,0.339,0.144,136.309,1qlRSRaD3Hb5lfzcAs0Ev1,269587
0.489,0.873,-5.38,0.045,0.000127,0.000778,0.108,0.386,148.046,0uzJU4LpKHBU1qrAhIJ4mY,254616
0.504,0.918,-3.463,0.0517,0.00164,2.12e-05,0.78,0.539,92.031,5e3YOg6fIkP0wD5TyxcHOH,294827
0.469,0.532,-15.666,0.0609,0.0128,0.125,0.118,0.52,160.914,65WuSOl0mx1FhHgQub0uEX,234107
0.452,0.524,-10.108,0.0351,0.315,0.0,0.103,0.246,151.505,3ovjw5HZZv43SxTwApooCM,312360
0.308,0.866,-5.671,0.059,0.000739,0.00141,0.232,0.227,109.825,0h4rVZcOiSaL9b5mT1A2gq,438120
0.418,0.452,-13.099,0.0356,0.638,0.00026,0.0959,0.168,175.088,54b8qPFqYqIndfdxiLApea,218733
0.298,0.895,-7.647,0.0547,0.0283,0.00574,0.305,0.544,173.737,4gVTozEmzwAUXpwj3jEetX,368507
0.561,0.757,-10.061,0.192,0.0563,0.00127,0.558,0.64,156.432,43DHLzDkncpby82Po5jlOZ,209560
0.532,0.887,-3.757,0.0335,0.0778,0.000214,0.294,0.795,122.511,37ZJ0p5Jm13JPevGcx4SkF,249293
0.806,0.599,-9.379,0.0323,0.195,0.000455,0.0837,0.556,109.016,7F8JbSCPBXm3IxMx2UMMhH,244080
0.5,0.748,-9.072,0.0363,0.127,0.0,0.447,0.514,118.852,4bHsxqR3GMrXTxEPLuK5ue,250987
0.239,0.961,-6.695,0.128,9.44e-05,0.0619,0.964,0.182,176.343,3ebrniHtOzNWigJhEkWguR,267507
0.439,0.734,-12.168,0.097,0.262,0.333,0.244,0.54,145.703,3lN8PP6R2IxbLP05QpYXng,212893
0.713,0.569,-10.908,0.07,0.112,0.00643,0.144,0.302,124.629,134daqGJfYmvD7VavPUCWb,263960
0.683,0.594,-8.289,0.0347,0.385,8.61e-05,0.121,0.734,115.099,2K2M0TcglCRLLpFOzKeFZA,250400
0.43,0.523,-8.937,0.0283,0.415,0.356,0.281,0.3,147.93,7JTgkvvuAU9XW8IEuBF6qq,256360
0.417,0.814,-4.145,0.0322,0.0316,3.17e-06,0.128,0.453,161.969,3QwuR2BuGsW4bC3P3cnpIN,316667
0.317,0.887,-7.292,0.0375,0.000582,0.00258,0.0891,0.871,169.613,4PRGxHpCpF2yoOHYKQIEwD,220561
0.497,0.693,-7.024,0.0565,0.19,0.0,0.215,0.358,111.539,4ykYmUMLd18ldAXgF2B361,296493
0.604,0.883,-3.821,0.047,0.0254,0.0,0.0813,0.544,90.001,2tAzcTFry1OhmNERFjUR93,245533
0.454,0.913,-4.008,0.107,0.408,0.000271,0.248,0.521,137.688,7ACxUo21jtTHzy7ZEV56vU,293183
0.494,0.735,-6.326,0.0348,0.000185,8.38e-05,0.086,0.359,125.042,5OF7nhjVV0dmngqYjDrZGw,276200
0.377,0.681,-8.039,0.0298,0.00088,0.0023,0.0504,0.285,108.789,1QEEqeFIZktqIpPI4jSVSF,285133
0.435,0.987,-4.667,0.16,0.000195,0.0847,0.268,0.101,103.16,0L7zm6afBEtrNKo6C6Gj08,365827
0.548,0.691,-13.553,0.0369,0.015,0.106,0.144,0.667,137.145,4KfSdst7rW39C0sfhArdrz,261933
0.33,0.469,-9.286,0.0335,0.31,2.3e-06,0.0402,0.433,201.327,2OgVsp77En2nju8pnCieVU,292067
0.263,0.759,-7.288,0.0431,0.0555,0.0,0.231,0.429,179.904,0IhUdJRoolbYeEMPL59XPm,284496
0.337,0.701,-7.004,0.227,0.49,0.0,0.676,0.532,84.661,0C58Q1PLFizewm2FcYikwz,275707
0.519,0.833,-6.947,0.0496,0.00572,4.33e-06,0.104,0.532,138.225,4f3RDq9nYPBeR1yMSgnmBm,310080
0.541,0.96,-2.947,0.0505,0.0663,2.25e-06,0.344,0.812,122.803,0rmGAIH9LNJewFw7nKzZnc,222707
0.682,0.45,-15.978,0.0321,0.27,0.213,0.183,0.829,114.123,01tFpbYAKvX1x1msvTstC7,231307
0.392,0.476,-7.583,0.0249,0.397,0.000163,0.309,0.234,78.031,1xsYj84j7hUDDnTTerGWlH,267597
0.392,0.402,-9.961,0.0536,0.288,0.0,0.243,0.228,143.883,7tFiyTwD0nx5a1eklYtX2J,354320
0.105,0.88,-8.007,0.0628,0.149,0.0,0.643,0.19,91.086,2wObRsRsofBOZTJgjwHkwp,227387
0.551,0.605,-12.7,0.0297,0.168,0.00573,0.0562,0.497,109.823,7g6j2SGvsvcUi6OLD9Qe1o,298373
0.472,0.9,-6.406,0.0582,0.148,0.000297,0.34,0.42,95.826,3KhF2YiNpJvGpfiCW45R6D,214960
0.509,0.916,-5.407,0.0537,0.0171,0.0,0.096,0.569,87.977,2VAIeoKt0SAxnPOdtbcePQ,185813
0.333,0.927,-8.55,0.0733,0.0029,0.000208,0.297,0.385,141.466,5QTxFnGygVM4jFQiBovmRo,308120
0.594,0.77,-8.267,0.032,0.276,0.0176,0.0575,0.827,107.484,52bzQkgk8TznulGvKOPQTK,277227
0.696,0.886,-4.34,0.0837,0.021,0.000169,0.066,0.88,128.961,4rPZyXQYxuAltz75OgG8oR,270267
0.448,0.878,-2.953,0.0844,0.048,1.33e-05,0.175,0.624,128.152,0i2VKBjz7WFaqJ9DgXtPK0,216800
0.503,0.468,-16.829,0.0374,0.0256,0.00134,0.0842,0.215,102.451,20aASiwfsbiLlaJxLiC0PQ,385893
0.558,0.859,-3.992,0.0421,0.00469,0.00196,0.0831,0.31,127.98,1vzqcPRQ6P1Uw7NZ5M77wJ,231445
0.478,0.974,-3.866,0.102,0.000266,0.0984,0.0738,0.268,141.077,7kF1iPJTj3VFJX9XokQ80F,248307
