danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms
0.416,0.972,-4.966,0.112,3.37e-06,4.06e-05,0.314,0.157,122.487,4bOX3KfGgQE1GkxxJ3OUtI,272600
0.225,0.939,-11.81,0.0596,9.47e-06,0.762,0.384,0.225,113.533,0CDHN3Wk8JY0p5myySB0mS,364627
0.511,0.983,-5.215,0.0932,3.34e-05,0.682,0.176,0.356,108.968,40gZAlqBJbZ9gZFyAo53Cj,208840
0.525,0.988,-4.438,0.131,0.000203,5.14e-05,0.216,0.108,95.007,0snCa39pI3RVzA4ppOeSWO,277080
0.523,0.948,-4.627,0.12,0.000114,0.053,0.544,0.567,150.025,1fZvEmAmWtsDSUjAgDhddU,197667
0.357,0.905,-7.787,0.0523,0.00395,0.000417,0.375,0.546,81.294,5gnjaZqOaqE5GZKjby8KoT,330227
0.501,0.397,-9.399,0.0273,0.0726,0.0149,0.1,0.0842,99.963,08P0nPOKsNdQ7JLVwBqnBi,245880
0.342,0.987,-4.42,0.205,0.000262,0.00025,0.172,0.0418,110.125,0t1lDXmMWBzF6mfnQ6KwqZ,320520
0.344,0.92,-5.122,0.0487,0.00634,0.0,0.0816,0.505,115.727,3pWvRhml43vlUrGYlIzLM6,222560
0.421,0.955,-9.821,0.137,0.000145,0.0112,0.893,0.0693,129.974,6ZdSE0DpqTvkP8gGP0qVjr,366520
0.507,0.993,-3.44,0.139,1.69e-05,0.000665,0.0804,0.104,108.012,430xmK8Tw4J4VG8PxCqO4I,230693
0.382,0.996,-4.119,0.104,0.00208,0.0,0.417,0.327,93.345,2gscB6kDOmrv1P6qs2KXE3,147840
0.261,0.927,-7.532,0.128,3.94e-05,0.173,0.111,0.174,86.023,6ffqzH0cLZdKHuZB0rqec0,467547
0.522,0.992,-3.234,0.114,0.000585,0.00093,0.665,0.365,124.983,1x1NTUH1QUJEiBnkAMy0Mq,226213
0.464,0.964,-4.338,0.0603,0.000128,0.205,0.324,0.585,135.078,6NeUmwrvmkIuTO9dh3qOwT,254107
0.448,0.689,-10.284,0.0345,3.23e-05,0.384,0.111,0.421,125.001,3WpmO13nUtLDRZujMgu4ss,501680
0.39,0.967,-3.619,0.0625,4.45e-06,0.0591,0.608,0.416,177.041,5otXJIeiF43SPz7R7ov8GX,238813
0.415,0.908,-9.701,0.0765,0.00437,0.0345,0.082,0.437,114.816,2SgbR6ttzoNlCRGQOKjrop,243533
0.269,0.942,-5.442,0.197,7.02e-05,0.00757,0.112,0.249,155.005,09YfXrEvnVE8cSKYGBBAI6,230760
0.286,0.895,-6.041,0.104,0.00209,0.141,0.0562,0.58,172.764,6LUGAFpbYVek4rRY0G9dV0,344933
0.47,0.999,-3.902,0.201,3.45e-06,0.79,0.324,0.0364,119.968,2Uxh6Vjw0GJgmnV2GW9N5y,320761
0.323,0.987,-3.444,0.242,5.71e-05,0.387,0.259,0.148,128.293,6mtAtUpgaeKAogV9fFOY5q,198307
0.365,0.978,-6.314,0.0698,0.00016,0.00241,0.206,0.108,101.886,153SwL1d9SfCLWhqIs08we,301053
