danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms
0.878,0.676,-5.198,0.255,0.257,0.0,0.101,0.534,140.013,24lORMRGMv9sXpZJdN1PVm,231194
0.618,0.71,-6.066,0.331,0.407,0.0,0.183,0.233,112.014,5BQrp63SHCVf4bzCzJePne,249450
0.733,0.664,-6.163,0.295,0.102,0.0,0.191,0.557,148.005,3iL2l5gUqyPS6vDwJFgJTR,288133
0.721,0.662,-8.136,0.403,0.0888,0.0,0.178,0.68,94.191,1xIxMz1sNQ4b6svH1GuTtF,285947
0.681,0.314,-9.319,0.0581,0.2,9.82e-06,0.1,0.166,139.992,6mapJIPnQ23RTAevUoE0DL,208120
0.441,0.744,-6.248,0.476,0.262,0.000382,0.138,0.124,81.396,66Q3fAmSX5eHamgbKa9alP,251573
0.769,0.836,-4.15,0.244,0.0618,0.0,0.182,0.651,88.978,5fyRqeycMofUoGmDis5Gu6,237720
0.809,0.58,-7.253,0.348,0.0856,0.0,0.115,0.146,157.961,1tyjWMMINb9S0YBynTvJ7s,212383
0.92,0.675,-5.661,0.263,0.307,0.0,0.104,0.749,141.967,0TBgMKD86t1VP3IzhxCoUl,304041
0.899,0.448,-8.789,0.0738,0.000692,2.36e-05,0.365,0.302,145.975,1ung2kajpw24AaHjBtPY3j,204787
0.795,0.56,-5.773,0.0479,0.184,0.0,0.158,0.459,136.988,6LxEtvMKSwmPdd5Fh1PCof,263277
0.902,0.41,-5.31,0.219,0.176,0.0,0.119,0.647,84.07,5K5dQsYdSdo2LKdepxbYAd,341427
0.925,0.443,-8.216,0.264,0.0172,0.0,0.276,0.35,136.078,2bjwRfXMk4uRgOD9IBYl9h,236615
0.936,0.495,-6.062,0.229,0.0254,0.0,0.087,0.299,139.951,2EUNZfjPToKZIahK0WMLKd,161013
0.888,0.515,-6.246,0.271,0.247,0.0,0.446,0.264,141.009,5S1IUPueD0xE0vj4zU3nSf,225893
0.637,0.661,-5.23,0.0808,0.191,0.0,0.134,0.393,130.228,5gdy0ytFSBQykiYc5NmhJL,195920
0.794,0.614,-5.352,0.0467,0.0964,0.0,0.0788,0.663,80.569,7jLbTp3qZzah9kMIdW8e5M,238053
0.683,0.776,-3.251,0.341,0.15,0.0,0.227,0.223,173.996,1qsHYUd2c1wFGcn7e63QmG,188773
0.903,0.439,-11.813,0.397,0.0407,0.0,0.138,0.532,139.112,0xl1w2q4VLojeXp4JfazPL,307593
