danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms
0.485,0.726,-4.2,0.0327,0.0603,1.75e-05,0.225,0.288,140.781,4ABua0yuWcpTotImEEJTaw,271907
0.474,0.766,-3.419,0.0291,0.291,1.38e-05,0.685,0.402,149.988,3RFwzA2lXqIzoXHVbeLH1d,221800
0.677,0.776,-5.933,0.0386,0.42,0.000689,0.0954,0.642,121.834,2p07VcUwRZ5sru3mJ0JogS,192800
0.333,0.524,-6.788,0.0301,0.194,0.0,0.124,0.438,73.393,1ejsHmXBdf1RMLAmDQdFdh,170387
0.523,0.626,-9.425,0.0523,0.155,0.0,0.0869,0.917,134.127,383Xl5QTigwj3QiA3Qc6S7,214867
0.771,0.848,-7.365,0.035,0.108,0.0,0.35,0.803,115.642,0NLBwQBYJhEM9t3KAMPFVR,152187
0.579,0.878,-5.396,0.145,0.29,0.0,0.789,0.88,165.972,59tUXZ9dL0qkaa18WCfUnZ,191253
0.591,0.627,-9.984,0.0339,0.502,0.0,0.135,0.768,121.008,3r8c2Ep6Y2ykadghSFuUiC,190693
0.782,0.589,-7.37,0.0803,0.0476,5.84e-06,0.0366,0.849,85.022,1dgWTMoHwTUnQhOQ8SR5fV,182960
0.558,0.16,-17.501,0.0384,0.826,2.3e-05,0.131,0.401,63.055,6W7JvNYum6o2NxIIP5rZ2s,182360
0.727,0.563,-13.903,0.0353,0.266,8.06e-05,0.337,0.95,134.185,7jdcPWDXxR3d70gSoli1sH,134227
0.515,0.192,-10.95,0.0283,0.983,0.0,0.0838,0.458,139.168,6rSQE0EInufYxsp52dSnIX,156867
0.428,0.51,-11.695,0.103,0.52,8.32e-06,0.105,0.393,169.967,2MiXC2LfpsoeUP5RvMGEQ3,257267
0.816,0.669,-7.925,0.0295,0.284,0.0,0.0563,0.967,112.132,16OFkCrdYH524sqvTPt6CT,171813
0.51,0.847,-4.622,0.087,0.105,0.0,0.691,0.74,184.942,5pQtfVIaQvINzl0XIGKNrC,215920
0.41,0.568,-11.673,0.0346,0.387,0.102,0.389,0.644,103.026,3CqLvQ9fPOLtLIKb7r5ti6,178733
0.571,0.491,-7.166,0.0274,0.686,0.000841,0.108,0.272,136.692,0jryDICIAztTxzwD5IjZuq,199507
