danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms
0.632,0.964,-1.555,0.0819,0.0117,0.0014,0.225,0.402,124.997,5ng9duWuWbHlwviFSh5Vqx,197760
0.661,0.887,-3.996,0.0737,0.00108,0.768,0.0756,0.159,127.994,4sKxpfxfS5AdVczPBtv4QX,270000
0.93,0.641,-3.719,0.346,0.000911,0.0637,0.572,0.345,127.994,3YN1rSuRug82RFXdEMyUQZ,357877
0.432,0.969,-3.131,0.0599,2.92e-05,0.00768,0.385,0.218,174.031,2A7ZZ1tjaluKYMlT3ItSfN,252960
0.773,0.813,-4.609,0.0797,0.0331,3.77e-05,0.192,0.707,127.93,2MGRnjJc7C0z3EOEWRqcMw,199387
0.803,0.885,-3.664,0.049,0.0732,0.312,0.0503,0.654,127.985,1TtteYFQeZfSU8AmfIAOvu,224531
0.702,0.84,-3.38,0.0679,0.00678,0.692,0.0342,0.699,128.017,46cbYgWcbsDemGFQMzqT2q,317279
0.754,0.933,-5.786,0.0448,0.0199,0.0,0.297,0.75,103.992,0ltBH1JNzSvQJPjJpvTu9B,225000
0.72,0.961,-2.866,0.0494,0.00797,0.836,0.412,0.312,128.967,6sGs4h6HJ3yEhIJUzbE2EP,275996
0.482,0.782,-5.997,0.0396,0.000454,0.000937,0.455,0.217,127.945,227i5FjbQe5jjXqcvQbYmY,366893
0.694,0.9,-5.245,0.0456,0.0989,0.946,0.473,0.293,127.997,7102UhVPxGoYGNE2w3duPh,183750
0.655,0.678,-6.799,0.0382,0.025,0.0919,0.116,0.32,121.982,4tMKxiq3lqiRXDA6hssBjj,233481
0.705,0.794,-2.266,0.0593,0.0488,0.0,0.575,0.412,127.961,6JOlNkT0QdHeZB0wPbI9IR,199680
0.55,0.861,-6.526,0.0402,0.00592,0.00143,0.107,0.37,127.987,2N2Mp4HjnYcmrZ2YqrKedy,244067
0.701,0.681,-7.122,0.0475,0.146,0.0356,0.131,0.75,127.965,4KSTgjWvpn5JBEdmbpNq34,177429
0.578,0.895,-7.837,0.0409,0.00193,0.174,0.129,0.288,133.95,30V9djJPVNe97IEWrXDWkG,282467
0.645,0.85,-5.952,0.256,0.00105,0.302,0.364,0.471,127.997,76fqWMe0buqQoaNTIbLWmr,332289
0.693,0.959,-5.625,0.162,0.0131,0.0641,0.666,0.183,128.031,4mAPeruKgSGo9DwKDmILH6,318600
0.435,0.641,-8.659,0.06,0.000245,0.975,0.154,0.233,126.979,6vVPkUtNYdtCC2zeNjTm1j,221785
0.681,0.692,-4.302,0.0707,0.000595,0.835,0.395,0.374,128.003,6Cp3SKfkANbCGQVIXFM03l,371260
0.556,0.881,-2.224,0.082,0.00119,0.0,0.0709,0.337,104.973,0mlf3yOGzVnIVxjybDQL3h,213697
0.825,0.856,-1.912,0.0476,0.00851,1.4e-06,0.127,0.207,128.016,1V4jC0vJ5525lEF1bFgPX2,222133
0.78,0.763,-3.908,0.0631,0.00425,0.614,0.651,0.351,128.018,7M3E3patpaJZ5nwOtn9WPy,371000
0.578,0.893,-3.615,0.0557,6.15e-05,0.00629,0.147,0.373,126.018,1Thv8uCYzyOFC7PME9J936,320173
0.602,0.733,-7.345,0.11,0.00294,0.0,0.267,0.55,124.996,6em1ss50PJg97QXOvrFuW9,213159
0.552,0.742,-6.122,0.0683,0.015,0.0124,0.639,0.274,128.076,7EdxI2Yro4AW2HH3akwqms,209766
0.647,0.822,-4.662,0.183,0.219,0.0,0.0908,0.962,160.019,60nZcImufyMA1MKQY3dcCH,232720
0.641,0.916,-6.683,0.0518,0.0261,0.765,0.473,0.531,128.013,3yTMuSHyGmldSAUrIpHlqN,423790
0.308,0.89,-3.425,0.279,0.137,0.0,0.117,0.274,127.988,3gswbwrbstlcrVSDNlAmdw,200977
0.59,0.824,-3.997,0.386,0.000826,1.11e-06,0.636,0.385,130.086,288EugdWdu9RZNh8EYXV0n,264080
0.78,0.938,-4.034,0.0791,0.071,0.144,0.154,0.407,127.0,7n48waeOIUz85YZkOH0lCb,221236
0.546,0.912,-3.535,0.0787,0.0634,0.00323,0.0701,0.376,127.043,7ohfnqPiZiPszW9PQw92xy,207894
0.602,0.691,-5.197,0.051,0.0548,0.0,0.144,0.206,127.967,18VfHIPaCo0s6FTi1Fnp6T,222307
0.436,0.945,-3.72,0.0668,0.000651,0.18,0.312,0.361,127.965,1BYhP5Ll2zXzA5eVzKHKfZ,165453
0.539,0.954,-3.054,0.12,0.00224,0.835,0.0623,0.389,129.956,20c8kwM60klIrU9LIYNv0X,174399
0.669,0.663,-5.339,0.223,0.000678,0.000403,0.104,0.51,127.99,4dmL872hNFWSjekkOWG55h,355033
0.743,0.962,-3.205,0.0628,0.00431,0.645,0.351,0.646,127.995,5PZI5xTcMq8FsCcEroth7S,270000
0.718,0.983,-3.753,0.0586,0.00345,0.698,0.386,0.55,127.977,6yHTVLC9ST69iKpe62REty,300000
0.697,0.861,-4.389,0.144,0.00482,1.83e-06,0.41,0.703,127.023,0mtPNQl5vePVwiI9Vykp7L,228200
0.676,0.893,-5.186,0.0484,0.0318,0.0931,0.661,0.609,127.99,36zrMoBJo2ysb5KeWI5nU3,375280
0.808,0.673,-6.115,0.0649,0.00449,0.273,0.12,0.212,128.001,4T5cmqXNzCWYLdnxgszZaL,315587
0.433,0.444,-9.911,0.0372,0.013,0.856,0.121,0.0356,128.01,31NiyZrUd1r4icY7xkvnWv,633187
0.786,0.696,-5.796,0.0428,0.0234,0.0019,0.0839,0.306,121.974,4Jv7lweGIUOFQ7Oq2AtAh9,280070
0.694,0.699,-8.995,0.0615,0.025,0.923,0.268,0.353,127.988,63FBHusPgw9X6tz66prs5N,235680
0.641,0.922,-4.457,0.0786,0.0291,0.0,0.0862,0.847,146.078,3bidbhpOYeV4knp8AIu8Xn,258343
0.567,0.796,-3.534,0.0364,0.0247,0.0,0.124,0.305,127.983,3Gwq0zKnMWluOEPKh93BeC,225840
0.589,0.966,-3.13,0.0537,0.00048,0.601,0.105,0.169,127.986,4XVngKa8b2ibVVVHWI2kz1,394336
0.758,0.977,-2.703,0.0979,0.0681,0.891,0.0778,0.207,128.015,3Tcs2zdJsXSSFxO6liZbkS,278438
0.817,0.426,-8.41,0.148,0.0004,0.121,0.0955,0.342,128.001,6bpuAtrBdLkDyFAIXYCwH0,353973
0.537,0.759,-5.622,0.0444,0.0267,0.0,0.0947,0.377,127.973,1gpF8IwQQj8qOeVjHfIIDU,203307
0.771,0.733,-5.504,0.0593,7.41e-05,0.468,0.0252,0.655,128.029,3KIYGBcEJbDP9gfUqPK14i,332529
0.662,0.73,-9.637,0.0481,0.000181,0.754,0.133,0.212,127.999,5WOcXRr0ZqmtM61L6rMVbt,395644
0.727,0.938,-5.318,0.0766,0.0254,0.671,0.0642,0.695,126.011,6WaBSLUShG3BpQUpXr0CVR,407467
0.774,0.918,-2.012,0.131,0.0688,0.21,0.395,0.115,128.01,7090tYPC3UiSg7sdE6oGti,330471
0.814,0.73,-8.876,0.149,0.0392,0.00333,0.343,0.646,123.494,2cJz1loJp5EZM6shmQpLZN,226413
0.513,0.775,-7.202,0.0304,0.000672,0.248,0.409,0.205,139.932,03EuhmMsEHVFI9ytainStU,303911
0.751,0.812,-7.4,0.0707,0.00731,0.0298,0.11,0.224,123.998,2XnnUZJIWSvq5AsE2PpoSz,269947
0.72,0.925,-4.165,0.0511,0.0276,0.000238,0.14,0.781,127.004,2ZAx6NDhX2yE5aL5ueEQgY,195105
0.442,0.949,-4.815,0.127,0.00145,0.867,0.346,0.183,128.178,7vFpssS3kATxZOuWGCrJAt,239680
0.697,0.947,-4.156,0.106,0.424,0.0527,0.128,0.626,128.004,6gF4YXwuu1N0lJDOuMLgbU,168122
0.687,0.559,-7.379,0.0492,0.0324,0.925,0.0508,0.0501,125.0,57BReBY93NGHqHiefPsskq,346600
0.752,0.872,-4.186,0.117,0.12,0.0,0.234,0.677,123.888,2R0eIBJGHpiv1nKbSzW4zq,195960
0.618,0.979,-2.304,0.0528,0.0248,0.0443,0.213,0.305,128.022,3Yv9CEIOJjpw8tgKJhbOcc,159375
0.662,0.622,-7.382,0.291,0.0107,0.161,0.0847,0.392,127.98,31KeM9Sfq9kTQU1x2DJ6Yq,308667
0.748,0.744,-6.856,0.0983,0.147,0.923,0.23,0.499,128.0,0JY48YY14fBCCW2LonR7mi,382505
0.926,0.808,-3.148,0.0599,0.000915,0.00327,0.0515,0.701,127.998,6lZs6TqQVWx98cdjkOkG9i,215625
0.594,0.95,-3.737,0.0788,0.00317,0.835,0.0724,0.0786,128.011,493bzVItLxIufCk9CoaRX2,348867
0.637,0.857,-5.478,0.096,0.00577,0.33,0.105,0.221,127.973,12UCIUL2LLMmjd6TNg9oI0,317173
0.596,0.921,-2.5,0.074,0.0049,0.00019,0.536,0.232,139.969,1ShWHEgisDGPl9G3g85ANu,301987
0.434,0.962,-2.89,0.126,0.0003,0.734,0.105,0.226,128.162,2ZeTpxUpIHDdrRZdD8Vlh9,299375
0.686,0.964,-2.692,0.0611,0.00569,0.0539,0.0876,0.41,127.941,3o6hnYHQGPs59NUQmJ1bqh,217000
0.664,0.907,-3.213,0.0328,0.0129,0.176,0.26,0.226,144.956,2LGfcxG9LcDOxnltIPE1Zq,193893
0.766,0.757,-6.055,0.0941,0.182,0.84,0.0854,0.15,127.987,0rkxVqGdpSOcmrRcikCJUi,443457
0.4,0.915,-4.89,0.28,0.0846,0.0,0.0503,0.878,88.917,2a1o6ZejUi8U3wzzOtCOYw,198773
0.706,0.975,-0.671,0.3,0.00646,0.807,0.153,0.393,128.031,5r1XJSAT26RClU0WxAAVfk,308000
0.64,0.903,-3.042,0.185,0.00105,0.0503,0.171,0.152,128.079,5qFL2uwfnGU8FccwLMgPNQ,301122
0.761,0.791,-3.587,0.196,0.00188,0.152,0.348,0.201,127.96,2T5n0yPObdYbvmd5KLqnAa,311445
0.713,0.971,-1.264,0.381,0.00228,2.05e-05,0.242,0.676,128.064,2TkoUq8sPXmc4KYzKBiTWT,284130
