danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms
0.155,0.0204,-31.212,0.0462,0.995,0.936,0.139,0.278,79.755,1XZdwzd8DTDvkjVc0eJ9BI,75627
0.385,0.345,-14.79,0.0343,0.596,0.879,0.0862,0.0354,179.864,4jKE31ARZ6cRPlZxDYlF0w,375429
0.721,0.783,-5.975,0.0352,0.0593,0.00132,0.0912,0.518,104.886,5PXVqfaB4JOQoWYLzrwVRq,281133
0.392,0.664,-6.15,0.0618,0.02,9.31e-06,0.757,0.143,128.919,6fNnbIHEI7O0jsMkl6zBjh,181547
0.449,0.634,-11.727,0.483,0.0268,0.48,0.203,0.39,96.022,32PZcGmBkI3LKOq6wFDSn4,495480
0.405,0.871,-9.043,0.703,0.122,0.0614,0.171,0.093,93.45,7oVyhphOcOWHJ63Ywb2bCW,160381
0.507,0.353,-15.189,0.0335,0.549,0.652,0.38,0.207,171.301,3WYwNDRnpDexkXn7Aqi5Uo,362067
0.352,0.0562,-21.075,0.059,0.994,0.894,0.0872,0.15,80.156,1bxLXzzgL7uBMbhtNCgwfu,394240
0.619,0.318,-15.88,0.0401,0.634,0.879,0.118,0.201,150.367,0BSJ1iQEmGibLCPMHGtdo7,376733
0.52,0.858,-8.718,0.0729,0.108,0.834,0.117,0.215,93.834,4miEA9U9PZKBYryATLzCKC,315133
0.323,0.596,-10.669,0.0638,0.468,0.514,0.392,0.231,74.423,7da6FHZLFD2rVNQL7ccE5q,117173
0.794,0.524,-14.564,0.092,0.351,0.872,0.0912,0.656,116.987,7et4SPH4hUhN9WXN1xpQIV,423427
0.581,0.393,-17.445,0.0376,0.000592,0.822,0.108,0.216,90.533,3Q0OROjrG0wUaF3QFFixB2,436000
0.725,0.367,-14.378,0.12,0.494,0.793,0.098,0.888,142.492,7aTn3A5wFrK8gnWS4QfaNq,243293
0.728,0.467,-14.021,0.252,0.000163,0.903,0.0374,0.367,94.027,2LDYvpug35TCwdooo62tD2,252640
0.629,0.668,-8.004,0.038,0.165,0.854,0.097,0.394,181.592,3iBJlgWEdGQBi0vqaIQSGZ,220107
0.734,0.568,-13.061,0.0574,0.0604,0.828,0.0928,0.149,121.989,6zYaM3R6OslDcs7u1NuywH,344600
0.31,0.962,-9.052,0.408,0.000332,0.923,0.335,0.484,137.545,3geynnv2jY96p4Yjcal0M3,43960
0.659,0.945,-9.253,0.0799,0.0351,0.871,0.17,0.419,90.017,69qNxJaKA0lwABE6NOWf2J,399960
0.233,0.623,-12.509,0.05,0.218,0.736,0.113,0.117,174.085,14IDLIcrKWlq3jWB1Eg765,157493
0.602,0.532,-7.468,0.042,0.0244,0.175,0.41,0.173,139.65,5Fwq7F2yjF3eQnvkfjN4LY,243133
0.449,0.76,-9.51,0.0789,0.0502,0.0614,0.132,0.188,192.238,3aOgDVMkzSyspyZJ4B7Sff,322960
0.79,0.956,-11.773,0.0496,0.00458,0.851,0.0551,0.824,133.016,3eVOI84go76z0da8ZMiJTh,221000
0.667,0.893,-7.861,0.0595,0.0244,0.902,0.0835,0.779,121.879,23yu0iGSuutRxo1oxeNu1R,418240
0.547,0.661,-10.46,0.0875,0.363,0.785,0.128,0.111,98.389,7dVJCA5qif9j2xhmkxTZVx,213853
0.434,0.89,-8.123,0.4,0.0113,0.872,0.323,0.396,119.469,5mtGWYkDoTSZqvJ1afgCZ9,233733
0.8,0.483,-14.525,0.0776,0.0986,0.864,0.0934,0.119,89.879,1N91wSVnb4FKC5tiYSDgbQ,219733
0.801,0.716,-5.037,0.0632,0.0112,0.0844,0.319,0.629,102.972,4PaFuOWLL9xxUXFTOZkV2T,258187
0.177,0.0455,-30.859,0.035,0.995,0.967,0.0725,0.0188,138.657,19TTZrRblw784MAz0fe04p,362533
0.295,0.952,-11.434,0.853,0.0112,0.0633,0.34,0.383,50.946,6iJbc5LvusfogQcxKnFgcu,127854
0.816,0.706,-4.456,0.123,0.0484,0.0198,0.0912,0.525,92.02,21W79bD5ZYoJMFpDVjZZT0,219987
0.408,0.589,-14.918,0.0697,0.506,0.828,0.0792,0.42,128.055,0p6WOW7ZYiyBmeRgFFxUAZ,227040
0.526,0.687,-10.106,0.0346,0.699,0.884,0.124,0.314,92.441,0j6F2mVq6rKV9SEHLpK5Ng,273693
0.541,0.936,-5.466,0.0431,0.0374,0.957,0.217,0.518,134.988,57xJF7md9PyXAToP7qMaHi,326108
0.584,0.552,-15.334,0.0343,0.00984,0.857,0.0722,0.213,135.03,7bcTCd8bJVvfeElLGIabZk,462267
0.706,0.218,-21.386,0.0407,0.803,0.801,0.109,0.533,142.992,32iipO0k2wmuwOPL8u4Udb,416467
0.59,0.524,-10.064,0.0449,0.0476,0.0293,0.208,0.0916,166.034,50jNbzYLDYHeV4oprCLtUj,325867
0.541,0.372,-17.589,0.386,0.215,0.00358,0.112,0.301,158.037,7tElUNkAiTzReSaBJEX0yp,259707
0.514,0.887,-5.269,0.363,0.00915,0.169,0.636,0.418,92.79,5HUjBjdbGM53qepQbGae0T,200893
0.588,0.639,-11.82,0.139,0.173,0.679,0.179,0.498,131.557,2ZUjvcYuTShiaLqyJtP26K,468560
0.665,0.906,-8.724,0.136,0.149,0.807,0.256,0.462,160.999,6eUqDBopaFuxsdPc8qUF5P,412720
0.574,0.429,-10.502,0.0392,0.0138,0.873,0.313,0.0625,82.003,1YjAkPwLAfOqRsTt971xID,391653
0.649,0.971,-7.255,0.109,0.306,0.702,0.105,0.399,162.855,1jNd1HqFj9yZlDgdkpddkm,243827
0.91,0.49,-12.036,0.12,0.00869,0.866,0.118,0.461,99.985,55IsBrXUfZUmY7KSm2BjUp,476027
0.425,0.657,-8.143,0.0572,0.00231,0.888,0.286,0.261,118.018,52sUt1HsFxScRUbOxnBQRP,262840
0.574,0.885,-8.169,0.156,0.134,0.513,0.0928,0.134,101.013,46CeJgkvvf74CqrAhnrQF1,223960
0.35,0.839,-9.146,0.488,0.381,0.0858,0.106,0.112,155.979,0pX2mVGFojtmuAlAmhNgtb,166333
0.76,0.791,-11.204,0.292,0.0524,0.747,0.101,0.365,98.981,1n8je4inwpNwvzPkTEnMfu,296587
0.279,0.433,-16.426,0.043,0.00918,0.889,0.464,0.074,78.796,6U8weWJLBg7YntE4qIExrO,388240
0.493,0.926,-7.396,0.0386,0.081,0.874,0.685,0.859,104.286,0VnLVVahU7Jb5ytjnLtMx2,283773
0.465,0.78,-7.064,0.0323,0.264,3.68e-05,0.35,0.329,81.989,2kmOzndbVl8GomtgVGmEHS,192200
0.556,0.524,-14.175,0.249,0.00915,0.0373,0.31,0.488,98.371,1p2TCi35CpakfocBFH1aAo,246533
0.659,0.717,-7.816,0.0318,0.331,0.911,0.127,0.384,139.952,0sQNqu37YQQSI3K0ueswyA,316919
0.675,0.801,-8.834,0.337,0.511,0.316,0.141,0.699,82.405,08h9f9OS4wyF82PBjHu3e3,248933
0.472,0.669,-11.325,0.184,0.063,0.853,0.114,0.378,90.094,6UQlGknxAOB0YdKNxzcGEV,294920
0.814,0.515,-10.365,0.0369,0.0189,0.839,0.0968,0.961,144.713,2nJB27OfeX9Z5ROl3uZngi,245928
0.673,0.646,-10.598,0.0311,0.455,0.851,0.207,0.302,121.027,43ahLu3AH3M6Giumz3IyQb,307333
0.401,0.939,-5.831,0.118,0.000145,0.726,0.247,0.3,189.742,306cmatLHndtD0l5vbEoAV,161400
0.546,0.734,-8.808,0.0343,0.127,0.932,0.0501,0.447,145.867,4Z8jptUDjJDuxBf0pSOvSi,382373
0.66,0.811,-14.446,0.0596,0.00264,0.831,0.671,0.96,144.998,2WaD5LL0XlY6EogBbNa9SO,258720
0.585,0.537,-11.216,0.0347,0.0354,0.909,0.121,0.291,139.963,7rthWzg7LMuXANxC0gaVKL,373080
0.0789,0.298,-15.544,0.0376,0.346,0.0865,0.134,0.247,79.92,4SVT3qw7f9NjidTjIgXut2,212360
0.416,0.918,-8.407,0.465,0.142,0.303,0.346,0.0877,89.93,7vxcbaSj6FF1okv5Rf4Hv3,263080
0.718,0.767,-12.314,0.0493,0.257,0.155,0.238,0.502,126.018,1Ir2Jvx1GEXjUVYPcR6Ldj,500552
0.364,0.501,-9.487,0.121,0.319,0.76,0.0674,0.237,79.974,1crZjm3JxiLcDGv1ecWjaS,294173
0.624,0.47,-10.427,0.103,0.0952,0.916,0.121,0.17,88.012,31vEhUEiOYgGoDW95wyPpi,739494
0.801,0.335,-10.963,0.0433,0.123,0.197,0.0705,0.582,95.007,1lDXS2T9ozjPNzQMvps2IX,373627
0.756,0.737,-10.069,0.068,0.226,0.898,0.0908,0.573,126.995,0GUZTiJprOf8OMtrVmjTyD,261320
0.678,0.39,-11.511,0.079,0.00572,0.029,0.317,0.592,159.048,2bEFcAISP2KpoWCiWI6Pzc,278493
0.521,0.569,-6.924,0.0325,0.0264,0.672,0.272,0.4,165.1,69t0SrCVeudh7Ycxp9PxDr,571000
0.632,0.573,-6.938,0.031,0.0349,0.941,0.125,0.269,94.003,4ZOoxmHCsDJOt13vDO1pCy,198040
0.336,0.56,-16.75,0.0418,0.0645,0.959,0.0238,0.149,179.504,7mKvhdoHGqimbx6b4btlnX,425467
0.776,0.275,-10.43,0.0584,6e-06,0.795,0.103,0.269,90.011,6ZYVdXc2VrvhCvlJjc92R2,95013
0.49,0.704,-10.13,0.0623,0.452,0.882,0.788,0.47,83.208,1jvFlfmGsEE59XB8CWcwWG,369200
0.518,0.676,-17.203,0.0577,0.101,0.95,0.38,0.543,78.246,4BVAU1rBihrqlt4E3Eyk1U,167573
0.615,0.965,-4.427,0.0444,0.00342,0.85,0.175,0.484,111.98,29xEf2nthfXE2rA1X7wO1K,181053
0.632,0.505,-17.031,0.0363,0.00265,0.873,0.232,0.914,133.724,3EMQqYO1wiTmyehmiMWt1Y,327960
0.155,0.305,-17.256,0.0332,0.934,0.973,0.136,0.328,90.083,0YmdssJwVJp6iruKkpFysU,65600
0.35,0.772,-4.893,0.13,0.504,0.653,0.115,0.217,173.926,1QBgIlWOypnRUVDQlvOlLI,466000
0.893,0.622,-14.903,0.252,0.0121,0.00671,0.0682,0.403,115.972,49ucpPYrxG9yuUUoaahs3C,279267
0.783,0.706,-13.329,0.0312,0.698,0.918,0.12,0.889,125.868,7Kb4ip3wECLTnBKdcHYdyU,250560
0.71,0.734,-14.932,0.052,0.513,0.836,0.0701,0.4,147.98,3JJ4BoL9WVHk4Yye2EGJC7,177093
0.841,0.562,-9.745,0.175,0.152,0.259,0.679,0.796,121.974,3pOnjFb8q7itcxMfyvOIuP,408706
0.275,0.468,-7.74,0.0367,0.555,0.00566,0.643,0.316,79.734,1pYcQU7up2kRGuGIiS2QNZ,125166
0.727,0.59,-12.559,0.176,0.262,0.891,0.0806,0.28,128.0,4D0Tj32m4SjlWNfp6iDiBB,341560
0.555,0.462,-12.984,0.0307,0.00237,0.826,0.147,0.289,162.028,2X1BBTpXrPxDPukp4i9w3D,189000
0.472,0.957,-10.586,0.273,0.154,0.84,0.662,0.534,83.191,1CSgamNr3s2WxliomsJ0Hi,296027
0.551,0.734,-10.368,0.0482,0.0153,0.502,0.315,0.156,159.998,0Q5SkDpz01QlpcwmJ6mch7,284200
