danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms
0.453,0.655,-4.22,0.0259,0.0794,7.61e-06,0.0849,0.368,172.012,0ll8uFnc0nANY35E0Lfxvg,236160
0.56,0.936,-5.835,0.0439,0.00847,0.0,0.161,0.371,112.96,0GO8y8jQk1PkHzS31d699N,218013
0.531,0.821,-6.812,0.0439,0.0701,0.171,0.124,0.34,129.139,5RoIXwyTCdyUjpMMkk4uPd,230800
0.471,0.924,-3.906,0.0586,0.00301,0.0,0.313,0.725,154.961,1akkzUk0nUq90X56xDVGHZ,177280
0.733,0.71,-5.849,0.0292,0.145,0.115,0.0956,0.965,127.975,7w87IxuO7BDcJ3YUqCyMTT,239600
0.563,0.739,-4.239,0.0416,0.00073,1.45e-05,0.0822,0.775,139.0,3GBApU0NuzH4hKZq4NOSdA,191707
0.515,0.835,-3.564,0.0293,0.00146,0.000235,0.101,0.457,94.015,5hkdfA87RZvNaxl6XiveOA,215160
0.579,0.865,-4.692,0.0302,5.63e-05,0.000221,0.649,0.358,104.99,25nzKGDiua1lE9Qo5V19GL,246600
0.505,0.71,-3.015,0.0321,0.19,0.00025,0.329,0.428,89.938,3LlAyCYU26dvFZBDUIMb7a,175200
0.578,0.866,-3.804,0.0619,0.00701,0.0,0.257,0.619,128.038,4kbj5MwxO1bq9wjT5g9HaA,199080
0.467,0.988,-3.313,0.112,0.000152,0.0484,0.28,0.321,130.433,70wYA8oYHoMzhRRkARoMhU,220427
0.544,0.914,-4.337,0.063,0.0113,0.0,0.485,0.699,145.09,22eNdxGb4tEvBt0nBCp52o,246187
0.615,0.658,-7.299,0.0343,0.096,0.000911,0.205,0.293,150.093,3n69hLUdIsSa1WlRmjMZlW,227080
0.489,0.649,-5.11,0.0336,0.000603,0.713,0.101,0.77,158.009,57Xjny5yNzAcsxnusKmAfA,219827
0.651,0.866,-3.831,0.0584,0.00933,0.0,0.113,0.801,113.945,7tvOve5IkjYenvqScZ75iQ,267827
0.649,0.888,-4.807,0.0293,0.013,2.23e-06,0.0888,0.553,100.975,2lwwrWVKdf3LR9lbbhnr6R,208467
0.617,0.778,-8.872,0.027,0.459,0.925,0.128,0.152,100.363,5VfEuwErhx6X4eaPbyBfyu,127920
0.662,0.911,-4.985,0.0531,0.00395,0.00125,0.473,0.898,108.025,2zyz614fJRrqQXW1q0sY1c,254620
0.524,0.921,-7.709,0.0367,0.00103,0.768,0.128,0.908,146.849,4N42ow0h4JoK68OQwOzsQn,206227
0.519,0.441,-14.178,0.0353,0.0204,0.000453,0.076,0.25,81.334,7wCmS9TTVUcIhRalDYFgPy,234973
0.624,0.899,-5.709,0.0296,0.0221,0.000137,0.0975,0.79,104.061,3SUusuA9jH1v6PVwtYMbdv,193373
0.52,0.785,-4.765,0.0329,0.0468,0.0,0.698,0.679,96.996,6XnNiyYTxhxuC0zpP22M7C,200188
0.459,0.668,-9.849,0.0298,0.0141,0.0,0.21,0.859,136.323,6VdukmzmtfynfHK1vL4TEG,240904
0.52,0.436,-11.508,0.0355,0.865,0.0651,0.123,0.114,126.053,50M7nY1oQuNHecs0ahWAtI,245240
