danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms
0.508,0.991,-10.699,0.0549,0.000137,0.751,0.0775,0.236,147.083,17Z8zuaSEUCsSsSQ97klf1,400787
0.692,0.669,-8.043,0.0319,0.00703,0.3,0.113,0.181,106.087,4rDRYvy9wdW1ShNcuoTKUa,237133
0.573,0.837,-7.418,0.0392,0.0513,0.207,0.101,0.37,124.989,1uGME7WoeIY9y4ZXgomzQb,334120
0.612,0.839,-9.151,0.0466,0.0147,0.733,0.403,0.581,130.024,7Fi3WVY65B7TXeNCD3lEsI,325600
0.336,0.985,-4.023,0.11,0.000252,0.068,0.811,0.38,199.865,44RkSiqtWOJf16XkJbHJ39,96200
0.367,0.942,-10.031,0.0423,2.48e-05,0.692,0.407,0.633,74.938,1bv4fups31J6sGCY4m1qHu,501600
0.43,0.897,-5.35,0.0703,0.000192,0.0744,0.28,0.363,138.038,3BDE7Pb3ds6sotSlJRMhIu,263320
0.431,0.985,-4.732,0.0547,1.18e-05,0.299,0.326,0.532,139.979,3TQQia7NM2GwsiwiVZWrSC,341680
0.537,0.99,-4.029,0.0474,4.37e-05,0.157,0.208,0.813,139.04,4z2KAU7ADXv78ekLLxn91g,235520
0.502,0.72,-10.024,0.0299,0.0498,0.0,0.386,0.517,93.653,1h3MRDgLk2DPJ02RpOIqoX,301060
0.733,0.296,-7.699,0.0521,0.253,0.286,0.909,0.404,150.097,09vw8QCZ3Q3PohclZAqqsl,314480
0.563,0.98,-9.206,0.0325,0.00164,0.616,0.178,0.819,140.003,7AOEwHks8JWYhbw2TkZLDt,232560
0.586,0.99,-6.675,0.0667,0.000694,0.902,0.0653,0.21,130.005,3Azs6Tb75YiOrZ2lxFKaQk,260667
0.5,0.99,-5.985,0.111,6.22e-05,0.00568,0.242,0.396,135.968,4MPzdY0ubmyCHPZ0t54bUE,282893
0.528,0.782,-6.17,0.0314,0.00928,2.21e-05,0.179,0.719,120.311,7z5xueAygjpMdd7hT8zAY3,276508
0.511,0.942,-10.407,0.0429,0.174,1.87e-05,0.139,0.498,97.909,2gQaQUhDCNGfBVXTvxAmXQ,393667
0.716,0.997,-10.89,0.0621,0.06,0.000266,0.867,0.0597,120.418,7fBbXkujJb0EjxipjDShKC,288933
0.425,0.986,-6.322,0.0767,1.33e-05,0.854,0.57,0.812,175.967,3RF8vJ2fHzqY8h1N2RR3WP,234707
0.719,0.431,-9.226,0.0357,0.834,0.739,0.145,0.378,112.004,1aJrVsHwcQMZ8TZ6mlvT5J,267860
0.601,0.814,-8.487,0.0505,8.48e-06,0.644,0.0991,0.444,117.899,5kXtr0OnI0xvaBSHRMPC1m,305867
0.659,0.754,-8.134,0.0361,0.0531,0.015,0.106,0.306,135.971,0cJSjAE4DoCyWysV5niHdB,442061
0.537,0.895,-12.527,0.0759,0.000601,0.397,0.505,0.66,135.034,5h7fEEW7DmBa0Pu5mdTnGq,274773
0.604,0.907,-7.733,0.0449,3.47e-05,0.659,0.143,0.731,135.005,51UX2d4PtjeT7mc8ENALj8,305360
0.617,0.997,-1.397,0.0525,0.038,0.771,0.154,0.714,139.996,4xvOZdRvnhaK2XbdHzIelj,266853
0.562,0.892,-6.679,0.0808,0.19,0.956,0.233,0.545,140.774,70XOzn4IstIYPGpcgTFJd2,295587
0.312,0.978,-5.813,0.228,5.17e-06,0.0307,0.0895,0.0555,182.958,5cR8WKFXgaJPgSX1SDxLMz,358280
0.556,0.734,-6.337,0.0398,8.01e-06,0.00102,0.32,0.335,134.949,6dpWbwQ4ZGNSW6q4yKCiRZ,220933
0.505,0.977,-7.678,0.0637,0.000333,0.0265,0.125,0.209,92.007,68nHYktH55oxLOMLdGppqx,383107
0.526,0.848,-10.305,0.0303,0.0881,0.964,0.0955,0.225,136.996,0V375CkzHfN1ZISijYVmtl,495590
0.545,0.97,-4.588,0.0581,0.000136,0.257,0.526,0.399,111.992,1FWcnMIbxtGTiSq4bFU0a0,335427
0.471,0.996,-5.567,0.048,0.0017,0.000821,0.0496,0.902,135.962,6cbDB4sMeghTQdHy5hrJx7,318880
0.663,0.964,-3.987,0.0707,0.0017,0.0637,0.137,0.4,138.009,74a9wwkQvx2jxu8JcReK08,187493
0.591,0.981,-10.25,0.0984,0.0608,0.000293,0.951,0.222,87.531,5IP5HBdpAk2t8AQ3qtDkuJ,317627
0.645,0.894,-3.892,0.0577,0.000829,0.00629,0.0324,0.378,114.902,0VC1EpCNjQRGWtxabI7fK6,334187
0.645,0.447,-16.221,0.0327,0.000272,0.206,0.883,0.195,125.016,3sbuk9GbeWTkMoBKfqUoF8,266160
0.47,0.995,-6.375,0.0626,1.51e-05,0.93,0.208,0.693,142.889,5dGecTSfMBhP8S3tWeLEYV,275280
0.356,0.961,-8.787,0.127,0.000143,0.302,0.806,0.267,188.256,7wyVuNCEr1j8NfG1vwMXZp,257933
0.691,0.779,-8.433,0.043,3.86e-05,0.296,0.0875,0.496,108.028,2pCEaJskwTTp7omAyUKvR0,337227
0.77,0.605,-9.125,0.17,0.147,0.199,0.104,0.382,148.057,2vzRDicmCblPDq3vdY8Rjg,374867
0.471,0.951,-8.033,0.0354,0.0002,0.865,0.175,0.59,131.975,0qGEKFgQqdVDKt7aNGFrVU,319667
0.631,0.74,-10.22,0.0452,0.303,0.00132,0.136,0.91,97.0,37Q1Ql8jgueqnmN0D4sFEb,396093
0.526,0.935,-5.885,0.051,0.000496,2.17e-05,0.182,0.147,119.992,03VOVzm7lFiwuka8rtznIv,300000
0.571,0.733,-7.603,0.0419,0.000676,0.0062,0.176,0.335,96.002,29fz6wnD2DskjAVCMCzhmJ,420000
0.59,0.987,-5.056,0.138,0.00328,0.00222,0.354,0.263,97.9,48Abdl94B6CVwTZ1Fisv4i,219027
0.528,0.968,-5.76,0.048,1.54e-05,0.0708,0.299,0.368,129.995,4QgrmawwnTaHnK3Hbcg3Aa,301147
0.509,0.91,-6.531,0.038,8.78e-06,0.102,0.404,0.358,101.174,4ukiv6Rp5N4tQZSBT9JRLo,189760
0.787,0.845,-10.868,0.0623,0.0011,0.874,0.364,0.541,123.992,4HaCAHz8qk3FZpld3Rp7rT,232707
0.489,0.801,-7.739,0.041,0.0303,0.0456,0.777,0.416,80.023,2oMXfar9Wb0Gx3Vi9R6K15,401867
0.343,0.944,-5.178,0.125,0.0076,0.8,0.863,0.342,174.2,33Po4wZNmlLhd5VJTkA0RC,224440
0.55,0.914,-4.71,0.0571,1.06e-05,0.00787,0.0928,0.184,133.041,6CIc44ozMdhdMTEcxW624b,259813
0.543,0.887,-7.846,0.0501,0.000705,0.713,0.663,0.48,132.019,4D4wh1GyvA4gSxBN7e7ysN,256507
0.748,0.414,-15.15,0.0405,0.069,0.0671,0.336,0.239,97.646,3BZGi1yUqQyCNC868AqUGG,286160
0.545,0.987,-6.337,0.0504,0.000422,0.214,0.374,0.587,144.997,2UxRH03uUNhdQQSIqqFEwd,256347
0.669,0.411,-11.135,0.0345,0.041,0.914,0.109,0.0806,120.06,3PZz2vAQq0i6nmL2BMD2Pp,315160
0.477,0.94,-7.739,0.0343,0.000945,0.868,0.364,0.629,133.661,47ZNoxHHodEswuXYsoJDKV,286973
0.744,0.656,-12.323,0.0512,0.000939,9.62e-05,0.0347,0.968,120.192,0nrkUuWvuFfidWn2beMukk,225333
0.606,0.828,-6.599,0.0306,0.026,0.00389,0.108,0.698,139.988,6RyAT06uxBnFt4tHNOk8Tp,376253
0.531,0.97,-5.586,0.0553,0.0138,0.00485,0.0865,0.509,100.009,04n1ASeCMLe53AiJ6DsVAp,181040
0.476,0.543,-9.549,0.0481,0.355,0.89,0.192,0.13,119.919,5DAMyAeknJ3TiffLNo9fg9,324627
0.622,0.916,-7.612,0.0523,0.466,0.883,0.0923,0.57,127.988,2gyPX9HLy8iuDH5htHimip,324661
0.74,0.748,-12.057,0.065,0.00183,0.31,0.0694,0.611,121.086,34vs8Nv1UbY63eWgMR1Tb2,365707
0.613,0.932,-8.015,0.0621,0.00567,0.0109,0.079,0.523,111.02,4qPk6RCIuWowQxtiFf44CG,273333
0.49,0.98,-3.15,0.0484,0.00213,0.0,0.0721,0.255,130.039,5pMjSIXGcugllhBqU8BNx0,299213
