danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms
0.355,0.821,-2.844,0.19,0.136,1.18e-05,0.15,0.654,201.94,09EifWHgaG5FtQcn20BcHn,214947
0.547,0.94,-4.089,0.0601,7.87e-05,0.897,0.0655,0.514,89.994,3s0jaAf7JNkD3vtb39ub42,212280
0.491,0.993,-2.338,0.439,0.0543,6.76e-05,0.343,0.372,159.9,5scvZE0g7YTc4DeQ0GI7bA,226946
0.55,0.97,-0.986,0.0859,0.00619,1.04e-05,0.0977,0.601,83.007,78VavvRPqerpCiXI1AqUrt,225652
0.607,0.945,-3.309,0.0679,0.0443,5.64e-05,0.347,0.669,129.968,24njIWTCwaaTYqX4qPBwRp,260053
0.444,0.969,-3.59,0.122,0.0474,0.0,0.0575,0.254,154.919,1vPMiRQE2y2RsCNDJgfZGU,276533
0.598,0.864,-5.031,0.0368,0.00513,7.89e-06,0.324,0.399,125.992,0DHw7x7ogDwVgpb3siioEP,289747
0.629,0.906,-3.979,0.0448,0.0165,0.000219,0.277,0.895,132.029,2Y1b8HAO3D5a6wsX3Z4cOn,281467
0.327,0.821,-4.503,0.0522,0.0738,5.33e-05,0.062,0.373,153.149,5aZYyAIBmLSXTlez59ZvZ7,256613
0.566,0.981,-1.571,0.172,0.00472,4.98e-06,0.372,0.708,155.978,7uub2vnuF8aAjh2UZBlWoh,272017
0.686,0.991,-2.685,0.0718,0.00833,0.0,0.557,0.9,153.032,1Bw7UpsGPRqGVGs29bCWEP,244453
0.339,0.957,-2.824,0.0572,0.00194,1.06e-05,0.16,0.497,183.922,7y84gc8hdmV5J0lKxN60Jr,264467
0.538,0.98,-1.969,0.137,0.0392,0.000216,0.111,0.574,139.937,559ta67XwA0R8Ntpp2NORd,265933
0.707,0.835,-3.408,0.0371,0.00667,1.7e-06,0.105,0.446,127.081,7kmYzAy0ReBYpYdgrN8TD4,279813
0.55,0.995,-2.086,0.0927,0.000385,0.0205,0.267,0.41,120.035,5FUw9DxIjdkPtrVNTbhism,181533
0.48,0.92,-2.685,0.0973,0.0303,0.0,0.277,0.595,163.928,3wyWRt8myEL5o432jUXioi,282587
0.401,0.968,-3.247,0.0861,0.00131,1.42e-06,0.0665,0.761,71.47,5aZij2VJ25MjAj9mIYeQls,291507
0.559,0.895,-3.088,0.0312,0.0351,7.69e-05,0.228,0.736,142.899,5FXevcZ28jYrFFOvBjqZsj,209320
0.53,0.958,-3.195,0.123,0.000259,0.351,0.304,0.587,96.069,2qtn4A2c0pucQvPvDzWFKA,228413
0.589,0.562,-5.104,0.0245,0.599,0.0,0.102,0.389,104.028,5971LMmCj95j6yC90ahVqN,292343
0.66,0.879,-2.548,0.0367,0.271,0.0,0.0619,0.7,123.957,5CxwYbhp4eYT2ZHHJ1zUVv,238427
0.604,0.881,-7.304,0.032,0.00282,0.0225,0.224,0.26,132.019,0vG0Yj85VnGgwND2t0bQNY,390093
0.53,0.969,-2.029,0.0858,0.0279,0.0136,0.218,0.705,160.048,6Yn8h95iZQuBWnAn2t21XO,256200
0.555,0.775,-4.354,0.0692,0.0059,1.8e-05,0.424,0.304,100.025,0LR9i2vBBGUi4Dbc9uXJRj,219707
0.621,0.922,-5.025,0.0366,0.0575,0.0,0.0278,0.619,129.991,7i3RdU5l2GEExsHQaDqt2w,216653
0.494,0.953,-3.855,0.108,0.0418,9.2e-05,0.0696,0.423,152.045,5g8adh2982RbEMZT5s2MJH,291680
0.368,0.861,-5.091,0.0737,0.149,0.0,0.241,0.142,159.918,0bcx668BzdSiDYZqX17oTT,304680
0.358,0.956,-2.496,0.0652,0.0146,0.0,0.165,0.564,183.968,2rie4mizxzdtwvBPTals4H,221147
0.425,0.981,-1.283,0.19,0.0107,0.0312,0.347,0.705,150.076,1OWkxXIoqLbGCZ5gMYow3x,268576
0.307,0.75,-4.1,0.0397,0.0029,4.21e-05,0.252,0.218,98.501,3k3VJq26JY6wxrUJTFPKiS,313960
0.635,0.982,-1.939,0.0427,0.032,0.0,0.325,0.81,140.032,0W3V2BSjd7s78nfafgAcXh,273573
0.691,0.947,-1.735,0.0595,0.144,0.0,0.0288,0.786,130.978,46oJWUjHGph2P5MGM3rHEs,214760
0.593,0.951,-1.099,0.0848,0.0259,1.65e-05,0.0823,0.803,141.003,1KkpBUKI7tWRPoArcSd5UX,242160
0.673,0.81,-3.355,0.0326,0.029,0.000173,0.177,0.702,133.938,5vrlJK9fQca9BMreVNXcax,197133
0.598,0.984,-2.098,0.246,0.335,0.0,0.271,0.505,151.057,4IQRDbVe8EhYcbkBfLtpxX,252840
0.489,0.968,-2.494,0.327,0.143,0.0,0.278,0.575,169.939,7MX2nuN5FEsXr5cTcE7Sfm,258765
0.612,0.6,-6.327,0.0267,0.0768,0.00391,0.106,0.482,119.954,6VCUOyB9oqbiaQ9gWHJF2k,266867
0.486,0.967,-1.448,0.237,0.0707,0.000431,0.402,0.698,180.004,4dOCOQEpCLHuRA6IKRGRBC,197880
0.562,0.807,-2.676,0.0307,0.000444,0.00104,0.0989,0.549,136.0,06UTJxKCKW9hjhMkqbATO9,222107
0.73,0.889,-4.15,0.0368,0.26,0.000446,0.107,0.669,127.994,1x4RpGvByzT12Lrz6aAnwf,293520
0.521,0.952,-3.146,0.117,0.0249,0.0,0.138,0.395,177.884,3h0XPqD5tddoH0oR5rXML2,234373
0.607,0.954,-1.888,0.103,0.0269,0.000614,0.179,0.767,134.092,5Ss5BYmJXOKdxKyRHOmQeE,307200
0.204,0.964,-2.561,0.138,2.15e-05,0.00307,0.0705,0.217,204.913,4f5Glh6TkdXN2osSIpVBNI,318027
0.556,0.973,-2.796,0.0441,0.00405,0.0,0.32,0.837,145.986,3t2d7XRN9NozUyo1vyhPlf,225947
0.363,0.856,-3.908,0.0451,4.57e-05,1.65e-05,0.263,0.41,180.03,2YyI6tBurS8dCVhdPkpZp3,342613
0.683,0.934,-2.642,0.0554,0.0886,0.0,0.109,0.685,129.046,6uyBEv078MeURnyD5Twm5d,280042
0.381,0.872,-4.719,0.155,0.133,0.0,0.509,0.3,150.994,30C9CNWkiUUWC0wk7y5Bkx,376628
0.69,0.846,-5.285,0.0395,0.0199,0.000153,0.248,0.854,163.965,4kMWW5loXgqa2WhtRfGFBL,258827
0.62,0.904,-3.59,0.053,0.0585,0.0,0.209,0.559,133.988,3qLPnTQYkTObObPgncJQyS,258813
0.641,0.749,-2.814,0.0338,0.067,0.0,0.126,0.789,129.953,17y4bHiLYCMAj23UFgRpz5,228827
0.584,0.854,-3.491,0.0443,0.0927,0.000252,0.0964,0.341,133.954,5KQk3xqndCMM8kQkS0tfOT,267507
0.671,0.974,-1.406,0.175,0.18,0.000187,0.324,0.572,140.005,78srTzDYjz25WvbIh0EqLY,271000
0.51,0.974,-4.214,0.0397,8.26e-05,0.844,0.421,0.793,132.012,7x20tLr5IorTAD1AuzihqA,270627
0.454,0.678,-5.329,0.0346,0.00296,0.0,0.0854,0.395,79.998,0FQCrJ6j5ZDZ7od1TkMchk,266400
0.8,0.921,-3.768,0.0422,0.0183,0.0,0.151,0.879,126.016,71suvahvlm7RpLoRWVHEld,285933
