danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms
0.822,0.833,-6.207,0.068,0.0908,0.188,0.0761,0.778,131.023,7CqSfXg6q980naFt5CBCX0,197721
0.385,0.582,-5.702,0.0356,0.3,2.67e-05,0.101,0.511,197.841,1bNLOSCSN1Dq9X2EsKPxaB,307413
0.643,0.788,-2.666,0.0325,0.622,0.0,0.3,0.961,136.995,67lvDvRyTTxfIHLVmf6A9r,268160
0.532,0.482,-6.093,0.0242,0.012,0.0025,0.268,0.222,146.054,02EKv3kZQhUc7HuANxgCsT,297960
0.453,0.985,-3.444,0.125,1.32e-05,0.991,0.407,0.0908,95.15,0asYWPLz8bsFYav1i1DkWs,69267
0.509,0.836,-5.993,0.0357,0.00191,0.0,0.626,0.613,136.988,4roY7EV8cw2q0MKnqms0Hi,173160
0.551,0.97,0.323,0.0873,0.018,0.0382,0.249,0.192,150.058,6B1boHb2kOgOIo9bVqwqkZ,217613
0.617,0.908,-2.66,0.0329,0.0803,0.0,0.494,0.558,123.969,3xAlAiHkc7rMteVBcRM0vQ,240507
0.504,0.919,-1.433,0.116,0.319,0.0,0.11,0.54,108.092,0BgR6jfKNeFbs5UW79D4a9,260373
0.748,0.6,-3.326,0.0305,0.553,0.0,0.091,0.884,97.02,5kgMkKZpKFbZ8LSMF7moYM,308427
0.364,0.837,-2.131,0.0469,0.305,0.000457,0.201,0.504,115.024,4OxrWdEqOWJKCM845iC01T,245600
0.394,0.918,-2.133,0.0628,0.0286,0.00117,0.17,0.324,168.166,5HhYHpxwdGTCO5YK7dycoT,338520
0.691,0.853,-7.119,0.205,0.0201,0.0,0.239,0.563,96.105,0jjLmkdGSRMoxn3j2gtD5e,247053
0.709,0.549,-5.543,0.0493,0.0839,3.9e-05,0.326,0.691,92.004,5HUNIhAYdQvyoiMcGasMMV,289167
0.592,0.891,-1.642,0.0302,0.0402,0.0,0.225,0.567,127.078,0Pn1J7xuwYfIS9CNtHHmKG,281293
0.644,0.901,-4.8,0.0279,0.000989,1.81e-05,0.224,0.745,131.956,7CE92yFHJRf5Wj85Aof8Am,272427
0.549,0.455,-6.499,0.0263,0.652,0.00247,0.095,0.319,169.8,3qY12xfdjw5TToomM5CH4B,364804
0.495,0.547,-5.591,0.0531,0.0277,0.00281,0.354,0.37,145.985,63F1cWkR3NC13jXqhhjcfE,318907
0.576,0.832,-4.097,0.0304,0.0133,0.0,0.127,0.51,102.476,0wG4nxLnIVRPttgRx4LfVp,335667
0.688,0.825,-4.565,0.0385,0.141,0.272,0.0776,0.965,129.501,351BddEeX0y8WHCgiYwg1c,194787
0.649,0.964,-2.076,0.041,0.0207,2.77e-05,0.0734,0.884,130.007,0B97bWkFkIMat8DkTKe3nD,231219
0.677,0.841,-5.906,0.0303,0.72,1.12e-05,0.0981,0.739,92.0,45TTzTDk2kVgo9cWhZTWWc,232627
0.563,0.989,-2.544,0.0964,0.00273,3.89e-05,0.333,0.353,96.047,1v2OuYTufJxi3ajztJXc6c,237493
0.581,0.536,-6.081,0.0272,0.714,0.0,0.203,0.189,135.907,1rv1OjeXBcym03HJkVjcjA,293293
0.768,0.828,-2.668,0.0444,0.196,0.0,0.0803,0.54,135.96,2NDNXuGwjVhNbz3UP4KwIy,264107
0.658,0.938,-3.164,0.086,0.229,0.0,0.0762,0.598,130.027,2m5ZLLIGCNIJSv2RetxrDY,202547
0.485,0.949,-3.744,0.0435,6.4e-05,2.77e-06,0.101,0.815,162.028,1ywenhoFMu2YRWIdK4tPtD,265160
0.46,0.762,-4.357,0.0331,0.0908,0.000282,0.253,0.185,82.368,40dr2FZLQoua3oVm2tA4ux,317667
0.659,0.716,-4.163,0.028,0.000457,0.000289,0.321,0.777,125.001,72R96vxmGx73dmSx6Juhqf,221931
0.36,0.96,-3.562,0.0998,0.00287,0.314,0.711,0.337,141.094,7dQKTzho5fHpn842jEY0dN,267293
0.527,0.301,-5.667,0.0265,0.818,0.0,0.0989,0.251,79.97,4UtIkaGSfdFJWgziCOdqX7,349373
0.696,0.591,-7.502,0.16,0.346,0.000269,0.268,0.846,89.978,05Wm8Tkw4YJnXMZHWncQWF,348293
0.647,0.757,-2.384,0.0311,0.0663,0.0,0.0764,0.487,128.022,51UtThKIc0i8Ehn0hELxbl,228360
0.683,0.886,-6.096,0.0825,0.0167,0.0106,0.184,0.842,123.924,08vfhaYJVnDSs8UgUqIh44,248667
