danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms
0.7,0.798,-4.975,0.04,0.458,6.5e-06,0.0786,0.859,134.383,5nWzvyYtFS6grdnM1C7mR2,168120
0.963,0.737,-6.232,0.0482,0.143,1.25e-06,0.119,0.551,126.642,3D8JoB1xCsSt5tlwix7nce,279667
0.741,0.419,-10.183,0.0339,0.373,0.0,0.111,0.748,178.019,6DkA8H6xvxOUhB2R83ZBE1,131133
0.753,0.102,-14.276,0.0328,0.936,0.0,0.0978,0.531,112.045,4HVrBSUpRiCxRaVKPuIyGj,192493
0.741,0.531,-9.288,0.18,0.368,0.0,0.66,0.967,113.394,1mHHHsnQ9XQsCf1qMEqH37,154107
0.778,0.718,-5.466,0.2,0.00717,0.0,0.609,0.831,105.022,5IiMclvQEq45GYUUaYsObe,201053
0.514,0.774,-7.73,0.393,0.165,0.0,0.699,0.691,113.322,33mE5iKvPnMqHYwkvJzXl4,274907
0.61,0.373,-10.127,0.0512,0.255,0.0,0.116,0.785,83.223,5UGHoCI38GbldG6NOFG7AR,200053
0.705,0.915,-2.698,0.0595,0.0773,0.0,0.0545,0.684,100.042,31YcvdreTHVPj4ECP8cbrO,194040
0.845,0.417,-8.891,0.0352,0.518,0.203,0.273,0.915,111.806,5hxGDWm5BSynDQBswJ4Mwi,123200
0.749,0.54,-8.688,0.248,0.49,0.0,0.0804,0.664,114.679,791cAjPQsXG91HUubhZcaN,152253
0.725,0.472,-10.813,0.0648,0.79,0.000338,0.0977,0.741,158.529,5nu6DuYXU9oR5XCufB4vMH,156853
0.667,0.815,-4.827,0.028,0.166,1.53e-05,0.345,0.962,142.003,6WZEcvXC83SsroquXl8rbo,173987
0.663,0.68,-5.032,0.0373,0.48,0.0,0.334,0.928,125.933,42Yjw5KEY2vJBkcCQh5S22,128120
0.838,0.269,-13.313,0.215,0.676,0.0,0.0644,0.896,127.954,6V3wBxux09PWGiImEuKu95,121880
0.571,0.645,-6.98,0.225,0.743,0.0,0.196,0.843,139.766,42bn2q8MMOBZDsfdgzMQSp,195427
0.518,0.587,-5.083,0.168,0.599,0.0,0.167,0.669,146.228,60tgnRcfkaSIcxsbwly6Kk,129880
0.643,0.361,-8.054,0.0313,0.816,0.000513,0.357,0.201,119.942,0v9gl64nkvrJlL3JtaqNql,134400
0.577,0.202,-11.078,0.0398,0.832,1.22e-05,0.132,0.523,129.225,6gLp2opesiDDYfobz3rMR6,152987
0.43,0.779,-7.314,0.0477,0.247,0.0,0.124,0.535,64.868,3EwylngtDUBXxrP0o0TngP,204067
0.603,0.216,-18.193,0.0382,0.752,0.0,0.0973,0.637,163.06,2NrCGt0r8Utzpg1uMSr3Sz,141227
0.832,0.579,-9.68,0.0518,0.681,1.41e-05,0.0414,0.969,130.928,1krKtVpFkssNdzlBjbWuON,122000
0.701,0.466,-8.497,0.048,0.223,0.0,0.0777,0.311,84.004,7odWBiR73qCALwWqVZ54hf,194544
0.536,0.507,-10.542,0.0444,0.526,9.89e-06,0.12,0.747,92.934,7s63qDuEgj9cwL4aEYx0li,190573
0.714,0.231,-18.663,0.251,0.349,1.76e-05,0.311,0.69,107.423,321xoVaGgIcTf2oMoUIz2b,196987
0.605,0.304,-20.167,0.107,0.766,0.0204,0.356,0.678,143.729,3ShItLsPzmXD0GGw8jnuP4,140027
0.569,0.88,-5.149,0.105,0.000635,0.0,0.152,0.586,86.589,5SVxUA1LqPmpWJIaFoZDpR,146720
0.729,0.34,-9.225,0.273,0.675,9.21e-06,0.11,0.54,84.019,5Pp6Bqvv9YM5ryLjnhetru,227920
0.789,0.278,-13.416,0.183,0.496,0.0,0.0616,0.825,150.065,4Rs7nQW8DxBlyBpetWdkyI,154573
0.532,0.742,-6.244,0.0898,0.356,0.0,0.353,0.481,134.813,5tvN74QGIU0JAOEnsWjs3E,241413
0.767,0.382,-14.075,0.0343,0.573,0.0,0.154,0.935,112.163,7rkg2hoWcidy9N3o5Q1KUd,146240
