danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms
0.806,0.875,-3.817,0.088,0.0838,0.00192,0.065,0.917,125.063,6RlAZ8QY4LcA4DxUUIiwmn,224693
0.541,0.628,-4.682,0.0603,0.733,0.0,0.056,0.364,80.027,0t2cqTppQ4yoEW45LAngxJ,239333
0.574,0.802,-3.976,0.0316,0.659,5.07e-06,0.0765,0.739,93.537,47TyfLrGhYHHyyQWk64d0M,280453
0.703,0.784,-3.498,0.12,0.044,2.89e-06,0.0341,0.96,90.902,3ntmNfrdEdPMEMcgjsIdm1,242907
0.731,0.67,-6.43,0.203,0.0278,0.0,0.131,0.658,175.944,6klAm7Z2oR2FM7lozc7agF,199933
0.756,0.689,-3.87,0.0648,0.327,0.0,0.0586,0.782,162.006,2QAwkI8L0UVBpjHJ6PwBzn,213312
0.459,0.764,-7.001,0.0359,0.326,0.22,0.0743,0.384,81.503,1p4rYrxjVkj6v2eMzRhLfA,252693
0.761,0.933,-5.38,0.056,0.0908,8.53e-05,0.0607,0.836,122.959,4Y7XAxTANhu3lmnLAzhWJW,236200
0.387,0.972,-2.84,0.101,0.565,4.83e-06,0.0921,0.839,192.392,3QzIAhnLyISSaenzDYJzCQ,285093
0.525,0.704,-5.801,0.0501,0.353,5.26e-06,0.0743,0.855,98.455,4pUmQqaZklcCOB3rFdWc7g,289293
0.718,0.711,-5.746,0.11,0.157,5.54e-05,0.1,0.92,173.916,6Ges5C2IE738iJh4HyQizQ,226413
0.429,0.551,-6.33,0.0313,0.349,0.0,0.292,0.384,149.76,4go2M6us50x9TQ1NvsB4vt,251520
0.802,0.725,-5.965,0.0676,0.574,0.0,0.0821,0.598,128.04,1iLv1ieT9BZ3qsti9yTCnG,225000
0.612,0.409,-9.85,0.0362,0.418,1.44e-06,0.149,0.254,73.943,4Uvknj2gFtJ4b51QkDeSx2,241013
