danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms
0.378,0.308,-13.14,0.0349,0.698,0.0018,0.369,0.696,137.831,1JHmTlQyRYKFiKc50AWNhs,181853
0.782,0.653,-7.069,0.0624,0.734,0.0,0.106,0.716,94.984,2TKYXJsrUE5O5X7mnneEHN,256813
0.566,0.664,-5.492,0.0259,0.542,0.00155,0.103,0.156,114.273,4mSrdNN00DC9t0rF41Qy93,321147
0.601,0.646,-7.638,0.0659,0.625,0.00184,0.0968,0.802,166.664,0dmkT4ZbCMbvBZVcG3ZhDy,237387
0.519,0.346,-6.912,0.0276,0.827,0.0,0.105,0.0855,123.901,5DmXiAJka1BizGPcV3ME3Y,273920
0.603,0.821,-7.867,0.0513,0.00238,0.161,0.0835,0.202,108.045,5hUNG5PdmE9pbReCCD0oCS,318293
0.749,0.826,-5.95,0.0316,0.38,0.0118,0.223,0.914,127.998,37Esp6rBYhZa8pxJs5xzIV,263480
0.196,0.637,-7.151,0.0342,0.0309,0.0,0.09,0.307,70.484,1gpN29arJs1CSowgyfQkvY,301080
0.343,0.776,-4.689,0.028,0.393,0.00845,0.0989,0.808,182.44,2TuNLeWdlHq4EHYNAryr7w,221947
0.45,0.338,-8.238,0.0267,0.781,0.0,0.111,0.467,171.978,6C0QzsaFVAf7QtDFN7dEit,265827
0.638,0.0868,-13.242,0.0358,0.917,0.000169,0.108,0.165,134.063,6l2XfRlfzRNV6ncyqDfxqg,341347
0.615,0.793,-6.736,0.0245,0.0374,6.33e-06,0.189,0.762,105.061,1MnkqFr0Me0HatvagefYUl,215133
0.529,0.287,-10.632,0.0308,0.525,5.15e-05,0.132,0.253,120.121,0LCJ9CyiLfmsqhDdq6PEvF,300652
0.455,0.409,-10.551,0.0274,0.55,0.0,0.118,0.317,81.041,3H77sWIsbj2xNfI8E6nODA,312333
0.415,0.183,-13.557,0.031,0.965,0.00198,0.331,0.35,98.098,4ZVPOJH67uI7T99R7LVMwB,203467
0.448,0.317,-15.659,0.0292,0.772,0.000354,0.278,0.668,103.841,5zJXbwUvkucFYOG2e3RWAA,179893
0.775,0.825,-5.018,0.0381,0.0745,0.00264,0.355,0.637,120.008,5A2GQWaNxwyEqpijbz0dIF,238107
0.542,0.578,-3.98,0.0308,0.468,0.0,0.0721,0.71,123.373,54aLrbeFF2z98O4sbkdny1,218373
0.52,0.415,-6.993,0.0257,0.0636,0.000323,0.165,0.156,131.851,3U32lotI70Kz4IzuLwHdhk,277467
0.5,0.769,-7.093,0.0431,0.00908,0.637,0.104,0.73,135.032,2GTg6B4w6Nkb05Sq1crNuw,283926
0.668,0.744,-5.241,0.0443,0.801,0.00472,0.0704,0.668,89.95,7Jm1ZyZKUOel136ysy34Ta,220640
0.403,0.729,-6.768,0.0279,0.395,0.0,0.0861,0.654,106.971,6fp5H6JgnlAnS69SktBhpg,188707
0.686,0.42,-8.869,0.0286,0.406,0.00232,0.142,0.381,135.999,5DTOgrUphb4eU8h0Nxphud,269960
0.734,0.336,-10.753,0.0342,0.585,3.64e-06,0.127,0.42,113.048,0i1f9NSylLUfLx4GdjzhV6,140840
0.539,0.673,-5.872,0.0315,0.619,0.0,0.113,0.19,141.829,7er7WofjVw4QwPAyxH39jH,237400
0.344,0.617,-5.192,0.0284,0.38,0.0,0.154,0.389,183.539,5GkLpVhIQOpdnyXHpy24Ca,291693
0.624,0.76,-8.071,0.0445,0.0894,0.0174,0.0653,0.769,90.022,6hQnp9kwcZl5bfezbdDkqz,273133
0.589,0.328,-7.027,0.0283,0.64,2.59e-06,0.0807,0.38,79.972,5YRayTOJnw0yADR3iyU8X9,250560
0.243,0.401,-10.223,0.033,0.359,0.0241,0.125,0.304,180.332,7e288273pubrKqKKcsO4V1,246133
0.439,0.555,-6.272,0.0297,0.261,0.0,0.163,0.2,131.996,37nqpZwOT6D4VBEiyKJgM4,251413
0.703,0.428,-8.41,0.0286,0.547,0.000101,0.129,0.545,74.995,112PgZaSiXk8Mqem2Krgtq,279290
0.63,0.43,-8.579,0.0243,0.759,0.0,0.185,0.227,103.994,2ydDmuWTgOv7WX6mj3Pom2,310320
0.541,0.845,-5.44,0.0303,0.0854,0.0,0.245,0.603,84.987,61vx5D0QRa4jtAWds9DTue,311533
0.467,0.482,-8.973,0.0326,0.142,0.00334,0.154,0.41,80.156,7cQ3tDozjKpkk08aiwbkaC,177347
0.285,0.684,-4.871,0.0281,0.0506,1.31e-06,0.19,0.434,79.811,2AurGDauHnxLcMtNAdVTkH,246920
0.586,0.149,-18.36,0.0298,0.839,0.688,0.23,0.638,102.751,0VyUB1ZvunpIpFX9iZh5jn,182000
0.472,0.205,-17.436,0.0337,0.848,0.111,0.0864,0.56,105.869,5O6edgk8KZxyu6tsMWKio7,184560
0.551,0.64,-8.448,0.0306,0.129,0.0,0.112,0.27,155.792,08CGzqjS4yHdibpn5DwK1z,297120
0.353,0.564,-5.942,0.0296,0.643,0.0,0.118,0.246,139.831,3WOclaOiwYnnN2vfmPFCzN,262253
0.579,0.354,-7.985,0.0309,0.738,0.0,0.112,0.212,123.989,1FmrEV5O5ttsfUs9v1KOUR,317840
0.408,0.424,-7.644,0.0261,0.443,0.0,0.353,0.05,94.073,3zxacdqmRzrSezEJfHgCe7,269093
0.36,0.733,-6.002,0.0451,0.024,0.0149,0.244,0.209,150.066,3A3VGowQNSqy2Ijxq485yS,300160
0.646,0.801,-4.355,0.0408,0.41,0.0,0.0835,0.607,87.991,0OjiV7FpVCrOIq53ZSH1EM,254293
0.55,0.624,-3.834,0.0242,0.593,0.0,0.368,0.17,82.034,0R4zwEg3Y0gjOI5FfwlPq7,196400
0.347,0.496,-7.178,0.0416,0.442,0.0,0.909,0.179,127.667,04NozViBxilKtLBg7ozzsG,393739
0.429,0.266,-10.147,0.0259,0.728,1.62e-05,0.139,0.39,74.696,6PwneVo6Ajy5dvU2rMNzt5,237933
0.277,0.182,-13.04,0.0374,0.779,0.0,0.384,0.163,73.673,1236F7XZl6ta9kAcpaHEBy,254549
0.358,0.32,-9.946,0.0308,0.726,0.0,0.105,0.384,115.499,2UgCs0i0rNHUH2jKE5NZHE,268423
0.462,0.576,-7.464,0.0304,0.00112,0.0,0.127,0.158,139.256,6JEckWKO4sGXm3WouMQQNr,335773
0.281,0.207,-13.734,0.0396,0.963,0.0117,0.058,0.149,71.632,1oAWbr6TXkRajJKgSm1vF5,293320
0.295,0.631,-8.599,0.0371,0.0749,0.00274,0.215,0.385,147.192,1nXXiV3UKg0FtcIJXQc75q,247467
0.248,0.335,-8.458,0.0306,0.693,0.0,0.125,0.188,88.615,3qS92cciUkc2vz9SmPKhna,327600
0.316,0.295,-13.764,0.0301,0.685,0.00366,0.118,0.296,83.781,2Y36XxRGVwMfGAakLzIatR,182000
0.622,0.722,-6.222,0.0891,0.254,0.0,0.124,0.725,171.851,5BLrI963t8pf71B7Btft7w,291573
0.679,0.583,-6.673,0.029,0.0462,0.000116,0.101,0.256,115.694,2prnahhmhAZ5tV0aBnit7g,239293
0.476,0.731,-7.499,0.0451,0.291,0.00141,0.0952,0.356,154.989,6OzyK08svJmVBZGgKXi6Ni,300838
0.496,0.645,-7.02,0.0266,0.476,6.69e-06,0.0845,0.398,77.516,4vpfGskGD1CiV4sFcw4QO5,295173
0.632,0.556,-6.728,0.0311,0.135,3.51e-06,0.111,0.753,135.47,3nzIGfMdBOOq0jZKieIjRW,332533
0.372,0.563,-6.838,0.0372,0.419,0.0,0.133,0.257,127.653,3UlxTkaYwypJHSy0XJdFEj,241253
0.488,0.631,-5.921,0.0339,0.604,0.0,0.0915,0.307,167.481,0aRroKrUMt4iE0GJu42KJ5,243200
0.325,0.369,-6.852,0.032,0.797,0.000103,0.384,0.314,127.926,67Z8EpahRJNHRpa0BeF2yZ,197493
0.752,0.448,-7.628,0.0286,0.32,0.00233,0.0855,0.309,112.815,1Nizg6wA1jOCcgNJ29aqzL,298907
0.645,0.521,-7.715,0.0256,0.576,1.57e-05,0.22,0.324,90.003,1BVZaGiI4WQEHGvixD0YuW,283747
0.457,0.467,-10.577,0.0283,0.572,0.000621,0.115,0.0791,77.962,3xVo7Tttzcawmv7rwnAseL,232320
0.684,0.67,-6.441,0.0354,0.144,0.0143,0.0521,0.953,160.604,6SZKOvCjuvQMWfyIJZmXnl,292547
0.429,0.424,-7.951,0.0254,0.0343,0.0,0.144,0.0773,77.942,2jp8Bw44J5w3E4zOyL72eU,323427
0.495,0.639,-6.957,0.0289,0.00921,0.0,0.117,0.404,135.224,4yN7h8tz3Rge2ZEShEGzxL,274640
0.677,0.806,-6.741,0.072,0.0542,0.00303,0.305,0.852,175.823,6Jdt1cKZrWaynFjk27H10O,267573
0.461,0.572,-5.721,0.0388,0.267,6.08e-06,0.0881,0.258,141.958,5dC3ln1859yEud2NomRuib,275720
0.338,0.421,-6.437,0.0332,0.839,1.65e-05,0.101,0.388,129.815,4p6xGjQezLdealrHIIXb6w,272947
0.623,0.749,-6.586,0.0609,0.4,2.04e-05,0.15,0.915,140.021,4rHCqrJt6PJmR899XpDQNQ,228280
0.521,0.425,-6.524,0.0281,0.794,0.00866,0.134,0.251,123.995,5xu3rqYtzUuCyRkePcLGjZ,345867
0.195,0.308,-8.219,0.0316,0.741,0.000703,0.0984,0.125,168.882,51vVTQqtz8kXv0GygVDIKV,281133
0.521,0.633,-4.608,0.0273,0.495,0.165,0.101,0.398,110.121,0z2ab0oNhTOTc1bV2cjcDd,319293
