danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms
0.563,0.743,-5.864,0.0315,0.0327,1.33e-05,0.25,0.547,95.978,61HcyrWyaffgGcRpxyqkpX,222732
0.545,0.498,-6.141,0.0278,0.191,0.0,0.131,0.185,115.496,46Oh6aHXjNEszZHRSFNza9,262082
0.804,0.632,-6.266,0.0343,0.282,0.0,0.11,0.836,100.005,7jXyzL8bNkOeIAO1OCTQAE,206293
0.486,0.722,-10.142,0.102,0.529,0.0,0.121,0.548,160.008,47hkZklUSXPXi92EcCWYYF,218430
0.495,0.325,-10.939,0.0372,0.485,0.0,0.114,0.221,168.136,5yIoL0La1bMBeI659ZHwcV,299827
0.531,0.566,-6.427,0.0273,0.226,0.0,0.112,0.182,79.066,2MwjcKcekaSQyecQVkmGEw,371080
0.537,0.396,-8.533,0.0363,0.927,8.54e-05,0.126,0.386,135.593,5lo0Wvjeg14DRNGZ7d2D1p,231507
0.606,0.74,-4.901,0.0264,0.337,0.0,0.0845,0.505,104.979,1juH8I4gvo6sYTbukFMg2l,222400
0.376,0.401,-8.736,0.0318,0.713,0.0,0.137,0.201,133.545,2T99nUHU24xb8MWeJRCpBN,291053
0.527,0.582,-7.821,0.0275,0.262,0.0,0.205,0.405,66.0,3NNzUDSLlIEqhWdeV3iZyg,253560
0.493,0.499,-6.606,0.0259,0.721,0.0,0.0995,0.202,81.026,2SrGFLIq9vv3xJ3OeTZkIi,269267
0.714,0.744,-4.139,0.0292,0.0235,0.000384,0.0839,0.621,130.02,7jcRLYWrzxADhnVLZcIM8i,216267
0.493,0.297,-10.805,0.0315,0.664,0.0,0.0877,0.0795,82.39,7z5NROqfoKWPlK9RQzpUQY,302813
0.586,0.578,-7.31,0.0396,0.687,0.0,0.109,0.261,113.917,3CgVruuqtLv88BXOCxtWl5,260347
0.468,0.77,-10.07,0.0631,0.0541,0.396,0.173,0.969,127.941,40cVo9HG8qiZAYVgM3MS93,183133
0.724,0.774,-5.162,0.0418,0.207,0.0,0.662,0.653,108.087,3U03WqeRZnEzlOV7fSA0vp,219693
0.375,0.158,-15.786,0.0438,0.659,7.83e-06,0.148,0.147,112.516,4qL4i6m6Sv8NkrpWzshRGJ,166067
0.304,0.197,-14.252,0.0308,0.937,0.0217,0.177,0.112,88.645,61W7EZrS3GFvXpRh9hlMME,244813
0.715,0.635,-14.75,0.0363,0.222,0.000188,0.0383,0.962,147.576,0pWmgLP2eG8FpdM0kGQxxM,177040
0.594,0.613,-6.29,0.0247,0.685,0.0,0.116,0.233,77.004,2X1Iaj38UEr7XUsgljzmOc,257800
0.633,0.516,-12.489,0.0519,0.653,0.0,0.0741,0.542,130.014,2PMaFpDuNog7XzczC7qnSc,274027
0.354,0.347,-10.005,0.039,0.797,0.0,0.11,0.23,175.266,3DRn70cccAiSLZ3BJa21Te,275813
0.656,0.384,-8.877,0.0313,0.775,0.0,0.187,0.197,99.945,1sqxhKZSdY77KM2XM5oCwG,268187
0.554,0.51,-6.534,0.0269,0.83,0.0,0.116,0.436,79.973,4lD40vyG33AcLiftmxQSC8,270093
0.498,0.806,-9.471,0.0329,0.0022,2.4e-05,0.327,0.897,160.009,6p6KRK7DB7OW3nH2OYXGMu,136800
0.342,0.828,-4.057,0.0484,0.29,0.0,0.292,0.233,167.891,4GR5BsIkvORxb9aejmjbqG,235067
0.589,0.874,-4.971,0.0766,0.107,0.0,0.0978,0.417,106.017,2kmwkxaPjSwJ1fe7SFROTs,190079
0.718,0.434,-9.494,0.0297,0.496,0.0,0.839,0.463,99.076,2ExgUbZN3hIWwENCGI0bof,290411
0.608,0.485,-7.704,0.0259,0.0893,0.0,0.132,0.411,82.035,2pP2lBVw1XnqtC3ZkijEeD,283293
0.349,0.317,-9.717,0.032,0.891,0.0,0.101,0.142,119.8,2gB71MIkU9054sJsjCtQDB,241613
0.493,0.639,-8.852,0.0622,0.243,5.69e-06,0.108,0.691,84.011,4cVWWg3mDfvIp8ZnxT0qfA,242000
0.551,0.403,-8.391,0.0307,0.237,0.0,0.165,0.162,136.02,2IfSPLPDW6RGosdB5huwAA,258866
0.42,0.429,-10.099,0.036,0.667,0.0,0.145,0.173,79.406,126sFLTpIW0IlvuRPVNB95,254800
0.749,0.612,-6.329,0.0286,0.0274,0.0,0.165,0.313,130.014,5TxvwLg25OgkKbefoYjOKE,290027
0.459,0.602,-6.788,0.0359,0.331,0.0,0.334,0.316,170.025,2mDdBxPHy4A91FZ5hIZfYo,276347
0.334,0.431,-5.861,0.0347,0.672,0.0,0.101,0.212,201.701,4xZIMRwaaBx7CZMmM6KLuh,310133
0.532,0.694,-4.49,0.0301,0.192,0.0,0.0706,0.298,133.876,4AYB0NMQZKS35FeMvTT2vG,266680
0.482,0.717,-6.045,0.0464,0.171,0.0,0.417,0.406,160.005,7HohaL77dTMuQbnCOT1eLV,259787
0.504,0.283,-11.472,0.024,0.895,0.00119,0.0821,0.533,90.992,2q6eeMRQTUDyZmT3rM5QaY,185707
0.718,0.82,-6.643,0.0476,0.0114,0.0,0.433,0.644,113.914,7nU24CO3tUQJrcrkFbGL0Q,204773
0.555,0.384,-10.133,0.0318,0.535,0.0,0.155,0.34,129.995,5zdfkwpby1vEPInXd7ZZaD,234462
0.493,0.327,-10.717,0.0292,0.867,4.61e-05,0.107,0.346,133.841,3Y21VVi72U5J3VhgvoGqJw,279720
