danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms
0.43,0.704,-8.008,0.0804,0.000155,0.00221,0.0933,0.703,118.242,7fcfNW0XxTWlwVlftzfDOR,315120
0.362,0.961,-5.664,0.0857,0.024,9.35e-06,0.159,0.491,164.019,2RaA6kIcvomt77qlIgGhCT,153840
0.172,0.943,-4.377,0.107,0.000224,0.000132,0.168,0.15,165.144,5JxyDHWj4XMRgvuRzWd9JK,310027
0.374,0.92,-4.653,0.0501,1.62e-05,0.026,0.0802,0.278,191.014,5u3l2TONYacJgmRPQVaF9y,248747
0.566,0.834,-8.412,0.0298,0.00277,0.008,0.0625,0.621,123.296,3VqHuw0wFlIHcIPWkhIbdQ,331560
0.428,0.874,-6.664,0.128,0.000337,0.0419,0.311,0.261,119.708,6ursmCnbc9oDRGa2yHKkoZ,212253
0.484,0.711,-7.784,0.0331,0.0183,0.173,0.0941,0.49,148.189,2f0P7iELCvAlV8j6Z3rGDE,503067
0.32,0.529,-13.7,0.03,0.112,0.0163,0.117,0.318,89.882,6DPZmWcljW3XCfMNlnqy9r,415933
0.448,0.982,-4.533,0.114,0.000116,0.0371,0.049,0.15,140.005,5bh2yNq0H23I1Qfh2IBs34,273370
0.512,0.947,-5.659,0.0401,0.000692,0.114,0.0283,0.612,117.461,2PpNgmrS9mAyrkRAwn6YPq,256933
0.463,0.981,-2.768,0.0865,0.000372,2.73e-05,0.345,0.341,139.005,23r9mjxehK4PjoXKUsi9wU,297920
0.51,0.887,-5.569,0.0799,0.0194,0.0,0.225,0.255,134.029,54dFYX1WmZFpu3Teceo5lY,312413
0.308,0.866,-5.671,0.059,0.000739,0.00141,0.232,0.227,109.825,0h4rVZcOiSaL9b5mT1A2gq,438120
0.502,0.924,-6.299,0.0503,0.0127,0.0,0.162,0.922,149.186,1hlveB9M6ijHZRbzZ2teyh,219667
0.273,0.39,-12.384,0.0317,0.134,0.00174,0.183,0.0851,103.955,7kjsCbksOZotNNHOvKsJJh,387000
0.448,0.878,-2.953,0.0844,0.048,1.33e-05,0.175,0.624,128.152,0i2VKBjz7WFaqJ9DgXtPK0,216800
0.35,0.947,-5.126,0.0749,0.000137,0.0196,0.128,0.104,137.137,45eGeRq5VjhY6RTN1TOefI,277320
0.604,0.883,-3.821,0.047,0.0254,0.0,0.0813,0.544,90.001,2tAzcTFry1OhmNERFjUR93,245533
0.332,0.994,-4.336,0.137,0.000119,0.322,0.142,0.0829,106.086,61dTqhd46yMkSWmC5LAh5F,291440
0.521,0.948,-4.612,0.118,0.000116,0.0589,0.324,0.59,150.03,6vpnMc4RI046H2Pqyf8bp7,197667
0.531,0.917,-8.033,0.0554,0.00362,0.000347,0.239,0.393,101.829,7LDTB4kVmrLCU5TqKjZnzm,284693
0.452,0.524,-10.108,0.0351,0.315,0.0,0.103,0.246,151.505,3ovjw5HZZv43SxTwApooCM,312360
0.263,0.759,-7.288,0.0431,0.0555,0.0,0.231,0.429,179.904,0IhUdJRoolbYeEMPL59XPm,284496
0.367,0.997,-2.695,0.228,0.00097,0.0802,0.0776,0.0567,115.024,3kBV6iIyeT5SCvGcVyg4pJ,230667
0.346,0.749,-6.506,0.035,0.00167,8.86e-05,0.648,0.315,102.591,7w6PJe5KBPyvuRYxFkPssC,443240
0.363,0.971,-2.974,0.0776,7.1e-06,0.00358,0.0797,0.347,146.018,7tuPKHwOe83qC2djmlKbFr,299787
0.436,0.772,-5.81,0.0377,0.00556,0.0,0.104,0.229,144.015,28urem2KpSOkljclEk8X8G,277347
0.506,0.963,-5.815,0.0609,1.04e-05,0.104,0.185,0.2,120.009,2VhbRTXGgZEZ8KYYFeWng2,239307
0.314,0.991,-3.867,0.318,0.000155,0.0477,0.0968,0.0395,138.975,1f2nJKg780VxYIveVq6Xej,298533
0.39,0.901,-3.807,0.083,0.00071,5.19e-06,0.354,0.442,126.722,2kg6xSbkMXH36655I5iJMN,185800
0.613,0.953,-4.936,0.153,0.00018,0.0614,0.116,0.213,119.976,4Ku3OOZWR4tpKNCVFXILY8,192560
0.144,0.995,-5.699,0.185,0.000146,0.405,0.364,0.0787,87.843,1ch9Iqm2hZAVCuFRseeW13,257733
0.558,0.859,-3.992,0.0421,0.00469,0.00196,0.0831,0.31,127.98,1vzqcPRQ6P1Uw7NZ5M77wJ,231445
0.249,0.943,-5.188,0.0669,0.0286,0.00401,0.162,0.458,173.671,0sxYYT48UPkmrDx8p4Hnrl,233507
0.164,0.942,-6.448,0.0756,0.0237,0.942,0.418,0.158,141.425,3Vw6RirdMTJr2aXTV32KH3,247583
0.497,0.97,-5.314,0.0636,6.33e-06,0.000164,0.303,0.514,119.984,1fwHCfitKRBxMWKyMmSyyR,152987
0.5,0.89,-5.897,0.0859,7.71e-06,0.00307,0.112,0.174,130.03,1JvMOOYZjXLQCZ5p5b0JJD,254118
0.452,0.967,-4.304,0.0868,6.9e-06,0.148,0.335,0.184,107.408,6U4PnLCxvpipBXCffkdHNo,245667
0.415,0.908,-9.701,0.0765,0.00437,0.0345,0.082,0.437,114.816,2SgbR6ttzoNlCRGQOKjrop,243533
0.366,0.956,-3.725,0.108,0.000293,0.00447,0.449,0.159,104.016,1yc53HK08sDab7PDFgnLWk,230127
0.503,0.963,-4.938,0.124,0.000121,0.0,0.0916,0.636,104.984,3FA9wGCQWqyoqWDPhsGtO1,196040
0.438,0.991,-5.245,0.0748,2.11e-06,0.161,0.231,0.399,106.538,19JwdNrMXnm2pVepX3KvfO,188800
0.365,0.763,-9.45,0.0591,0.00726,0.000457,0.0865,0.342,148.366,7txxAtOMwLLnQTpKeBL6bp,204867
0.405,0.977,-3.314,0.098,0.000295,0.000557,0.122,0.384,140.169,4Cf7HDam6eNq1Rg2Gv8Ag7,262750
0.56,0.943,-5.094,0.0842,0.000407,0.0248,0.102,0.231,115.01,2l7cgpgIJ7reophrNBVNNg,294480
0.392,0.962,-3.754,0.224,0.000665,0.00551,0.0727,0.32,124.923,6wrJh8NPZxO9v68Hwr36Zg,208000
0.461,0.987,-1.711,0.108,3.58e-05,8.48e-05,0.359,0.309,142.031,1pPlSUdw0SoYHi2YBa57j8,269266
0.454,0.913,-4.008,0.107,0.408,0.000271,0.248,0.521,137.688,7ACxUo21jtTHzy7ZEV56vU,293183
0.534,0.95,-2.712,0.161,0.012,1.91e-06,0.413,0.527,140.071,7qzNc93sUMR3vHt5WADmOa,207587
0.274,0.726,-11.541,0.0449,0.000212,0.0113,0.0993,0.426,146.449,4vJr55lngvhSM8WIh9CjQc,422933
0.539,0.828,-9.108,0.035,0.00067,0.421,0.154,0.562,105.25,54bm2e3tk8cliUz3VSdCPZ,515387
0.452,0.993,-4.74,0.172,2.88e-06,0.53,0.152,0.121,119.926,7eyshS7nRaFtN8oMjHZSnp,215200
0.477,0.965,-3.245,0.155,0.000706,1.03e-06,0.301,0.584,110.015,2FBmddNjVLziN4AxfUmdQe,222253
0.428,0.957,-3.201,0.0565,6.53e-06,0.0213,0.0503,0.467,144.086,4QrvwbiPaOMqoayUJ1razT,255627
0.504,0.911,-2.97,0.0738,0.00512,0.0123,0.355,0.671,106.244,70Z9t1qhytWtG4cCmmi7mU,179760
0.489,0.873,-5.38,0.045,0.000127,0.000778,0.108,0.386,148.046,0uzJU4LpKHBU1qrAhIJ4mY,254616
0.472,0.9,-6.406,0.0582,0.148,0.000297,0.34,0.42,95.826,3KhF2YiNpJvGpfiCW45R6D,214960
0.465,0.96,-3.888,0.0792,0.00023,0.0,0.129,0.43,132.014,06WohfoFEUa5faNy8f9S5N,255773
0.228,0.969,-4.07,0.1,0.000275,0.0,0.0982,0.428,155.212,0xfWKcNu13xxXQ2GT0P09M,187960
0.294,0.995,-4.383,0.168,0.000489,0.331,0.128,0.0379,88.777,01Mpj13vURSO3cCLprPt5T,254400
0.536,0.849,-4.702,0.0616,0.00318,0.00197,0.104,0.305,127.002,1BrgjqSg9du0lj3TUMLluL,206547
0.461,0.928,-3.542,0.0697,0.000583,0.0012,0.615,0.428,135.03,1Txptxzzcc7PBD7NSsJQWs,319688
0.342,0.91,-7.748,0.0758,4.02e-05,0.000121,0.0823,0.547,140.452,6EPRKhUOdiFSQwGBRBbvsZ,166360
0.292,0.823,-6.763,0.0407,0.0117,7.79e-05,0.155,0.244,89.939,1qOU8KzFifXE9YrgjVwYvc,275395
0.594,0.77,-8.267,0.032,0.276,0.0176,0.0575,0.827,107.484,52bzQkgk8TznulGvKOPQTK,277227
0.28,0.908,-5.509,0.109,0.0327,8.85e-06,0.18,0.26,118.698,5XcZRgJv3zMhTqCyESjQrF,270080
0.544,0.739,-7.383,0.0517,0.00392,0.000143,0.168,0.328,118.287,2dbOYFfS7r7NAzquRvji9A,342600
0.445,0.98,-4.369,0.0731,2.45e-05,0.163,0.129,0.285,155.045,0WZZENH0kt3O2cBE8q5IRq,256053
0.239,0.961,-6.695,0.128,9.44e-05,0.0619,0.964,0.182,176.343,3ebrniHtOzNWigJhEkWguR,267507
0.332,0.946,-6.233,0.127,0.000275,0.0304,0.136,0.303,153.091,0QRxtcxL31dRAeiUUuENPu,287480
0.34,0.486,-14.852,0.0405,0.322,4.16e-05,0.101,0.407,175.292,4fj8NzcAJfVYelreg3I32V,212458
0.44,0.524,-6.533,0.0277,0.0717,0.0,0.339,0.144,136.309,1qlRSRaD3Hb5lfzcAs0Ev1,269587
0.411,0.767,-4.211,0.056,0.000621,0.00842,0.134,0.659,134.408,5Hgx4ssabqTTD1fmGFTmi2,322613
0.52,0.653,-5.77,0.0623,0.00742,0.00415,0.162,0.601,169.948,7maIZJnwsPBUWT9yJYyPoe,217267
