danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms
0.797,0.747,-10.929,0.0502,0.000239,0.927,0.0739,0.0632,127.001,0wyyTT1jKpckwPIVK5Ts8d,445630
0.802,0.745,-8.766,0.0641,0.000791,0.906,0.681,0.0609,127.011,4Tu5xZvyqbNW6FDX58NkUy,461166
0.794,0.471,-12.39,0.0662,9.01e-05,0.887,0.0979,0.252,125.001,62n5QYuSVfpJrjMAOflgyl,387782
0.851,0.349,-9.439,0.0494,0.0899,0.56,0.0992,0.696,114.991,7isMboCA1MiX3CfHn1cogJ,372375
0.836,0.495,-10.834,0.0476,0.00241,0.844,0.0783,0.508,124.994,54Ouh41CWAFULtChxDc2P3,370333
0.781,0.945,-8.681,0.07,0.00357,0.925,0.0559,0.0352,127.97,20oThXKYs1X05XORM7igsb,377862
0.808,0.642,-8.158,0.0967,0.00255,0.859,0.0726,0.649,126.004,18hIV9sZTFlKQLLYqtu7ng,381903
0.811,0.465,-11.317,0.0724,0.000192,0.668,0.0968,0.5,126.016,0m2TDC5Tr4HdlP7dKENDzA,442500
0.685,0.913,-7.709,0.0462,0.000215,0.83,0.167,0.962,119.994,63kd33GQgsTGUMqTjww1Ds,343534
0.805,0.494,-9.231,0.0484,0.022,0.904,0.112,0.119,125.016,5aEH3NGhU1EVeP91gjU7Am,432353
0.805,0.533,-11.089,0.0543,0.014,0.919,0.0986,0.401,124.992,51r1ctSk1aaXmZDzFhHv2N,438079
0.875,0.266,-15.067,0.0874,0.223,0.943,0.102,0.103,129.991,50k8ZnMzrV0CMJqJdyd7oj,462240
0.79,0.515,-12.27,0.0703,0.0283,0.924,0.232,0.0399,125.997,7HzXrk4BWRxHaNSNRIJzkY,360027
0.941,0.413,-9.372,0.128,0.155,0.856,0.108,0.542,126.987,6JaWqpWxZ47wI2j37Kgq66,432756
0.803,0.901,-7.425,0.0753,0.00143,0.768,0.32,0.42,122.024,2UR4hKGD2Dt9eYSdZt0Tnw,448525
0.685,0.598,-8.56,0.0325,0.021,0.742,0.103,0.868,126.004,5DfMPwcEud6Xn0VOJCv8AE,475187
0.7,0.698,-8.505,0.059,0.276,0.898,0.132,0.544,126.001,17k0uNfuFFxAE2CHCfpGHg,490150
0.538,0.876,-9.194,0.131,0.00221,0.815,0.0783,0.447,123.561,6nRnBrBd7BVVSAn6fysqig,425000
0.662,0.902,-7.877,0.0472,0.00423,0.878,0.0922,0.681,126.979,7q7HeUshnSNSv6WHUrDJja,506893
0.971,0.334,-12.72,0.47,0.0776,0.888,0.111,0.302,128.044,54C2iu4Z3H9Pz9PMyJGQnM,392707
