danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms
0.272,0.304,-14.773,0.0417,0.788,0.699,0.121,0.308,143.793,4r2IPR6tLBgF1dl2FqcPfF,108013
0.221,0.32,-11.829,0.0315,0.47,0.864,0.114,0.234,103.511,51v7yO07BdGgP6hv0OaDe2,116480
0.66,0.358,-11.655,0.0318,0.673,2.89e-05,0.137,0.313,106.996,0tFlZBBAQFBwAHKpTOOv2Y,162213
0.471,0.0997,-23.512,0.0354,0.907,0.0209,0.116,0.502,137.964,0Q3GpBYKy5Mx97TNBJVibl,80173
0.484,0.249,-11.357,0.0377,0.932,0.0311,0.225,0.445,121.672,5b077QmDssq5Fy9J2ziJC6,140267
0.33,0.423,-10.504,0.0279,0.265,0.731,0.347,0.117,143.086,052z2UsE2wPrHsBJ9tly0g,211500
0.261,0.241,-22.299,0.043,0.253,0.916,0.164,0.0394,150.035,5565eG2z1gPbQYUxJHQYAc,148067
0.554,0.899,-4.573,0.408,0.0521,0.0,0.0568,0.552,171.966,5DD9jE8Z3LvpVn2TxknJyX,227893
0.338,0.266,-13.085,0.057,0.814,0.0,0.271,0.357,96.662,4EkE6ojKSUWPimaZqp1NHd,114227
0.684,0.471,-9.43,0.043,0.208,0.0,0.14,0.453,121.081,3Dupb5AcaVFErlSSfl3szW,140093
0.409,0.0554,-23.868,0.0385,0.969,0.777,0.0755,0.241,130.504,3ksu00d3upBmtytFqdBpeD,184200
0.208,0.276,-14.648,0.0293,0.961,0.92,0.129,0.231,177.108,2Yjv7MOdst5y6fFsq4cKOL,191867
0.684,0.266,-12.107,0.031,0.0082,0.8,0.0825,0.501,119.933,39Jxz5idxrHyLTK74A27lp,153384
0.635,0.649,-12.629,0.0364,0.000523,0.861,0.133,0.0334,125.987,2F1mGk7YPzJsMb3zjK1PAs,327013
0.224,0.4,-10.157,0.0306,0.831,0.754,0.123,0.33,94.672,4V2s08BMEqJWIfa3PcNOpR,66227
0.216,0.0822,-26.432,0.0491,0.536,0.521,0.14,0.0439,101.021,4z7eCvmfzkPIAgRkjgBZ8F,324520
0.362,0.429,-12.67,0.043,0.545,0.777,0.156,0.0366,128.969,6jTYkPw8GYo2bBVNzzslfp,104680
0.197,0.603,-16.116,0.0454,0.302,0.794,0.106,0.232,169.881,2q6fxAvSpqXR4jx9Ne7RGz,106280
0.264,0.236,-16.169,0.0311,0.273,0.908,0.215,0.101,77.393,16e78xoCoxHWRQIk0KzmZ1,130360
0.541,0.854,-6.201,0.0464,0.18,0.0,0.14,0.568,144.918,3OIHgTyQdiAGMmpjQaNxp3,198187
0.321,0.592,-8.365,0.0451,0.0323,0.0,0.323,0.557,83.415,7bhfPxNDc3Wtzu5Fx8FnNx,237560
0.134,0.474,-13.864,0.0518,0.826,0.58,0.195,0.133,98.854,6PrKZUXJPmBiobMN44yR8Y,203227
0.291,0.0309,-23.903,0.0413,0.98,1.34e-05,0.0624,0.265,125.472,47d2mzkc3bPUD93NB0gKLR,156040
0.382,0.54,-10.999,0.0309,0.367,0.986,0.0882,0.174,88.066,0r1fhSpQLnrZakU8WkBl9N,112106
0.154,0.0612,-21.292,0.0404,0.947,0.711,0.0903,0.0397,77.182,5tNTQsDOQ8REOgTsmeYi0H,428800
0.264,0.319,-9.511,0.0298,0.907,0.835,0.151,0.244,96.324,2ybG7j6iMJ6cbbDwqKyvc1,226587
0.175,0.399,-14.865,0.0501,0.473,0.959,0.0799,0.069,120.942,2pSMjadGmWcUbIF5eqLUxE,250040
0.559,0.386,-12.86,0.108,0.69,9.87e-05,0.122,0.256,140.238,60lpxsz5DjjZAChH8dzFDt,237867
0.527,0.415,-11.451,0.122,0.457,1.72e-05,0.117,0.515,78.169,1k1Bqnv2R0uJXQN4u6LKYt,125093
0.411,0.547,-11.725,0.041,0.396,0.928,0.108,0.24,78.526,4QVxZF4x31Jg5E4YlSpcFx,250462
0.66,0.816,-6.61,0.0299,0.168,0.0181,0.0608,0.678,111.346,3fH4KjXFYMmljxrcGrbPj9,263040
