danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms
0.589,0.696,-5.91,0.0347,0.516,0.0,0.107,0.678,80.0,2FXgikcDsMuWLmiixZRZGY,216960
0.509,0.167,-15.574,0.0857,0.797,1.89e-06,0.102,0.247,80.489,5r67b5mzg9W25YIPe2aBeY,249520
0.756,0.587,-10.328,0.0411,0.719,3.77e-05,0.108,0.554,89.957,02AWG4ugR83OTXCRhwfVp0,245573
0.829,0.479,-12.148,0.0303,0.0486,0.0979,0.194,0.858,110.048,34vieSxjRcQOwLZyXV52tE,239909
0.644,0.495,-8.821,0.0511,0.698,0.0,0.168,0.734,82.479,5aoKA8FewNNc35YXVBJZxB,226947
0.61,0.495,-8.399,0.0891,0.8,2.52e-05,0.083,0.683,146.878,3TAMiM8XFmU9vFd333pgRh,217960
0.692,0.662,-8.441,0.0776,0.314,0.0,0.0602,0.779,99.995,39NT6ww9JHSKF4PAfVA5qZ,243560
0.686,0.547,-9.55,0.0245,0.334,0.000401,0.116,0.533,95.026,5s3h4czckCkG2RZYtJgfEc,213880
0.729,0.76,-9.057,0.0318,0.41,2.14e-05,0.457,0.962,130.001,7jkGPaaf6PaVGbwCviWofS,187307
0.519,0.819,-8.297,0.0568,0.0874,5.45e-05,0.122,0.786,87.963,5KZTXLhQxpSVWnsW26ehAE,217560
0.375,0.154,-16.355,0.0556,0.839,0.00245,0.394,0.162,183.102,2ziSGFFOeUUD9ncDEkze1x,377882
0.537,0.34,-10.886,0.0278,0.751,3.8e-05,0.128,0.288,89.699,7wd5aC1HlSfombXl4Mbkbw,230893
0.353,0.716,-10.03,0.0446,0.413,4.53e-05,0.113,0.321,163.45,1byhPCcCFeZ8f506ju8ula,257787
0.614,0.509,-11.978,0.0528,0.805,0.0183,0.0928,0.822,78.169,1DDDiwA33JYAaxBkm3CgFR,189027
0.496,0.39,-9.881,0.0288,0.689,0.0,0.158,0.271,63.693,2Nx59l6QwvHUMyM3xTGwT8,208320
0.721,0.501,-9.644,0.0497,0.653,0.0,0.11,0.727,88.019,4f6RBa37z1nl4RhW4801nj,254213
0.781,0.252,-9.428,0.0343,0.4,0.0,0.248,0.257,102.052,1ojE9T2gf4uVMZkvKp1SNe,201227
0.786,0.648,-9.989,0.0556,0.32,0.00962,0.131,0.821,93.248,49y8PgZfM6BY7gYLABYAag,248053
0.533,0.709,-5.449,0.0615,0.254,3.26e-06,0.379,0.56,131.972,1S33LknYXfVJJYjQLcw45l,329723
0.745,0.668,-8.476,0.0407,0.644,0.000792,0.16,0.915,137.979,1fMXHai3Hbr04oG2IGS8wm,196453
