danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms
0.531,0.457,-12.095,0.0287,0.151,0.215,0.116,0.102,140.037,5zzd4JhPyEhS94upP1NgD2,283693
0.222,0.528,-12.013,0.035,0.367,0.103,0.325,0.206,165.589,6ut5MRERIEVigDFtpkNUIA,342000
0.6,0.439,-10.32,0.0475,0.4,0.0163,0.193,0.234,147.868,58BI5Iw9BIBBK3T3i6mNTJ,258920
0.516,0.175,-21.092,0.0334,0.759,0.897,0.0649,0.21,136.083,3N3jc17pU9wUR4nyKZ1WyM,161360
0.411,0.218,-15.779,0.028,0.916,0.000204,0.296,0.166,95.721,41mdoloLSJVYqW8OPmv9IX,432587
0.36,0.34,-11.158,0.0301,0.837,7.09e-05,0.139,0.467,155.318,6YR47aKz8bQiwShc65tRRb,268000
0.671,0.813,-10.006,0.0374,0.106,0.00263,0.0425,0.835,109.826,4WRmObaxak6QMdawT9u1hL,271547
0.491,0.501,-13.622,0.0712,0.103,0.0897,0.143,0.392,137.058,0mkWfvktsuV6xE4bR0AHYc,230173
0.414,0.5,-10.714,0.0311,0.916,0.975,0.205,0.283,125.004,03Ne1yhU0GsvxS6PChRCpe,237354
0.204,0.395,-16.632,0.0346,0.81,0.594,0.127,0.22,51.436,7Imvh030lE3llIlUIC4Nr9,226760
0.492,0.153,-21.137,0.0311,0.754,0.755,0.125,0.17,108.843,5Vk3nJhcGk3VLVbVq23vMu,211107
0.22,0.359,-10.546,0.0341,0.308,0.656,0.124,0.0381,112.167,2aNIRbPRTGD9Vb9GMx7hA3,426600
0.729,0.735,-5.455,0.0919,0.0178,0.000193,0.089,0.544,121.986,1DunhgeZSEgWiIYbHqXl0c,255867
0.416,0.23,-17.056,0.0327,0.596,0.923,0.0893,0.149,145.987,3WNoiK4VfbnIHw533iyDZ8,345600
0.364,0.211,-18.797,0.0309,0.837,0.91,0.0857,0.0331,79.983,24TOhhpJeIGCxqGjXg3Cn3,402587
0.53,0.498,-11.84,0.0301,0.373,0.937,0.105,0.114,92.978,2UBGVnFvBq1uOhON0IF1am,476066
0.481,0.637,-11.86,0.0393,0.179,0.916,0.0961,0.449,153.881,46IsxHHp6DvcU4fE7Yx1WH,241053
0.342,0.251,-12.694,0.032,0.409,0.0043,0.0877,0.0384,141.236,48zDWKZmkWnllYyyMOtZaU,227800
0.195,0.159,-17.879,0.0399,0.858,0.515,0.0612,0.0905,94.98,3KVk5bReD56nItFE7K2zyT,389587
0.484,0.461,-17.325,0.0266,0.189,0.543,0.112,0.53,155.576,5EqAqX0FlX8lT9huuq2YZY,306867
0.44,0.49,-12.887,0.0261,0.00911,0.0583,0.555,0.668,95.938,2voz1JqRt76CTE6Kw5ijEc,196987
0.368,0.274,-15.41,0.03,0.828,0.984,0.178,0.255,80.037,1Q8VcLmEVRBtTaTs82clnS,177560
0.325,0.495,-11.868,0.0305,0.0165,0.0591,0.0839,0.0779,97.007,1VikHOu6FkhzS9y3XjJOam,266426
0.496,0.424,-11.188,0.0309,0.115,0.622,0.361,0.125,81.986,6u56yGGSkWVvexblRAyKf6,311333
0.714,0.615,-8.997,0.0286,0.404,0.00243,0.32,0.851,119.885,362ALtGoLV83yIqUoZ53yo,277267
0.476,0.34,-15.692,0.0357,0.936,0.842,0.143,0.902,93.412,5Oemx9etgeXfopp9Cjkbqt,263686
0.328,0.284,-14.405,0.0307,0.863,0.935,0.135,0.0626,100.043,2CO5Uixta977DyBp6feXpy,302315
0.327,0.239,-14.859,0.0273,0.562,0.796,0.0731,0.224,68.136,3FdviLSWcYzww3tbSOBqNw,289733
0.596,0.641,-9.969,0.0292,0.289,0.92,0.149,0.725,90.006,69n6N7QuyPlUtOL0xhwnOX,249733
0.125,0.136,-15.777,0.037,0.954,0.81,0.14,0.0672,68.141,6hqyPvSUzgLHiGc72KReHz,258640
0.484,0.558,-13.261,0.0377,0.312,0.697,0.261,0.333,174.051,0q36BH7rK2aePwal0tRaT6,297440
0.565,0.375,-12.58,0.0347,0.517,0.909,0.104,0.145,90.005,4ofdytqu3wEK9wikkA9JDY,285027
0.274,0.226,-15.485,0.0382,0.968,0.848,0.257,0.1,113.662,7k6wgZEHI8CpfvQLCE2Fk7,302907
0.43,0.295,-14.255,0.0283,0.698,0.569,0.226,0.159,74.014,5avVpUakfMHD6qGpaH26CF,278200
0.183,0.289,-13.396,0.0348,0.951,0.799,0.0737,0.0441,117.488,5j1LB8e9lIAQ2lIrUEPcT5,368360
0.405,0.162,-13.551,0.031,0.743,0.788,0.168,0.0379,100.536,2iaPOKJLrCSlEXqPXziix0,308600
0.339,0.0209,-24.833,0.0401,0.978,0.86,0.0813,0.0737,130.702,31clcZ8cSbpCZK8PRwjhSb,306200
0.608,0.0625,-27.42,0.0357,0.785,0.891,0.112,0.145,80.093,1ItoUJM4w0uXJrteDPhgma,206840
0.232,0.218,-15.307,0.0377,0.916,0.871,0.117,0.045,109.259,0f3qYqNDDJuUV1qSrUT8aJ,282826
0.366,0.428,-13.931,0.0318,0.691,0.0237,0.113,0.094,89.828,0ZQxMl95OVGtAWuGk3hB6q,277533
0.568,0.424,-14.177,0.025,0.901,0.827,0.262,0.177,107.908,1n9Y43sc8aFDYJiUxe3tF1,384707
0.602,0.792,-10.906,0.032,0.0337,0.905,0.53,0.437,98.984,6G9F2G2iCvHWHbCzS17NhP,386907
0.361,0.324,-15.194,0.0326,0.689,0.00166,0.104,0.0723,170.829,0oNIxE00cj4YrU2WaHGpwC,626521
0.603,0.201,-15.849,0.0367,0.914,0.842,0.0861,0.158,79.931,1uAWYa3gBEsbMap0W5j17R,289427
0.215,0.22,-13.078,0.0354,0.899,0.0594,0.141,0.0394,86.438,4G3tv0qZ4W20ZOvOb02o4P,291107
0.641,0.922,-4.457,0.0786,0.0291,0.0,0.0862,0.847,146.078,3bidbhpOYeV4knp8AIu8Xn,258343
0.254,0.0913,-16.793,0.0371,0.909,0.0,0.072,0.162,102.381,2KsLUBFz2B3SsgLp1yP55Q,305480
0.538,0.275,-14.908,0.0318,0.892,0.136,0.131,0.268,119.961,7i7wN10uxFj4U3xuAPQEZO,265173
0.325,0.0305,-31.181,0.0486,0.956,0.959,0.119,0.206,124.838,3NAUrpCOrjAT9BGeaAUYdb,128893
0.575,0.36,-13.949,0.0258,0.631,0.245,0.105,0.195,80.997,3UBZdA5Abwb3p8xU50ny67,445067
0.588,0.47,-10.688,0.0586,9.12e-05,0.911,0.0965,0.411,120.025,6XmOyhSg0cM62RycKuPJCr,293747
0.794,0.811,-8.966,0.038,0.0426,1.07e-06,0.101,0.862,116.047,2Foc5Q5nqNiosCNqttzHof,248413
0.679,0.865,-6.56,0.0458,0.562,0.788,0.0676,0.701,92.512,5XXxRVVPOjTLFYMMPGgQfA,364133
0.348,0.167,-9.43,0.0318,0.95,0.000456,0.177,0.15,80.075,0z0TYuJoRY8HaykOkMMGAb,260480
0.503,0.691,-13.0,0.0461,0.0247,0.348,0.113,0.302,94.917,15zUyQPa91SOSeBf3w4ofr,434507
0.302,0.265,-14.289,0.0302,0.736,0.133,0.348,0.118,143.582,1E4kNwDcQt56FKp3jlfuGg,495893
0.165,0.0922,-19.405,0.0373,0.732,0.218,0.107,0.0352,107.488,1VUdANhTuuzEGbgeECbHZB,332813
0.442,0.485,-12.264,0.0288,0.00606,0.79,0.417,0.188,156.066,2YhdTvNqZsaoDP8M9mvyN2,325920
0.576,0.191,-14.145,0.0321,0.745,5.79e-05,0.116,0.0571,95.133,5mHtUWgWPJ2Oi2440y0XCi,402267
0.404,0.513,-9.116,0.0264,0.137,0.598,0.0585,0.3,143.97,6NEbpxTn5bMfMWJGIUTV5t,229493
0.747,0.451,-12.831,0.0431,0.01,0.789,0.58,0.454,94.999,5JPheDymYJpsZ86firmnox,393406
0.744,0.528,-8.583,0.0452,0.809,0.00624,0.1,0.969,171.282,11gui2q9u8RUYnNV8IN2Km,180173
0.0853,0.293,-13.076,0.0415,0.00621,0.863,0.108,0.0309,168.753,3vdiWuVRCKbEBNmuaLPMxv,378173
0.198,0.279,-13.996,0.0353,0.673,0.851,0.198,0.121,109.048,4VVdbRBVsA6WBSrlMwPZIR,301867
0.413,0.594,-10.017,0.0374,0.761,0.442,0.105,0.236,172.06,5iCrsRzwTe5hFzhQRW2291,247467
0.563,0.413,-12.589,0.0268,0.0534,0.717,0.141,0.225,149.997,47vFyxAv24QxAOfdMuE3oV,291027
0.457,0.757,-5.177,0.032,0.0206,0.0,0.146,0.417,102.961,2ihCaVdNZmnHZWt0fvAM7B,266600
0.671,0.119,-22.71,0.0343,0.896,0.866,0.0937,0.194,87.003,21vwSntEYxfzAnGuDI5yQj,327000
0.117,0.0813,-21.552,0.0384,0.941,0.0777,0.173,0.0594,80.574,0qUKdp7chagYEWaI8JUDcs,241267
0.206,0.368,-14.553,0.0603,0.796,0.0159,0.117,0.0784,81.987,5N5sHFKi47SjQASUnxNZVO,187507
0.344,0.177,-17.959,0.0324,0.974,0.949,0.185,0.173,107.611,76QOHz5udxsjAFhPNVHfkb,231000
0.376,0.21,-12.924,0.0424,0.977,0.889,0.0939,0.103,116.908,0fGxfaM7FOey3LzeZVAxCN,563467
0.43,0.313,-17.9,0.0347,0.786,0.247,0.146,0.161,127.697,6UZCIkiNS44aaGqyLaaaHF,365840
0.529,0.24,-13.203,0.0335,0.87,0.815,0.109,0.233,131.442,1ueOEwIxlCAivSC8ZrA5xW,236667
0.357,0.217,-13.253,0.033,0.848,0.000191,0.086,0.0537,115.324,1gOWogw8JuzyWvI3dRzoS3,226267
0.361,0.0738,-18.93,0.0327,0.896,0.801,0.107,0.128,100.227,4UfL9zy2IO26JAO0jNvkhH,212133
0.487,0.3,-18.14,0.0385,0.256,0.001,0.0994,0.138,89.803,6ugxGK3mB9KFtfUJwOuX1R,260200
0.635,0.926,-5.589,0.151,0.0893,4.53e-06,0.0928,0.761,100.048,6KuHjfXHkfnIjdmcIvt9r0,189840
0.682,0.681,-8.646,0.0294,0.0389,0.0261,0.238,0.609,94.512,1jMK5UcNDbMOzTiWG0YJ2d,227467
0.393,0.288,-12.186,0.0319,0.814,0.461,0.081,0.0646,112.816,0iohClf7XwzZkjfEwnZtpe,282413
0.165,0.0483,-23.188,0.0408,0.959,0.307,0.0722,0.0685,136.752,0jVDUBHY2SziMS3MwhKBpJ,168827
