danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms
0.4,0.816,-4.788,0.0554,0.0674,0.0,0.172,0.225,124.039,1bkIxRgDgJv4oNn5ExAkRs,274128
0.612,0.883,-6.968,0.0522,0.0862,9.77e-06,0.26,0.867,167.923,6qfvUDrdGHczpCNI2AP8cU,190280
0.765,0.473,-5.829,0.0514,0.287,0.0,0.391,0.34,119.992,5kqIPrATaCc2LqxVWzQGbk,237300
0.69,0.497,-8.4,0.215,0.00196,3.46e-06,0.177,0.403,108.116,1PhvTwusCB7hHCLrP8mrll,210787
0.414,0.353,-10.17,0.0364,0.396,0.000426,0.12,0.474,82.413,65Yq3PZXJIRLMJmdH6qOdg,225139
0.454,0.881,-4.537,0.0412,8.73e-05,4.21e-06,0.379,0.545,107.962,4NtdkNudAf9vuF9zzpeJiL,303787
0.773,0.832,-4.958,0.059,0.000483,0.778,0.13,0.872,120.986,2hr3kqWd9MJ1sWAhgCpzQf,333713
0.689,0.404,-8.898,0.0365,0.238,0.00132,0.618,0.22,109.968,4X2xkFnNZ4aVoZq67tvDU8,191819
0.675,0.459,-8.049,0.0278,0.526,0.00122,0.127,0.478,120.053,0vXYHIX8tnarRm1wtQGukH,257787
0.349,0.815,-5.659,0.0433,0.000764,0.00279,0.344,0.344,96.064,0T8WcoofVcIw7nv9voAnOA,210067
0.556,0.785,-5.842,0.133,0.122,0.0,0.468,0.825,104.978,7ciLq0Cip0yxiz6KANrOUq,231813
0.695,0.434,-7.714,0.0897,0.582,0.0,0.204,0.681,151.889,4Y4hyK60i3xU3pprXx8gZo,259330
0.37,0.174,-14.471,0.0342,0.807,0.47,0.113,0.201,138.17,4KnXpJzC4a9QzbsUgoDXOc,142046
0.403,0.539,-6.987,0.037,0.0405,1.06e-05,0.254,0.332,125.646,6QeJEhEoMNqsn2yhCvG3jc,211653
0.578,0.43,-6.134,0.0305,0.33,0.0,0.0854,0.288,78.991,62PaSfnXSMyLshYJrlTuL3,295502
0.496,0.885,-4.349,0.0453,0.00346,0.000243,0.591,0.326,124.21,0EaqTZtx0wyKBT1VluOtCi,248214
0.715,0.494,-9.349,0.0566,0.354,0.00111,0.128,0.236,131.975,6q0VwXmZtBkNfkKSRRO1hv,188919
0.694,0.663,-7.326,0.0329,0.694,0.405,0.134,0.179,119.993,1CzLhaLoxKmfICepLtWEJF,363116
0.676,0.503,-7.014,0.06,0.302,1.26e-06,0.119,0.378,87.007,3oxkOzC4pgz7XMXYORTm1I,167818
0.714,0.618,-9.491,0.112,0.0837,8.69e-05,0.0892,0.298,172.019,6dMEkiUUCt09BeeSVgIkao,203398
0.633,0.807,-6.077,0.0381,0.228,0.0,0.419,0.897,135.002,14KXQU8N4mD0g1enS8F1HQ,174720
0.459,0.683,-4.8,0.0296,0.0175,0.0,0.151,0.529,78.01,6SSKR7x2un743k1L31c5bk,192998
0.505,0.782,-2.256,0.0404,0.682,0.0,0.173,0.366,76.004,5b0QOGqikWl9VZ3H3uHrUb,215467
0.615,0.548,-5.457,0.0246,0.35,0.392,0.0996,0.265,140.573,48MntU3zSVgU5ZOWhdsWqP,350249
0.576,0.449,-7.23,0.0419,0.608,0.0,0.117,0.147,145.025,27eKJ4RlK36novSUJQXlVH,196013
0.562,0.904,-4.947,0.0807,0.00302,0.0,0.0433,0.651,94.481,3px2rAPu74ltbkf9eZsZ8h,158667
0.623,0.654,-5.408,0.0674,0.0183,1.7e-06,0.398,0.193,96.017,2yBXFeBsYHXI9uqXewILuv,227680
0.683,0.899,-5.382,0.0286,0.102,0.0,0.0868,0.366,110.996,0X9vr7owjJaxiAjJTsn04q,226773
0.674,0.73,-5.503,0.132,0.00196,0.0,0.233,0.63,100.013,3A2XKObGNiNjSZlQVv8Tq0,177253
0.802,0.739,-7.387,0.0435,0.188,0.0,0.121,0.342,100.035,4fMJ7vHNzhd3Gaxx4Jxxbq,176103
