danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms
0.373,0.145,-19.102,0.0648,0.968,0.00345,0.0715,0.136,78.761,5ZwMblv3NTijHFr6BhdHB9,190027
0.186,0.107,-17.44,0.0419,0.982,0.000489,0.0933,0.0638,165.892,7idRPUw8IWVEcOu6qiaYmM,287667
0.359,0.236,-17.341,0.081,0.952,3.26e-06,0.661,0.183,137.75,0QwJQm7p4rz53QeyWHW8r1,177307
0.233,0.242,-15.925,0.043,0.988,0.0969,0.0917,0.0736,130.56,0KHZVwPtYZ6D9c1H5UmLtR,324914
0.219,0.144,-15.056,0.0471,0.975,0.00237,0.101,0.0603,83.714,75oYDRKr6OfJCSqq4h5zAn,181533
0.442,0.2,-16.528,0.0711,0.988,3.92e-05,0.491,0.488,95.98,3a2opIEfYtwCpEuhCqVlNC,86867
0.254,0.336,-12.528,0.0568,0.972,0.000523,0.365,0.166,90.089,6FZImBkeqSqxliq7zgNc1a,216573
0.273,0.0519,-24.36,0.0419,0.973,0.000572,0.29,0.165,83.984,3u3jhIIhgpuQTpcVNj5KiV,121760
0.521,0.502,-8.521,0.0287,0.886,0.02,0.188,0.378,95.028,5WHnE8MsLFHqSUwecrs7WO,241232
0.34,0.0842,-19.444,0.0522,0.98,0.00122,0.369,0.0872,101.486,1V2GIpEF9spLDRlJIWv7qm,299680
0.203,0.405,-11.807,0.0455,0.957,0.0031,0.768,0.27,84.364,1PETLxXIcpF967pBnzeWVH,356176
0.218,0.293,-13.606,0.0357,0.928,0.00064,0.0939,0.268,95.648,3hV9FNIZCu3wRwY3ojFEZn,171640
0.349,0.255,-8.915,0.0323,0.883,1.69e-06,0.11,0.125,104.446,6uOpnY4XH0P0dV8zmt7FvP,224468
0.289,0.197,-18.424,0.0341,0.921,0.00077,0.314,0.584,140.466,4m5rO8vfR0H6V4J8sKTU2J,156360
0.267,0.127,-14.365,0.0344,0.988,0.302,0.148,0.232,102.848,08plhEulThnMIDZtLGFvF3,145240
0.59,0.726,-7.056,0.0338,0.237,0.34,0.35,0.345,100.004,0jovNtPmLCHgVYgNLfTelc,236440
0.389,0.19,-17.877,0.0704,0.898,0.000141,0.0787,0.0806,137.458,0OOKaaODuCHR7rwjS6kJFA,276373
0.318,0.182,-16.567,0.0356,0.976,0.821,0.105,0.349,153.926,2kLUvKNACA1C8mFjXJaGJ5,238267
0.195,0.111,-27.009,0.0528,0.968,0.149,0.367,0.0562,82.416,18bDQPwSz4D72o0FXeSY7l,251133
0.242,0.356,-13.189,0.046,0.971,0.0306,0.161,0.152,89.202,3b9Dae2aPvOGKNOcdhj9CP,402040
0.213,0.339,-7.689,0.0299,0.109,1.97e-05,0.135,0.128,79.018,3CN6oJlgLrH4ySrbEidyMT,239613
0.338,0.434,-8.516,0.0341,0.886,0.000759,0.101,0.0777,125.603,667qVnOTX35kf5UNSzPJqw,224893
0.393,0.311,-17.102,0.0703,0.966,0.197,0.147,0.441,66.413,3ptSrjzolttsyESN2iqB4U,295693
0.615,0.602,-6.765,0.044,0.591,2.51e-06,0.102,0.521,102.068,0tyWs7VaLmVvUkFXd9nyfj,235446
0.217,0.191,-17.852,0.0391,0.988,0.00825,0.107,0.0603,105.633,26FpJUR8TDECWM40zqnXiK,143200
0.42,0.0755,-23.676,0.119,0.97,0.0,0.1,0.134,82.663,70B0DJXQRMNz3msBAZ88LR,159667
0.209,0.268,-13.864,0.0416,0.97,0.0129,0.14,0.0371,92.349,5IlwoNhsF1QC4HoDke1rjO,375373
