danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms
0.586,0.203,-14.391,0.034,0.765,0.0,0.0911,0.537,82.207,5w60A2oz18HOtQ77aq5PNn,262373
0.528,0.594,-7.014,0.0363,0.07,7.62e-06,0.0889,0.397,150.048,5zSN3gjL9Gh29nvRNdVUba,205320
0.558,0.493,-8.084,0.0292,0.38,9.61e-06,0.0753,0.369,143.963,3kih7GfZEb0rdLZZqmJPWn,228133
0.468,0.478,-9.014,0.0308,0.663,0.0,0.0642,0.238,75.921,18GEkzedsF7qEBrBCq2kDT,255293
0.37,0.408,-8.467,0.046,0.912,0.000558,0.0997,0.514,175.521,6PsXUaqqOwvbS30VeUWEFj,221077
0.381,0.739,-6.874,0.0484,0.0809,9.66e-06,0.107,0.438,133.648,0xv7n0czaBA05n1SkIp8yj,270493
0.2,0.204,-12.386,0.0323,0.648,8.24e-05,0.125,0.203,76.158,64lzqEGnmbfEMXzy2S5G5F,249933
0.537,0.561,-6.961,0.0297,0.423,1.64e-06,0.134,0.242,78.13,7gZ3kWNtIxFgxjsm5OTVMB,273200
0.457,0.262,-13.398,0.0301,0.792,0.0,0.174,0.162,138.525,29zGp7QZhsfFxsgMk3gCsG,255173
0.323,0.199,-12.913,0.0324,0.847,0.0148,0.0886,0.0696,88.487,1hQhVfLpOQAstwNLwQatPy,256893
0.552,0.442,-9.911,0.0397,0.448,0.0,0.375,0.41,117.202,1wFDzMeJAK98oJRdrG7Gmj,197827
0.639,0.494,-6.512,0.0299,0.192,1.24e-05,0.269,0.22,135.994,3WkEkzCNKSTfDAHj9EBJ4j,231683
0.28,0.144,-14.221,0.0316,0.892,0.000156,0.117,0.135,96.827,4ekBuSR7a02BWjhcisTAW0,193467
0.245,0.362,-8.331,0.0301,0.723,3.64e-06,0.0836,0.153,84.754,3ddH6vSbwm2IRDKVGAUcRL,287376
0.412,0.5,-6.466,0.0305,0.83,7.19e-06,0.101,0.229,143.88,6HAO91i2tXx1x2VOzB0sRQ,263657
0.501,0.555,-7.672,0.0308,0.296,2.96e-05,0.0859,0.436,126.207,6aDYL0klsShJ1NDScruk2G,233307
0.775,0.641,-10.825,0.0621,0.0377,0.0,0.0424,0.806,120.053,3pfXzXbRJNXOT7f2IQ1s2p,222160
0.335,0.244,-9.084,0.0325,0.761,0.0,0.0989,0.386,72.016,5g0JRBsRm7PWWX4EjQ034a,234240
0.576,0.697,-8.909,0.0477,0.0548,5.43e-05,0.073,0.734,104.841,3BqsUeCJGuMijPts9ynOzy,358133
0.484,0.314,-9.86,0.0276,0.381,0.0,0.13,0.0638,82.834,0eIv0JP8PM1H4jiSqnWhr1,289813
0.116,0.212,-11.905,0.0352,0.922,0.00106,0.0996,0.0832,70.168,2mRNCbFbpJE4QVnw1bDcsd,245787
0.658,0.933,-6.073,0.2,0.02,0.792,0.216,0.536,131.268,0UeCxIneTlZfpbv6Glok6p,186919
0.449,0.158,-16.022,0.0365,0.879,0.891,0.126,0.0793,123.893,0lzcQrdHeXkbnjJdX09myW,247304
0.247,0.309,-7.682,0.0339,0.824,0.0,0.462,0.236,83.186,4iT1lNJPiFzzpo1M6ORMhC,232547
0.703,0.558,-11.779,0.0315,0.539,0.000131,0.101,0.438,134.015,1qOO5ZUpTcn06nq6bpymQb,295867
0.715,0.456,-9.025,0.0266,0.515,0.0,0.0604,0.314,117.96,5vAJh4JqqDMjAYDWiGVrqA,263000
0.376,0.923,-6.338,0.0419,0.0819,3.31e-05,0.327,0.532,149.907,5cUgTGnxSy4bXDQdrmBSl3,223227
0.453,0.359,-11.11,0.0246,0.507,0.0,0.174,0.265,84.957,5ZdVNonuULT5B3yQEU5dF3,226080
0.269,0.392,-10.312,0.0329,0.88,0.0201,0.0935,0.136,81.065,5rRVQU51M05KMb7BuF2sq5,273507
0.756,0.728,-7.538,0.0457,0.466,2.5e-05,0.0933,0.82,89.976,5dFWUYnmfiJsIkd5E9CBR6,227322
