danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms
0.681,0.314,-9.319,0.0581,0.2,9.82e-06,0.1,0.166,139.992,6mapJIPnQ23RTAevUoE0DL,208120
0.432,0.781,-4.038,0.0567,0.041,4.21e-06,0.0789,0.197,139.432,66hayvUbTotekKU3H4ta1f,250286
0.737,0.792,-4.117,0.0416,0.102,0.0,0.0532,0.543,104.012,47OVNnZJzIkrsEiZ4n187p,184134
0.698,0.875,-4.665,0.0824,0.00557,1.88e-06,0.0618,0.39,115.012,2xsx8DRlmbGJlxY4msANSB,198281
0.491,0.607,-6.333,0.0668,0.0125,1.52e-06,0.289,0.166,176.112,2Fjz5ZC5BvFdCqcnTZ3ilH,189333
0.712,0.799,-4.564,0.0703,0.0447,6.4e-05,0.37,0.591,83.996,5ArQzSBevAdXTxRY6Ulhbq,206903
0.551,0.651,-5.828,0.0594,0.225,0.0,0.224,0.562,144.875,762UXiwEHYY97VL45sAUPR,194907
0.705,0.784,-6.477,0.271,0.0133,0.0,0.168,0.377,160.035,0E6PsO3ymCfUh7pJQjBgkj,264853
0.891,0.486,-7.803,0.159,0.0158,3.78e-06,0.0925,0.239,125.01,4scpF6J5uMBvoh6sFB7EL1,200080
0.695,0.639,-6.897,0.153,0.107,0.000657,0.118,0.344,90.027,4AhSkRYioEIfGvCV19peYN,189493
0.726,0.769,-5.043,0.123,0.0293,0.0101,0.104,0.733,97.985,3B54sVLJ402zGa6Xm4YGNe,233902
0.813,0.453,-6.941,0.338,0.0933,0.0,0.14,0.191,161.997,5nN8BwAQDJDguq7Dpd3JQQ,208027
0.511,0.856,-3.763,0.0505,6.03e-05,0.02,0.324,0.62,154.904,3WKz5JDH0St3Smips7NlOM,187467
0.599,0.854,-5.429,0.0436,0.0746,0.0,0.278,0.311,119.986,7D49Iig0avHre9RFSUMkd2,234547
0.793,0.567,-7.604,0.0813,0.0687,0.0,0.0663,0.813,108.007,5pqUc0SPA1EmhdOyD9Ou45,188889
0.783,0.537,-2.921,0.0795,0.278,0.0,0.229,0.393,113.988,7n1940b6kHcaEewFSZXnXa,222866
0.606,0.784,-6.293,0.268,0.435,0.0,0.689,0.48,80.985,5gFoAVTN9YlM9uJCrFZtgl,278573
0.75,0.56,-8.094,0.105,0.546,0.0,0.111,0.459,140.06,3swc6WTsr7rl9DqQKQA55C,221440
0.334,0.617,-5.834,0.383,0.334,0.0,0.163,0.603,85.227,1SJtlNRJDeYHioymcvsqev,216391
0.51,0.692,-5.825,0.171,0.00451,0.0,0.138,0.209,102.42,4CGGIk81BvfCZiscwFP6t0,228361
0.594,0.749,-5.298,0.056,0.0338,0.00106,0.3,0.694,179.968,5YUyW9opqNsMSEzzecZih1,172854
0.734,0.637,-5.677,0.141,0.0462,2.29e-05,0.0602,0.648,169.977,3CRDbSIZ4r5MsZ0YwxuEkn,202333
0.572,0.499,-5.237,0.0311,0.0283,0.0,0.213,0.108,101.593,1JCCdiru7fhstOIF4N7WJC,237248
0.852,0.764,-4.283,0.0631,0.0178,0.0,0.336,0.266,132.981,6LTsvaebP6V9tJFvZxqi5M,207391
0.739,0.742,-4.586,0.0329,0.0227,1.39e-06,0.229,0.659,124.016,05mAIVLkIWc2d1UBYZBCp8,189000
0.516,0.792,-5.38,0.216,0.0235,0.0,0.404,0.524,121.189,1vVNlXi8gf8tZ7OhnEs4VE,226790
0.635,0.659,-4.92,0.155,0.309,0.0,0.302,0.54,178.018,3nodtPfXcok53E8Uze8gvD,187589
0.652,0.557,-5.714,0.0318,0.74,0.0,0.124,0.483,150.073,2qxmye6gAegTMjLKEBoR3d,169354
0.794,0.811,-8.966,0.038,0.0426,1.07e-06,0.101,0.862,116.047,2Foc5Q5nqNiosCNqttzHof,248413
0.775,0.613,-4.586,0.0542,0.109,2.33e-05,0.134,0.797,100.066,5cF0dROlMOK5uNZtivgu50,208787
0.876,0.519,-6.531,0.143,0.202,0.0,0.108,0.158,94.981,1ZAyjvIk9YiD76yYy0TEG6,175230
0.874,0.692,-5.28,0.0431,0.0412,7.24e-05,0.324,0.937,116.017,55h7vJchibLdUkxdlX3fK7,178560
0.72,0.706,-4.719,0.0473,0.0684,0.0,0.166,0.62,133.002,7DnAm9FOTWE3cUvso43HhI,187436
0.279,0.742,-6.46,0.0898,0.000185,0.0,0.593,0.328,189.868,2bL2gyO6kBdLkNSkxXNh6x,231013
0.524,0.772,-6.696,0.152,0.00273,0.000169,0.224,0.237,169.855,77lGafvlU68CeHgB2pkHC9,199973
0.643,0.732,-6.762,0.0294,0.00681,4.57e-05,0.0606,0.181,102.979,23xqdYb5ViDUx0BOL2mGq6,224272
0.818,0.799,-4.1,0.156,0.00107,0.128,0.057,0.0815,100.014,67awxiNHNyjMXhVgsHuIrs,213733
0.768,0.807,-5.508,0.106,0.053,2.99e-06,0.214,0.575,112.001,7Fa5UNizycSms5jP3SQD3F,284000
0.811,0.801,-6.0,0.0802,0.0548,2.09e-05,0.0742,0.693,105.055,2Ae5awwKvQpTBKQHr1TYCg,195429
0.741,0.559,-7.775,0.03,0.00728,0.000971,0.21,0.466,101.999,5pvVAwQbuFoR7LkcicrKnk,221983
0.586,0.865,-4.092,0.319,0.0345,5.7e-06,0.165,0.468,172.912,4QVFtAswXqPoAWRLo5yu8a,242293
0.884,0.826,-3.672,0.0853,0.222,2.29e-06,0.0651,0.465,94.997,7fPyCCiXVwbzPQ1MtoUChl,191368
0.633,0.557,-4.917,0.203,0.169,0.0,0.0671,0.623,89.672,1byScELwcJffsdL5QWa6Yk,171096
0.671,0.314,-8.091,0.244,0.11,0.0,0.0825,0.296,110.898,4pAl7FkDMNBsjykPXo91B3,191600
0.743,0.72,-3.753,0.124,0.192,0.000386,0.109,0.519,163.99,7pNC5ZIKtwUK0ReSpM3P9f,209423
0.553,0.502,-5.972,0.0409,0.299,0.0,0.764,0.296,129.976,2rbDhOo9Fh61Bbu23T2qCk,210200
0.654,0.796,-4.761,0.122,0.0188,0.0,0.0948,0.491,108.854,2eAAEa8pxKF7My0EO4rFgR,178583
0.548,0.704,-4.838,0.0777,0.0168,2.25e-05,0.143,0.288,104.666,7COfe3P7KgfwDwIRB8LIDw,185040
0.577,0.576,-6.299,0.0563,0.0143,0.0,0.602,0.12,133.973,0rFZaQ4crlGAzuCjWCQ2xu,234040
0.842,0.801,-4.167,0.228,0.157,4.82e-06,0.0642,0.617,95.881,4w8niZpiMy6qz1mntFA5uM,212500
0.388,0.66,-7.372,0.0308,0.312,0.000307,0.0943,0.401,143.554,429EttO8gs0bDo2SQfUNSm,230507
0.68,0.411,-9.761,0.434,0.0336,0.0,0.0889,0.161,193.131,7ngdkrVQPgP3AoIxUrTpHT,233515
0.683,0.789,-6.132,0.0353,0.0283,0.0492,0.112,0.809,120.013,7gUpO6td4OOnu0Lf9vhcIV,211800
0.501,0.648,-7.173,0.0696,0.028,1.26e-05,0.153,0.191,163.834,4Z1t1aMRif8ES212kTN8H2,225200
0.765,0.523,-4.333,0.03,0.184,3.56e-05,0.132,0.394,104.988,1rfofaqEpACxVEHIZBJe6W,217307
0.867,0.558,-6.975,0.258,0.0884,4.05e-06,0.541,0.432,139.061,7KcGEssn7BnJdTgildK5y0,272453
0.703,0.868,-4.661,0.0291,0.15,0.132,0.104,0.733,121.03,1NDxZ7cFAo481dtYWdrUnR,193613
0.653,0.81,-6.032,0.0558,0.118,0.0,0.126,0.583,121.951,32y9LSjv2Q49T3NnkETXCm,189307
0.846,0.734,-3.601,0.108,0.286,8.27e-05,0.425,0.717,90.98,6ZtiywT2Qm50a1uR0jlY35,207761
0.69,0.714,-5.948,0.0338,0.0077,7.23e-05,0.191,0.489,112.009,4lJNen4SMTIJMahALc3DcB,187027
0.689,0.791,-5.194,0.053,0.023,0.0,0.0526,0.755,95.04,7nD9nN3jord9wWcfW3Gkcm,210573
0.855,0.624,-4.093,0.0488,0.158,0.0,0.0513,0.962,117.959,4c2W3VKsOFoIg2SFaO6DY5,180757
0.439,0.153,-8.95,0.0479,0.874,0.0,0.107,0.104,116.76,4G92yYrUs0cvY7G41YRI0z,287693
0.708,0.618,-4.424,0.0592,0.0204,6.81e-06,0.062,0.265,123.013,4lnAN2S1fcI0SjxEbksZVr,186113
0.728,0.616,-4.238,0.0645,0.378,0.0,0.105,0.508,99.962,4Ce37cRWvM1vIGGynKcs22,181880
0.697,0.695,-6.631,0.112,0.161,0.0,0.221,0.588,123.001,7JGoiIouGqreRXOrHFAIyr,230253
0.674,0.428,-9.504,0.122,0.121,0.0,0.132,0.337,84.878,2dLLR6qlu5UJ5gk0dKz0h3,190185
0.66,0.805,-5.352,0.153,0.0192,8.83e-06,0.159,0.625,103.008,7vS3Y0IKjde7Xg85LWIEdP,193920
0.853,0.56,-4.961,0.0406,0.013,0.0,0.0944,0.86,134.066,0KKkJNfGyhkQ5aFogxQAPU,206693
0.891,0.628,-7.863,0.0551,0.00258,0.00019,0.0504,0.552,134.966,0wwPcA6wtMf6HUMpIRdeP7,267067
0.773,0.706,-5.709,0.0999,0.00538,0.0148,0.0208,0.693,160.912,3osQ5lSSqZb8HWRozdbVPw,162365
0.885,0.94,-5.908,0.0913,0.161,0.0,0.0675,0.773,110.005,7cGFbx7MP0H23iHZTZpqMM,162347
0.914,0.572,-8.82,0.166,0.0709,0.00237,0.0599,0.203,123.963,156LzfvMNKuXuiot4uzhGD,265480
0.705,0.78,-6.267,0.0805,0.456,0.00152,0.115,0.457,142.028,19cL3SOKpwnwoKkII7U3Wh,218228
0.657,0.574,-9.484,0.0407,0.016,8.1e-05,0.172,0.211,119.992,2xRYnHQdLD9ketvC01UYYT,281080
