danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms
0.288,0.62,-10.103,0.0428,0.24,0.0,0.0882,0.617,94.445,6o21UfW2RHkzzleZGLfFpK,150627
0.392,0.741,-7.848,0.0314,0.902,0.969,0.107,0.473,75.003,79pQpYr5Mlb5k7a6suiHRX,314260
0.525,0.336,-22.498,0.0321,0.494,0.975,0.112,0.93,124.053,5e8ZGS9zrBX7NAefGxGO4F,182373
0.376,0.868,-4.914,0.0377,0.0677,0.762,0.0645,0.742,169.968,30uvCVEYqgktyLfDcI76Hx,222973
0.58,0.561,-9.935,0.0328,0.819,0.905,0.12,0.823,122.407,5YcxnMVVNFfZT5wUJXsMbx,296654
0.646,0.504,-14.614,0.0328,0.00114,1.39e-06,0.0938,0.654,128.494,78zSViWUF9Lc8jmgK0dyac,237640
0.566,0.445,-11.26,0.284,0.167,0.133,0.141,0.568,130.341,14wcis5KS4XLmGCrfJlpdk,272440
0.359,0.48,-11.79,0.0841,0.521,0.0043,0.178,0.355,120.285,3TO7bbrUKrOSPGRTB5MeCz,413947
0.293,0.573,-7.026,0.0323,0.577,0.564,0.0754,0.0789,92.985,6idZRXQ1eaoZgjyt0swyvA,261400
0.244,0.526,-4.667,0.0395,0.00628,0.094,0.197,0.274,137.537,1dggeNM08RE4bArxS0wESf,311653
0.529,0.898,-5.249,0.0786,0.00627,0.728,0.0668,0.434,108.599,4BYGxv4rxSNcTgT3DsFB9o,171427
0.619,0.784,-5.742,0.0436,0.0298,0.00711,0.108,0.444,119.985,4S3w2gVRNnLlbpKlwJTcfj,196107
0.519,0.893,-4.124,0.0499,0.0438,0.102,0.188,0.147,135.443,0eEL8f6pjTpBWvaeyxRdTW,169560
0.584,0.662,-9.024,0.0595,0.00126,0.869,0.111,0.165,181.976,7iFiv9tcsuo9s9lDwIJhsK,380330
0.217,0.83,-9.106,0.066,0.0723,0.0,0.211,0.688,154.629,53SFlnCQ5aYR6qhHAxuWZX,157160
0.368,0.431,-11.69,0.0288,0.556,7.91e-06,0.171,0.246,96.486,5nCowxfoYgPw80xFS68Ef9,187773
0.654,0.96,-6.671,0.0628,0.594,0.000174,0.281,0.924,114.546,13NwOvjaW6fokwsC0BwvoT,217747
0.29,0.428,-8.42,0.036,0.0183,0.762,0.115,0.151,180.911,6t0y05rcx80LFmlzqXWHRA,300200
0.403,0.603,-10.523,0.0392,0.239,0.0389,0.127,0.657,150.017,3q4hJtKfWjpJrEFtSFmqAf,377520
0.568,0.599,-8.173,0.0254,0.0228,0.329,0.134,0.775,96.249,0jO6tZx2oorepWmNNUhso6,340293
0.24,0.615,-14.117,0.0677,0.171,0.0125,0.0801,0.768,166.657,5CGpPUcUahMuLzkNK9ZgPP,334000
0.38,0.952,-1.423,0.0481,4.99e-05,0.867,0.295,0.574,122.029,5j3HmdsHawiNPWtrDFO6UZ,320867
0.369,0.662,-5.753,0.0313,0.161,2.72e-06,0.394,0.469,132.776,3OPfjs380D4cLQiXapDJyw,203973
0.614,0.754,-9.493,0.031,0.693,0.453,0.0629,0.888,110.752,6kKus5U71tY8V8JkaK86Q6,137960
0.202,0.723,-7.082,0.032,0.182,0.918,0.0828,0.287,142.462,05PamdVozUhcyisbwdHuFC,274347
0.549,0.444,-9.644,0.0298,0.399,0.11,0.132,0.315,112.398,5drJr9Wi1JnSWnB7WwSgX0,168827
0.375,0.753,-5.367,0.036,8.02e-05,0.636,0.117,0.349,133.984,0gpSlRugtRUT1hD2jE5NKu,311236
0.493,0.399,-13.652,0.0586,0.0415,0.011,0.0936,0.143,83.319,3q2T3ASCdjCZangS7d9G0Q,283507
0.336,0.757,-3.002,0.0636,0.0199,0.746,0.287,0.705,106.342,2X4dn5f8jMFDRBksEfDOqp,134440
0.54,0.83,-5.676,0.0605,0.014,0.000121,0.221,0.832,133.752,5ShhC7x0OrdDojjTLNYgwB,215427
0.344,0.719,-9.029,0.0301,0.0287,0.74,0.319,0.257,139.345,4hq4cGv8ht9FNJAM0CJOi7,323587
0.629,0.677,-7.239,0.0299,0.122,9.72e-06,0.0962,0.627,132.783,4RGxUjaCmVtD30pIhtEi7w,195000
0.33,0.756,-3.559,0.0368,0.0814,0.00453,0.153,0.582,128.951,4AlZ0FgehhgtLHddKx0Ou7,201894
0.471,0.258,-19.476,0.0346,0.576,8.16e-05,0.11,0.0908,110.634,3URRBJKRfCnlit1jVoncUD,284320
0.385,0.776,-6.992,0.0888,0.0271,0.000243,0.257,0.446,131.653,4AbNkpcUs9YsPmWSNeecVq,153573
0.368,0.812,-7.12,0.045,0.000318,0.525,0.115,0.303,138.819,1Jng9apL2SUnm2NZClCDab,269133
0.499,0.764,-7.737,0.0367,0.0313,0.376,0.143,0.704,124.357,79IEgx1l66ATZ6l8zd0Sp7,205293
0.473,0.486,-9.526,0.0377,0.883,0.00136,0.17,0.373,72.949,1cAkJ4MvHa4fUSRjmwKipD,163733
0.614,0.838,-6.896,0.028,0.0304,0.000297,0.166,0.578,127.971,5WEL5aVnT1ssmKF5phZIg0,315000
0.4,0.737,-11.437,0.0478,0.0372,0.178,0.0904,0.206,99.095,4KvS1rrkhxHIw4uzD6b0Rn,442200
0.415,0.901,-3.124,0.0428,0.00987,0.376,0.136,0.424,128.229,1gq5tbU9FTm90duAZtDZUv,225333
0.472,0.556,-10.952,0.0344,0.169,0.757,0.222,0.421,120.012,5PYQHqXzHkYmkJfmSSqIt1,237500
0.277,0.862,-8.633,0.0933,0.000905,0.000169,0.264,0.195,151.92,4yoFpE4JwX3MaexcRKITft,189662
0.199,0.69,-9.313,0.0352,0.00309,0.586,0.196,0.612,165.251,4P8D7TXw5MzGNaxSKXuT3e,231000
0.227,0.961,-7.343,0.113,0.00409,0.000495,0.608,0.659,153.619,5CXQ5kfSWEmggBkIJcsbIg,124160
0.367,0.872,-6.301,0.0641,0.109,0.0944,0.351,0.496,147.015,4EC81w5nKG5tZlkHyKT2vO,271720
0.549,0.609,-6.8,0.0299,0.000166,0.602,0.355,0.176,103.551,2ZxfFuhXBzOEgKiqH7VGo8,221840
0.405,0.788,-5.893,0.0327,0.0572,9.03e-05,0.378,0.288,86.975,1cpvPCXIWA4487PUmLyDqQ,233059
0.272,0.597,-7.819,0.032,0.02,0.00024,0.237,0.331,146.739,4360tJiQv2OWcnkCmLGTWe,289293
0.119,0.509,-11.184,0.04,0.0466,0.85,0.0889,0.171,150.05,6ieH021IWLGOGifX0FUzsM,704040
0.359,0.7,-5.618,0.0332,0.00129,0.00881,0.408,0.243,137.36,1ffTuRRrqqiDG0T1CPJse8,315627
0.188,0.897,-4.089,0.063,0.0923,0.617,0.109,0.349,87.277,2uhDDCgQ8waWJ19SaiRd5L,464040
0.477,0.827,-6.334,0.0902,0.0294,0.000217,0.14,0.646,98.585,7DeH1ZVU3AzSdxjV7iUT5S,148520
0.332,0.773,-9.324,0.0486,0.018,0.00271,0.0318,0.573,119.38,5QV7Y05gdSVcms5tp1v8tN,230640
0.52,0.827,-4.761,0.0282,0.000413,0.444,0.264,0.775,125.349,1BbegQgIImAfaphHrJ8Rkp,208741
0.187,0.93,-6.229,0.0724,0.000635,0.731,0.655,0.235,127.932,0pX6Qy7u0qTiQfUVLGaZ1N,358320
0.347,0.483,-8.412,0.0299,0.388,1.14e-05,0.181,0.391,110.631,2BUNxsZKAUOwScKdH799hV,182480
