danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms
0.571,0.957,-3.468,0.0633,0.00209,1.5e-05,0.0425,0.892,149.946,57MOpbjOIoWMZnstWOtfm6,169936
0.39,0.967,-1.946,0.0644,0.000758,1.74e-05,0.302,0.488,151.944,1UkMAtLU8NxsddE7j4zXGO,188840
0.418,0.828,-4.132,0.0475,0.136,0.0,0.336,0.448,124.783,4rstj4vgkFq49R2VV0fbxX,220720
0.494,0.944,-3.465,0.0944,0.000301,1.93e-06,0.37,0.686,157.179,6KmG5avzcwG559aJeyYnne,198853
0.804,0.832,-4.723,0.0347,0.0148,0.0,0.107,0.9,111.023,2wcDfk3TfQg3Jv8gEoTim7,165947
0.443,0.973,-4.386,0.133,0.00161,0.0,0.353,0.458,157.872,6mjHiGwrRGE8LVCXVc5QDU,162107
0.474,0.942,-4.107,0.101,0.000513,1.03e-05,0.188,0.51,158.004,4YZcr09gdEqBN43BS5kAVR,181480
0.508,0.907,-3.443,0.0565,0.0423,6.83e-05,0.221,0.587,104.997,0l2p5mDOP3czJ2FpD6zWie,244720
0.28,0.87,-4.219,0.0592,0.000686,0.00608,0.101,0.284,164.057,1ZLtE9tSJdaUiIJ9YoKHQe,261960
0.374,0.817,-9.133,0.0488,0.00108,6.63e-05,0.336,0.918,177.138,250dZY8xYbhHGQpM6bgL52,137800
0.302,0.832,-7.596,0.0579,0.00229,0.0,0.432,0.575,158.938,0w2LsbjiI6W0GWmSP4iGiy,197600
0.554,0.902,-4.019,0.0566,0.00636,0.0,0.328,0.662,126.021,4CDlYQu16nUtVGwgwqj3I3,187000
0.158,0.893,-8.108,0.0796,6.11e-05,0.000236,0.0903,0.321,198.658,1BqrOpxmeKJG5uzewLFpv2,141200
0.591,0.824,-7.83,0.0415,0.0344,0.0,0.146,0.741,104.304,65FR59qqqOhXwjsg5GYbSm,128720
0.299,0.868,-7.76,0.0463,0.293,0.137,0.334,0.605,89.136,3Lx7TcHWXlXdwxkxxZMETj,176600
0.592,0.767,-2.788,0.027,0.0021,0.00165,0.127,0.328,96.483,34KTEhpPjq6IAgQg2yzJAL,329733
0.532,0.923,-3.837,0.058,0.0018,1.29e-05,0.339,0.516,133.976,73rXtIItWU8symwYF0bEB8,218880
0.496,0.849,-4.975,0.0368,0.000333,9.16e-06,0.354,0.828,171.965,5mSVJjVzZEoVrg6amF8udl,228867
0.194,0.922,-6.208,0.0534,0.0026,0.232,0.686,0.681,172.679,0mlwPYU0ApElSjZN4yA4L9,192853
0.39,0.957,-5.498,0.0458,0.000232,0.00288,0.0429,0.893,179.054,0sRviro3ekvHWmPqT2uYFP,165147
0.402,0.912,-4.884,0.126,0.00342,1.08e-06,0.121,0.824,193.791,7qPYC9z7FSJIjDc3V2tBix,159573
0.591,0.973,-3.512,0.103,0.00058,0.225,0.501,0.371,132.209,0WDvAKN1wzjNya2xxjh9nq,139133
0.531,0.909,-4.236,0.034,0.0175,0.0,0.231,0.814,97.546,1Dr1fXbc2IxaK1Mu8P8Khz,178000
0.581,0.842,-5.282,0.0429,0.000379,0.000212,0.27,0.631,114.038,74T57UIZY6gLdIahREmHbp,152867
0.603,0.933,-3.358,0.171,0.00591,0.0,0.206,0.709,96.306,3IV4swNduIRunHREK80owz,213760
0.389,0.952,-7.579,0.11,0.0279,1.01e-05,0.304,0.356,132.537,5g1jCZ5cQuPw6YvEkd7Yni,121560
0.563,0.966,-3.18,0.06,0.00105,5.31e-05,0.263,0.635,146.057,4I0sRLTv7EENLHzfDeBheM,159000
0.322,0.902,-6.353,0.0654,0.000814,0.0,0.12,0.763,158.593,6LjDGj9Hn5ERX3uhrT9LGV,146960
0.385,0.783,-2.533,0.233,0.000269,0.47,0.108,0.902,176.701,4KcH1ZRV2W1q7Flq0QqC76,134467
0.654,0.81,-6.26,0.0288,0.00719,0.00251,0.165,0.661,114.623,2MLHyLy5z5l5YRp7momlgw,200307
0.395,0.955,-3.352,0.12,0.0176,0.0,0.585,0.283,168.005,2WhDg8UWljoAl8oNh8uZbJ,181307
0.133,0.927,-5.371,0.0741,0.00344,0.00044,0.0915,0.5,197.708,2OuNnwnNQyWrF47pthWxNb,224867
0.306,0.982,-2.822,0.0828,2.78e-05,0.000386,0.0325,0.893,191.838,0CXOYEN8m6MuyVY0F1vJTb,135400
0.381,0.901,-6.998,0.0422,0.00178,0.00115,0.329,0.595,87.472,0PTP53h7PvqEMeGyGClkOk,91013
0.599,0.853,-3.878,0.0365,0.00123,0.000504,0.37,0.676,94.997,4yXNMbZrsFJbPTH0WfhwEB,204507
0.403,0.952,-3.925,0.202,0.259,0.0,0.123,0.729,87.833,0D2A4Rid7gnlcwlspLTkx0,133587
0.422,0.904,-4.531,0.102,0.02,4.49e-06,0.686,0.32,163.929,1AnesEZjtNHT7Nr2Y4BuNR,232240
0.389,0.872,-4.968,0.103,0.00237,4.11e-06,0.313,0.222,162.54,3AglCqd6PT4zp2Hv7oOKBl,205933
0.426,0.972,-5.122,0.0954,0.0017,0.0,0.171,0.341,111.221,6WkSUgo1VdpzgtiXKlFPcY,165373
0.475,0.987,-3.515,0.121,0.00028,2.4e-06,0.335,0.632,162.005,0TPF6uW7fhMXJPoBERqTy5,213741
0.508,0.928,-2.525,0.0326,0.184,0.0,0.108,0.823,176.584,0YtWcn3sML3TB8Wo4qcKd0,166240
0.415,0.867,-5.497,0.0387,5.69e-05,0.000192,0.0883,0.36,157.902,07q6QTQXyPRCf7GbLakRPr,249987
0.455,0.909,-5.266,0.0829,0.000229,0.0,0.0934,0.262,129.801,3jXptpf8Z3aU9O1Bj6YCl0,208103
0.356,0.96,-3.487,0.104,0.0142,0.0,0.209,0.0857,125.921,5dTHtzHFPyi8TlTtzoz1J9,204733
0.281,0.976,-3.471,0.0738,0.000641,2.31e-06,0.0517,0.421,99.383,0304Y3lXclcRh5N50KJ3sE,221200
0.229,0.914,-5.468,0.0593,0.000566,0.0101,0.459,0.296,97.513,6sfU2LwBKxjbukPZnUbGtt,256707
0.52,0.775,-5.803,0.0348,0.034,0.0,0.364,0.382,136.028,6xpDh0dXrkVp0Po1qrHUd8,249627
0.449,0.938,-6.36,0.0455,0.00181,0.0,0.353,0.825,89.695,0eUJzAGs9OKSOmLVpsng7e,164667
0.631,0.945,-4.497,0.0577,0.0104,0.00103,0.318,0.567,93.04,4CrufimpcYAOqighojrziP,214600
0.556,0.864,-5.87,0.0584,0.00958,0.0,0.209,0.4,105.143,60a0Rd6pjrkxjPbaKzXjfq,216880
0.396,0.986,-3.249,0.133,0.00519,0.0,0.132,0.349,151.236,2hbxWMOd83AIUZNuXanVHT,166320
0.185,0.948,-3.892,0.147,0.0104,0.0,0.105,0.316,196.578,1Q2fYlSdwuutWj3QplhY9q,207587
0.528,0.397,-12.024,0.0926,0.00562,3.64e-06,0.43,0.579,128.475,06JxwPA4WAg0LWADJtaldL,234333
0.388,0.973,-2.091,0.0904,0.00715,0.0,0.141,0.5,96.631,6GHfiU4OrRvOVuC9yn8Txl,212373
0.466,0.957,-2.774,0.0746,0.000359,0.0,0.339,0.631,175.552,3X805DNadxmbeIZQBrex85,180000
0.362,0.989,-2.377,0.108,3.88e-05,0.0,0.0616,0.38,168.061,1g5CHtsDQl7KVWaUiAwat0,237533
0.443,0.984,-3.794,0.077,0.000118,0.000593,0.0782,0.484,128.577,2r1yo1u0PHegpetacdrHh2,227707
0.468,0.846,-11.889,0.0484,0.608,0.468,0.214,0.476,110.761,7dWyBjRr6F6Ap2N6xNNXf2,131333
0.651,0.801,-7.34,0.0514,0.123,0.0,0.0825,0.776,133.769,5jzma6gCzYtKB1DbEwFZKH,200480
