danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms
0.615,0.491,-4.683,0.0716,0.173,0.0,0.203,0.102,146.036,6EfioL7gSa7URn35dlJgnE,283787
0.473,0.371,-10.219,0.0405,0.793,0.0,0.109,0.413,75.205,4OBZT9EnhYIV17t4pGw7ig,209400
0.581,0.673,-6.589,0.0519,0.36,0.0,0.182,0.306,114.946,5rwV5yAoPLfIjCZ64jvC2A,167941
0.72,0.657,-6.823,0.295,0.0262,2.33e-06,0.209,0.657,172.168,5xE7sFTlv2yrG9mmhDSpdq,295387
0.477,0.61,-5.628,0.144,0.225,0.0,0.107,0.358,79.882,6CTWathupIiDs7U4InHnDA,213993
0.744,0.672,-5.589,0.0418,0.187,0.000123,0.105,0.266,140.889,6rbhWExtuchhpLC5fHnB8n,230560
0.774,0.688,-5.088,0.0459,0.178,4e-06,0.0701,0.745,107.011,4JS7PwFSIt32LBRGl4nM0A,221280
0.578,0.574,-6.209,0.0454,0.196,0.0,0.083,0.301,174.152,0kN8xEmgMW9mh7UmDYHlJP,261240
0.75,0.573,-8.391,0.0779,0.137,1.89e-05,0.133,0.303,143.948,0gu5B9dUOiLezdDjrLPCCV,344293
0.759,0.483,-10.681,0.0501,0.102,0.0,0.0737,0.867,121.048,69Po47qL6BnllS6hhes0nd,140760
0.597,0.598,-8.885,0.0373,0.0616,0.0,0.0856,0.282,131.988,4EWwswXzE2DLDyPaS5ZXEq,225678
0.551,0.543,-6.468,0.0638,0.0318,7.76e-05,0.285,0.185,158.005,1OSkUAslVAljbEnG973Gfa,197227
0.609,0.667,-4.466,0.0661,0.534,0.0,0.0978,0.539,140.076,11jYAQvG2327DY5Vv7Kp29,246596
0.764,0.752,-5.197,0.0466,0.0597,0.00473,0.0862,0.495,143.044,6j328qpqI6nScYgOTW5rBl,227880
0.875,0.41,-6.29,0.0571,0.0674,0.0374,0.106,0.445,87.999,5GjisoOfsN8qagrax01T4y,267400
0.649,0.791,-6.013,0.193,0.104,1.97e-06,0.108,0.811,128.023,4mL59LVbKgOpEACxraGYdr,236160
0.681,0.656,-5.888,0.235,0.186,0.0,0.161,0.497,80.976,4PrR8WRPC1ZVhWVo5GraVp,215373
0.519,0.545,-5.957,0.0479,0.558,0.0,0.11,0.415,151.993,42fmP3T4C1LV815RMb8zdC,274670
0.534,0.482,-8.367,0.0386,0.0665,0.0,0.143,0.506,185.686,46mZoDGT81ULV3dX68gYvE,242697
0.582,0.671,-7.408,0.283,0.00326,2.5e-06,0.274,0.349,144.928,3ak6Fscs4qMoVsIwaDLgZv,205413
0.741,0.58,-7.741,0.378,0.153,0.0,0.109,0.428,97.092,5kyd6oKvKmj6mWCaAaHoN4,220964
0.711,0.505,-9.675,0.0343,0.0472,0.0,0.317,0.55,89.004,6PViGgcsQhLPSkMxgoRWLl,271200
0.552,0.307,-8.812,0.0285,0.49,0.00136,0.111,0.0431,77.285,70HkIp80HSqDJsXY1oUd1x,251387
0.469,0.773,-4.741,0.196,0.104,0.0,0.0753,0.308,204.103,1z15fhSgN6U2k4gqA1Zu4j,212907
0.866,0.454,-9.383,0.0414,0.0373,1.49e-06,0.275,0.368,99.985,0CXVjQI9wsqaGeIARkkpYc,247067
0.842,0.582,-5.448,0.239,0.0105,0.0,0.341,0.586,136.942,55O7xlBqJH3FO8WdBNbs74,208147
0.839,0.641,-5.669,0.0858,0.0324,4.56e-06,0.0602,0.927,97.004,2WfhlEjoUII31H6imnQdvF,242560
0.571,0.512,-9.344,0.0492,0.0334,0.0,0.383,0.551,143.8,4NBZ05LR7kOQlsOWlQHW0P,296960
0.769,0.781,-5.472,0.0797,0.119,0.000371,0.0506,0.826,95.02,3XG801WWhqC753dekEBkMt,269973
0.835,0.707,-5.074,0.0598,0.0219,2.19e-05,0.108,0.919,93.955,2mKouqwAIdQnMP43zxR89r,267093
0.603,0.606,-6.634,0.114,0.799,0.0,0.391,0.462,80.176,6Vmow8PuUaU7W1T2WWLZk2,161613
0.598,0.405,-8.155,0.0464,0.203,0.0,0.311,0.244,122.144,6d1fGqMtdUEuHqFSDMlR0N,230240
0.629,0.56,-6.723,0.166,0.0244,0.0042,0.301,0.547,129.817,5p8mIi823BET6E9BcJNbwv,283584
0.649,0.536,-8.804,0.132,0.492,0.0,0.184,0.513,78.935,3OQu3z3okKVmWxSXTTHak5,245773
0.7,0.742,-4.265,0.0591,0.0223,0.0,0.0651,0.766,103.88,4wwqHo2gtdTLBWtnrx7XIu,212427
0.577,0.576,-6.299,0.0563,0.0143,0.0,0.602,0.12,133.973,0rFZaQ4crlGAzuCjWCQ2xu,234040
0.747,0.705,-5.137,0.126,0.0128,0.0,0.126,0.56,136.024,02M6vucOvmRfMxTXDUwRXu,213507
0.864,0.528,-6.323,0.0506,0.0246,1.37e-06,0.0671,0.704,140.051,1oMT8ZNqaffxB2D2rkyly5,216175
0.816,0.5,-4.551,0.03,0.0227,1.53e-06,0.0733,0.649,124.037,7J41dYQolQJEtj3UmKLu5r,247840
0.779,0.608,-6.746,0.0868,0.0918,0.000242,0.304,0.365,94.067,1pBvSBxDvp4NHdISc1GjHi,215997
0.527,0.796,-5.111,0.062,0.017,0.0,0.0798,0.534,155.99,0npGoOENjn7vVvIMmvWekQ,240107
0.768,0.807,-5.508,0.106,0.053,2.99e-06,0.214,0.575,112.001,7Fa5UNizycSms5jP3SQD3F,284000
0.721,0.431,-6.633,0.045,0.244,0.0,0.0886,0.318,119.76,6PyLw3l6ndolBrTPQp3Ibm,247133
0.332,0.214,-12.518,0.0349,0.845,5.62e-06,0.0839,0.11,67.531,4eHbdreAnSOrDDsFfc4Fpm,271093
0.697,0.782,-5.901,0.289,0.0312,0.0,0.0651,0.629,103.828,5ehJioqjweOpo9I6hjqtAr,209053
0.719,0.362,-11.547,0.0276,0.651,0.0,0.114,0.58,109.915,5nS5mDWAyce9gjD8crHcZX,215267
0.765,0.638,-4.548,0.13,0.199,0.0,0.669,0.626,113.981,39jPNpyS33FFAw6xsFvvmG,227187
0.706,0.443,-13.504,0.0983,0.053,0.000111,0.114,0.741,80.891,2PwU1lOWkKmlmijBWywSXh,211534
0.662,0.705,-6.56,0.0399,0.0392,2.38e-06,0.105,0.865,159.996,6ObpR8ek44tvWefQRcSo8K,250080
0.84,0.572,-6.517,0.105,0.0508,3.52e-06,0.0907,0.644,108.014,3KbnUNSyP1fwh9H5sgA9YZ,268067
0.347,0.395,-12.25,0.278,0.652,2.73e-05,0.0962,0.0918,189.715,3P1MMSKp3FR5tvWlzPyVSX,169120
0.787,0.634,-5.146,0.5,0.382,0.0,0.0662,0.5,86.981,2C9cszTeQQFznLEpmdDL92,218707
0.577,0.565,-7.226,0.0484,0.119,0.0,0.11,0.374,119.946,2r6BDYT9qAxk0F8EDeB3On,277000
0.678,0.414,-10.144,0.0498,0.366,3.78e-06,0.0885,0.355,130.031,3Txcx4jhuiTZSvhAL0WaRc,243133
0.691,0.75,-3.934,0.347,0.104,0.0,0.123,0.345,143.744,1PVza5KmhSJhz12OewWciE,226963
0.888,0.586,-6.745,0.0604,0.00597,0.0365,0.153,0.401,150.051,7D8aQaRzoi9Qzz5yerVK5b,158757
0.92,0.553,-5.068,0.191,0.236,0.0,0.0767,0.947,112.022,0EHR9OObFtjlhQB8wSt1m7,286907
0.422,0.369,-9.998,0.0303,0.898,0.0258,0.134,0.151,145.006,4dwNcnCoPnz1x83AWu1kAa,256253
0.769,0.505,-7.345,0.0829,0.311,7.49e-05,0.0777,0.757,171.804,6qspW4YKycviDFjHBOaqUY,279507
0.814,0.635,-6.609,0.0809,0.0935,0.0,0.0892,0.784,87.581,6u8hSdYZxbK5EczDPRIXXf,200774
0.41,0.591,-8.089,0.0978,0.218,0.0,0.0895,0.215,129.425,36dFSVGORZsU4QmZgC43v9,196493
0.71,0.797,-3.006,0.0582,0.408,0.0,0.16,0.849,94.998,6pWzCKTrKrwbUPzY8RLCoP,209120
0.696,0.463,-8.562,0.126,0.824,0.0,0.104,0.53,81.35,6NqbN00vLmWfrQSx2wjD4z,174200
0.661,0.346,-9.115,0.03,0.452,0.0,0.131,0.256,129.752,6mwA6YiKDjAUG8kWvRRUPh,263667
0.77,0.715,-5.92,0.045,0.0373,0.0018,0.0959,0.468,150.027,5vAEnWrHxLv78uwZrAJcX6,198280
0.676,0.5,-6.603,0.0513,0.00371,0.00278,0.114,0.0742,90.03,4Wfe2jloKo95eFVnJEr5N1,300729
0.845,0.467,-7.674,0.138,0.0586,0.0,0.0694,0.702,138.007,7wBThXx7BGZHJJ3aN3OPvv,211200
0.756,0.458,-6.434,0.212,0.67,0.0,0.275,0.551,87.893,1gWL7x24c5s7q97b3yFeyi,141920
0.619,0.521,-8.092,0.0744,0.26,0.000542,0.101,0.254,139.886,46X8c9qJzpBLYcos3OX0CE,418507
0.451,0.586,-7.975,0.193,0.0665,0.0,0.171,0.337,171.842,4iMDkH8t3Sooaj3uCzpYP2,220373
0.562,0.688,-5.353,0.0794,0.0391,0.0,0.235,0.707,79.979,5clYhUpqYzy0Fdz3TdtZ3j,201720
0.572,0.324,-9.297,0.0512,0.737,0.0,0.124,0.234,94.048,0I5mUa3CZPcsrWwlUmTWkV,222333
0.643,0.535,-6.795,0.0941,0.648,0.00213,0.0766,0.564,82.193,74HYrIbnpc2xKCTenv5qKM,289720
0.789,0.588,-6.58,0.0833,0.196,0.0,0.0814,0.234,105.03,2OiO85hOK8ZL6kekbs7a4R,192820
0.694,0.719,-4.538,0.0484,0.00131,1.47e-05,0.0714,0.352,129.961,3RJclnBV8g9mvHPtSzPf7c,274147
0.765,0.29,-17.117,0.139,0.0279,0.0,0.571,0.506,92.409,0Q0IVlqMV64kNLlwjPj0Hl,298773
0.651,0.548,-6.863,0.0856,0.168,0.0,0.142,0.623,78.967,0eWkGHUqc5a19PIzJ1v6E4,237038
0.583,0.535,-5.549,0.0472,0.575,0.0,0.0733,0.387,117.172,5yHH1BpB6Pj5hYQX41hTbe,201307
0.683,0.664,-4.233,0.0332,0.538,0.0,0.0671,0.866,106.991,56z2qI0gKcPthQF6l8AW3E,266307
0.341,0.396,-6.955,0.115,0.782,1.4e-05,0.107,0.0997,80.749,31xw4tkg2BuXy2dcCfXGSy,263718
0.476,0.407,-9.239,0.0368,0.247,0.0,0.144,0.226,178.258,4IFYR5smTnHYCLP82AiDrJ,242467
0.808,0.97,-6.098,0.0506,0.0569,6.13e-05,0.154,0.868,114.328,2gam98EZKrF9XuOkU13ApN,242293
0.628,0.712,-8.54,0.129,0.513,3.36e-05,0.115,0.517,89.96,11ZPIe8MUvf8yXEWS1vNQZ,181618
0.629,0.874,-5.474,0.0832,0.0188,0.0117,0.0837,0.355,98.045,5BsPNJqLZeMbBiAV9MtmRA,277253
0.539,0.424,-9.361,0.0406,0.317,0.0,0.108,0.17,118.071,6PmjWl0phNxc0R5OwkDdiZ,256867
0.806,0.416,-8.032,0.478,0.0886,0.198,0.11,0.317,173.886,3yRtCntPrFnfYgiqn1He2o,154600
