danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms
0.119,0.69,-5.503,0.05,0.185,0.000969,0.0749,0.304,73.256,3yKBYDAHZHeUSYtYv0O2Xo,199747
0.707,0.861,-4.225,0.316,0.1,0.0,0.191,0.795,130.021,0obBFrPYkSoBJbvHfUIhkv,199480
0.558,0.299,-10.634,0.0266,0.622,0.0305,0.0914,0.298,90.077,66MXa8qDIQRtwuxuNtjNCu,256007
0.403,0.888,-3.382,0.0413,0.056,0.00161,0.0682,0.391,176.483,7e8bQb1csn5WvpOc4b5PJg,206813
0.543,0.234,-15.351,0.0323,0.832,0.00196,0.116,0.327,171.956,5nbzSunBRFGCI4Pb6PoCat,163973
0.422,0.405,-11.126,0.101,0.323,0.0,0.15,0.578,74.13,5Ukzlujip1Slqka5OY82YS,228600
0.478,0.758,-5.4,0.0331,0.00974,0.00717,0.312,0.452,131.109,1fXiYSWmkKJfRKMegCkI11,276720
0.762,0.484,-12.368,0.0311,0.812,0.389,0.0841,0.415,122.916,33R3swWziWYmnDYvZqcZVS,201947
0.556,0.463,-9.269,0.0397,0.829,0.0827,0.133,0.131,107.369,4eAlHTYUZvllH2dE2juVQZ,385133
0.606,0.826,-6.04,0.0307,0.0256,1.56e-05,0.117,0.322,121.04,1EAgPzRbK9YmdOESSMUm6P,210173
0.75,0.727,-4.21,0.142,0.0189,0.0,0.266,0.359,129.993,0IkKz2J93C94Ei4BvDop7P,262173
0.449,0.585,-6.761,0.0268,0.0509,8.75e-05,0.0833,0.212,139.631,6nek1Nin9q48AVZcWs9e9D,278719
0.544,0.756,-4.365,0.033,0.0127,0.0,0.187,0.0902,125.278,43CG5O08Tj6ODmSWQ9pfvF,272400
0.39,0.128,-15.872,0.0518,0.928,0.00227,0.271,0.172,103.057,7jJH5jAOUvR0FxkbYBmAQA,186120
0.78,0.768,-4.325,0.238,0.0371,2.34e-06,0.518,0.507,80.063,3UmaczJpikHgJFyBTAJVoz,404107
0.76,0.464,-13.73,0.0313,0.086,0.434,0.0686,0.658,103.732,69vRcRtyFsfsltXI0H0InX,423156
0.464,0.701,-5.693,0.0411,0.00892,0.309,0.335,0.356,83.996,7brQHA2CgQpcMBiOlfiXYb,251187
0.822,0.583,-11.12,0.0596,0.108,5.76e-05,0.0553,0.693,122.337,1NAf61L4b3jFgLJhThTQ8B,226080
0.605,0.902,-5.406,0.0511,0.0185,1.01e-06,0.0534,0.875,132.612,1YaVmBh7EAeR54FIjuFcb5,202587
0.407,0.147,-8.822,0.0355,0.857,2.89e-06,0.0913,0.0765,141.284,6Vc5wAMmXdKIAM7WUoEb7N,229400
0.0822,0.319,-13.429,0.0338,0.152,0.914,0.113,0.0397,80.158,4rnGQinnhgqQ2qjSU7cf9r,123427
0.464,0.23,-11.373,0.0991,0.928,8.69e-06,0.281,0.264,72.967,4sitVexV1UitYiAlrKeui9,177987
0.81,0.591,-13.385,0.0638,0.414,0.799,0.072,0.297,136.028,2BndJYJQ17UcEeUFJP5JmY,297775
0.392,0.402,-9.961,0.0536,0.288,0.0,0.243,0.228,143.883,2GAIycsMaDVtMtdvxzR2xI,354320
0.51,0.421,-18.025,0.0315,0.268,0.92,0.0955,0.078,96.965,4AW3OaprvQrsEmnOF5c5fa,265013
0.332,0.214,-12.518,0.0349,0.845,5.62e-06,0.0839,0.11,67.531,4eHbdreAnSOrDDsFfc4Fpm,271093
0.637,0.766,-7.174,0.0285,0.0583,0.111,0.0966,0.346,106.964,6SSt8Vjw88qoV19hiFd7j0,246560
0.545,0.255,-14.844,0.0311,0.362,1.77e-05,0.0841,0.831,98.088,2ZaYFNn1YQuLSVdHhanr4Q,149013
0.432,0.261,-12.591,0.0512,0.953,0.00342,0.0903,0.273,89.567,6gxycjJNMgmAyfzUXBN80P,258653
0.602,0.612,-8.409,0.0335,0.206,0.00607,0.107,0.453,122.062,2QhURnm7mQDxBb5jWkbDug,136867
0.399,0.721,-5.562,0.0523,0.0621,0.00282,0.278,0.113,160.125,5IyblF777jLZj1vGHG2UD3,299934
0.372,0.442,-11.488,0.0289,0.714,8.68e-05,0.966,0.297,92.72,0EUSbTvyZfo9QOcxunL9Ro,345627
0.644,0.549,-5.415,0.0285,0.0209,8.85e-06,0.134,0.167,90.04,6IwKcFdiRQZOWeYNhUiWIv,253813
0.714,0.484,-12.154,0.0419,0.00995,0.331,0.0801,0.489,106.763,2uUafMsxVP0UvM8WxjdA81,354782
0.546,0.625,-10.314,0.0287,0.733,0.954,0.101,0.337,118.998,23r4eXV6ziw0NNznZU9NiC,247720
0.711,0.292,-15.523,0.037,0.313,0.0,0.131,0.194,103.951,2M9ro2krNb7nr7HSprkEgo,296800
0.32,0.311,-11.487,0.0375,0.181,0.491,0.284,0.036,132.124,54LoWRCYk671pZG3bS2OPs,217307
0.606,0.441,-9.303,0.0272,0.326,0.0128,0.116,0.455,66.443,5gbxzSqABThINGDb7vIiwe,332067
0.416,0.371,-9.207,0.0274,0.706,0.000571,0.0803,0.253,77.399,3yrVRdwCbEeKODZgG2mVZX,211307
0.217,0.305,-9.495,0.0321,0.885,0.00271,0.201,0.12,82.848,6zJms3MX11Qu1IKF44LoRW,292400
0.652,0.197,-12.905,0.032,0.705,0.414,0.107,0.0713,107.336,6ZZPjYECelIeOGGf1OGiHs,208173
0.609,0.444,-9.129,0.106,0.603,6.86e-06,0.104,0.166,118.402,3XVBdLihbNbxUwZosxcGuJ,228707
0.348,0.115,-14.393,0.0414,0.871,0.0,0.307,0.117,86.426,3RPvaTtA38cNsCNL7lXt4v,280627
0.592,0.637,-8.48,0.0992,0.562,0.0,0.13,0.565,159.701,53Pgsvu3qSYO2aXt5J2vcL,185093
0.481,0.638,-5.862,0.0276,0.153,0.0,0.154,0.497,79.064,2hKdd3qO7cWr2Jo0Bcs0MA,259933
0.682,0.927,-2.915,0.0479,0.0843,0.0,0.149,0.744,101.019,3TcL0dyCMyr0kyTTc4NLgI,195613
0.309,0.649,-8.994,0.035,0.0158,0.00591,0.367,0.312,166.915,7EZC6E7UjZe63f1jRmkWxt,306440
0.433,0.288,-10.801,0.0296,0.535,0.000169,0.105,0.131,136.939,5TB6QgrF0RPIxSCGfRDLoe,249400
0.13,0.365,-8.393,0.0313,0.0931,0.0721,0.102,0.039,181.345,5UJQ0Ht5Oh1O68pAXNbUk1,367160
0.508,0.596,-9.034,0.0334,0.439,9.84e-06,0.111,0.4,79.359,5fpEDGQX0Ah3utGnFYulQZ,264547
0.342,0.2,-13.569,0.0324,0.134,0.000153,0.341,0.0743,133.113,4B2lJinAkeNLSJjcq3dg8Q,286653
0.544,0.347,-15.504,0.0432,0.968,0.237,0.115,0.501,119.862,6dmqnKIOvBfqjP317AT2tT,232440
0.441,0.441,-11.298,0.0381,0.921,0.0328,0.0831,0.114,80.084,4hEx4pOr6zMsREYezwWNqn,312000
0.502,0.417,-7.665,0.0718,0.127,0.00419,0.106,0.218,180.301,0c4IEciLCDdXEhhKxj4ThA,281040
0.439,0.434,-14.918,0.0265,0.0783,4.87e-05,0.14,0.204,94.845,0gEyKnHvgkrkBM6fbeHdwK,274707
0.245,0.166,-11.76,0.0332,0.936,0.00855,0.0939,0.239,71.915,2nOkNoBuQdo5HH0Ls1zXxS,193947
0.526,0.328,-9.864,0.0461,0.694,0.0,0.112,0.11,116.068,0SuG9kyzGRpDqrCWtgD6Lq,526387
0.554,0.315,-11.028,0.0298,0.828,5.53e-06,0.101,0.325,128.157,38zsOOcu31XbbYj9BIPUF1,241787
0.394,0.876,-8.542,0.166,0.665,0.0149,0.0989,0.521,76.694,0DwSfqdtLJgFKbmrA83PID,303947
0.456,0.59,-8.638,0.0327,0.00182,0.00379,0.104,0.243,124.635,2N2yrmodOnVF10mKvItC9P,283733
0.592,0.767,-2.788,0.027,0.0021,0.00165,0.127,0.328,96.483,34KTEhpPjq6IAgQg2yzJAL,329733
0.684,0.341,-9.497,0.0272,0.837,2.69e-05,0.0883,0.557,75.948,3C5in0EVdoGepp5bA6lhlE,159507
0.523,0.296,-12.486,0.0292,0.908,0.00089,0.0922,0.347,122.571,04WE0HmjYipIMvNARHWpTk,181547
0.586,0.593,-8.394,0.0329,0.636,0.000131,0.115,0.668,111.942,7cpHPzPgqKor6gv6nTkJ4R,229294
0.655,0.819,-4.852,0.0316,0.000176,0.00374,0.104,0.766,117.956,6Z8R6UsFuGXGtiIxiD8ISb,192790
0.521,0.95,-5.783,0.084,0.0341,0.000416,0.151,0.473,120.088,6UxLU2kibADCBwEWuCWeBd,320520
0.687,0.792,-4.023,0.0353,0.000802,0.0,0.2,0.864,133.962,3oL3XRtkP1WVbMxf7dtTdu,227333
0.506,0.363,-9.678,0.0258,0.736,0.000633,0.0928,0.352,107.452,0OVXLPJPDCFn1IV6bFxY1N,202560
0.881,0.478,-10.386,0.0304,0.476,0.00574,0.0737,0.803,97.807,1IdTIzkTK6CcpKKgMUGbg7,250840
0.524,0.321,-11.452,0.032,0.702,0.0,0.124,0.27,85.328,46EuzanXhKwIc7755wLAvS,212373
0.82,0.788,-6.747,0.0486,0.127,0.0,0.117,0.933,133.019,4I8Nhe8qN9xgR8tosYQ5ut,148080
0.547,0.848,-2.684,0.0367,0.049,0.0,0.114,0.749,160.063,5AKAyMEL5LqCkafztPdBSI,241351
0.386,0.528,-11.291,0.0436,0.885,0.00559,0.117,0.388,146.412,0UPMxtinlgA1dkne9PAKTW,253013
0.734,0.766,-4.485,0.0383,0.025,0.00138,0.108,0.6,127.986,6qn9YLKt13AGvpq9jfO8py,215227
0.316,0.803,-7.143,0.0543,0.0173,0.166,0.36,0.308,117.195,2PfnAaQIMwHPvmda8MG5jm,301613
0.534,0.708,-5.732,0.0402,0.089,0.0,0.192,0.488,130.639,5f6cTFoUenDiCJDGecYiuB,286480
0.664,0.705,-4.972,0.0382,0.0654,0.0,0.115,0.477,122.017,6sy3LkhNFjJWlaeSMNwQ62,257840
0.499,0.0875,-20.383,0.05,0.871,0.000221,0.11,0.418,153.439,3XtkcPHbYX0BImTQLlbSVN,139000
0.534,0.604,-9.91,0.0308,0.0649,0.0233,0.124,0.343,120.085,6udyhG1Q16xMMfJhPPfLjU,315840
0.541,0.677,-10.764,0.0373,0.122,0.0191,0.0938,0.555,101.1,1HL3yEnYq8LEyFQ3QegA5V,316467
0.433,0.174,-18.791,0.0537,0.982,0.101,0.111,0.366,95.802,4JLcAU2xY90qTkTSNM1lUa,162447
0.504,0.321,-13.807,0.0316,0.149,0.000107,0.147,0.577,170.134,1U1GtaJeYwGsPgqV9Me5bb,306200
0.329,0.167,-11.635,0.0311,0.731,3.08e-05,0.101,0.203,165.026,4X6F9xoYUyJh4OhnXbAZv2,245533
0.528,0.86,-8.033,0.0397,0.00131,0.25,0.251,0.49,123.12,44DnIGEvTlhDkGv3xLSDcp,266053
0.717,0.544,-6.598,0.0371,0.445,5.16e-06,0.0973,0.641,139.959,2ih2U8ttFzCjnQ5njF3SrR,244493
0.755,0.482,-12.729,0.03,0.891,0.818,0.1,0.48,109.354,65O4mmCwB46tKBNQhY79Ty,177093
0.54,0.429,-11.822,0.0285,0.000202,0.355,0.141,0.113,110.171,6ADSaE87h8Y3lccZlBJdXH,295516
0.619,0.0568,-19.197,0.0433,0.896,0.0967,0.114,0.357,176.279,2vO1wr5wIEHqQmY4jWbuhi,122707
