danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms
0.816,0.779,-5.544,0.221,0.206,0.0,0.264,0.86,110.041,4yK8UcFdwTeQxQ60MXYFvc,212011
0.648,0.861,-4.579,0.107,0.346,6.6e-06,0.27,0.884,75.03,6HeWHrJn9qdhLzoavkY7YI,236069
0.764,0.739,-6.422,0.0574,0.403,0.0,0.0821,0.77,132.995,0jr6tT2vc4cIFPHb6wufG3,252253
0.666,0.839,-5.405,0.0492,0.132,0.0,0.174,0.881,173.976,57cL4FDebgbKDfnrK7ZCsp,191269
0.804,0.88,-4.05,0.159,0.0287,9.88e-05,0.301,0.382,123.118,2RMWA3mvD4nxBR1sGF7wRp,240320
0.757,0.78,-7.891,0.0422,0.00301,0.000178,0.126,0.376,110.024,6wJ8znKpoOz9IGhWB7g2b5,236440
0.86,0.799,-6.411,0.239,0.257,0.00408,0.0972,0.813,95.039,0ay1Y54hUDgYBg54JPrOCv,184640
0.742,0.77,-6.696,0.0838,0.182,0.0,0.23,0.687,178.041,3svvCaJ1gVAQjhWI6mMmO6,212080
0.591,0.749,-4.767,0.334,0.408,0.0,0.0892,0.645,83.747,0X5rkzc0CfvMdXlY7oAm3y,181547
0.808,0.79,-5.138,0.0515,0.38,0.0,0.373,0.677,92.007,4lMySU76NlNqcnUzLthrpR,250680
0.759,0.654,-7.553,0.181,0.3,0.0,0.648,0.486,89.99,2sGmT34Yii7lrcrtxC4Pkt,173507
0.706,0.769,-4.429,0.189,0.11,2.63e-05,0.13,0.629,175.961,27cJ2fmLUPntkn86UVe1BR,225056
0.616,0.891,-4.328,0.0436,0.00562,0.15,0.0902,0.852,130.065,6T616c0Ioh7IUJvVvPINjg,164728
0.7,0.766,-5.428,0.0784,0.186,0.0,0.218,0.868,93.358,5rhdmtFyYixhT2XZPjzcGb,205977
0.656,0.877,-3.231,0.0342,0.345,0.0,0.349,0.894,105.018,3QHMxEOAGD51PDlbFPHLyJ,252347
0.809,0.785,-5.199,0.227,0.57,0.0,0.307,0.79,96.023,7BYuFBDdLfEe5ItUsQaE6Z,233373
0.757,0.632,-6.83,0.0549,0.499,0.0,0.0723,0.742,122.936,5PycBIeabfvX3n9ILG7Vrv,235133
0.481,0.81,-5.704,0.133,0.234,0.0,0.0809,0.328,175.697,0mGvaKpwLYoybnIoboC3uS,232253
0.848,0.567,-7.136,0.109,0.258,4.89e-05,0.161,0.567,95.009,7aSNwS0JTukKphQ0BnzW1T,187027
0.799,0.787,-5.02,0.0489,0.0241,0.00053,0.408,0.962,128.033,6zcnGbjNk1kyoSc1VgkTIm,237796
0.774,0.659,-5.825,0.0788,0.155,0.0,0.423,0.768,94.015,1FuOzJErnTFkMENHZ0TTyk,207213
0.792,0.605,-4.407,0.0341,0.786,0.0,0.0877,0.9,129.921,0muI8DpTEpLqqibPm3sKYf,212973
0.792,0.712,-5.348,0.0665,0.0156,1.23e-06,0.636,0.929,94.995,0Gh6QG4Z1pSvIo7btP1Ux4,136027
0.715,0.634,-7.737,0.0341,0.0401,1.25e-06,0.0853,0.63,126.023,7iiPURF6Hx1ZJUzgA4jGln,186773
0.847,0.771,-6.735,0.0741,0.225,0.0,0.0611,0.746,96.992,4PSex5Koycpn9pczvymn4w,171794
0.748,0.769,-9.11,0.0508,0.288,0.00135,0.162,0.717,94.996,6vakABC8veui722qtIXy18,225348
0.801,0.773,-6.651,0.0896,0.563,0.00425,0.103,0.796,94.988,0t0WIrjRcvgBAwLlby2gsZ,225693
0.748,0.709,-6.123,0.22,0.0715,0.0,0.0407,0.738,167.958,2IggsLAwzKzvRC16iE0VdR,184907
0.58,0.762,-5.416,0.172,0.102,0.0,0.0717,0.413,171.994,1K6uHyVFZVOi2nwocfW47u,181533
0.9,0.582,-8.895,0.0629,0.349,0.00271,0.0958,0.607,95.001,4RE7n9x4zBb8eMb5ruTbe5,179440
0.787,0.821,-4.951,0.0744,0.0432,0.00883,0.145,0.505,109.006,4Pu91WfMSyyN9K2kZql3L7,196800
0.701,0.836,-5.35,0.0284,0.226,2.76e-06,0.293,0.76,116.998,2sH1DIngiSA8EQfkcQXpBq,219103
