danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms
0.757,0.848,-4.234,0.335,0.0481,0.0,0.121,0.686,139.995,2rzBvHM9h36Tpdj7Jdajka,212640
0.73,0.868,-7.325,0.0288,0.0632,0.0661,0.318,0.923,148.217,6cr6UDpkjEaMQ80OjWqEBQ,350400
0.67,0.558,-9.159,0.0251,0.238,0.0,0.106,0.63,80.511,5mkGfmJGFZpwK9nA5amOhv,173493
0.592,0.263,-14.029,0.0568,0.845,5.68e-06,0.127,0.109,76.366,3B3eOgLJSqPEA0RfboIQVM,238520
0.766,0.442,-8.558,0.356,0.000107,6.12e-05,0.111,0.39,201.8,4Kz4RdRCceaA9VgTqBhBfa,181573
0.656,0.677,-6.929,0.0285,0.391,1.92e-06,0.118,0.57,112.014,2PlP2rRrgSz8lC7MpH3e4e,210747
0.649,0.497,-6.102,0.0377,0.523,0.0,0.106,0.761,75.976,675Oxp969Xt3KYhHvO069r,162693
0.812,0.644,-10.761,0.0493,0.0877,0.785,0.0563,0.989,140.075,7Bz8yww6UMbTgTVLG6zbI4,190827
0.671,0.784,-5.514,0.0303,0.0842,0.0121,0.231,0.543,122.995,1JqTcOjOn7gEpeC0JcRVPa,272175
0.582,0.464,-9.657,0.0304,0.585,0.0,0.0892,0.446,124.97,1yupbrI7ROhigIHpQBevPh,364613
0.636,0.761,-7.752,0.035,0.00377,0.00784,0.0851,0.463,120.837,69gQgkobVW8bWjoCjBYQUd,285596
0.6,0.663,-5.802,0.0477,0.225,0.0,0.119,0.286,121.07,4nVBt6MZDDP6tRVdQTgxJg,245493
0.482,0.873,-3.145,0.0853,0.0111,0.0,0.409,0.737,165.084,0qwcGscxUHGZTgq0zcaqk1,214320
0.367,0.665,-2.821,0.0465,0.145,0.0,0.113,0.31,148.913,3sNVsP50132BTNlImLx70i,229147
0.577,0.749,-7.215,0.0279,0.599,0.0115,0.183,0.255,130.97,0BCPKOYdS2jbQ8iyB56Zns,307880
0.683,0.789,-6.132,0.0353,0.0283,0.0492,0.112,0.809,120.013,7gUpO6td4OOnu0Lf9vhcIV,211800
0.442,0.922,-5.086,0.0655,0.0532,3.86e-06,0.0768,0.855,162.272,59CLe8stbcx4XYBWdsfbwK,217364
0.741,0.894,-5.648,0.069,0.076,4.89e-05,0.0835,0.297,111.969,5wL742yBgvtbw1IibA3FMJ,257733
0.402,0.914,-5.215,0.142,0.000579,0.0,0.065,0.626,196.505,4KacUpvbA3Mfo05gttTjhN,178267
0.654,0.611,-10.45,0.119,0.0337,0.000178,0.405,0.786,85.387,5PntSbMHC1ud6Vvl8x56qd,235000
