danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms
0.491,0.802,-7.106,0.0392,0.25,0.0,0.387,0.472,119.25,77NNZQSqzLNqh2A9JhLRkg,248907
0.756,0.768,-10.701,0.112,0.735,0.0,0.182,0.783,118.208,3SQhmctWreNM0X6Zkm2K5R,143240
0.275,0.973,-3.533,0.279,0.0543,0.0448,0.0855,0.42,191.432,22KAGMT5zwzZJZAo9WGaFv,134960
0.732,0.494,-13.571,0.0406,0.299,0.205,0.0919,0.799,126.986,5lmGgOaixbwKHtpTzjJoqx,221533
0.285,0.908,-4.601,0.0705,0.0318,0.00909,0.311,0.669,159.756,1Ab3hhOw1TJWDgO10vlxNZ,252733
0.838,0.616,-6.502,0.0433,0.575,0.0,0.0785,0.971,131.719,2cdzutoqFK6sfW6exi7oXh,128307
0.438,0.99,-3.89,0.108,0.0651,0.0222,0.359,0.452,131.306,63wsuMhok6GgcBRd2strGk,214067
0.481,0.262,-15.73,0.0414,0.735,0.0114,0.832,0.375,122.861,6mFkJmJqdDVQ1REhVfGgd1,334744
0.456,0.59,-8.638,0.0327,0.00182,0.00379,0.104,0.243,124.635,2N2yrmodOnVF10mKvItC9P,283733
0.514,0.796,-8.226,0.0691,0.577,0.025,0.056,0.941,181.282,7Bt1RAu4FSYL3WltEmLmb5,130500
0.624,0.876,-6.005,0.0342,0.000926,0.00164,0.0561,0.453,89.24,5UaDi8KzCGJqFfVAOBfXhi,324600
0.743,0.836,-6.465,0.116,0.0804,0.0,0.384,0.82,113.375,39shmbIHICJ2Wxnk1fPSdz,188987
0.435,0.657,-8.868,0.0545,0.00983,0.00748,0.0923,0.209,118.704,39C5FuZ8C8M0QI8CrMsPkR,467640
0.356,0.982,-1.574,0.112,0.713,0.00145,0.941,0.299,95.754,21Qsj3cMVCx2xF2EVVNbEu,110093
0.532,0.678,-5.59,0.19,0.673,0.0,0.103,0.971,205.973,5wbZ3sbWf4PppzZiRxkxou,126680
0.396,0.293,-14.062,0.0275,0.941,0.000196,0.105,0.343,100.307,44AyOl4qVkzS48vBsbNXaC,182360
0.591,0.87,-6.381,0.0652,0.409,0.0,0.718,0.747,121.682,3YSfGJNDtF8KrHlwCAaVns,227600
0.418,0.452,-13.099,0.0356,0.638,0.00026,0.0959,0.168,175.088,54b8qPFqYqIndfdxiLApea,218733
0.651,0.801,-7.34,0.0514,0.123,0.0,0.0825,0.776,133.769,5jzma6gCzYtKB1DbEwFZKH,200480
0.67,0.591,-6.012,0.0646,0.62,0.0,0.373,0.8,91.439,52KvuGmgcgRdrLMXOtda0E,217613
0.776,0.902,-7.464,0.0999,0.462,3.94e-05,0.0712,0.677,87.839,0wNnwLgq5N9lWYib8eUnu6,167840
0.57,0.931,-5.78,0.0503,0.0429,0.0,0.375,0.4,105.37,3J9NEWkd9Cx1MwSSvDySkL,247307
0.538,0.981,-2.688,0.14,0.00662,0.0,0.219,0.711,101.414,0EYOdF5FCkgOJJla8DI2Md,255467
0.469,0.902,-5.346,0.0525,7.39e-05,0.000516,0.101,0.554,96.658,5V4gu6pzqQTIKROitL0qRj,259933
0.783,0.878,-3.864,0.0308,0.39,0.000778,0.0426,0.885,100.626,77oU2rjC5XbjQfNe3bD6so,265173
0.733,0.726,-6.514,0.0371,0.379,2.58e-06,0.471,0.915,120.814,6xq5DxZWGgdStAxGAil0yw,197160
0.663,0.977,-3.024,0.0575,0.00137,1.77e-05,0.173,0.746,129.975,6wO0vMRAJB0r1lEWBJZNOq,219253
0.398,0.952,-6.042,0.061,0.000373,7.75e-05,0.1,0.584,122.093,0dOg1ySSI7NkpAe89Zo0b9,278680
0.31,0.945,-6.713,0.167,0.0173,0.0074,0.211,0.242,108.437,4InpYF6IH5bhuHwG0R0faj,455560
0.564,0.774,-9.424,0.0368,0.0135,0.00191,0.0861,0.657,100.894,6wpGqhRvJGNNXwWlPmkMyO,277477
0.463,0.802,-2.184,0.078,0.0628,1.94e-05,0.487,0.733,156.205,7Crfr7SSFmcxNXi64fKEaB,207333
0.249,0.834,-8.21,0.0577,0.0738,9.48e-05,0.0924,0.338,118.223,5EWPGh7jbTNO2wakv8LjUI,547107
0.544,0.567,-10.8,0.0753,0.79,3.85e-06,0.363,0.559,78.227,6AL6Wbn1xA3R86vAvuiho5,159813
0.306,0.86,-7.371,0.0534,0.204,0.000146,0.369,0.541,136.265,1nmZ8yqKkfooOuYvtFctDp,227893
0.532,0.728,-9.079,0.0352,0.106,0.0108,0.0849,0.69,134.303,3fkPMWQ6cBNBLuFcPyMS8s,271000
0.336,0.792,-10.875,0.084,0.00351,0.00175,0.0437,0.427,155.587,3IOQZRcEkplCXg6LofKqE9,355304
0.365,0.767,-6.185,0.0681,0.181,0.000856,0.0942,0.422,94.174,6crBy2sODw2HS53xquM6us,248053
0.54,0.429,-11.822,0.0285,0.000202,0.355,0.141,0.113,110.171,6ADSaE87h8Y3lccZlBJdXH,295516
0.625,0.758,-6.213,0.0463,0.512,0.00022,0.153,0.695,119.719,6mHOcVtsHLMuesJkswc0GZ,251253
0.82,0.575,-9.144,0.0408,0.0936,0.000135,0.109,0.964,123.765,3Vby4nGmtbDo7HDJamOWkT,208947
