danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms
0.637,0.864,-4.381,0.0468,0.484,0.0,0.222,0.706,99.995,2RiBogNRfulkNf7fVbPOrJ,214720
0.577,0.901,-5.981,0.0492,0.000431,3.59e-06,0.672,0.337,90.997,0eV3PB3T0OxW4feG1DlOjQ,231387
0.664,0.705,-4.972,0.0382,0.0654,0.0,0.115,0.477,122.017,6sy3LkhNFjJWlaeSMNwQ62,257840
0.448,0.61,-2.695,0.0342,0.0102,0.000491,0.135,0.214,123.762,507bYMYfbm6sUS9iEAaeSd,258333
0.459,0.926,-3.415,0.155,0.0239,1.93e-05,0.183,0.569,151.534,2rBHnIxbhkMGLpqmsNX91M,243453
0.422,0.752,-8.682,0.0449,0.0366,0.000119,0.129,0.403,120.471,1ju7EsSGvRybSNEsRvc7qY,356627
0.418,0.452,-13.099,0.0356,0.638,0.00026,0.0959,0.168,175.088,54b8qPFqYqIndfdxiLApea,218733
0.295,0.924,-3.407,0.0678,4.02e-05,0.00462,0.377,0.219,171.941,1yYE8EyuIV0rrvQ1bA2Fyf,239387
0.546,0.97,-2.661,0.097,0.000823,2.08e-05,0.275,0.383,100.065,0INUE1K7cEiE8VH63Rv5RJ,216427
0.671,0.373,-18.064,0.0323,0.257,8.01e-05,0.0481,0.732,92.718,2374M0fQpWi3dLnB54qaLX,295893
0.64,0.663,-7.516,0.0374,0.201,0.00806,0.152,0.663,132.77,4BP3uh0hFLFRb5cjsgLqDh,140773
0.465,0.919,-4.025,0.0408,1.83e-05,2.07e-05,0.262,0.537,135.997,5OQsiBsky2k2kDKy2bX2eT,235293
0.42,0.936,-4.31,0.0433,0.000264,0.175,0.101,0.711,153.955,3EVgZBKWXY6xOtS8mrhW1C,226547
0.528,0.937,-2.986,0.0758,0.0142,0.0,0.382,0.368,107.482,3McsQb9vsF9snVh2ku101H,227895
0.503,0.908,-3.681,0.0598,0.216,0.0,0.366,0.857,200.147,3zSaWBoojpQGDPO2oIL80H,260093
0.768,0.852,-6.215,0.038,0.214,7.36e-05,0.0723,0.867,128.373,07q0QVgO56EorrSGHC48y3,271240
0.649,0.888,-4.807,0.0293,0.013,2.23e-06,0.0888,0.553,100.975,2lwwrWVKdf3LR9lbbhnr6R,208467
0.472,0.9,-6.406,0.0582,0.148,0.000297,0.34,0.42,95.826,3KhF2YiNpJvGpfiCW45R6D,214960
0.576,0.864,-3.981,0.0462,0.02,1.68e-06,0.683,0.609,97.225,2gSVKxPDww9Eep5rdvtdem,272973
0.479,0.968,-4.698,0.0424,1.51e-05,0.0408,0.111,0.694,149.48,02GBtzxf70cvt8wxxhKnyG,252227
0.517,0.887,-7.637,0.0732,0.000244,0.00258,0.151,0.531,166.008,1hPKSQuvfLlPeIu8xhRyTf,321162
0.376,0.967,-3.277,0.166,0.000248,2.64e-06,0.0575,0.226,91.582,6ZfPmIbwzz6fopTNwAJTPs,200907
0.512,0.864,-4.146,0.0338,0.000821,0.0,0.0982,0.527,138.018,3pxCXv0NACYfYnLjFcQW5D,222827
0.502,0.945,-3.191,0.103,0.0514,0.00585,0.0897,0.326,100.988,6U82eC2OHyiQM4Wr5Bejar,298917
0.606,0.908,-5.736,0.037,0.00532,0.823,0.245,0.773,130.12,56dtB7EzO7EneUgYwX8krC,159173
0.478,0.758,-5.4,0.0331,0.00974,0.00717,0.312,0.452,131.109,1fXiYSWmkKJfRKMegCkI11,276720
0.206,0.962,-4.714,0.136,2.63e-05,3.17e-06,0.0679,0.303,152.327,7oUkPewtWnIAQ8MncVTXBv,267998
0.371,0.758,-5.679,0.036,0.0958,0.0,0.116,0.452,77.81,5gys5nzVQIYhgHIfiOJYva,239680
0.375,0.777,-3.92,0.0407,6.51e-05,0.00186,0.153,0.48,114.968,243b3t0P416vtdmxRllHEV,271560
0.431,0.95,-4.918,0.26,0.00105,3.63e-05,0.272,0.56,191.936,2OMqSRS11ly56zg9u5za6c,158733
0.421,0.517,-11.49,0.035,0.526,1.82e-06,0.136,0.109,84.011,3m86qx7aIeqFcYcQ1UXUvP,272107
0.517,0.906,-3.677,0.0735,0.00272,9.26e-06,0.113,0.731,172.977,6SpLc7EXZIPpy0sVko0aoU,211520
0.551,0.913,-4.063,0.0466,0.0263,1.35e-05,0.347,0.544,119.992,0v1XpBHnsbkCn7iJ9Ucr1l,224493
0.493,0.882,-5.37,0.046,0.0166,2.97e-06,0.188,0.685,123.985,5pVbLYTdihSKd8Kylfhwa7,222489
0.619,0.67,-10.322,0.0353,0.00165,0.0109,0.331,0.777,129.269,45Ia1U4KtIjAPPU7Wv1Sea,211933
0.242,0.992,-3.9,0.0988,0.0148,0.113,0.833,0.374,159.37,45DElIx0dXqUH4A88yQFdE,187120
0.298,0.895,-7.647,0.0547,0.0283,0.00574,0.305,0.544,173.737,4gVTozEmzwAUXpwj3jEetX,368507
0.619,0.916,-4.214,0.0459,0.000128,0.183,0.121,0.743,98.008,3LHFVQwFLoFLJRd1AFbPTZ,222568
0.767,0.787,-9.897,0.0331,0.0163,0.583,0.0513,0.964,126.879,5QLHGv0DfpeXLNFo7SFEy1,266200
0.31,0.983,-3.202,0.131,2.84e-05,8.3e-06,0.124,0.274,85.514,4Jl3syKPuB2YFZZhsSeniv,208180
0.319,0.402,-18.908,0.0326,0.000153,0.0,0.149,0.253,174.785,5M9KGQXFPLFiSRC9Oo99JX,231771
0.666,0.646,-7.722,0.0268,0.124,0.286,0.095,0.664,100.05,7ADBL3WZ9Oyj7zgkg7ODT8,214160
0.792,0.647,-8.314,0.045,0.255,0.000223,0.132,0.694,102.477,0aJrYfARfCKzv6gXjhs4SZ,209547
0.364,0.959,-2.956,0.0627,0.0113,0.000953,0.411,0.927,161.797,0BqQWfhMrkpRAUCbdfdHUC,174027
0.346,0.768,-5.695,0.0377,0.00603,0.38,0.0244,0.532,169.492,0NWPxcsf5vdjdiFUI8NgkP,210160
0.526,0.762,-12.437,0.0342,0.000972,0.000116,0.338,0.505,136.203,263aNAQCeFSWipk896byo6,214400
0.488,0.842,-5.926,0.0469,0.0116,0.00127,0.146,0.41,90.003,5omWAB5iNMHvbAfBSzkdu8,187347
0.667,0.699,-7.574,0.026,0.42,0.000442,0.201,0.655,118.567,4jLv3tDBu8ww2R07DvL12s,314173
0.159,0.946,-5.756,0.0629,0.0235,8.06e-06,0.387,0.309,165.014,4A065x9kJt955eGVqf813g,149467
0.493,0.636,-7.408,0.0256,0.0629,2.49e-06,0.0921,0.279,79.419,78PKCefXwDLbl4FVO1Pjzh,284907
0.741,0.58,-9.05,0.0304,0.117,3.31e-05,0.212,0.944,127.402,0vOkmmJEtjuFZDzrQSFzEE,171267
0.413,0.725,-5.787,0.0324,0.369,2.16e-05,0.0905,0.44,124.618,5uvosCdMlFdTXhoazkTI5R,429760
0.415,0.908,-9.701,0.0765,0.00437,0.0345,0.082,0.437,114.816,2SgbR6ttzoNlCRGQOKjrop,243533
0.237,0.717,-4.121,0.0475,0.00171,0.00683,0.156,0.318,150.925,3sPpTsMNzlyJJx9LLJFT0e,248907
0.475,0.322,-10.687,0.0283,0.367,0.00056,0.11,0.387,93.503,6zeE5tKyr8Nu882DQhhSQI,206267
0.563,0.865,-5.277,0.16,0.0472,0.000191,0.77,0.601,156.271,7hQJA50XrCWABAu5v6QZ4i,209413
0.496,0.863,-4.153,0.0381,0.0046,0.0,0.639,0.243,110.018,2nLtzopw4rPReszdYBJU6h,185587
0.306,0.873,-3.668,0.0567,0.00105,0.0,0.52,0.452,198.387,7piw04hPQZ1OHZ9Fq9JOXR,186373
0.577,0.94,-4.439,0.0361,2.42e-05,0.0715,0.347,0.818,116.045,1pHPpLVH2XEN0xYRoQs4wq,172667
0.517,0.553,-5.135,0.0329,0.000104,3.7e-06,0.133,0.0775,139.26,1RgvTl4vQN4qECtnO1guEp,215200
0.373,0.903,-4.49,0.083,0.00077,5.86e-06,0.244,0.43,109.121,4o6k1XHlrIZay8v1m5VU83,263080
0.489,0.887,-5.388,0.081,0.00209,0.0,0.0531,0.626,175.969,6xwak2gJxMwbLBEJVier7X,217787
0.558,0.859,-3.992,0.0421,0.00469,0.00196,0.0831,0.31,127.98,1vzqcPRQ6P1Uw7NZ5M77wJ,231445
0.58,0.737,-4.795,0.0335,9.85e-05,0.0367,0.0823,0.506,92.0,3XHnaUAFX8PfNMW1hHC75N,244347
0.459,0.83,-6.254,0.0364,5.15e-05,0.00014,0.206,0.431,155.827,1ZozJfi8u9cO2Ob8KwiwNT,316733
0.578,0.654,-12.421,0.0562,0.121,3.62e-06,0.0673,0.621,129.513,0WoFs3EdGOx58yX5BtXvOa,216467
0.461,0.892,-4.807,0.0901,0.00187,1.34e-06,0.0942,0.35,137.35,4A0LV6W7IUKPP2pyAZ356E,245196
0.534,0.803,-9.129,0.0743,0.741,6.07e-05,0.307,0.969,167.983,2QfiRTz5Yc8DdShCxG1tB2,161560
0.391,0.756,-11.317,0.0648,0.413,0.0418,0.879,0.839,131.648,6PUabSMXmPnZna361Wwmf7,258467
0.414,0.428,-11.097,0.0278,0.382,0.000243,0.148,0.282,145.075,2TVxnKdb3tqe1nhQWwwZCO,377093
0.634,0.63,-8.277,0.031,0.447,0.039,0.17,0.489,118.628,6H3kDe7CGoWYBabAeVWGiD,270773
0.572,0.961,-3.089,0.0625,0.000734,0.021,0.207,0.818,76.998,3rjM7GhxdVq1YySsHBs21i,186600
0.353,0.898,-5.877,0.052,2.23e-05,0.105,0.39,0.525,103.293,6W21LNLz9Sw7sUSNWMSHRu,255733
0.515,0.821,-2.333,0.0309,0.00794,0.0,0.0787,0.425,86.995,7bEDDsy2LFC0KSqhZp5nPE,205173
0.447,0.967,-2.706,0.0793,0.00448,0.0,0.487,0.606,179.991,6EE19skJ32p58xihYj2Waa,162720
0.413,0.605,-6.275,0.0298,0.136,7.25e-06,0.113,0.356,141.842,1yf3K4e74VM6egV7QDhXyz,285507
0.497,0.97,-4.851,0.0836,9.04e-05,0.000674,0.101,0.689,138.081,6PwjJ58I4t7Mae9xfZ9l9v,197200
0.483,0.615,-8.538,0.0497,0.452,0.000414,0.0512,0.594,80.576,6Vjk8MNXpQpi0F4BefdTyq,517125
0.525,0.578,-4.563,0.12,0.0132,0.00916,0.108,0.537,123.696,4xlEKYv7HmC8zXoJIbpZKM,215267
0.566,0.834,-8.412,0.0298,0.00277,0.008,0.0625,0.621,123.296,3VqHuw0wFlIHcIPWkhIbdQ,331560
0.443,0.781,-4.277,0.0377,1.33e-05,0.205,0.166,0.372,71.841,1158ckiB5S4cpsdYHDB9IF,214760
0.743,0.836,-6.465,0.116,0.0804,0.0,0.384,0.82,113.375,39shmbIHICJ2Wxnk1fPSdz,188987
0.295,0.715,-6.533,0.0709,0.00212,1.55e-06,0.242,0.242,86.937,7793p4ZXhtbW5RpeRK7rid,199773
0.653,0.839,-5.077,0.0685,0.0369,0.0,0.068,0.669,149.034,3FQCJI2t5LTbsRPfYVBSVB,216281
0.681,0.496,-7.916,0.031,0.0567,0.337,0.126,0.272,134.953,7vNlyHGvF1UPwIGjQBoVFG,285068
0.524,0.944,-5.151,0.145,0.00355,7.55e-06,0.0362,0.494,74.994,4Vai27xbSu7N9K7RNxVmG8,213053
0.62,0.61,-8.329,0.0373,0.00849,0.162,0.205,0.235,127.052,1E1uGhNdBe6Dddbgs2KqtZ,238560
0.528,0.856,-3.376,0.0529,4.9e-05,0.0,0.157,0.675,108.05,5HkGsynhIVFXHAnm0cRFJo,180973
0.499,0.495,-10.508,0.0501,0.348,0.0286,0.2,0.339,80.086,5H6Jp0syB5yEPk7SWYdlmk,200733
0.537,0.656,-5.863,0.0411,0.0458,2.54e-06,0.112,0.45,141.873,2bDENJyfbxj0neGiXUFvIX,232173
0.622,0.961,-3.198,0.154,0.00523,0.0,0.0854,0.449,114.452,0a7BloCiNzLDD9qSQHh5m7,180267
0.549,0.969,-2.763,0.049,1.16e-05,0.106,0.104,0.348,101.055,2TNPagu8Z4zvDOpmnktF00,204827
0.503,0.468,-16.829,0.0374,0.0256,0.00134,0.0842,0.215,102.451,20aASiwfsbiLlaJxLiC0PQ,385893
0.529,0.932,-7.501,0.0488,0.00251,0.00109,0.136,0.571,138.158,71SvEDmsOwIWw1IozsZoMA,201693
0.501,0.752,-5.405,0.0342,0.00632,0.0,0.161,0.729,176.169,3Qj39daVgJxbJ6NYRFehMg,203719
0.579,0.904,-2.729,0.0618,0.193,0.0,0.064,0.681,82.014,1rqqCSm0Qe4I9rUvWncaom,190947
0.626,0.134,-14.898,0.0298,0.467,0.0,0.113,0.239,91.893,1gVgkQFOKa8Wc1HYsJtPdH,334107
0.417,0.706,-4.652,0.0945,0.00933,0.000572,0.474,0.512,127.884,7yoBjKO6cCnK3zV8gr1k4e,242560
0.438,0.805,-6.237,0.0624,0.00255,5.69e-05,0.0842,0.564,113.253,2aoo2jlRnM3A0NyLQqMN2f,240800
0.416,0.741,-4.001,0.0335,0.00804,0.0,0.273,0.286,160.515,5PZ2cqh9Yem2g6cTSOLllz,202973
