danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms
0.469,0.572,-6.025,0.0247,0.279,0.000215,0.0718,0.16,80.022,4payoiaSRv250VgpYF7Qg4,309840
0.602,0.612,-8.409,0.0335,0.206,0.00607,0.107,0.453,122.062,2QhURnm7mQDxBb5jWkbDug,136867
0.678,0.0688,-18.077,0.0488,0.905,3.87e-05,0.0794,0.333,95.985,2xC8hhXv0bs9idCEQLs6Un,166560
0.532,0.899,-5.935,0.244,0.531,0.000146,0.0957,0.436,85.0,1M0g1beKC4H9gbrOiSayHW,230520
0.34,0.523,-5.81,0.0265,0.245,1.07e-05,0.108,0.226,174.705,1B10XgaxSXRLAFq967oMpF,190280
0.8,0.502,-6.062,0.0371,0.00167,0.0,0.0784,0.388,115.091,5F7IJrXD6Fa3EmqoYE0gU4,289760
0.635,0.337,-12.125,0.0288,0.805,0.00256,0.142,0.357,135.826,1nuqzCMgj2lxZCmpdCmIGv,216427
0.439,0.434,-14.918,0.0265,0.0783,4.87e-05,0.14,0.204,94.845,0gEyKnHvgkrkBM6fbeHdwK,274707
0.449,0.487,-9.967,0.031,0.47,0.000129,0.691,0.389,76.487,0xzDbdFFnPz9CiQ0YZMq4K,213467
0.504,0.785,-4.802,0.104,0.0738,0.0,0.239,0.502,173.968,1V6gIisPpYqgFeWbMLI0bA,210840
0.62,0.872,-3.123,0.0347,0.00914,0.0,0.111,0.299,124.044,5bODPM8nTwwTIE4W9fuUcC,216947
0.52,0.333,-11.508,0.0302,0.816,0.0,0.188,0.198,74.165,6iblnklMzUKIXAtjk5lzIy,259893
0.52,0.652,-6.655,0.0274,0.34,5.49e-05,0.256,0.722,80.609,6kvoHl80mfCVTv7XnZkjQn,258787
0.676,0.199,-17.737,0.0282,0.826,0.0241,0.144,0.185,104.018,3nanq5MGiNbZYjoiEhpsLC,262640
0.389,0.711,-3.664,0.0343,0.148,0.0,0.202,0.337,137.756,5OuP08bgU2H7ZeDQQFQ6q8,232200
0.687,0.792,-4.023,0.0353,0.000802,0.0,0.2,0.864,133.962,3oL3XRtkP1WVbMxf7dtTdu,227333
0.721,0.339,-11.195,0.0532,0.409,0.00153,0.0973,0.2,129.83,7DfFc7a6Rwfi3YQMRbDMau,200747
0.625,0.426,-8.4,0.0271,0.412,0.0,0.116,0.112,110.021,5Ihd9HrPvOADyVoonH9ZjB,270333
0.506,0.363,-9.678,0.0258,0.736,0.000633,0.0928,0.352,107.452,0OVXLPJPDCFn1IV6bFxY1N,202560
0.457,0.719,-3.921,0.0323,0.191,0.0,0.228,0.168,142.034,54JKnDB3CzVu8wNAOM27BI,240493
0.6,0.663,-5.802,0.0477,0.225,0.0,0.119,0.286,121.07,4nVBt6MZDDP6tRVdQTgxJg,245493
0.414,0.394,-11.412,0.0295,0.52,0.0248,0.113,0.181,105.811,7IcKs2XXHnQBtBJtzEyqqS,303653
0.254,0.521,-9.68,0.037,0.161,0.00501,0.0557,0.185,83.805,3hjWMckLi4P4KGlXQP4IqO,260640
0.664,0.705,-4.972,0.0382,0.0654,0.0,0.115,0.477,122.017,6sy3LkhNFjJWlaeSMNwQ62,257840
0.399,0.721,-5.562,0.0523,0.0621,0.00282,0.278,0.113,160.125,5IyblF777jLZj1vGHG2UD3,299934
0.609,0.444,-9.129,0.106,0.603,6.86e-06,0.104,0.166,118.402,3XVBdLihbNbxUwZosxcGuJ,228707
0.36,0.501,-9.129,0.0258,0.0638,9.32e-05,0.172,0.324,74.807,63OQupATfueTdZMWTxW03A,264067
0.467,0.883,-3.679,0.106,0.000321,0.000152,0.125,0.309,122.252,2d6m2F4I7wCuAKtSsdhh83,299227
0.328,0.498,-10.898,0.126,0.532,7.94e-05,0.117,0.36,175.918,0NG5gJzPHjYeQmqcmqfopN,240173
0.363,0.355,-9.877,0.0457,0.371,7.43e-05,0.0814,0.19,180.364,3Y1JP1ulhlpgCqRzMQhVJr,266533
0.472,0.836,-5.167,0.0483,0.00229,0.00351,0.126,0.148,126.009,7Hn0bZgca6QFz6OyKkvAi6,303587
0.541,0.401,-10.499,0.0365,0.576,0.0,0.164,0.24,152.943,31er9IGsfFbwqy1pH4aiTP,289160
