danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms
0.342,0.0368,-23.532,0.0421,0.9,3.14e-05,0.3,0.232,142.505,5T4Dl966shSjGuY5zbiZJT,54000
0.502,0.393,-9.461,0.182,0.806,3.93e-05,0.136,0.214,133.788,1xTp65doSyf0vZz7OEsTyr,503320
0.579,0.597,-6.541,0.111,0.381,2.7e-05,0.326,0.703,119.922,3cGmUgp7hF5Eb8NyuEmtCA,364360
0.227,0.0813,-21.126,0.0317,0.796,0.0,0.179,0.151,175.838,3LpvO6PZRuQ0OeFL1LQwtB,141467
0.222,0.367,-17.758,0.095,0.846,0.000609,0.75,0.24,89.809,62vBgmeAJZYrwaYJy5xDhv,256800
0.699,0.417,-15.677,0.0926,0.268,0.0,0.1,0.372,121.855,34nxgXFCPzDphUJGuRsn10,220213
0.313,0.0705,-20.517,0.0415,0.791,0.000268,0.141,0.0859,124.957,26bjSYiNMDYfW06TH8F12U,182280
0.736,0.355,-11.717,0.103,0.847,3.26e-05,0.0601,0.74,125.901,5fbFyzSoU80kwqUF7JlV2F,143800
0.253,0.482,-5.565,0.0324,0.0662,0.0,0.116,0.19,145.338,1CtOCnWYfIwVgIKiR2Lufw,152733
0.356,0.0928,-20.086,0.0513,0.833,0.0,0.135,0.353,85.729,3z9tHYO5OMSpS8A6ohSIz8,116973
0.334,0.145,-14.682,0.0337,0.975,0.281,0.085,0.195,87.617,0O1Oean88yC9KncJnyOdB0,95987
0.615,0.57,-6.564,0.0315,0.727,0.0,0.0784,0.346,111.927,3jdbqyM826PXNm7onNtgMj,254347
0.475,0.292,-10.902,0.128,0.728,2.25e-05,0.121,0.0917,94.042,6Yjn95BWaCS4U2s6zKSrOS,170493
0.277,0.331,-9.292,0.0373,0.515,6.26e-05,0.111,0.256,133.233,1rDklEm1rIKphZ7EvWinHm,218800
0.476,0.12,-13.759,0.0405,0.917,0.0,0.109,0.341,112.901,2QHp9O8qaXyKw3gnXS39me,194693
0.772,0.805,-8.363,0.0846,0.116,0.000351,0.0759,0.658,122.95,3TXakfjtRwGXdQ6P3Lpi6t,249133
0.241,0.13,-20.935,0.0496,0.949,3.72e-05,0.697,0.0744,79.824,0UyEBcNXIHHFCtIeT4wLky,275880
0.441,0.142,-17.751,0.0415,0.825,0.0,0.128,0.547,145.552,3BHxMGVE3tN2dZsVU1l487,113947
0.799,0.385,-12.18,0.0378,0.537,0.000177,0.124,0.962,122.618,5DbduGAJjPV6vx2Qwn1G7s,138227
0.635,0.459,-7.343,0.0244,0.246,0.0,0.259,0.433,96.056,7bFmXanwZQm6BMV9Nka6Hk,177627
0.673,0.42,-7.581,0.0317,0.112,0.0,0.0897,0.385,108.066,03xWMkKEbeO4SnylA53ipj,152333
0.581,0.58,-6.997,0.181,0.525,0.0,0.0947,0.267,102.131,6eR8u06oZFhoBMaKl0xBZp,320533
0.608,0.221,-11.886,0.039,0.823,8.72e-06,0.124,0.541,127.687,1z0TkJgVhwXv3EbQzM6ZAD,195107
0.62,0.323,-10.711,0.0613,0.718,0.0,0.0917,0.729,72.773,501LsHCZvqR5ZFrPF70w76,311333
0.263,0.319,-16.357,0.0465,0.61,0.0,0.217,0.355,74.439,61zSTvYuEWrj0ZfllX7Aew,331533
0.77,0.342,-11.412,0.0343,0.713,0.0,0.141,0.698,115.278,22USWfpCu1nemGkxoWNY65,168533
0.696,0.435,-7.804,0.119,0.783,0.0,0.168,0.847,102.683,2m9fEFlDihvdbY5OMVz908,87787
0.387,0.611,-4.619,0.0322,0.191,0.0,0.257,0.329,101.626,7sKQFjbD7nMuAV5dAOsLx5,276773
0.426,0.573,-7.365,0.0689,0.731,0.353,0.0924,0.53,103.139,57dvYpdeTcMmcSO5jKGGDq,99320
0.207,0.174,-19.656,0.0452,0.94,4.61e-05,0.69,0.0777,84.052,11nJJLeWrHCb7SzaKTUDm5,171440
0.566,0.334,-11.822,0.156,0.822,0.0,0.684,0.684,136.323,4VdZPkoW0cNrhZHK7Xhh3m,196640
0.601,0.449,-8.078,0.358,0.785,2.6e-06,0.13,0.78,82.285,7z4mcKCYFPgqFeYS5mNyTB,146787
0.382,0.247,-15.81,0.101,0.709,0.0,0.454,0.375,73.476,62F67RIV8apHjLONWhb91G,262307
0.442,0.315,-11.254,0.0874,0.724,0.0,0.33,0.385,135.319,7ti94QY6CIjiEEKEqgGRLw,253147
0.601,0.387,-13.181,0.0352,0.697,0.000264,0.138,0.472,112.028,2FFtdB45Z414KPXa8lsd1S,143400
0.442,0.0817,-14.437,0.0347,0.862,0.00143,0.123,0.211,74.991,0aby5o0r0lNqqxyF91C0mf,172827
0.777,0.249,-18.307,0.0762,0.76,0.0,0.202,0.56,102.924,5XDxDzQcdwRN88DqRj0OXQ,291693
0.543,0.736,-5.181,0.0309,0.0804,2.81e-06,0.133,0.385,123.353,26seN94mgiImzDyVRkl3hl,199307
0.654,0.673,-8.782,0.0682,0.924,0.00943,0.239,0.324,119.703,7sOTi9bOYSHCGqy0KClraf,114667
0.435,0.622,-9.07,0.161,0.581,1.02e-06,0.351,0.5,140.236,5uaCvZRZtKYCDWbwGOmwev,317147
0.492,0.878,-6.287,0.0479,0.218,0.213,0.382,0.238,110.005,72bICU3rMnhzHNHYvX4vvJ,208160
0.332,0.182,-13.974,0.0499,0.709,0.00442,0.288,0.0749,66.46,6q9FT9sm83MhkBRt1GDnXd,231600
0.286,0.411,-4.94,0.0315,0.834,0.0,0.132,0.0703,164.1,1wfsEe3xb2kvWv8dXD5k5m,263827
0.555,0.37,-12.379,0.16,0.78,0.0,0.122,0.431,100.297,745KmtGUfPGU76iDdgwH1T,406947
0.479,0.169,-13.606,0.0474,0.867,0.0,0.294,0.402,91.704,44GHfUJVjuKgkhA6UlNfw7,268667
0.609,0.834,-4.639,0.0512,0.105,0.0,0.407,0.705,102.092,4vGWyNHyhNS44QXXwxaLRV,155307
0.483,0.59,-5.228,0.0453,0.273,0.0,0.177,0.202,122.652,6eGytG2iMzPpr2atFUV5xQ,217787
0.499,0.766,-5.484,0.127,0.353,0.0,0.0791,0.401,135.159,24nJkTk9cSrVFOthgYdjzr,419200
0.485,0.416,-8.52,0.0381,0.503,0.0,0.106,0.148,73.498,1XZAk284N7RVDGAKuk6N8D,253733
0.574,0.128,-19.097,0.421,0.931,0.0,0.226,0.315,77.741,35QHqaQSfKROhcBJxgFlct,230333
0.689,0.62,-10.415,0.0644,0.0614,0.00209,0.147,0.816,81.597,0WviwuG403gqtW6bZevBpP,288360
0.284,0.12,-20.534,0.0389,0.843,7.6e-06,0.139,0.195,125.208,5PRz8hvi9y6S36WIreol1U,119387
0.649,0.864,-5.511,0.175,0.00706,3.36e-06,0.377,0.331,109.982,4FZrqQWEFsIFatLZH4IDLg,172400
0.34,0.162,-13.04,0.0356,0.862,0.00186,0.417,0.0745,132.567,6VQwdr2tX48Tl1xfLxGhSI,301160
0.22,0.533,-11.888,0.0915,0.896,0.878,0.125,0.323,81.817,513mEnijhLWoGVhrFiU0Se,280067
0.549,0.353,-9.332,0.0386,0.523,0.0,0.117,0.21,112.002,2uJcorJzvj4y6sUFtC0EOq,202507
0.32,0.119,-15.869,0.0333,0.949,1.25e-05,0.474,0.204,97.974,4cLsM2rpxuniX1GkXdQjeC,165640
0.5,0.342,-9.536,0.175,0.536,0.0,0.59,0.684,77.124,7bG6SQBGZthPDG5QJL5Gf7,110987
0.736,0.542,-7.564,0.0451,0.726,0.0,0.0398,0.83,87.168,4RINHMTRqIFb61Y4GjoYR4,113093
0.296,0.111,-14.624,0.0621,0.969,5.58e-06,0.0987,0.16,155.631,6sU5moLmfWtP3ePsS6kpNp,170093
0.792,0.631,-12.558,0.0902,0.328,0.0,0.237,0.842,135.875,4JakCpW78QDArJC4zbujFp,153933
0.588,0.807,-6.275,0.0399,0.164,0.00185,0.209,0.547,120.97,5Zb6JxSEcjsUNrINcAyAYJ,179587
0.388,0.171,-17.924,0.106,0.771,0.0,0.369,0.362,79.78,7yyTZAgwQUy1a5kDjQJJNN,291693
0.514,0.403,-9.377,0.0429,0.481,0.0,0.11,0.464,132.683,7nOhijGWNbwBpzmQ6XqLRG,200293
0.531,0.378,-15.782,0.115,0.734,1.39e-05,0.334,0.573,130.769,3kJlAwFPbTkv77SZetNkFS,277040
0.404,0.236,-18.76,0.511,0.887,0.0,0.203,0.316,74.357,3NhaS8qIftVKNThEa9HcX4,776947
0.534,0.381,-10.048,0.359,0.836,0.00055,0.115,0.424,118.016,2xLLwfYb4WxJdd7XIVHpy5,55107
0.341,0.427,-11.021,0.0499,0.723,2.64e-06,0.202,0.163,135.609,3KS8SsAW3oAg9eH9wdZ4v8,214907
0.567,0.231,-13.766,0.0537,0.478,1.41e-06,0.132,0.0612,76.924,4o1ZZ9TrcwCvqp7wIO0n7l,152320
0.322,0.52,-7.63,0.0351,0.716,3.69e-06,0.0797,0.13,132.123,5cCAnk1sHJDdqqNIScOkZU,288427
0.724,0.94,-3.155,0.0507,0.043,4.27e-05,0.142,0.684,132.006,5iMg31WQw8WdCHrvYWhloq,164920
0.375,0.131,-21.176,0.119,0.91,2.17e-06,0.122,0.195,143.655,466vZNzsxU4NNp8V8Yftzj,152573
0.598,0.461,-9.233,0.568,0.801,0.0,0.115,0.44,116.575,1UP4SAUG1DLTPKFcxVIrbo,60667
0.48,0.247,-15.086,0.155,0.866,6.13e-05,0.0585,0.303,77.002,41YUuIV8uN2zKh00qT5MEj,680533
0.743,0.753,-7.394,0.212,0.26,0.0,0.131,0.906,95.014,5G1QJ6Ub6gOGNNUcLHjDnE,217800
0.506,0.418,-8.689,0.0306,0.282,0.0,0.0833,0.197,120.873,2yt1Wtobk7V32faBMl0I11,239440
