danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms
0.39,0.128,-15.872,0.0518,0.928,0.00227,0.271,0.172,103.057,7jJH5jAOUvR0FxkbYBmAQA,186120
0.551,0.836,-3.838,0.0524,0.00502,2.1e-05,0.0425,0.758,185.063,6Uy6K3KdmUdAfelUp0SeXn,220573
0.534,0.392,-7.636,0.0267,0.649,0.000227,0.0948,0.163,90.379,28cnXtME493VX9NOw9cIUh,216533
0.559,0.473,-7.712,0.0279,0.446,0.00141,0.154,0.397,121.227,4IRHwIZHzlHT1FQpRa5RdE,192827
0.334,0.472,-8.791,0.0277,0.6,3.62e-06,0.317,0.431,179.173,3FCto7hnn1shUyZL42YgfO,336093
0.7,0.298,-10.411,0.0489,0.89,0.872,0.117,0.416,151.26,3aEepO6iGpibS1LCX4fGAw,160013
0.4,0.334,-9.282,0.032,0.516,6.2e-05,0.111,0.222,137.412,64JwASxAKZkk7o26uvimyH,252320
0.707,0.185,-11.278,0.0352,0.733,0.0,0.142,0.158,96.735,5dQMp7Eu0KQnCsX2PJpO3U,155067
0.582,0.464,-9.657,0.0304,0.585,0.0,0.0892,0.446,124.97,1yupbrI7ROhigIHpQBevPh,364613
0.431,0.497,-6.501,0.0318,0.383,0.0,0.116,0.414,142.972,5BM4OgN8Giv7Wi5K8TN02M,234240
0.513,0.612,-8.617,0.0478,0.212,0.00012,0.0885,0.379,138.009,189aBIn1W9jqBW0U2VMUhp,357560
0.545,0.255,-14.844,0.0311,0.362,1.77e-05,0.0841,0.831,98.088,2ZaYFNn1YQuLSVdHhanr4Q,149013
0.775,0.281,-10.216,0.096,0.549,0.242,0.0941,0.0398,139.949,33BnSMHgX0AsbKSIbkuMwh,276720
0.532,0.597,-4.788,0.0692,0.335,0.0,0.0699,0.666,74.388,0sKAZF2T0hD3SfEr0U0rqX,151507
0.478,0.758,-5.4,0.0331,0.00974,0.00717,0.312,0.452,131.109,1fXiYSWmkKJfRKMegCkI11,276720
0.531,0.915,-4.237,0.0369,0.0119,0.0,0.14,0.811,134.322,0bWKniFVup1UYgoZww89Vp,218587
0.382,0.335,-9.567,0.0301,0.813,0.000263,0.0961,0.423,82.673,2L9ggyI3VteYO9bdKgHTic,192147
0.612,0.601,-7.809,0.0421,0.373,0.0,0.156,0.368,125.164,45ZmUXITNXixqBjelRmBSO,298693
