danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms
0.442,0.884,-5.563,0.0375,0.149,0.00163,0.0545,0.934,161.035,5FHagG20bbo7bSqFJNvtJr,180027
0.68,0.894,-5.683,0.077,0.0222,0.000534,0.0732,0.693,98.413,26k01tWo2QjXudPcxRSUJA,166067
0.671,0.78,-7.205,0.0473,0.0116,6.4e-05,0.247,0.748,148.003,0HRLVR2KSHpFr5qtWisY67,200211
0.378,0.715,-8.613,0.0654,0.00774,7.17e-06,0.249,0.95,136.224,4Qg8mJcIQjxnx0BFLqGX4U,207493
0.591,0.98,-2.765,0.0739,0.0999,0.0,0.166,0.503,100.233,0BvtEvt2oftqEAwOLl4ujT,144427
0.283,0.908,-4.312,0.22,0.196,9.97e-05,0.242,0.475,180.892,6sKmmvXCXC2ltRJ5QLNAeq,232240
0.717,0.951,-2.753,0.0691,0.172,2.13e-06,0.0327,0.733,103.142,4lq31N4E4eWqVMZv93sbhJ,243293
0.348,0.937,-4.051,0.0992,0.000803,0.618,0.735,0.413,104.977,650LnPjfwKIn1Lzwnmiscj,205467
0.698,0.816,-2.871,0.0321,0.249,1.4e-05,0.0857,0.962,121.985,3k6cOzaKyNu4svXg5jx2JQ,253387
0.895,0.571,-8.636,0.0501,0.208,0.0,0.0781,0.933,128.171,1Pao4DTLMB4gJPTnqmLgSQ,158893
0.557,0.641,-7.13,0.0674,0.0646,8.16e-05,0.324,0.831,132.318,5Dsnar78iRs1yW2NzK1QA8,190293
0.792,0.63,-5.799,0.0577,0.183,0.00341,0.165,0.654,77.709,1e8mgB40t3W20PgbqZYblO,235733
0.617,0.851,-8.067,0.0475,0.0328,0.0,0.0161,0.943,135.396,56m56K2Q0x7tPxHhFgWS6t,188333
0.482,0.947,-4.21,0.0701,0.00453,0.000542,0.0505,0.421,141.287,0gyEgSagTWr6VfminFrPi0,199227
0.437,0.948,-6.347,0.0995,0.000441,0.0,0.192,0.571,155.01,00ZuLDEB1fV0zD7XmCmhpr,203387
0.737,0.788,-5.557,0.0762,0.383,0.0078,0.246,0.913,116.838,3VfnegwNori4wN0qtAH0MV,182627
0.496,0.944,-5.253,0.127,0.00217,3.53e-06,0.0877,0.78,112.146,5aA1Ad6FJs9rYcXP0VSM35,163973
0.495,0.925,-4.752,0.0546,0.107,0.0,0.0876,0.751,94.072,55iLLdGgImyUXU27Lnyf2w,133933
0.573,0.488,-10.892,0.164,0.109,0.0642,0.185,0.88,173.822,6gyKNejreOJfwfeQQ7fNVw,382773
0.698,0.772,-3.933,0.0315,0.319,0.0,0.0674,0.861,134.958,5LRBVRPky1OkXRMSGmVhMb,204760
0.915,0.463,-10.216,0.151,0.0234,3.95e-05,0.128,0.815,115.041,73toh5TqQqs9zwczbKoBMx,157880
0.48,0.95,-5.179,0.0571,0.0318,0.000318,0.315,0.96,128.535,42KSwLcc10tKFwt9FFtuec,155960
0.629,0.747,-5.894,0.04,0.058,1.05e-05,0.116,0.978,136.206,3NZ1Z3o1iHsSgATO9uIdDn,187440
0.546,0.872,-5.98,0.0404,0.0277,0.000178,0.121,0.962,161.889,1ccFnIocW7FZ546v5cVqta,153133
0.552,0.72,-8.279,0.0355,0.646,0.858,0.623,0.963,157.252,2Lo3IKBjdkIpnvQihXDDAp,55565
0.523,0.944,-5.95,0.0488,0.0049,0.546,0.145,0.742,108.28,6rz9dQXR5TTj1mO289F9pv,165907
0.579,0.816,-8.235,0.158,0.273,0.00247,0.311,0.954,79.724,58TyxsG4jLqBgSpYlefdlZ,203693
0.87,0.581,-7.698,0.0552,0.367,0.917,0.046,0.96,122.855,627If1vYKCcyv4wKEY7MkE,172547
0.723,0.887,-4.95,0.0395,0.181,5.23e-06,0.161,0.846,92.148,32CYkcjOSCbiIoBeBheUx7,131040
0.288,0.967,-2.57,0.233,0.181,0.0,0.71,0.432,156.689,4CoYcK7Izx5JHz2obKDDir,266003
0.573,0.775,-6.653,0.0447,0.0588,0.0191,0.099,0.962,152.854,6w4ejodmlwwkRQjiSwuEN3,214787
0.635,0.883,-4.703,0.0403,0.0311,0.0,0.0896,0.93,95.016,3TnLFXmoFrPYc8D0z3Z6sf,206024
