danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms
0.658,0.642,-7.515,0.0493,0.222,0.0,0.357,0.556,93.011,2heln0PA9q54ngSUjsPnvg,264680
0.657,0.549,-8.215,0.0302,0.143,0.841,0.139,0.313,125.755,34q2Y1O5zMeuBhX4WYn0aZ,245600
0.13,0.365,-8.393,0.0313,0.0931,0.0721,0.102,0.039,181.345,5UJQ0Ht5Oh1O68pAXNbUk1,367160
0.481,0.638,-5.862,0.0276,0.153,0.0,0.154,0.497,79.064,2hKdd3qO7cWr2Jo0Bcs0MA,259933
0.664,0.781,-6.547,0.0339,0.00103,5.33e-06,0.0867,0.593,110.0,1oTo3ijRbaDAtrjJrGAPSw,227240
0.687,0.783,-4.44,0.0386,0.162,1.35e-05,0.114,0.443,129.964,3GCL1PydwsLodcpv0Ll1ch,231133
0.581,0.36,-13.174,0.0289,0.44,0.00589,0.0924,0.107,132.469,3JhNsyNQSyrsHcnFRHZN1e,381507
0.534,0.721,-7.307,0.0417,0.0343,6.24e-06,0.115,0.225,128.978,1UqhkbzB1kuFwt2iy4h29Q,249520
0.73,0.769,-5.114,0.0298,0.138,0.0,0.0473,0.507,104.948,1c8gk2PeTE04A1pIDH9YMk,228093
0.346,0.42,-11.506,0.0298,0.864,0.0875,0.901,0.303,83.56,6JbioaahWqp3efRZWN001d,237640
0.457,0.719,-3.921,0.0323,0.191,0.0,0.228,0.168,142.034,54JKnDB3CzVu8wNAOM27BI,240493
0.768,0.281,-10.182,0.0588,0.824,0.0,0.12,0.648,77.097,4oyt1N1VUUdXiPtYe1vvbC,177783
0.66,0.805,-5.352,0.153,0.0192,8.83e-06,0.159,0.625,103.008,7vS3Y0IKjde7Xg85LWIEdP,193920
0.267,0.472,-10.342,0.0364,0.0607,0.0299,0.0896,0.224,86.22,2jTkLdldm7xtHUfHKhzR7S,255838
0.647,0.0985,-12.071,0.0619,0.908,0.0,0.098,0.321,115.089,5RMjO7UAJUybWAwZ4t2wKz,216720
0.598,0.287,-9.218,0.0298,0.589,0.0,0.0981,0.185,143.898,7FWWMsKZyVZ70awxDXy47f,245200
0.637,0.73,-5.38,0.0874,0.323,0.0,0.0982,0.732,93.867,669Zz4glMcFwFl1BRltkXP,219000
0.718,0.82,-3.453,0.0323,0.0444,0.0,0.0846,0.613,92.998,4XNrMwGx1SqP01sqkGTDmo,219467
0.635,0.841,-5.379,0.0422,0.0134,0.0,0.0622,0.424,109.021,7BqBn9nzAq8spo5e7cZ0dJ,220734
0.493,0.32,-10.337,0.0293,0.0294,0.000306,0.256,0.179,147.836,3mvPYW1akMjDgSm98ynuTr,207052
0.631,0.267,-13.962,0.0296,0.814,0.884,0.111,0.139,109.169,7a4FlhlwnQe6BWl4UtiVek,313387
0.285,0.311,-10.012,0.032,0.768,0.00183,0.0809,0.0772,117.813,39Odj4vLKRarATkCA31gaW,306440
0.264,0.285,-15.208,0.0385,0.892,0.000471,0.344,0.0776,84.825,2TgxCUZdHFkPEVmFge1OSd,240671
0.554,0.315,-11.028,0.0298,0.828,5.53e-06,0.101,0.325,128.157,38zsOOcu31XbbYj9BIPUF1,241787
0.586,0.593,-8.394,0.0329,0.636,0.000131,0.115,0.668,111.942,7cpHPzPgqKor6gv6nTkJ4R,229294
0.557,0.533,-6.817,0.0252,0.0492,0.0,0.205,0.233,143.994,3NLrRZoMF0Lx6zTlYqeIo4,238733
0.508,0.596,-9.034,0.0334,0.439,9.84e-06,0.111,0.4,79.359,5fpEDGQX0Ah3utGnFYulQZ,264547
0.163,0.0255,-27.41,0.0445,0.977,0.000225,0.0912,0.144,66.269,3c9xinOHrEqF39omS0Czj1,212360
0.254,0.657,-4.995,0.0385,0.19,0.0,0.0952,0.352,151.045,2GFAmPwmQByPEeWcjiR8AE,228240
0.392,0.251,-9.845,0.0363,0.807,0.0,0.0797,0.508,204.961,63wsZUhUZLlh1OsyrZq7sz,304293
0.396,0.445,-12.285,0.0396,0.214,8.57e-06,0.091,0.17,155.058,0c6z0CQLmIAEOCfhNvh3n3,293320
0.629,0.515,-10.358,0.265,0.0267,1.22e-05,0.0888,0.299,121.845,124NFj84ppZ5pAxTuVQYCQ,277387
0.467,0.815,-7.929,0.0524,0.0198,1.23e-06,0.118,0.335,140.047,75hLNJfiXV5k2YGrbGEW51,185080
0.505,0.624,-6.513,0.0371,0.0235,0.0,0.5,0.215,139.849,1A2PVHd6kWaMlaJVkMfXmz,224387
0.592,0.16,-10.785,0.0347,0.852,0.0,0.116,0.294,118.929,46HGgtwmmuEB8mvDCyjyAc,267507
0.336,0.424,-7.203,0.0353,0.503,0.0,0.273,0.159,82.149,31acMiV67UgKn1ScFChFxo,277627
0.36,0.501,-9.129,0.0258,0.0638,9.32e-05,0.172,0.324,74.807,63OQupATfueTdZMWTxW03A,264067
0.598,0.289,-11.405,0.0334,0.762,8.17e-05,0.262,0.714,92.035,1EZJBB6bvCcrvYRlOyoHuf,144013
0.429,0.0245,-31.444,0.0364,0.974,0.917,0.11,0.197,71.187,6CngZA32wwYDbfY0f3pVj2,188400
0.554,0.49,-8.046,0.0457,0.0168,0.000534,0.136,0.513,84.275,23NPGXlSaIqWzvxIRhM2oG,265507
0.544,0.347,-15.504,0.0432,0.968,0.237,0.115,0.501,119.862,6dmqnKIOvBfqjP317AT2tT,232440
