danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms
0.725,0.801,-6.919,0.0303,0.302,0.0251,0.137,0.728,101.1,5BwRO8sd8esywd8C7jsgIF,294760
0.601,0.681,-4.532,0.0266,0.545,0.0,0.115,0.315,128.899,6PKAwawgAir6im5AxHcZ2h,271160
0.668,0.774,-6.659,0.0312,0.151,0.0,0.297,0.707,102.039,6D9QbHebVk2V7jowSvLmhp,256867
0.697,0.919,-3.867,0.0792,0.432,0.0206,0.0882,0.683,179.988,4s7DK08ZqqU5EnjvQ6Vlle,232227
0.736,0.679,-5.062,0.0386,0.0239,1.41e-05,0.265,0.936,131.032,3ToWC9JYSmDIa9yJs0k6PO,186840
0.739,0.745,-6.658,0.0267,0.21,0.0135,0.127,0.949,109.326,1p7m9H4H8s0Y7SgRm7j3ED,277653
0.811,0.562,-10.183,0.0368,0.137,0.0,0.0623,0.965,129.039,2MioxSroS0g1mi24LLfcnq,255027
0.332,0.592,-6.127,0.0371,0.0824,0.0,0.109,0.31,170.391,5EhzE6HJaCcLFrf5rPqvpk,205160
0.552,0.273,-7.7,0.0265,0.848,5.24e-05,0.146,0.318,91.876,659B2PbbBVtPwJh5QkB1WB,200480
0.579,0.758,-7.08,0.0281,0.0731,0.00292,0.708,0.288,109.054,1nULBrlzWatdcjA2ZctIMv,243040
0.522,0.496,-6.019,0.0327,0.544,2.14e-06,0.0942,0.327,167.615,4MK30zdOpWTvpE6UoJukIp,214173
0.681,0.842,-6.152,0.0547,0.0162,0.0,0.0817,0.56,123.949,16IT9SCs4vy4qmCfuujX7M,248693
0.794,0.832,-4.862,0.0407,0.237,1.14e-05,0.203,0.871,107.657,2lnzGkdtDj5mtlcOW2yRtG,196160
0.711,0.841,-3.803,0.0322,0.265,0.0,0.268,0.658,104.033,7fZJWsOEdr8aP8okxyTBGd,181116
0.729,0.453,-5.441,0.0315,0.0622,0.0,0.441,0.527,128.826,4sSfHheJ5F9G0bHiddFC6U,230107
0.459,0.549,-7.95,0.0282,0.048,0.0,0.103,0.159,174.388,7iHI6K7jVyjHxRdbdM1NMr,219707
0.432,0.844,-3.036,0.0507,0.156,0.0,0.0933,0.497,104.108,0aGR2UxMgYnJNCs2il2EMs,152067
0.521,0.512,-8.391,0.0394,0.21,0.0,0.128,0.499,155.896,5ToI5oXnUmX5Nsmg8enL1N,239827
0.717,0.793,-5.735,0.0373,0.0582,0.00129,0.231,0.784,127.01,1Q2WPcHRVK16zh9TR6isEq,231907
0.62,0.591,-7.085,0.0304,0.401,0.0,0.138,0.591,148.06,2VLcpwzuZVSZQUCQDQRM8n,192308
